"FDV","0000025","20240201|083912","20240129_1529409_091744_091746","R09_0_W15 Monastir (TUN)","Boehner/Hutchinson","Moneva/Remander","|K|0.9999|EK|G||OL1|1.01|EOL1|OL2|10300|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-w15-monastir-3-women-doubles/boehner-laura-hutchinson-holly-moneva-yoana-remander-stella-ETe6tO7a/","","","","","","","","1.03","9.3","","","","","","",""
"DV","0000026","20240201|083915","20240129_1521009_079446_079141","R09_2_Thailand Open - Hua Hin (THA)","Kato/Sutjiadi","Grammatikopoulou/Tikhonova","|K|0.68542|EK|G||OL1|1.48774|EOL1|OL2|3.33582|EOL2|OH1|146|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.47314|ENAOL1|NAOL2|3.5934|ENAOL2|NAVE1|-3.3|ENAVE1|NAVE2|-8.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/thailand/wta-hua-hin-doubles/kato-miyu-sutjiadi-aldila-grammatikopoulou-valentini-tikhonova-anastasia-4I8hdT8b/","","1.3","3.22","","","1.31","3.15","1.36","3.22","","","","","","",""
"DV","0000027","20240201|083919","20240129_1521009_078468_091699","R09_2_Thailand Open - Hua Hin (THA)","Rakhimova/Sizikova","Dzalamidze/Kawa","|K|0.641237|EK|G||OL1|1.58964|EOL1|OL2|2.92671|EOL2|OH1|156|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.57404|ENAOL1|NAOL2|3.1527|ENAOL2|NAVE1|-3.3|ENAVE1|NAVE2|-8.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/thailand/wta-hua-hin-doubles/rakhimova-kamilla-sizikova-yana-dzalamidze-natela-kawa-katarzyna-Y3yhISXc/","","1.68","2.07","","","","","1.68","2.1","","","","","","",""
"DM","0000028","20240201|083922","20240129_1935709_108712_105586","R09_2_Open Sud de France - Montpellier (FRA)","Glasspool/Patten","Bublik/Shevchenko","|K|0.788673|EK|G||OL1|1.37795|EOL1|OL2|4.9059|EOL2|OH1|127|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.44145|ENAOL1|NAOL2|5.1666|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/atp-montpellier-doubles/glasspool-lloyd-patten-henry-bublik-alexander-shevchenko-alexander-rsDmO19S/","","1.18","4.33","","","1.18","4.3","1.18","4.33","","","","","","",""
"SM","0000029","20240201|083936","20240129_1935705_019474_067546","R05_2_Open Sud de France - Montpellier (FRA)","Lestienne","Cobolli","|K|0.459887|EK|G||OL1|2.39146|EOL1|OL2|2.046|EOL2|OH1|1|EOH1|OH2|2.511|EOH2|EG|NA||NAOL1|2.39146|ENAOL1|NAOL2|2.0646|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|5.869|6.918|1.556|1.834|AH-5|5.869|6.918|1.665|1.963|AH-4|4.705|5.547|1.79|2.11|AH-3.5|3.933|4.636|1.79|2.11|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.8|2.598|2.458|3.549|AH4|1.8|2.598|3.363|4.856|AH4.5|1.503|2.171|3.363|4.856|AH5|1.503|2.171|5.062|7.308|AH5.5|1.307|1.887|5.062|7.308||EAH||AHS||K-1.5|4.57684|7|1.51|7|EK-1.5||K21|8.02883|1|4.49483|7|EK21||K1.5|1.69352|7|2.88413|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/atp-montpellier/lestienne-constant-cobolli-flavio-lKDqPsfM/#ah;2;3.50;2","3.5","1.75","2.16","","","","","1.75","2.16","","","","","","",""
"SM","0000029","20240201|083934","20240129_1935705_019474_067546","R05_2_Open Sud de France - Montpellier (FRA)","Lestienne","Cobolli","|K|0.459887|EK|G||OL1|2.39146|EOL1|OL2|2.046|EOL2|OH1|1|EOH1|OH2|2.511|EOH2|EG|NA||NAOL1|2.39146|ENAOL1|NAOL2|2.0646|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|5.869|6.918|1.556|1.834|AH-5|5.869|6.918|1.665|1.963|AH-4|4.705|5.547|1.79|2.11|AH-3.5|3.933|4.636|1.79|2.11|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.8|2.598|2.458|3.549|AH4|1.8|2.598|3.363|4.856|AH4.5|1.503|2.171|3.363|4.856|AH5|1.503|2.171|5.062|7.308|AH5.5|1.307|1.887|5.062|7.308||EAH||AHS||K-1.5|4.57684|7|1.51|7|EK-1.5||K21|8.02883|1|4.49483|7|EK21||K1.5|1.69352|7|2.88413|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/atp-montpellier/lestienne-constant-cobolli-flavio-lKDqPsfM/#ah;2;2.50;2","2.5","2.05","1.83","","","2.0","1.79","2.05","1.83","","","","","","",""
"SM","0000029","20240201|083940","20240129_1935705_019474_067546","R05_2_Open Sud de France - Montpellier (FRA)","Lestienne","Cobolli","|K|0.459887|EK|G||OL1|2.39146|EOL1|OL2|2.046|EOL2|OH1|1|EOH1|OH2|2.511|EOH2|EG|NA||NAOL1|2.39146|ENAOL1|NAOL2|2.0646|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|5.869|6.918|1.556|1.834|AH-5|5.869|6.918|1.665|1.963|AH-4|4.705|5.547|1.79|2.11|AH-3.5|3.933|4.636|1.79|2.11|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.8|2.598|2.458|3.549|AH4|1.8|2.598|3.363|4.856|AH4.5|1.503|2.171|3.363|4.856|AH5|1.503|2.171|5.062|7.308|AH5.5|1.307|1.887|5.062|7.308||EAH||AHS||K-1.5|4.57684|7|1.51|7|EK-1.5||K21|8.02883|1|4.49483|7|EK21||K1.5|1.69352|7|2.88413|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/atp-montpellier/lestienne-constant-cobolli-flavio-lKDqPsfM/#ah;2;1.50;1","1.5","1.61","2.41","","","1.61","2.3","1.61","2.41","","","","","","",""
"SM","0000029","20240201|083938","20240129_1935705_019474_067546","R05_2_Open Sud de France - Montpellier (FRA)","Lestienne","Cobolli","|K|0.459887|EK|G||OL1|2.39146|EOL1|OL2|2.046|EOL2|OH1|1|EOH1|OH2|2.511|EOH2|EG|NA||NAOL1|2.39146|ENAOL1|NAOL2|2.0646|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|5.869|6.918|1.556|1.834|AH-5|5.869|6.918|1.665|1.963|AH-4|4.705|5.547|1.79|2.11|AH-3.5|3.933|4.636|1.79|2.11|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.8|2.598|2.458|3.549|AH4|1.8|2.598|3.363|4.856|AH4.5|1.503|2.171|3.363|4.856|AH5|1.503|2.171|5.062|7.308|AH5.5|1.307|1.887|5.062|7.308||EAH||AHS||K-1.5|4.57684|7|1.51|7|EK-1.5||K21|8.02883|1|4.49483|7|EK21||K1.5|1.69352|7|2.88413|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/atp-montpellier/lestienne-constant-cobolli-flavio-lKDqPsfM/#ah;2;-1.50;1","-1.5","4.69","1.22","","","4.7","1.19","4.7","1.22","","","","","","",""
"SM","0000029","20240201|083926","20240129_1935705_019474_067546","R05_2_Open Sud de France - Montpellier (FRA)","Lestienne","Cobolli","|K|0.459887|EK|G||OL1|2.39146|EOL1|OL2|2.046|EOL2|OH1|1|EOH1|OH2|2.511|EOH2|EG|NA||NAOL1|2.39146|ENAOL1|NAOL2|2.0646|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|5.869|6.918|1.556|1.834|AH-5|5.869|6.918|1.665|1.963|AH-4|4.705|5.547|1.79|2.11|AH-3.5|3.933|4.636|1.79|2.11|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.8|2.598|2.458|3.549|AH4|1.8|2.598|3.363|4.856|AH4.5|1.503|2.171|3.363|4.856|AH5|1.503|2.171|5.062|7.308|AH5.5|1.307|1.887|5.062|7.308||EAH||AHS||K-1.5|4.57684|7|1.51|7|EK-1.5||K21|8.02883|1|4.49483|7|EK21||K1.5|1.69352|7|2.88413|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/atp-montpellier/lestienne-constant-cobolli-flavio-lKDqPsfM/","","2.68","1.53","","","2.63","1.49","2.75","1.53","","","","","","",""
"SM","0000030","20240201|083953","20240129_1935705_064891_020654","R05_2_Open Sud de France - Montpellier (FRA)","Shevchenko","Barrere","|K|0.462108|EK|G||OL1|2.38049|EOL1|OL2|2.046|EOL2|OH1|3.1465|EOH1|OH2|2.511|EOH2|EG|NA||NAOL1|2.38049|ENAOL1|NAOL2|2.0646|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|9.885|11.653|1.405|1.656|AH-5|9.885|11.653|1.549|1.826|AH-4|5.967|7.034|1.756|2.071|AH-3.5|4.104|4.838|1.756|2.071|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.695|2.447|2.686|3.877|AH4|1.695|2.447|3.446|4.975|AH4.5|1.488|2.148|3.446|4.975|AH5|1.488|2.148|4.873|7.035|AH5.5|1.321|1.907|4.873|7.035||EAH||AHS||K-1.5|3.89307|7|1.51|7|EK-1.5||K21|4.87663|7|5.87376|7|EK21||K1.5|1.51627|7|3.52353|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/atp-montpellier/shevchenko-alexander-barrere-gregoire-boq1m8qA/#ah;2;0.50;2","0.5","1.85","2.04","","","","","1.85","2.04","","","","","","",""
"SM","0000030","20240201|083952","20240129_1935705_064891_020654","R05_2_Open Sud de France - Montpellier (FRA)","Shevchenko","Barrere","|K|0.462108|EK|G||OL1|2.38049|EOL1|OL2|2.046|EOL2|OH1|3.1465|EOH1|OH2|2.511|EOH2|EG|NA||NAOL1|2.38049|ENAOL1|NAOL2|2.0646|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|9.885|11.653|1.405|1.656|AH-5|9.885|11.653|1.549|1.826|AH-4|5.967|7.034|1.756|2.071|AH-3.5|4.104|4.838|1.756|2.071|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.695|2.447|2.686|3.877|AH4|1.695|2.447|3.446|4.975|AH4.5|1.488|2.148|3.446|4.975|AH5|1.488|2.148|4.873|7.035|AH5.5|1.321|1.907|4.873|7.035||EAH||AHS||K-1.5|3.89307|7|1.51|7|EK-1.5||K21|4.87663|7|5.87376|7|EK21||K1.5|1.51627|7|3.52353|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/atp-montpellier/shevchenko-alexander-barrere-gregoire-boq1m8qA/#ah;2;-0.50;2","-0.5","2.0","1.89","","","","","2.0","1.89","","","","","","",""
"SM","0000030","20240201|083957","20240129_1935705_064891_020654","R05_2_Open Sud de France - Montpellier (FRA)","Shevchenko","Barrere","|K|0.462108|EK|G||OL1|2.38049|EOL1|OL2|2.046|EOL2|OH1|3.1465|EOH1|OH2|2.511|EOH2|EG|NA||NAOL1|2.38049|ENAOL1|NAOL2|2.0646|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|9.885|11.653|1.405|1.656|AH-5|9.885|11.653|1.549|1.826|AH-4|5.967|7.034|1.756|2.071|AH-3.5|4.104|4.838|1.756|2.071|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.695|2.447|2.686|3.877|AH4|1.695|2.447|3.446|4.975|AH4.5|1.488|2.148|3.446|4.975|AH5|1.488|2.148|4.873|7.035|AH5.5|1.321|1.907|4.873|7.035||EAH||AHS||K-1.5|3.89307|7|1.51|7|EK-1.5||K21|4.87663|7|5.87376|7|EK21||K1.5|1.51627|7|3.52353|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/atp-montpellier/shevchenko-alexander-barrere-gregoire-boq1m8qA/#ah;2;1.50;1","1.5","1.37","3.36","","","1.35","3.15","1.37","3.36","","","","","","",""
"SM","0000030","20240201|083955","20240129_1935705_064891_020654","R05_2_Open Sud de France - Montpellier (FRA)","Shevchenko","Barrere","|K|0.462108|EK|G||OL1|2.38049|EOL1|OL2|2.046|EOL2|OH1|3.1465|EOH1|OH2|2.511|EOH2|EG|NA||NAOL1|2.38049|ENAOL1|NAOL2|2.0646|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|9.885|11.653|1.405|1.656|AH-5|9.885|11.653|1.549|1.826|AH-4|5.967|7.034|1.756|2.071|AH-3.5|4.104|4.838|1.756|2.071|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.695|2.447|2.686|3.877|AH4|1.695|2.447|3.446|4.975|AH4.5|1.488|2.148|3.446|4.975|AH5|1.488|2.148|4.873|7.035|AH5.5|1.321|1.907|4.873|7.035||EAH||AHS||K-1.5|3.89307|7|1.51|7|EK-1.5||K21|4.87663|7|5.87376|7|EK21||K1.5|1.51627|7|3.52353|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/atp-montpellier/shevchenko-alexander-barrere-gregoire-boq1m8qA/#ah;2;-1.50;1","-1.5","3.21","1.39","","","3.15","1.35","3.21","1.39","","","","","","",""
