"CDM","0000001","20240201|155200","20240129_1943710_043022_106097","R10_1_Burnie 1 Challenger (AUS)","Bolt/Saville","Bayldon/Pearson","|K|0.683233|EK|G||OL1|1.48014|EOL1|OL2|3.21372|EOL2|OH1|2.205|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.62141|ENAOL1|NAOL2|3.42228|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/burnie-challenger-men-doubles/bolt-alex-saville-luke-bayldon-blake-pearson-kody-AJcFEB3D/","","","","","","","","1.36","2.95","","","","","","",""
"CDM","0000002","20240201|155203","20240129_1943710_108691_103156","R10_1_Burnie 1 Challenger (AUS)","Imai/Uchiyama","Schoolkate/Walton","|K|0.414495|EK|G||OL1|2.46114|EOL1|OL2|1.7218|EOL2|OH1|242|EOH1|OH2|2.565|EOH2|EG|NA||NAOL1|2.62086|ENAOL1|NAOL2|1.88613|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/burnie-challenger-men-doubles/imai-shintaro-uchiyama-yasutaka-schoolkate-tristan-walton-adam-r93K9qBf/","","","","","","","","2.6","1.45","","","","","","",""
"CSM","0000003","20240201|155213","20240129_1943609_044555_048442","R09_1_Koblenz Challenger (GER)","Rodionov","Molleker","|K|0.660389|EK|G||OL1|1.60512|EOL1|OL2|3.1919|EOL2|OH1|2.128|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6872|ENAOL1|NAOL2|3.1919|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|2.252|2.93|1.821|2.37|AH-3|2.252|2.93|2.128|2.768|AH-2.5|1.912|2.487|2.128|2.768|AH-2|1.912|2.487|2.406|3.13|AH-1.5|1.732|2.253|2.406|3.13||AH1.5|1.565|1.902|3.381|4.108|AH2|1.565|1.902|3.89|4.726|AH2.5|1.476|1.793|3.89|4.726|AH3|1.476|1.793|5.124|6.225|AH3.5|1.352|1.643|5.124|6.225|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.58332|7|1.83086|7|EK-1.5||K21|4.86963|7|6.95307|1|EK21||K1.5|1.51|7|5.7042|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/koblenz-challenger-men/rodionov-jurij-molleker-rudolf-MB8rUtfP/#ah;2;-1.50;2","-1.5","1.78","2.1","","","","","1.78","2.1","","","","","","",""
"CSM","0000003","20240201|155215","20240129_1943609_044555_048442","R09_1_Koblenz Challenger (GER)","Rodionov","Molleker","|K|0.660389|EK|G||OL1|1.60512|EOL1|OL2|3.1919|EOL2|OH1|2.128|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6872|ENAOL1|NAOL2|3.1919|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|2.252|2.93|1.821|2.37|AH-3|2.252|2.93|2.128|2.768|AH-2.5|1.912|2.487|2.128|2.768|AH-2|1.912|2.487|2.406|3.13|AH-1.5|1.732|2.253|2.406|3.13||AH1.5|1.565|1.902|3.381|4.108|AH2|1.565|1.902|3.89|4.726|AH2.5|1.476|1.793|3.89|4.726|AH3|1.476|1.793|5.124|6.225|AH3.5|1.352|1.643|5.124|6.225|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.58332|7|1.83086|7|EK-1.5||K21|4.86963|7|6.95307|1|EK21||K1.5|1.51|7|5.7042|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/koblenz-challenger-men/rodionov-jurij-molleker-rudolf-MB8rUtfP/#ah;2;-2.50;2","-2.5","1.96","1.89","","","","","1.96","1.89","","","","","","",""
"CSM","0000003","20240201|155218","20240129_1943609_044555_048442","R09_1_Koblenz Challenger (GER)","Rodionov","Molleker","|K|0.660389|EK|G||OL1|1.60512|EOL1|OL2|3.1919|EOL2|OH1|2.128|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6872|ENAOL1|NAOL2|3.1919|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|2.252|2.93|1.821|2.37|AH-3|2.252|2.93|2.128|2.768|AH-2.5|1.912|2.487|2.128|2.768|AH-2|1.912|2.487|2.406|3.13|AH-1.5|1.732|2.253|2.406|3.13||AH1.5|1.565|1.902|3.381|4.108|AH2|1.565|1.902|3.89|4.726|AH2.5|1.476|1.793|3.89|4.726|AH3|1.476|1.793|5.124|6.225|AH3.5|1.352|1.643|5.124|6.225|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.58332|7|1.83086|7|EK-1.5||K21|4.86963|7|6.95307|1|EK21||K1.5|1.51|7|5.7042|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/germany/koblenz-challenger-men/rodionov-jurij-molleker-rudolf-MB8rUtfP/#ah;2;1.50;1","1.5","1.26","4.12","","","","","1.26","4.12","","","","","","",""
"CSM","0000003","20240201|155216","20240129_1943609_044555_048442","R09_1_Koblenz Challenger (GER)","Rodionov","Molleker","|K|0.660389|EK|G||OL1|1.60512|EOL1|OL2|3.1919|EOL2|OH1|2.128|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6872|ENAOL1|NAOL2|3.1919|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|2.252|2.93|1.821|2.37|AH-3|2.252|2.93|2.128|2.768|AH-2.5|1.912|2.487|2.128|2.768|AH-2|1.912|2.487|2.406|3.13|AH-1.5|1.732|2.253|2.406|3.13||AH1.5|1.565|1.902|3.381|4.108|AH2|1.565|1.902|3.89|4.726|AH2.5|1.476|1.793|3.89|4.726|AH3|1.476|1.793|5.124|6.225|AH3.5|1.352|1.643|5.124|6.225|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.58332|7|1.83086|7|EK-1.5||K21|4.86963|7|6.95307|1|EK21||K1.5|1.51|7|5.7042|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/germany/koblenz-challenger-men/rodionov-jurij-molleker-rudolf-MB8rUtfP/#ah;2;-1.50;1","-1.5","2.53","1.56","","","","","2.53","1.56","","","","","","",""
"CSM","0000003","20240201|155207","20240129_1943609_044555_048442","R09_1_Koblenz Challenger (GER)","Rodionov","Molleker","|K|0.660389|EK|G||OL1|1.60512|EOL1|OL2|3.1919|EOL2|OH1|2.128|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6872|ENAOL1|NAOL2|3.1919|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|2.252|2.93|1.821|2.37|AH-3|2.252|2.93|2.128|2.768|AH-2.5|1.912|2.487|2.128|2.768|AH-2|1.912|2.487|2.406|3.13|AH-1.5|1.732|2.253|2.406|3.13||AH1.5|1.565|1.902|3.381|4.108|AH2|1.565|1.902|3.89|4.726|AH2.5|1.476|1.793|3.89|4.726|AH3|1.476|1.793|5.124|6.225|AH3.5|1.352|1.643|5.124|6.225|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.58332|7|1.83086|7|EK-1.5||K21|4.86963|7|6.95307|1|EK21||K1.5|1.51|7|5.7042|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/germany/koblenz-challenger-men/rodionov-jurij-molleker-rudolf-MB8rUtfP/","","1.63","2.36","","","","","1.63","2.36","","","","","","",""
"CSV","0000004","20240201|155228","20240129_1529009_045536_014882","R09_1_W50 Indore (IND)","Monnet","Radanovic","|K|0.499958|EK|G||OL1|2.07633|EOL1|OL2|2.066|EOL2|OH1|201|EOH1|OH2|200|EOH2|EG|NA|NOT|ENA||AH-5.5|4.253|413.294|1.357|131.919|AH-5|4.253|413.294|1.591|154.633|AH-4|2.912|283.041|1.842|179.054|AH-3.5|2.331|226.496|1.842|179.054|AH-3|2.331|226.496|1.908|185.381|AH-2.5|2.234|217.122|1.908|185.381|AH-2|2.234|217.122|1.956|190.101|AH-1.5|2.171|210.987|1.956|190.101||AH1.5|1.948|186.035|2.264|216.232|AH2|1.948|186.035|2.496|238.411|AH2.5|1.803|172.249|2.496|238.411|AH3|1.803|172.249|2.756|263.252|AH3.5|1.688|161.255|2.756|263.252|AH4|1.688|161.255|3.406|325.342|AH4.5|1.512|144.377|3.406|325.342|AH5|1.512|144.377|4.263|407.156|AH5.5|1.388|132.557|4.263|407.156||EAH||AHS||K-1.5|3.42452|10|2.1|1|EK-1.5||K21|6.1399|10|7.50418|10|EK21||K1.5|2.1|1|3.3108|10|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/india/itf-w50-indore-women/monnet-carole-radanovic-dejana-pll7EsG5/#ah;2;2.50;2","2.5","1.78","1.99","","","","","1.81","1.99","","","","","","",""
"CSV","0000004","20240201|155230","20240129_1529009_045536_014882","R09_1_W50 Indore (IND)","Monnet","Radanovic","|K|0.499958|EK|G||OL1|2.07633|EOL1|OL2|2.066|EOL2|OH1|201|EOH1|OH2|200|EOH2|EG|NA|NOT|ENA||AH-5.5|4.253|413.294|1.357|131.919|AH-5|4.253|413.294|1.591|154.633|AH-4|2.912|283.041|1.842|179.054|AH-3.5|2.331|226.496|1.842|179.054|AH-3|2.331|226.496|1.908|185.381|AH-2.5|2.234|217.122|1.908|185.381|AH-2|2.234|217.122|1.956|190.101|AH-1.5|2.171|210.987|1.956|190.101||AH1.5|1.948|186.035|2.264|216.232|AH2|1.948|186.035|2.496|238.411|AH2.5|1.803|172.249|2.496|238.411|AH3|1.803|172.249|2.756|263.252|AH3.5|1.688|161.255|2.756|263.252|AH4|1.688|161.255|3.406|325.342|AH4.5|1.512|144.377|3.406|325.342|AH5|1.512|144.377|4.263|407.156|AH5.5|1.388|132.557|4.263|407.156||EAH||AHS||K-1.5|3.42452|10|2.1|1|EK-1.5||K21|6.1399|10|7.50418|10|EK21||K1.5|2.1|1|3.3108|10|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/india/itf-w50-indore-women/monnet-carole-radanovic-dejana-pll7EsG5/#ah;2;0.50;2","0.5","2.01","1.76","","","","","2.01","1.76","","","","","","",""
"CSV","0000004","20240201|155233","20240129_1529009_045536_014882","R09_1_W50 Indore (IND)","Monnet","Radanovic","|K|0.499958|EK|G||OL1|2.07633|EOL1|OL2|2.066|EOL2|OH1|201|EOH1|OH2|200|EOH2|EG|NA|NOT|ENA||AH-5.5|4.253|413.294|1.357|131.919|AH-5|4.253|413.294|1.591|154.633|AH-4|2.912|283.041|1.842|179.054|AH-3.5|2.331|226.496|1.842|179.054|AH-3|2.331|226.496|1.908|185.381|AH-2.5|2.234|217.122|1.908|185.381|AH-2|2.234|217.122|1.956|190.101|AH-1.5|2.171|210.987|1.956|190.101||AH1.5|1.948|186.035|2.264|216.232|AH2|1.948|186.035|2.496|238.411|AH2.5|1.803|172.249|2.496|238.411|AH3|1.803|172.249|2.756|263.252|AH3.5|1.688|161.255|2.756|263.252|AH4|1.688|161.255|3.406|325.342|AH4.5|1.512|144.377|3.406|325.342|AH5|1.512|144.377|4.263|407.156|AH5.5|1.388|132.557|4.263|407.156||EAH||AHS||K-1.5|3.42452|10|2.1|1|EK-1.5||K21|6.1399|10|7.50418|10|EK21||K1.5|2.1|1|3.3108|10|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/india/itf-w50-indore-women/monnet-carole-radanovic-dejana-pll7EsG5/#ah;2;1.50;1","1.5","1.48","2.56","","","","","1.48","2.56","","","","","","",""
"CSV","0000004","20240201|155231","20240129_1529009_045536_014882","R09_1_W50 Indore (IND)","Monnet","Radanovic","|K|0.499958|EK|G||OL1|2.07633|EOL1|OL2|2.066|EOL2|OH1|201|EOH1|OH2|200|EOH2|EG|NA|NOT|ENA||AH-5.5|4.253|413.294|1.357|131.919|AH-5|4.253|413.294|1.591|154.633|AH-4|2.912|283.041|1.842|179.054|AH-3.5|2.331|226.496|1.842|179.054|AH-3|2.331|226.496|1.908|185.381|AH-2.5|2.234|217.122|1.908|185.381|AH-2|2.234|217.122|1.956|190.101|AH-1.5|2.171|210.987|1.956|190.101||AH1.5|1.948|186.035|2.264|216.232|AH2|1.948|186.035|2.496|238.411|AH2.5|1.803|172.249|2.496|238.411|AH3|1.803|172.249|2.756|263.252|AH3.5|1.688|161.255|2.756|263.252|AH4|1.688|161.255|3.406|325.342|AH4.5|1.512|144.377|3.406|325.342|AH5|1.512|144.377|4.263|407.156|AH5.5|1.388|132.557|4.263|407.156||EAH||AHS||K-1.5|3.42452|10|2.1|1|EK-1.5||K21|6.1399|10|7.50418|10|EK21||K1.5|2.1|1|3.3108|10|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/india/itf-w50-indore-women/monnet-carole-radanovic-dejana-pll7EsG5/#ah;2;-1.50;1","-1.5","3.07","1.35","","","","","3.07","1.35","","","","","","",""
