"DM","0000007","20240209|132513","20240205_1935809_055228_108278","R09_2_Cordoba Open - Cordoba (ARG)","Arias/Zeballos","Barrientos/Matos","|K|0.2872|EK|G||OL1|3.61215|EOL1|OL2|1.52985|EOL2|OH1|1|EOH1|OH2|141|EOH2|EG|NA||NAOL1|3.8041|ENAOL1|NAOL2|1.60035|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/argentina/atp-cordoba-doubles/arias-boris-zeballos-federico-barrientos-nicolas-matos-rafael-rJb2BjG5/","","3.32","1.34","","","","","3.32","1.34","","","","","","",""
"DM","0000008","20240209|132517","20240205_1935809_035651_108890","R09_2_Cordoba Open - Cordoba (ARG)","Gonzalez/Molteni","Darderi/Dellien","|K|0.702675|EK|G||OL1|1.55155|EOL1|OL2|3.48795|EOL2|OH1|143|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.62305|ENAOL1|NAOL2|3.6733|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/argentina/atp-cordoba-doubles/gonzalez-maximo-molteni-andres-darderi-luciano-dellien-hugo-8KYklY9t/","","1.17","5.0","","","","","1.17","5.0","","","","","","",""
"SM","0000009","20240209|132529","20240205_1935909_007806_011517","R09_2_Dallas Open - Dallas (USA)","Mannarino","Duckworth","|K|0.634939|EK|G||OL1|1.738|EOL1|OL2|3.00578|EOL2|OH1|2.133|EOH1|OH2|3.973|EOH2|EG|NA||NAOL1|1.7538|ENAOL1|NAOL2|3.00578|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.421|7.569|1000|1000|AH-5|6.421|7.569|1000|1000|AH-4|4.081|4.811|1000|1000|AH-3.5|2.804|3.306|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.286|1.857|1000|1000|AH4|1.286|1.857|1000|1000|AH4.5|1.195|1.725|1000|1000|AH5|1.195|1.725|1000|1000|AH5.5|1.114|1.608|1000|1000||EAH||AHS||K-1.5|2.71085|7|1.76625|7|EK-1.5||K21|4.8098|7|6.99283|1|EK21||K1.5|1.51|7|5.01574|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-dallas/mannarino-adrian-duckworth-james-xpQNQydR/#ah;2;-3.50;2","-3.5","2.13","1.78","","","1.98","1.8","2.13","1.8","","","","","","",""
"SM","0000009","20240209|132531","20240205_1935909_007806_011517","R09_2_Dallas Open - Dallas (USA)","Mannarino","Duckworth","|K|0.634939|EK|G||OL1|1.738|EOL1|OL2|3.00578|EOL2|OH1|2.133|EOH1|OH2|3.973|EOH2|EG|NA||NAOL1|1.7538|ENAOL1|NAOL2|3.00578|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.421|7.569|1000|1000|AH-5|6.421|7.569|1000|1000|AH-4|4.081|4.811|1000|1000|AH-3.5|2.804|3.306|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.286|1.857|1000|1000|AH4|1.286|1.857|1000|1000|AH4.5|1.195|1.725|1000|1000|AH5|1.195|1.725|1000|1000|AH5.5|1.114|1.608|1000|1000||EAH||AHS||K-1.5|2.71085|7|1.76625|7|EK-1.5||K21|4.8098|7|6.99283|1|EK21||K1.5|1.51|7|5.01574|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-dallas/mannarino-adrian-duckworth-james-xpQNQydR/#ah;2;-4.50;2","-4.5","3.04","1.42","","","3.3","1.3","3.3","1.53","","","","","","",""
"SM","0000009","20240209|132535","20240205_1935909_007806_011517","R09_2_Dallas Open - Dallas (USA)","Mannarino","Duckworth","|K|0.634939|EK|G||OL1|1.738|EOL1|OL2|3.00578|EOL2|OH1|2.133|EOH1|OH2|3.973|EOH2|EG|NA||NAOL1|1.7538|ENAOL1|NAOL2|3.00578|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.421|7.569|1000|1000|AH-5|6.421|7.569|1000|1000|AH-4|4.081|4.811|1000|1000|AH-3.5|2.804|3.306|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.286|1.857|1000|1000|AH4|1.286|1.857|1000|1000|AH4.5|1.195|1.725|1000|1000|AH5|1.195|1.725|1000|1000|AH5.5|1.114|1.608|1000|1000||EAH||AHS||K-1.5|2.71085|7|1.76625|7|EK-1.5||K21|4.8098|7|6.99283|1|EK21||K1.5|1.51|7|5.01574|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-dallas/mannarino-adrian-duckworth-james-xpQNQydR/#ah;2;1.50;1","1.5","1.17","5.72","","","1.14","5.8","1.17","5.8","","","","","","",""
"SM","0000009","20240209|132533","20240205_1935909_007806_011517","R09_2_Dallas Open - Dallas (USA)","Mannarino","Duckworth","|K|0.634939|EK|G||OL1|1.738|EOL1|OL2|3.00578|EOL2|OH1|2.133|EOH1|OH2|3.973|EOH2|EG|NA||NAOL1|1.7538|ENAOL1|NAOL2|3.00578|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.421|7.569|1000|1000|AH-5|6.421|7.569|1000|1000|AH-4|4.081|4.811|1000|1000|AH-3.5|2.804|3.306|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.286|1.857|1000|1000|AH4|1.286|1.857|1000|1000|AH4.5|1.195|1.725|1000|1000|AH5|1.195|1.725|1000|1000|AH5.5|1.114|1.608|1000|1000||EAH||AHS||K-1.5|2.71085|7|1.76625|7|EK-1.5||K21|4.8098|7|6.99283|1|EK21||K1.5|1.51|7|5.01574|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-dallas/mannarino-adrian-duckworth-james-xpQNQydR/#ah;2;-1.50;1","-1.5","2.08","1.81","","","2.1","1.72","2.1","1.81","","","","","","",""
"SM","0000009","20240209|132520","20240205_1935909_007806_011517","R09_2_Dallas Open - Dallas (USA)","Mannarino","Duckworth","|K|0.634939|EK|G||OL1|1.738|EOL1|OL2|3.00578|EOL2|OH1|2.133|EOH1|OH2|3.973|EOH2|EG|NA||NAOL1|1.7538|ENAOL1|NAOL2|3.00578|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.421|7.569|1000|1000|AH-5|6.421|7.569|1000|1000|AH-4|4.081|4.811|1000|1000|AH-3.5|2.804|3.306|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.286|1.857|1000|1000|AH4|1.286|1.857|1000|1000|AH4.5|1.195|1.725|1000|1000|AH5|1.195|1.725|1000|1000|AH5.5|1.114|1.608|1000|1000||EAH||AHS||K-1.5|2.71085|7|1.76625|7|EK-1.5||K21|4.8098|7|6.99283|1|EK21||K1.5|1.51|7|5.01574|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/atp-dallas/mannarino-adrian-duckworth-james-xpQNQydR/","","1.39","3.25","","","1.38","3.05","1.39","3.25","","","","","","",""
"CDV","0000010","20240209|132538","20240205_1524710_056474_063665","R10_1_Mumbai Open - Mumbai (IND)","Bains/Stollar","Jakupovic/Santamaria","|K|0.537323|EK|G||OL1|1.87|EOL1|OL2|2.2568|EOL2|OH1|187|EOH1|OH2|2.8427|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/india/mumbai-challenger-women-doubles/bains-naiktha-stollar-fanny-jakupovic-dalila-santamaria-sabrina-Y7yif14j/","","","","","","","","2.1","1.65","","","","","","",""
"CSV","0000011","20240209|132548","20240205_1530209_008549_018454","R09_1_W100 Irapuato (MEX)","Marino","Shymanovich","|K|0.745043|EK|G||OL1|1.4526|EOL1|OL2|4.05969|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.811|273.136|1.623|157.758|AH-5|2.811|273.136|2.076|201.711|AH-4|2.041|198.318|2.727|265.022|AH-3.5|1.653|160.598|2.727|265.022|AH-3|1.653|160.598|3.33|323.644|AH-2.5|1.489|144.714|3.33|323.644|AH-2|1.489|144.714|4.055|394.073|AH-1.5|1.379|134.005|4.055|394.073||AH1.5|1.299|124.102|5.391|514.902|AH2|1.299|124.102|6.182|590.483|AH2.5|1.26|120.388|6.182|590.483|AH3|1.26|120.388|6.93|661.895|AH3.5|1.233|117.797|6.93|661.895|AH4|1.233|117.797|10.672|1019.34|AH4.5|1.161|110.877|10.672|1019.34|AH5|1.161|110.877|17.765|1696.77|AH5.5|1.113|106.263|17.765|1696.77||EAH||AHS||K-1.5|2.1822|10|2.15665|10|EK-1.5||K21|5.0154|10|8.19779|1|EK21||K1.5|2.1|1|8.9553|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/itf-w100-irapuato-women/marino-rebecca-shymanovich-iryna-MVxK0lx5/#ah;2;-4.00;2","-4.0","1.68","2.12","","","","","1.68","2.12","","","","","","",""
"CSV","0000011","20240209|132547","20240205_1530209_008549_018454","R09_1_W100 Irapuato (MEX)","Marino","Shymanovich","|K|0.745043|EK|G||OL1|1.4526|EOL1|OL2|4.05969|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.811|273.136|1.623|157.758|AH-5|2.811|273.136|2.076|201.711|AH-4|2.041|198.318|2.727|265.022|AH-3.5|1.653|160.598|2.727|265.022|AH-3|1.653|160.598|3.33|323.644|AH-2.5|1.489|144.714|3.33|323.644|AH-2|1.489|144.714|4.055|394.073|AH-1.5|1.379|134.005|4.055|394.073||AH1.5|1.299|124.102|5.391|514.902|AH2|1.299|124.102|6.182|590.483|AH2.5|1.26|120.388|6.182|590.483|AH3|1.26|120.388|6.93|661.895|AH3.5|1.233|117.797|6.93|661.895|AH4|1.233|117.797|10.672|1019.34|AH4.5|1.161|110.877|10.672|1019.34|AH5|1.161|110.877|17.765|1696.77|AH5.5|1.113|106.263|17.765|1696.77||EAH||AHS||K-1.5|2.1822|10|2.15665|10|EK-1.5||K21|5.0154|10|8.19779|1|EK21||K1.5|2.1|1|8.9553|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/itf-w100-irapuato-women/marino-rebecca-shymanovich-iryna-MVxK0lx5/#ah;2;-4.50;2","-4.5","1.82","1.94","","","","","1.82","1.94","","","","","","",""
"CSV","0000011","20240209|132551","20240205_1530209_008549_018454","R09_1_W100 Irapuato (MEX)","Marino","Shymanovich","|K|0.745043|EK|G||OL1|1.4526|EOL1|OL2|4.05969|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.811|273.136|1.623|157.758|AH-5|2.811|273.136|2.076|201.711|AH-4|2.041|198.318|2.727|265.022|AH-3.5|1.653|160.598|2.727|265.022|AH-3|1.653|160.598|3.33|323.644|AH-2.5|1.489|144.714|3.33|323.644|AH-2|1.489|144.714|4.055|394.073|AH-1.5|1.379|134.005|4.055|394.073||AH1.5|1.299|124.102|5.391|514.902|AH2|1.299|124.102|6.182|590.483|AH2.5|1.26|120.388|6.182|590.483|AH3|1.26|120.388|6.93|661.895|AH3.5|1.233|117.797|6.93|661.895|AH4|1.233|117.797|10.672|1019.34|AH4.5|1.161|110.877|10.672|1019.34|AH5|1.161|110.877|17.765|1696.77|AH5.5|1.113|106.263|17.765|1696.77||EAH||AHS||K-1.5|2.1822|10|2.15665|10|EK-1.5||K21|5.0154|10|8.19779|1|EK21||K1.5|2.1|1|8.9553|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/itf-w100-irapuato-women/marino-rebecca-shymanovich-iryna-MVxK0lx5/#ah;2;1.50;1","1.5","1.16","5.01","","","","","1.16","5.01","","","","","","",""
"CSV","0000011","20240209|132550","20240205_1530209_008549_018454","R09_1_W100 Irapuato (MEX)","Marino","Shymanovich","|K|0.745043|EK|G||OL1|1.4526|EOL1|OL2|4.05969|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.811|273.136|1.623|157.758|AH-5|2.811|273.136|2.076|201.711|AH-4|2.041|198.318|2.727|265.022|AH-3.5|1.653|160.598|2.727|265.022|AH-3|1.653|160.598|3.33|323.644|AH-2.5|1.489|144.714|3.33|323.644|AH-2|1.489|144.714|4.055|394.073|AH-1.5|1.379|134.005|4.055|394.073||AH1.5|1.299|124.102|5.391|514.902|AH2|1.299|124.102|6.182|590.483|AH2.5|1.26|120.388|6.182|590.483|AH3|1.26|120.388|6.93|661.895|AH3.5|1.233|117.797|6.93|661.895|AH4|1.233|117.797|10.672|1019.34|AH4.5|1.161|110.877|10.672|1019.34|AH5|1.161|110.877|17.765|1696.77|AH5.5|1.113|106.263|17.765|1696.77||EAH||AHS||K-1.5|2.1822|10|2.15665|10|EK-1.5||K21|5.0154|10|8.19779|1|EK21||K1.5|2.1|1|8.9553|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/itf-w100-irapuato-women/marino-rebecca-shymanovich-iryna-MVxK0lx5/#ah;2;-1.50;1","-1.5","1.76","2.01","","","","","1.76","2.01","","","","","","",""
"CSV","0000011","20240209|132542","20240205_1530209_008549_018454","R09_1_W100 Irapuato (MEX)","Marino","Shymanovich","|K|0.745043|EK|G||OL1|1.4526|EOL1|OL2|4.05969|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.811|273.136|1.623|157.758|AH-5|2.811|273.136|2.076|201.711|AH-4|2.041|198.318|2.727|265.022|AH-3.5|1.653|160.598|2.727|265.022|AH-3|1.653|160.598|3.33|323.644|AH-2.5|1.489|144.714|3.33|323.644|AH-2|1.489|144.714|4.055|394.073|AH-1.5|1.379|134.005|4.055|394.073||AH1.5|1.299|124.102|5.391|514.902|AH2|1.299|124.102|6.182|590.483|AH2.5|1.26|120.388|6.182|590.483|AH3|1.26|120.388|6.93|661.895|AH3.5|1.233|117.797|6.93|661.895|AH4|1.233|117.797|10.672|1019.34|AH4.5|1.161|110.877|10.672|1019.34|AH5|1.161|110.877|17.765|1696.77|AH5.5|1.113|106.263|17.765|1696.77||EAH||AHS||K-1.5|2.1822|10|2.15665|10|EK-1.5||K21|5.0154|10|8.19779|1|EK21||K1.5|2.1|1|8.9553|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/itf-w100-irapuato-women/marino-rebecca-shymanovich-iryna-MVxK0lx5/","","1.35","3.06","","","1.3","3.25","1.35","3.25","","","","","","",""
"CSV","0000012","20240209|132600","20240205_1530209_008584_012116","R09_1_W100 Irapuato (MEX)","Melnikova","Vickery","|K|0.213313|EK|G||OL1|4.84477|EOL1|OL2|1.37728|EOL2|OH1|1|EOH1|OH2|128|EOH2|EG|NA|NOT|ENA||AH-5.5|31.096|3021.95|1.064|103.422|AH-5|31.096|3021.95|1.106|107.488|AH-4|14.772|1435.55|1.166|113.271|AH-3.5|8.783|853.522|1.166|113.271|AH-3|8.783|853.522|1.2|116.605|AH-2.5|7.226|702.232|1.2|116.605|AH-2|7.226|702.232|1.236|120.16|AH-1.5|6.133|596.038|1.236|120.16||AH1.5|4.656|444.662|1.351|129.014|AH2|4.656|444.662|1.42|135.657|AH2.5|3.983|380.454|1.42|135.657|AH3|3.983|380.454|1.57|149.996|AH3.5|3.141|300.015|1.57|149.996|AH4|3.141|300.015|1.824|174.238|AH4.5|2.457|234.703|1.824|174.238|AH5|2.457|234.703|2.311|220.732|AH5.5|1.914|182.828|2.311|220.732||EAH||AHS||K-1.5|12.6181|1|2.1|1|EK-1.5||K21|9.54042|1|4.71787|10|EK21||K1.5|2.36437|10|2.1|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/itf-w100-irapuato-women/melnikova-marina-vickery-sachia-bL9M72ld/#ah;2;5.50;2","5.5","1.96","1.8","","","","","1.96","1.8","","","","","","",""
