"FSM","0000007","20240214|120912","20240212_1950105_058441_063240","R05_0_M15 Nakhon Si Thammarat (THA)","M Rifqi","Steiner","|K|0.634118|EK|G||OL1|1.7301|EOL1|OL2|2.79206|EOL2|OH1|158|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|4.712|5.554|1.665|1.962|AH-5|4.712|5.554|1.922|2.266|AH-4|3.416|4.027|2.281|2.689|AH-3.5|2.67|3.147|2.281|2.689|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.38|1.992|4.203|6.069|AH4|1.38|1.992|6.219|8.978|AH4.5|1.247|1.801|6.219|8.978|AH5|1.247|1.801|10.098|14.578|AH5.5|1.158|1.672|10.098|14.578||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","",""
"FSM","0000008","20240214|120912","20240212_1950105_038549_046164","R05_0_M15 Nakhon Si Thammarat (THA)","Sinha","Huang","|K|0.192956|EK|G||OL1|5.28861|EOL1|OL2|1.3578|EOL2|OH1|1|EOH1|OH2|124|EOH2|EG|NA|NOT|ENA||AH-5.5|39.327|46.361|1.27|1.497|AH-5|39.327|46.361|1.313|1.548|AH-4|19.474|22.957|1.389|1.638|AH-3.5|10.732|12.652|1.389|1.638|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|2.739|3.955|1.674|2.417|AH4|2.739|3.955|2.049|2.958|AH4.5|2.108|3.044|2.049|2.958|AH5|2.108|3.044|2.742|3.959|AH5.5|1.673|2.415|2.742|3.959||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","",""
"SM","0000009","20240214|120926","20240212_1936205_052721_076127","R05_2_Argentina Open - Buenos Aires (ARG)","Baez","Darderi","|K|0.583875|EK|G||OL1|1.892|EOL1|OL2|2.64377|EOL2|OH1|2.322|EOH1|OH2|3.4945|EOH2|EG|NA||NAOL1|1.9092|ENAOL1|NAOL2|2.64377|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.79|5.647|1.655|1.951|AH-5|4.79|5.647|1.907|2.248|AH-4|3.466|4.086|2.291|2.701|AH-3.5|2.655|3.13|2.291|2.701|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.479|2.135|3.494|5.045|AH4|1.479|2.135|4.102|5.922|AH4.5|1.391|2.009|4.102|5.922|AH5|1.391|2.009|5.532|7.987|AH5.5|1.279|1.847|5.532|7.987||EAH||AHS||K-1.5|2.93528|7|1.67472|7|EK-1.5||K21|5.45702|7|6.3679|1|EK21||K1.5|1.51|7|4.28622|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/argentina/atp-buenos-aires/baez-sebastian-darderi-luciano-jmtVDzMu/#ah;2;-0.50;2","-0.5","1.77","2.13","","","","","1.77","2.13","","","","","","",""
"SM","0000009","20240214|120924","20240212_1936205_052721_076127","R05_2_Argentina Open - Buenos Aires (ARG)","Baez","Darderi","|K|0.583875|EK|G||OL1|1.892|EOL1|OL2|2.64377|EOL2|OH1|2.322|EOH1|OH2|3.4945|EOH2|EG|NA||NAOL1|1.9092|ENAOL1|NAOL2|2.64377|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.79|5.647|1.655|1.951|AH-5|4.79|5.647|1.907|2.248|AH-4|3.466|4.086|2.291|2.701|AH-3.5|2.655|3.13|2.291|2.701|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.479|2.135|3.494|5.045|AH4|1.479|2.135|4.102|5.922|AH4.5|1.391|2.009|4.102|5.922|AH5|1.391|2.009|5.532|7.987|AH5.5|1.279|1.847|5.532|7.987||EAH||AHS||K-1.5|2.93528|7|1.67472|7|EK-1.5||K21|5.45702|7|6.3679|1|EK21||K1.5|1.51|7|4.28622|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/argentina/atp-buenos-aires/baez-sebastian-darderi-luciano-jmtVDzMu/#ah;2;-1.50;2","-1.5","1.9","1.97","","","1.86","1.92","1.9","1.97","","","","","","",""
"SM","0000009","20240214|120929","20240212_1936205_052721_076127","R05_2_Argentina Open - Buenos Aires (ARG)","Baez","Darderi","|K|0.583875|EK|G||OL1|1.892|EOL1|OL2|2.64377|EOL2|OH1|2.322|EOH1|OH2|3.4945|EOH2|EG|NA||NAOL1|1.9092|ENAOL1|NAOL2|2.64377|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.79|5.647|1.655|1.951|AH-5|4.79|5.647|1.907|2.248|AH-4|3.466|4.086|2.291|2.701|AH-3.5|2.655|3.13|2.291|2.701|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.479|2.135|3.494|5.045|AH4|1.479|2.135|4.102|5.922|AH4.5|1.391|2.009|4.102|5.922|AH5|1.391|2.009|5.532|7.987|AH5.5|1.279|1.847|5.532|7.987||EAH||AHS||K-1.5|2.93528|7|1.67472|7|EK-1.5||K21|5.45702|7|6.3679|1|EK21||K1.5|1.51|7|4.28622|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/argentina/atp-buenos-aires/baez-sebastian-darderi-luciano-jmtVDzMu/#ah;2;1.50;1","1.5","1.32","3.59","","","1.28","3.65","1.32","3.65","","","","","","",""
"SM","0000009","20240214|120928","20240212_1936205_052721_076127","R05_2_Argentina Open - Buenos Aires (ARG)","Baez","Darderi","|K|0.583875|EK|G||OL1|1.892|EOL1|OL2|2.64377|EOL2|OH1|2.322|EOH1|OH2|3.4945|EOH2|EG|NA||NAOL1|1.9092|ENAOL1|NAOL2|2.64377|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.79|5.647|1.655|1.951|AH-5|4.79|5.647|1.907|2.248|AH-4|3.466|4.086|2.291|2.701|AH-3.5|2.655|3.13|2.291|2.701|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.479|2.135|3.494|5.045|AH4|1.479|2.135|4.102|5.922|AH4.5|1.391|2.009|4.102|5.922|AH5|1.391|2.009|5.532|7.987|AH5.5|1.279|1.847|5.532|7.987||EAH||AHS||K-1.5|2.93528|7|1.67472|7|EK-1.5||K21|5.45702|7|6.3679|1|EK21||K1.5|1.51|7|4.28622|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/argentina/atp-buenos-aires/baez-sebastian-darderi-luciano-jmtVDzMu/#ah;2;-1.50;1","-1.5","2.77","1.49","","","2.7","1.45","2.77","1.49","","","","","","",""
"SM","0000009","20240214|120916","20240212_1936205_052721_076127","R05_2_Argentina Open - Buenos Aires (ARG)","Baez","Darderi","|K|0.583875|EK|G||OL1|1.892|EOL1|OL2|2.64377|EOL2|OH1|2.322|EOH1|OH2|3.4945|EOH2|EG|NA||NAOL1|1.9092|ENAOL1|NAOL2|2.64377|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.79|5.647|1.655|1.951|AH-5|4.79|5.647|1.907|2.248|AH-4|3.466|4.086|2.291|2.701|AH-3.5|2.655|3.13|2.291|2.701|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.479|2.135|3.494|5.045|AH4|1.479|2.135|4.102|5.922|AH4.5|1.391|2.009|4.102|5.922|AH5|1.391|2.009|5.532|7.987|AH5.5|1.279|1.847|5.532|7.987||EAH||AHS||K-1.5|2.93528|7|1.67472|7|EK-1.5||K21|5.45702|7|6.3679|1|EK21||K1.5|1.51|7|4.28622|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/argentina/atp-buenos-aires/baez-sebastian-darderi-luciano-jmtVDzMu/","","1.71","2.25","","","1.7","2.15","1.71","2.25","","","","","","",""
"SM","0000010","20240214|120939","20240212_1936305_007806_018736","R05_2_Delray Beach Open - Delray Beach (USA)","Mannarino","Giron","|K|0.33147|EK|G||OL1|3.31294|EOL1|OL2|1.65|EOL2|OH1|1|EOH1|OH2|2.025|EOH2|EG|NA||NAOL1|3.31294|ENAOL1|NAOL2|1.665|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|21.388|25.213|1.305|1.538|AH-5|21.388|25.213|1.392|1.641|AH-4|10.581|12.473|1.525|1.797|AH-3.5|6.366|7.505|1.525|1.797|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.941|2.802|2.236|3.229|AH4|1.941|2.802|2.884|4.163|AH4.5|1.624|2.345|2.884|4.163|AH5|1.624|2.345|4.193|6.053|AH5.5|1.381|1.994|4.193|6.053||EAH||AHS||K-1.5|5.63334|7|1.51|7|EK-1.5||K21|6.61573|1|4.65391|7|EK21||K1.5|1.82036|7|2.60262|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-delray-beach/mannarino-adrian-giron-marcos-6NlvCgZf/#ah;2;1.50;2","1.5","1.89","1.98","","","1.83","1.95","1.89","1.98","","","","","","",""
"SM","0000010","20240214|120941","20240212_1936305_007806_018736","R05_2_Delray Beach Open - Delray Beach (USA)","Mannarino","Giron","|K|0.33147|EK|G||OL1|3.31294|EOL1|OL2|1.65|EOL2|OH1|1|EOH1|OH2|2.025|EOH2|EG|NA||NAOL1|3.31294|ENAOL1|NAOL2|1.665|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|21.388|25.213|1.305|1.538|AH-5|21.388|25.213|1.392|1.641|AH-4|10.581|12.473|1.525|1.797|AH-3.5|6.366|7.505|1.525|1.797|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.941|2.802|2.236|3.229|AH4|1.941|2.802|2.884|4.163|AH4.5|1.624|2.345|2.884|4.163|AH5|1.624|2.345|4.193|6.053|AH5.5|1.381|1.994|4.193|6.053||EAH||AHS||K-1.5|5.63334|7|1.51|7|EK-1.5||K21|6.61573|1|4.65391|7|EK21||K1.5|1.82036|7|2.60262|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-delray-beach/mannarino-adrian-giron-marcos-6NlvCgZf/#ah;2;0.50;2","0.5","2.04","1.84","","","","","2.04","1.84","","","","","","",""
"SM","0000010","20240214|120945","20240212_1936305_007806_018736","R05_2_Delray Beach Open - Delray Beach (USA)","Mannarino","Giron","|K|0.33147|EK|G||OL1|3.31294|EOL1|OL2|1.65|EOL2|OH1|1|EOH1|OH2|2.025|EOH2|EG|NA||NAOL1|3.31294|ENAOL1|NAOL2|1.665|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|21.388|25.213|1.305|1.538|AH-5|21.388|25.213|1.392|1.641|AH-4|10.581|12.473|1.525|1.797|AH-3.5|6.366|7.505|1.525|1.797|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.941|2.802|2.236|3.229|AH4|1.941|2.802|2.884|4.163|AH4.5|1.624|2.345|2.884|4.163|AH5|1.624|2.345|4.193|6.053|AH5.5|1.381|1.994|4.193|6.053||EAH||AHS||K-1.5|5.63334|7|1.51|7|EK-1.5||K21|6.61573|1|4.65391|7|EK21||K1.5|1.82036|7|2.60262|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-delray-beach/mannarino-adrian-giron-marcos-6NlvCgZf/#ah;2;1.50;1","1.5","1.46","2.87","","","1.41","2.88","1.46","2.88","","","","","","",""
"SM","0000010","20240214|120943","20240212_1936305_007806_018736","R05_2_Delray Beach Open - Delray Beach (USA)","Mannarino","Giron","|K|0.33147|EK|G||OL1|3.31294|EOL1|OL2|1.65|EOL2|OH1|1|EOH1|OH2|2.025|EOH2|EG|NA||NAOL1|3.31294|ENAOL1|NAOL2|1.665|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|21.388|25.213|1.305|1.538|AH-5|21.388|25.213|1.392|1.641|AH-4|10.581|12.473|1.525|1.797|AH-3.5|6.366|7.505|1.525|1.797|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.941|2.802|2.236|3.229|AH4|1.941|2.802|2.884|4.163|AH4.5|1.624|2.345|2.884|4.163|AH5|1.624|2.345|4.193|6.053|AH5.5|1.381|1.994|4.193|6.053||EAH||AHS||K-1.5|5.63334|7|1.51|7|EK-1.5||K21|6.61573|1|4.65391|7|EK21||K1.5|1.82036|7|2.60262|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-delray-beach/mannarino-adrian-giron-marcos-6NlvCgZf/#ah;2;-1.50;1","-1.5","3.58","1.32","","","3.5","1.3","3.58","1.32","","","","","","",""
