"FDM","0000013","20240214|164732","20240212_1950109_108937_108938","R09_0_M15 Nakhon Si Thammarat (THA)","Ianin/Pokotilov","Leong M./Sinha","|K|0.484646|EK|G||OL1|2.1735|EOL1|OL2|2.0475|EOL2|OH1|3.0015|EOH1|OH2|2.8275|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/thailand/itf-m15-nakhon-si-thammarat-men-doubles/ianin-nikita-pokotilov-boris-leong-mitsuki-wei-kang-sinha-nitin-kumar-2cz48bln/","","","","","","","","1.85","1.85","","","","","","",""
"FDM","0000014","20240214|164736","20240212_1950109_094266_108939","R09_0_M15 Nakhon Si Thammarat (THA)","Kimhi/Shimanov","Decamps/Kriznik","|K|0.291345|EK|G||OL1|3.612|EOL1|OL2|1.4484|EOL2|OH1|1|EOH1|OH2|2.272|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/thailand/itf-m15-nakhon-si-thammarat-men-doubles/kimhi-orel-shimanov-ofek-decamps-gabriel-kriznik-matic-fBPX1EXT/","","","","","","","","2.23","1.58","","","","","","",""
"CSM","0000015","20240214|164747","20240212_1944405_047752_056641","R05_1_Bengaluru Challenger (IND)","Walton","Onclin","|K|0.608007|EK|G||OL1|1.7853|EOL1|OL2|2.76992|EOL2|OH1|2.97|EOH1|OH2|4.608|EOH2|EG|NA||NAOL1|1.7853|ENAOL1|NAOL2|2.76992|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|2.097|2.728|1.938|2.521|AH-3|2.097|2.728|2.146|2.792|AH-2.5|1.897|2.468|2.146|2.792|AH-2|1.897|2.468|2.344|3.05|AH-1.5|1.765|2.296|2.344|3.05||AH1.5|1.641|1.993|3.077|3.738|AH2|1.641|1.993|3.395|4.125|AH2.5|1.562|1.898|3.395|4.125|AH3|1.562|1.898|4.117|5.002|AH3.5|1.446|1.756|4.117|5.002|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.75551|7|1.74602|7|EK-1.5||K21|4.97829|7|7.61777|1|EK21||K1.5|1.51|7|4.45752|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/india/bengaluru-challenger-men/walton-adam-onclin-gauthier-WMRkA7we/#ah;2;-2.50;2","-2.5","1.74","2.11","","","","","1.74","2.11","","","","","","",""
"CSM","0000015","20240214|164749","20240212_1944405_047752_056641","R05_1_Bengaluru Challenger (IND)","Walton","Onclin","|K|0.608007|EK|G||OL1|1.7853|EOL1|OL2|2.76992|EOL2|OH1|2.97|EOH1|OH2|4.608|EOH2|EG|NA||NAOL1|1.7853|ENAOL1|NAOL2|2.76992|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|2.097|2.728|1.938|2.521|AH-3|2.097|2.728|2.146|2.792|AH-2.5|1.897|2.468|2.146|2.792|AH-2|1.897|2.468|2.344|3.05|AH-1.5|1.765|2.296|2.344|3.05||AH1.5|1.641|1.993|3.077|3.738|AH2|1.641|1.993|3.395|4.125|AH2.5|1.562|1.898|3.395|4.125|AH3|1.562|1.898|4.117|5.002|AH3.5|1.446|1.756|4.117|5.002|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.75551|7|1.74602|7|EK-1.5||K21|4.97829|7|7.61777|1|EK21||K1.5|1.51|7|4.45752|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/india/bengaluru-challenger-men/walton-adam-onclin-gauthier-WMRkA7we/#ah;2;-3.50;2","-3.5","1.97","1.85","","","","","1.97","1.85","","","","","","",""
"CSM","0000015","20240214|164752","20240212_1944405_047752_056641","R05_1_Bengaluru Challenger (IND)","Walton","Onclin","|K|0.608007|EK|G||OL1|1.7853|EOL1|OL2|2.76992|EOL2|OH1|2.97|EOH1|OH2|4.608|EOH2|EG|NA||NAOL1|1.7853|ENAOL1|NAOL2|2.76992|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|2.097|2.728|1.938|2.521|AH-3|2.097|2.728|2.146|2.792|AH-2.5|1.897|2.468|2.146|2.792|AH-2|1.897|2.468|2.344|3.05|AH-1.5|1.765|2.296|2.344|3.05||AH1.5|1.641|1.993|3.077|3.738|AH2|1.641|1.993|3.395|4.125|AH2.5|1.562|1.898|3.395|4.125|AH3|1.562|1.898|4.117|5.002|AH3.5|1.446|1.756|4.117|5.002|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.75551|7|1.74602|7|EK-1.5||K21|4.97829|7|7.61777|1|EK21||K1.5|1.51|7|4.45752|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/india/bengaluru-challenger-men/walton-adam-onclin-gauthier-WMRkA7we/#ah;2;1.50;1","1.5","1.23","4.29","","","","","1.23","4.29","","","","","","",""
"CSM","0000015","20240214|164750","20240212_1944405_047752_056641","R05_1_Bengaluru Challenger (IND)","Walton","Onclin","|K|0.608007|EK|G||OL1|1.7853|EOL1|OL2|2.76992|EOL2|OH1|2.97|EOH1|OH2|4.608|EOH2|EG|NA||NAOL1|1.7853|ENAOL1|NAOL2|2.76992|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|2.097|2.728|1.938|2.521|AH-3|2.097|2.728|2.146|2.792|AH-2.5|1.897|2.468|2.146|2.792|AH-2|1.897|2.468|2.344|3.05|AH-1.5|1.765|2.296|2.344|3.05||AH1.5|1.641|1.993|3.077|3.738|AH2|1.641|1.993|3.395|4.125|AH2.5|1.562|1.898|3.395|4.125|AH3|1.562|1.898|4.117|5.002|AH3.5|1.446|1.756|4.117|5.002|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.75551|7|1.74602|7|EK-1.5||K21|4.97829|7|7.61777|1|EK21||K1.5|1.51|7|4.45752|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/india/bengaluru-challenger-men/walton-adam-onclin-gauthier-WMRkA7we/#ah;2;-1.50;1","-1.5","2.24","1.67","","","","","2.24","1.67","","","","","","",""
"CSM","0000015","20240214|164739","20240212_1944405_047752_056641","R05_1_Bengaluru Challenger (IND)","Walton","Onclin","|K|0.608007|EK|G||OL1|1.7853|EOL1|OL2|2.76992|EOL2|OH1|2.97|EOH1|OH2|4.608|EOH2|EG|NA||NAOL1|1.7853|ENAOL1|NAOL2|2.76992|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|2.097|2.728|1.938|2.521|AH-3|2.097|2.728|2.146|2.792|AH-2.5|1.897|2.468|2.146|2.792|AH-2|1.897|2.468|2.344|3.05|AH-1.5|1.765|2.296|2.344|3.05||AH1.5|1.641|1.993|3.077|3.738|AH2|1.641|1.993|3.395|4.125|AH2.5|1.562|1.898|3.395|4.125|AH3|1.562|1.898|4.117|5.002|AH3.5|1.446|1.756|4.117|5.002|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.75551|7|1.74602|7|EK-1.5||K21|4.97829|7|7.61777|1|EK21||K1.5|1.51|7|4.45752|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/india/bengaluru-challenger-men/walton-adam-onclin-gauthier-WMRkA7we/","","1.51","2.6","","","1.46","2.64","1.51","2.64","","","","","","",""
"CSM","0000016","20240214|164752","20240212_1944409_084060_018771","R09_1_Bengaluru Challenger (IND)","Kasnikowski","Roca Batalla","|K|0.670641|EK|G||OL1|1.584|EOL1|OL2|3.28928|EOL2|OH1|2.1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.665|ENAOL1|NAOL2|3.28928|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1.885|2.452|AH-3|1000|1000|2.259|2.938|AH-2.5|1000|1000|2.259|2.938|AH-2|1000|1000|2.588|3.366|AH-1.5|1000|1000|2.588|3.366||AH1.5|1000|1000|3.575|4.344|AH2|1000|1000|4.208|5.113|AH2.5|1000|1000|4.208|5.113|AH3|1000|1000|5.302|6.442|AH3.5|1000|1000|5.302|6.442|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.40537|7|1.9426|7|EK-1.5||K21|4.46881|7|7.44863|1|EK21||K1.5|1.51|7|6.94004|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","",""
"CSM","0000017","20240214|164804","20240212_1944309_012653_086691","R09_1_Manama Challenger (BRN)","Trungelliti","Mensik","|K|0.173222|EK|G||OL1|6.25396|EOL1|OL2|1.27776|EOL2|OH1|1|EOH1|OH2|1.694|EOH2|EG|NA||NAOL1|6.25396|ENAOL1|NAOL2|1.3431|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|10070|13100|1000|1000|AH-3|10070|13100|1000|1000|AH-2.5|321.555|418.309|1000|1000|AH-2|321.555|418.309|1000|1000|AH-1.5|49.652|64.592|1000|1000||AH1.5|10.186|12.376|1000|1000|AH2|10.186|12.376|1000|1000|AH2.5|6.154|7.476|1000|1000|AH3|6.154|7.476|1000|1000|AH3.5|3.922|4.765|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|37.7529|1|1.51|7|EK-1.5||K21|11.3982|1|3.76093|7|EK21||K1.5|2.66842|7|1.84038|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/bahrain/manama-challenger-men/trungelliti-marco-mensik-jakub-ELgL2Kbs/#ah;2;4.50;2","4.5","1.9","1.95","","","1.8","1.96","1.9","1.96","","","","","","",""
"CSM","0000017","20240214|164806","20240212_1944309_012653_086691","R09_1_Manama Challenger (BRN)","Trungelliti","Mensik","|K|0.173222|EK|G||OL1|6.25396|EOL1|OL2|1.27776|EOL2|OH1|1|EOH1|OH2|1.694|EOH2|EG|NA||NAOL1|6.25396|ENAOL1|NAOL2|1.3431|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|10070|13100|1000|1000|AH-3|10070|13100|1000|1000|AH-2.5|321.555|418.309|1000|1000|AH-2|321.555|418.309|1000|1000|AH-1.5|49.652|64.592|1000|1000||AH1.5|10.186|12.376|1000|1000|AH2|10.186|12.376|1000|1000|AH2.5|6.154|7.476|1000|1000|AH3|6.154|7.476|1000|1000|AH3.5|3.922|4.765|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|37.7529|1|1.51|7|EK-1.5||K21|11.3982|1|3.76093|7|EK21||K1.5|2.66842|7|1.84038|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/bahrain/manama-challenger-men/trungelliti-marco-mensik-jakub-ELgL2Kbs/#ah;2;3.50;2","3.5","2.35","1.63","","","","","2.35","1.63","","","","","","",""
"CSM","0000017","20240214|164810","20240212_1944309_012653_086691","R09_1_Manama Challenger (BRN)","Trungelliti","Mensik","|K|0.173222|EK|G||OL1|6.25396|EOL1|OL2|1.27776|EOL2|OH1|1|EOH1|OH2|1.694|EOH2|EG|NA||NAOL1|6.25396|ENAOL1|NAOL2|1.3431|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|10070|13100|1000|1000|AH-3|10070|13100|1000|1000|AH-2.5|321.555|418.309|1000|1000|AH-2|321.555|418.309|1000|1000|AH-1.5|49.652|64.592|1000|1000||AH1.5|10.186|12.376|1000|1000|AH2|10.186|12.376|1000|1000|AH2.5|6.154|7.476|1000|1000|AH3|6.154|7.476|1000|1000|AH3.5|3.922|4.765|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|37.7529|1|1.51|7|EK-1.5||K21|11.3982|1|3.76093|7|EK21||K1.5|2.66842|7|1.84038|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/bahrain/manama-challenger-men/trungelliti-marco-mensik-jakub-ELgL2Kbs/#ah;2;1.50;1","1.5","2.11","1.77","","","1.95","1.82","2.11","1.82","","","","","","",""
