"FDM","0000013","20240221|124134","20240219_1950609_109059_109133","R09_0_M25 Traralgon (AUS)","Hulme/Watt","Kikuchi/Ogura","|K|0.50925|EK|G||OL1|2.0685|EOL1|OL2|2.142|EOL2|OH1|2.8565|EOH1|OH2|2.958|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/australia/itf-m25-traralgon-men-doubles/hulme-matthew-watt-james-kikuchi-yuta-ogura-kousuke-6kgqoEsh/","","","","","","","","2.1","1.65","","","","","","",""
"DV","0000014","20240221|124138","20240219_1521309_066041_078378","R09_3_Dubai Duty Free Championships - Dubai (UAE)","Aoyama/Krunic","Hunter/Siniakova","|K|0.0821531|EK|G||OL1|12.7768|EOL1|OL2|1.11071|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|13.7634|ENAOL1|NAOL2|1.09981|ENAOL2|NAVE1|-8.5|ENAVE1|NAVE2|-3.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-arab-emirates/wta-dubai-doubles/aoyama-shuko-krunic-aleksandra-sanders-storm-siniakova-katerina-lpi0Rjg3/","","4.16","1.23","","","4.5","1.18","4.5","1.23","","","","","","",""
"DV","0000015","20240221|124141","20240219_1521309_078908_024772","R09_3_Dubai Duty Free Championships - Dubai (UAE)","Melichar-Martinez/Perez","Garcia/Mladenovic","|K|0.351177|EK|G||OL1|2.98965|EOL1|OL2|1.57945|EOL2|OH1|1|EOH1|OH2|155|EOH2|EG|NA||NAOL1|3.2205|ENAOL1|NAOL2|1.56395|ENAOL2|NAVE1|-8.5|ENAVE1|NAVE2|-3.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-arab-emirates/wta-dubai-doubles/melichar-nicole-perez-ellen-garcia-caroline-mladenovic-kristina-8zi6qGe5/","","2.03","1.79","","","2.0","1.75","2.03","1.79","","","","","","",""
"SM","0000016","20240221|124153","20240219_1936605_056197_022433","R05_2_Mifel Tennis Open - Los Cabos (MEX)","Nava","Thompson","|K|0.276741|EK|G||OL1|3.97114|EOL1|OL2|1.529|EOL2|OH1|1|EOH1|OH2|1.8765|EOH2|EG|NA||NAOL1|3.97114|ENAOL1|NAOL2|1.5429|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|1000|1000|1.297|1.53|AH-5|1000|1000|1.342|1.582|AH-4|1000|1000|1.419|1.673|AH-3.5|1000|1000|1.419|1.673|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1.929|2.785|AH4|1000|1000|2.564|3.702|AH4.5|1000|1000|2.564|3.702|AH5|1000|1000|3.642|5.258|AH5.5|1000|1000|3.642|5.258||EAH||AHS||K-1.5|8.60373|1|1.51|7|EK-1.5||K21|7.99142|1|4.41662|7|EK21||K1.5|2.11553|7|2.20219|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/atp-los-cabos/nava-emilio-thompson-jordan-d8mWW84i/#ah;2;3.50;2","3.5","1.95","1.92","","","1.9","1.88","1.95","1.92","","","","","","",""
"SM","0000016","20240221|124155","20240219_1936605_056197_022433","R05_2_Mifel Tennis Open - Los Cabos (MEX)","Nava","Thompson","|K|0.276741|EK|G||OL1|3.97114|EOL1|OL2|1.529|EOL2|OH1|1|EOH1|OH2|1.8765|EOH2|EG|NA||NAOL1|3.97114|ENAOL1|NAOL2|1.5429|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|1000|1000|1.297|1.53|AH-5|1000|1000|1.342|1.582|AH-4|1000|1000|1.419|1.673|AH-3.5|1000|1000|1.419|1.673|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1.929|2.785|AH4|1000|1000|2.564|3.702|AH4.5|1000|1000|2.564|3.702|AH5|1000|1000|3.642|5.258|AH5.5|1000|1000|3.642|5.258||EAH||AHS||K-1.5|8.60373|1|1.51|7|EK-1.5||K21|7.99142|1|4.41662|7|EK21||K1.5|2.11553|7|2.20219|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/atp-los-cabos/nava-emilio-thompson-jordan-d8mWW84i/#ah;2;2.50;2","2.5","2.35","1.65","","","","","2.35","1.65","","","","","","",""
"SM","0000016","20240221|124158","20240219_1936605_056197_022433","R05_2_Mifel Tennis Open - Los Cabos (MEX)","Nava","Thompson","|K|0.276741|EK|G||OL1|3.97114|EOL1|OL2|1.529|EOL2|OH1|1|EOH1|OH2|1.8765|EOH2|EG|NA||NAOL1|3.97114|ENAOL1|NAOL2|1.5429|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|1000|1000|1.297|1.53|AH-5|1000|1000|1.342|1.582|AH-4|1000|1000|1.419|1.673|AH-3.5|1000|1000|1.419|1.673|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1.929|2.785|AH4|1000|1000|2.564|3.702|AH4.5|1000|1000|2.564|3.702|AH5|1000|1000|3.642|5.258|AH5.5|1000|1000|3.642|5.258||EAH||AHS||K-1.5|8.60373|1|1.51|7|EK-1.5||K21|7.99142|1|4.41662|7|EK21||K1.5|2.11553|7|2.20219|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/atp-los-cabos/nava-emilio-thompson-jordan-d8mWW84i/#ah;2;1.50;1","1.5","1.82","2.07","","","1.74","2.08","1.82","2.08","","","","","","",""
"SM","0000016","20240221|124156","20240219_1936605_056197_022433","R05_2_Mifel Tennis Open - Los Cabos (MEX)","Nava","Thompson","|K|0.276741|EK|G||OL1|3.97114|EOL1|OL2|1.529|EOL2|OH1|1|EOH1|OH2|1.8765|EOH2|EG|NA||NAOL1|3.97114|ENAOL1|NAOL2|1.5429|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|1000|1000|1.297|1.53|AH-5|1000|1000|1.342|1.582|AH-4|1000|1000|1.419|1.673|AH-3.5|1000|1000|1.419|1.673|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1.929|2.785|AH4|1000|1000|2.564|3.702|AH4.5|1000|1000|2.564|3.702|AH5|1000|1000|3.642|5.258|AH5.5|1000|1000|3.642|5.258||EAH||AHS||K-1.5|8.60373|1|1.51|7|EK-1.5||K21|7.99142|1|4.41662|7|EK21||K1.5|2.11553|7|2.20219|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/atp-los-cabos/nava-emilio-thompson-jordan-d8mWW84i/#ah;2;-1.50;1","-1.5","5.48","1.18","","","5.5","1.16","5.5","1.18","","","","","","",""
"SM","0000016","20240221|124144","20240219_1936605_056197_022433","R05_2_Mifel Tennis Open - Los Cabos (MEX)","Nava","Thompson","|K|0.276741|EK|G||OL1|3.97114|EOL1|OL2|1.529|EOL2|OH1|1|EOH1|OH2|1.8765|EOH2|EG|NA||NAOL1|3.97114|ENAOL1|NAOL2|1.5429|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|1000|1000|1.297|1.53|AH-5|1000|1000|1.342|1.582|AH-4|1000|1000|1.419|1.673|AH-3.5|1000|1000|1.419|1.673|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1.929|2.785|AH4|1000|1000|2.564|3.702|AH4.5|1000|1000|2.564|3.702|AH5|1000|1000|3.642|5.258|AH5.5|1000|1000|3.642|5.258||EAH||AHS||K-1.5|8.60373|1|1.51|7|EK-1.5||K21|7.99142|1|4.41662|7|EK21||K1.5|2.11553|7|2.20219|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/atp-los-cabos/nava-emilio-thompson-jordan-d8mWW84i/","","3.11","1.41","","","3.0","1.4","3.11","1.42","","","","","","",""
"SM","0000017","20240221|124210","20240219_1936605_024008_024225","R05_2_Mifel Tennis Open - Los Cabos (MEX)","Zverev","Nishioka","|K|0.807666|EK|G||OL1|1.364|EOL1|OL2|5.7044|EOL2|OH1|1.674|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3764|ENAOL1|NAOL2|5.7044|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|1000|1000|1.854|2.185|AH-5|1000|1000|2.491|2.936|AH-4|1000|1000|3.507|4.135|AH-3.5|1000|1000|3.507|4.135|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|34.406|49.672|AH4|1000|1000|412.533|595.573|AH4.5|1000|1000|412.533|595.573|AH5|1000|1000|286.52|413.647|AH5.5|1000|1000|286.52|413.647||EAH||AHS||K-1.5|1.91813|7|2.50678|7|EK-1.5||K21|4.61277|7|8.15234|1|EK21||K1.5|1.51|7|16.34|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/atp-los-cabos/zverev-alexander-nishioka-yoshihito-rqnM5W5h/#ah;2;-3.50;2","-3.5","1.47","2.84","","","","","1.47","2.84","","","","","","",""
"SM","0000017","20240221|124208","20240219_1936605_024008_024225","R05_2_Mifel Tennis Open - Los Cabos (MEX)","Zverev","Nishioka","|K|0.807666|EK|G||OL1|1.364|EOL1|OL2|5.7044|EOL2|OH1|1.674|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3764|ENAOL1|NAOL2|5.7044|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|1000|1000|1.854|2.185|AH-5|1000|1000|2.491|2.936|AH-4|1000|1000|3.507|4.135|AH-3.5|1000|1000|3.507|4.135|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|34.406|49.672|AH4|1000|1000|412.533|595.573|AH4.5|1000|1000|412.533|595.573|AH5|1000|1000|286.52|413.647|AH5.5|1000|1000|286.52|413.647||EAH||AHS||K-1.5|1.91813|7|2.50678|7|EK-1.5||K21|4.61277|7|8.15234|1|EK21||K1.5|1.51|7|16.34|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/atp-los-cabos/zverev-alexander-nishioka-yoshihito-rqnM5W5h/#ah;2;-4.50;2","-4.5","1.81","2.07","","","1.76","2.04","1.81","2.07","","","","","","",""
"SM","0000017","20240221|124213","20240219_1936605_024008_024225","R05_2_Mifel Tennis Open - Los Cabos (MEX)","Zverev","Nishioka","|K|0.807666|EK|G||OL1|1.364|EOL1|OL2|5.7044|EOL2|OH1|1.674|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3764|ENAOL1|NAOL2|5.7044|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|1000|1000|1.854|2.185|AH-5|1000|1000|2.491|2.936|AH-4|1000|1000|3.507|4.135|AH-3.5|1000|1000|3.507|4.135|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|34.406|49.672|AH4|1000|1000|412.533|595.573|AH4.5|1000|1000|412.533|595.573|AH5|1000|1000|286.52|413.647|AH5.5|1000|1000|286.52|413.647||EAH||AHS||K-1.5|1.91813|7|2.50678|7|EK-1.5||K21|4.61277|7|8.15234|1|EK21||K1.5|1.51|7|16.34|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/atp-los-cabos/zverev-alexander-nishioka-yoshihito-rqnM5W5h/#ah;2;1.50;1","1.5","1.08","9.76","","","1.05","11.0","1.08","11.0","","","","","","",""
