"FSM","0000001","20240303|132849","20240226_1951612_018348_023142","R12_0_M25 Tucuman (ARG)","Sakamoto","Popko","|K|0.330351|EK|G||OL1|3.08757|EOL1|OL2|1.6425|EOL2|OH1|4.545|EOH1|OH2|150|EOH2|EG|NA|NOT|ENA||AH-5.5|6.229|7.343|1000|1000|AH-5|6.229|7.343|1000|1000|AH-4|4.993|5.885|1000|1000|AH-3.5|4.212|4.965|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|2.05|2.959|1000|1000|AH4|2.05|2.959|1000|1000|AH4.5|1.772|2.558|1000|1000|AH5|1.772|2.558|1000|1000|AH5.5|1.502|2.168|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","",""
"DV","0000002","20240303|132922","20240226_1521412_065779_078908","R12_2_San Diego Open - San Diego (USA)","Krawczyk/Pegula","Melichar-Martinez/Perez","|K|0.593837|EK|G||OL1|1.72211|EOL1|OL2|2.59103|EOL2|OH1|169|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.70521|ENAOL1|NAOL2|2.7911|ENAOL2|NAVE1|-3.3|ENAVE1|NAVE2|-8.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/wta-san-diego-doubles/krawczyk-desirae-pegula-jessica-melichar-nicole-perez-ellen-r3WOVMkI/","","1.83","1.97","","","1.86","1.86","1.86","1.97","","","","","","",""
"SV","0000003","20240303|132935","20240304_1521601_025062_006159","R01_3_BNP Paribas Open - Indian Wells (USA)","Galfi","Rodionova","|K|0.605025|EK|G||OL1|1.78616|EOL1|OL2|2.65684|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8592|ENAOL1|NAOL2|2.77114|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.27|4.049|1.547|1.915|AH-5|3.27|4.049|1.788|2.213|AH-4|2.544|3.15|2.134|2.642|AH-3.5|2.067|2.56|2.134|2.642|AH-3|2.067|2.56|2.382|2.949|AH-2.5|1.878|2.325|2.382|2.949|AH-2|1.878|2.325|2.654|3.286|AH-1.5|1.737|2.151|2.654|3.286||AH1.5|1.665|151.321|3.243|294.853|AH2|1.665|151.321|3.719|338.079|AH2.5|1.562|142.003|3.719|338.079|AH3|1.562|142.003|4.473|406.675|AH3.5|1.459|132.608|4.473|406.675|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.03751|10|2.1|1|EK-1.5||K21|5.97304|10|6.47004|10|EK21||K1.5|2.1|1|4.16457|10|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/wta-indian-wells/galfi-dalma-rodionova-arina-8hCS5ZVe/#ah;2;-1.50;2","-1.5","1.83","2.0","","","","","1.83","2.0","","","","","","",""
"SV","0000003","20240303|132932","20240304_1521601_025062_006159","R01_3_BNP Paribas Open - Indian Wells (USA)","Galfi","Rodionova","|K|0.605025|EK|G||OL1|1.78616|EOL1|OL2|2.65684|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8592|ENAOL1|NAOL2|2.77114|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.27|4.049|1.547|1.915|AH-5|3.27|4.049|1.788|2.213|AH-4|2.544|3.15|2.134|2.642|AH-3.5|2.067|2.56|2.134|2.642|AH-3|2.067|2.56|2.382|2.949|AH-2.5|1.878|2.325|2.382|2.949|AH-2|1.878|2.325|2.654|3.286|AH-1.5|1.737|2.151|2.654|3.286||AH1.5|1.665|151.321|3.243|294.853|AH2|1.665|151.321|3.719|338.079|AH2.5|1.562|142.003|3.719|338.079|AH3|1.562|142.003|4.473|406.675|AH3.5|1.459|132.608|4.473|406.675|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.03751|10|2.1|1|EK-1.5||K21|5.97304|10|6.47004|10|EK21||K1.5|2.1|1|4.16457|10|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/wta-indian-wells/galfi-dalma-rodionova-arina-8hCS5ZVe/#ah;2;-2.50;2","-2.5","1.98","1.84","","","","","1.98","1.86","","","","","","",""
"SV","0000003","20240303|132938","20240304_1521601_025062_006159","R01_3_BNP Paribas Open - Indian Wells (USA)","Galfi","Rodionova","|K|0.605025|EK|G||OL1|1.78616|EOL1|OL2|2.65684|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8592|ENAOL1|NAOL2|2.77114|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.27|4.049|1.547|1.915|AH-5|3.27|4.049|1.788|2.213|AH-4|2.544|3.15|2.134|2.642|AH-3.5|2.067|2.56|2.134|2.642|AH-3|2.067|2.56|2.382|2.949|AH-2.5|1.878|2.325|2.382|2.949|AH-2|1.878|2.325|2.654|3.286|AH-1.5|1.737|2.151|2.654|3.286||AH1.5|1.665|151.321|3.243|294.853|AH2|1.665|151.321|3.719|338.079|AH2.5|1.562|142.003|3.719|338.079|AH3|1.562|142.003|4.473|406.675|AH3.5|1.459|132.608|4.473|406.675|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.03751|10|2.1|1|EK-1.5||K21|5.97304|10|6.47004|10|EK21||K1.5|2.1|1|4.16457|10|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/wta-indian-wells/galfi-dalma-rodionova-arina-8hCS5ZVe/#ah;2;1.50;1","1.5","1.28","3.72","","","","","1.28","3.72","","","","","","",""
"SV","0000003","20240303|132936","20240304_1521601_025062_006159","R01_3_BNP Paribas Open - Indian Wells (USA)","Galfi","Rodionova","|K|0.605025|EK|G||OL1|1.78616|EOL1|OL2|2.65684|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8592|ENAOL1|NAOL2|2.77114|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.27|4.049|1.547|1.915|AH-5|3.27|4.049|1.788|2.213|AH-4|2.544|3.15|2.134|2.642|AH-3.5|2.067|2.56|2.134|2.642|AH-3|2.067|2.56|2.382|2.949|AH-2.5|1.878|2.325|2.382|2.949|AH-2|1.878|2.325|2.654|3.286|AH-1.5|1.737|2.151|2.654|3.286||AH1.5|1.665|151.321|3.243|294.853|AH2|1.665|151.321|3.719|338.079|AH2.5|1.562|142.003|3.719|338.079|AH3|1.562|142.003|4.473|406.675|AH3.5|1.459|132.608|4.473|406.675|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.03751|10|2.1|1|EK-1.5||K21|5.97304|10|6.47004|10|EK21||K1.5|2.1|1|4.16457|10|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/wta-indian-wells/galfi-dalma-rodionova-arina-8hCS5ZVe/#ah;2;-1.50;1","-1.5","2.63","1.5","","","","","2.63","1.5","","","","","","",""
"SV","0000003","20240303|132926","20240304_1521601_025062_006159","R01_3_BNP Paribas Open - Indian Wells (USA)","Galfi","Rodionova","|K|0.605025|EK|G||OL1|1.78616|EOL1|OL2|2.65684|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8592|ENAOL1|NAOL2|2.77114|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.27|4.049|1.547|1.915|AH-5|3.27|4.049|1.788|2.213|AH-4|2.544|3.15|2.134|2.642|AH-3.5|2.067|2.56|2.134|2.642|AH-3|2.067|2.56|2.382|2.949|AH-2.5|1.878|2.325|2.382|2.949|AH-2|1.878|2.325|2.654|3.286|AH-1.5|1.737|2.151|2.654|3.286||AH1.5|1.665|151.321|3.243|294.853|AH2|1.665|151.321|3.719|338.079|AH2.5|1.562|142.003|3.719|338.079|AH3|1.562|142.003|4.473|406.675|AH3.5|1.459|132.608|4.473|406.675|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.03751|10|2.1|1|EK-1.5||K21|5.97304|10|6.47004|10|EK21||K1.5|2.1|1|4.16457|10|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/wta-indian-wells/galfi-dalma-rodionova-arina-8hCS5ZVe/","","1.67","2.23","","","","","1.73","2.24","","","","","","",""
"SV","0000004","20240303|132950","20240304_1521601_013937_052500","R01_3_BNP Paribas Open - Indian Wells (USA)","Hibino","Riera","|K|0.628568|EK|G||OL1|1.7216|EOL1|OL2|2.8242|EOL2|OH1|160|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.792|ENAOL1|NAOL2|2.9457|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.877|4.8|1.44|1.783|AH-5|3.877|4.8|1.662|2.058|AH-4|2.85|3.529|1.926|2.384|AH-3.5|2.309|2.859|1.926|2.384|AH-3|2.309|2.859|2.079|2.574|AH-2.5|2.121|2.626|2.079|2.574|AH-2|2.121|2.626|2.211|2.737|AH-1.5|2|2.476|2.211|2.737||AH1.5|1.796|163.257|2.839|258.086|AH2|1.796|163.257|3.257|296.136|AH2.5|1.661|150.985|3.257|296.136|AH3|1.661|150.985|3.884|353.09|AH3.5|1.535|139.512|3.884|353.09|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.70201|10|2.1|1|EK-1.5||K21|5.72367|10|7.42605|10|EK21||K1.5|2.1|1|4.73276|10|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/wta-indian-wells/hibino-nao-riera-julia-ncj5Jh0e/#ah;2;-1.50;2","-1.5","1.85","1.97","","","","","1.85","1.97","","","","","","",""
"SV","0000004","20240303|132948","20240304_1521601_013937_052500","R01_3_BNP Paribas Open - Indian Wells (USA)","Hibino","Riera","|K|0.628568|EK|G||OL1|1.7216|EOL1|OL2|2.8242|EOL2|OH1|160|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.792|ENAOL1|NAOL2|2.9457|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.877|4.8|1.44|1.783|AH-5|3.877|4.8|1.662|2.058|AH-4|2.85|3.529|1.926|2.384|AH-3.5|2.309|2.859|1.926|2.384|AH-3|2.309|2.859|2.079|2.574|AH-2.5|2.121|2.626|2.079|2.574|AH-2|2.121|2.626|2.211|2.737|AH-1.5|2|2.476|2.211|2.737||AH1.5|1.796|163.257|2.839|258.086|AH2|1.796|163.257|3.257|296.136|AH2.5|1.661|150.985|3.257|296.136|AH3|1.661|150.985|3.884|353.09|AH3.5|1.535|139.512|3.884|353.09|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.70201|10|2.1|1|EK-1.5||K21|5.72367|10|7.42605|10|EK21||K1.5|2.1|1|4.73276|10|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/wta-indian-wells/hibino-nao-riera-julia-ncj5Jh0e/#ah;2;-2.50;2","-2.5","1.99","1.83","","","","","1.99","1.83","","","","","","",""
"SV","0000004","20240303|132953","20240304_1521601_013937_052500","R01_3_BNP Paribas Open - Indian Wells (USA)","Hibino","Riera","|K|0.628568|EK|G||OL1|1.7216|EOL1|OL2|2.8242|EOL2|OH1|160|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.792|ENAOL1|NAOL2|2.9457|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.877|4.8|1.44|1.783|AH-5|3.877|4.8|1.662|2.058|AH-4|2.85|3.529|1.926|2.384|AH-3.5|2.309|2.859|1.926|2.384|AH-3|2.309|2.859|2.079|2.574|AH-2.5|2.121|2.626|2.079|2.574|AH-2|2.121|2.626|2.211|2.737|AH-1.5|2|2.476|2.211|2.737||AH1.5|1.796|163.257|2.839|258.086|AH2|1.796|163.257|3.257|296.136|AH2.5|1.661|150.985|3.257|296.136|AH3|1.661|150.985|3.884|353.09|AH3.5|1.535|139.512|3.884|353.09|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.70201|10|2.1|1|EK-1.5||K21|5.72367|10|7.42605|10|EK21||K1.5|2.1|1|4.73276|10|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/wta-indian-wells/hibino-nao-riera-julia-ncj5Jh0e/#ah;2;1.50;1","1.5","1.33","3.36","","","","","1.33","3.36","","","","","","",""
"SV","0000004","20240303|132951","20240304_1521601_013937_052500","R01_3_BNP Paribas Open - Indian Wells (USA)","Hibino","Riera","|K|0.628568|EK|G||OL1|1.7216|EOL1|OL2|2.8242|EOL2|OH1|160|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.792|ENAOL1|NAOL2|2.9457|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.877|4.8|1.44|1.783|AH-5|3.877|4.8|1.662|2.058|AH-4|2.85|3.529|1.926|2.384|AH-3.5|2.309|2.859|1.926|2.384|AH-3|2.309|2.859|2.079|2.574|AH-2.5|2.121|2.626|2.079|2.574|AH-2|2.121|2.626|2.211|2.737|AH-1.5|2|2.476|2.211|2.737||AH1.5|1.796|163.257|2.839|258.086|AH2|1.796|163.257|3.257|296.136|AH2.5|1.661|150.985|3.257|296.136|AH3|1.661|150.985|3.884|353.09|AH3.5|1.535|139.512|3.884|353.09|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.70201|10|2.1|1|EK-1.5||K21|5.72367|10|7.42605|10|EK21||K1.5|2.1|1|4.73276|10|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/wta-indian-wells/hibino-nao-riera-julia-ncj5Jh0e/#ah;2;-1.50;1","-1.5","2.58","1.52","","","","","2.58","1.52","","","","","","",""
