"FDM","0000007","20240308|132551","20240304_1956810_109444_100927","R10_0_M25 Recife (BRA)","Barreiros Reyes/Wessels","Britto/Saraiva Dos Santos","|K|0.379749|EK|G||OL1|2.772|EOL1|OL2|1.6524|EOL2|OH1|3.828|EOH1|OH2|2.592|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/brazil/itf-m25-recife-men-doubles/barreiros-reyes-mateo-wessels-louis-britto-luis-saraiva-dos-santos-paulo-andre-YmaZXQga/","","","","","","","","2.0","1.73","","","","","","",""
"FDM","0000008","20240308|132555","20240304_1956910_106955_109449","R10_0_M25 Santo Domingo (DOM)","Broom/Stevenson","Andrade/Pokorny","|K|0.53498|EK|G||OL1|1.9074|EOL1|OL2|2.268|EOL2|OH1|2.992|EOH1|OH2|3.132|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/dominican-republic/itf-m25-santo-domingo-men-doubles/broom-charles-stevenson-david-andrade-andres-pokorny-lukas-fau41gJK/","","","","","","","","1.6","2.2","","","","","","",""
"FDV","0000009","20240308|132558","20240304_1534310_092405_092409","R10_0_W15 Brossard (CAN)","Aney/Robbe","Bowers/Pawlikowska","","GEW","https://www.oddsportal.com/tennis/canada/itf-w15-brossard-women-doubles/aney-jessie-robbe-alice-bowers-ashton-pawlikowska-zuzanna-Wt4zcYSR/","","","","","","","","1.25","3.65","","","","","","",""
"FDV","0000010","20240308|132601","20240304_1534310_092415_092418","R10_0_W15 Brossard (CAN)","Bernales/Yamakita","Allen/Campana","|K|0.659355|EK|G||OL1|1.52|EOL1|OL2|3.0282|EOL2|OH1|2.584|EOH1|OH2|4.263|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/canada/itf-w15-brossard-women-doubles/bernales-jessica-yamakita-mia-allen-kolie-campana-carolyn-lIEVcEDL/","","","","","","","","2.0","1.72","","","","","","",""
"SM","0000011","20240308|132615","20240304_1937005_024245_086082","R05_3_BNP Paribas Open - Indian Wells (USA)","Bublik","Shang","|K|0.47493|EK|G||OL1|2.31467|EOL1|OL2|2.101|EOL2|OH1|3.0595|EOH1|OH2|2.5785|EOH2|EG|NA||NAOL1|2.31467|ENAOL1|NAOL2|2.1201|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|8.442|9.952|1000|1000|AH-5|8.442|9.952|1000|1000|AH-4|6.158|7.26|1000|1000|AH-3.5|4.341|5.117|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.69|2.439|1000|1000|AH4|1.69|2.439|1000|1000|AH4.5|1.461|2.11|1000|1000|AH5|1.461|2.11|1000|1000|AH5.5|1.254|1.811|1000|1000||EAH||AHS||K-1.5|4.15574|7|1.51|7|EK-1.5||K21|6.1245|1|4.37712|7|EK21||K1.5|1.52699|7|3.47189|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/bublik-alexander-shang-juncheng-0dYzxXj2/#ah;2;-1.50;2","-1.5","1.84","2.02","","","","","1.84","2.02","","","","","","",""
"SM","0000011","20240308|132614","20240304_1937005_024245_086082","R05_3_BNP Paribas Open - Indian Wells (USA)","Bublik","Shang","|K|0.47493|EK|G||OL1|2.31467|EOL1|OL2|2.101|EOL2|OH1|3.0595|EOH1|OH2|2.5785|EOH2|EG|NA||NAOL1|2.31467|ENAOL1|NAOL2|2.1201|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|8.442|9.952|1000|1000|AH-5|8.442|9.952|1000|1000|AH-4|6.158|7.26|1000|1000|AH-3.5|4.341|5.117|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.69|2.439|1000|1000|AH4|1.69|2.439|1000|1000|AH4.5|1.461|2.11|1000|1000|AH5|1.461|2.11|1000|1000|AH5.5|1.254|1.811|1000|1000||EAH||AHS||K-1.5|4.15574|7|1.51|7|EK-1.5||K21|6.1245|1|4.37712|7|EK21||K1.5|1.52699|7|3.47189|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/bublik-alexander-shang-juncheng-0dYzxXj2/#ah;2;-2.50;2","-2.5","2.03","1.83","","","1.91","1.87","2.03","1.87","","","","","","",""
"SM","0000011","20240308|132619","20240304_1937005_024245_086082","R05_3_BNP Paribas Open - Indian Wells (USA)","Bublik","Shang","|K|0.47493|EK|G||OL1|2.31467|EOL1|OL2|2.101|EOL2|OH1|3.0595|EOH1|OH2|2.5785|EOH2|EG|NA||NAOL1|2.31467|ENAOL1|NAOL2|2.1201|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|8.442|9.952|1000|1000|AH-5|8.442|9.952|1000|1000|AH-4|6.158|7.26|1000|1000|AH-3.5|4.341|5.117|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.69|2.439|1000|1000|AH4|1.69|2.439|1000|1000|AH4.5|1.461|2.11|1000|1000|AH5|1.461|2.11|1000|1000|AH5.5|1.254|1.811|1000|1000||EAH||AHS||K-1.5|4.15574|7|1.51|7|EK-1.5||K21|6.1245|1|4.37712|7|EK21||K1.5|1.52699|7|3.47189|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/bublik-alexander-shang-juncheng-0dYzxXj2/#ah;2;1.50;1","1.5","1.27","3.93","","","1.22","4.3","1.27","4.3","","","","","","",""
"SM","0000011","20240308|132617","20240304_1937005_024245_086082","R05_3_BNP Paribas Open - Indian Wells (USA)","Bublik","Shang","|K|0.47493|EK|G||OL1|2.31467|EOL1|OL2|2.101|EOL2|OH1|3.0595|EOH1|OH2|2.5785|EOH2|EG|NA||NAOL1|2.31467|ENAOL1|NAOL2|2.1201|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|8.442|9.952|1000|1000|AH-5|8.442|9.952|1000|1000|AH-4|6.158|7.26|1000|1000|AH-3.5|4.341|5.117|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.69|2.439|1000|1000|AH4|1.69|2.439|1000|1000|AH4.5|1.461|2.11|1000|1000|AH5|1.461|2.11|1000|1000|AH5.5|1.254|1.811|1000|1000||EAH||AHS||K-1.5|4.15574|7|1.51|7|EK-1.5||K21|6.1245|1|4.37712|7|EK21||K1.5|1.52699|7|3.47189|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/bublik-alexander-shang-juncheng-0dYzxXj2/#ah;2;-1.50;1","-1.5","2.7","1.5","","","2.48","1.53","2.7","1.53","","","","","","",""
"SM","0000011","20240308|132605","20240304_1937005_024245_086082","R05_3_BNP Paribas Open - Indian Wells (USA)","Bublik","Shang","|K|0.47493|EK|G||OL1|2.31467|EOL1|OL2|2.101|EOL2|OH1|3.0595|EOH1|OH2|2.5785|EOH2|EG|NA||NAOL1|2.31467|ENAOL1|NAOL2|2.1201|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|8.442|9.952|1000|1000|AH-5|8.442|9.952|1000|1000|AH-4|6.158|7.26|1000|1000|AH-3.5|4.341|5.117|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.69|2.439|1000|1000|AH4|1.69|2.439|1000|1000|AH4.5|1.461|2.11|1000|1000|AH5|1.461|2.11|1000|1000|AH5.5|1.254|1.811|1000|1000||EAH||AHS||K-1.5|4.15574|7|1.51|7|EK-1.5||K21|6.1245|1|4.37712|7|EK21||K1.5|1.52699|7|3.47189|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/atp-indian-wells/bublik-alexander-shang-juncheng-0dYzxXj2/","","1.68","2.25","","","1.57","2.4","1.68","2.4","","","","","","",""
"SM","0000012","20240308|132629","20240304_1937005_083135_036519","R05_3_BNP Paribas Open - Indian Wells (USA)","Fils","Davidovich Fokina","|K|0.431686|EK|G||OL1|2.54504|EOL1|OL2|1.936|EOL2|OH1|3.364|EOH1|OH2|2.376|EOH2|EG|NA||NAOL1|2.54504|ENAOL1|NAOL2|1.9536|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|1000|1000|1.432|1.689|AH-5|1000|1000|1.56|1.839|AH-4|1000|1000|1.718|2.026|AH-3.5|1000|1000|1.718|2.026|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|2.438|3.52|AH4|1000|1000|3.229|4.662|AH4.5|1000|1000|3.229|4.662|AH5|1000|1000|4.28|6.18|AH5.5|1000|1000|4.28|6.18||EAH||AHS||K-1.5|4.32082|7|1.51|7|EK-1.5||K21|6.07449|1|5.10141|7|EK21||K1.5|1.62586|7|3.0833|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/arthur-fils-davidovich-fokina-alejandro-MP1IlAz8/#ah;2;2.50;2","2.5","1.78","2.1","","","","","1.78","2.14","","","","","","",""
"SM","0000012","20240308|132628","20240304_1937005_083135_036519","R05_3_BNP Paribas Open - Indian Wells (USA)","Fils","Davidovich Fokina","|K|0.431686|EK|G||OL1|2.54504|EOL1|OL2|1.936|EOL2|OH1|3.364|EOH1|OH2|2.376|EOH2|EG|NA||NAOL1|2.54504|ENAOL1|NAOL2|1.9536|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|1000|1000|1.432|1.689|AH-5|1000|1000|1.56|1.839|AH-4|1000|1000|1.718|2.026|AH-3.5|1000|1000|1.718|2.026|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|2.438|3.52|AH4|1000|1000|3.229|4.662|AH4.5|1000|1000|3.229|4.662|AH5|1000|1000|4.28|6.18|AH5.5|1000|1000|4.28|6.18||EAH||AHS||K-1.5|4.32082|7|1.51|7|EK-1.5||K21|6.07449|1|5.10141|7|EK21||K1.5|1.62586|7|3.0833|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/arthur-fils-davidovich-fokina-alejandro-MP1IlAz8/#ah;2;1.50;2","1.5","1.94","1.91","","","1.94","1.85","1.94","1.91","","","","","","",""
