"FSM","0000001","20240310|152534","20240304_1957312_087282_043237","R12_0_M15 Poitiers (FRA)","Papamalamis","Salle","|K|0.534161|EK|G||OL1|2.0586|EOL1|OL2|2.35425|EOL2|OH1|188|EOH1|OH2|215|EOH2|EG|NA|NOT|ENA||AH-5.5|5.38|6.342|1.595|1.88|AH-5|5.38|6.342|1.801|2.123|AH-4|3.881|4.575|2.044|2.41|AH-3.5|3.088|3.641|2.044|2.41|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.593|2.3|2.986|4.311|AH4|1.593|2.3|3.82|5.515|AH4.5|1.427|2.06|3.82|5.515|AH5|1.427|2.06|5.175|7.471|AH5.5|1.3|1.877|5.175|7.471||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","https://www.oddsportal.com/tennis/france/itf-m15-poitiers-men/papamalamis-theo-salle-fabien-GG6CFWzP/","","","","","","","","","","","","","","","","G"
"FSM","0000002","20240310|152549","20240304_1956912_022069_038973","R12_0_M25 Santo Domingo (DOM)","Kwiatkowski","Hardt","|K|0.577733|EK|G||OL1|1.9053|EOL1|OL2|2.41503|EOL2|OH1|174|EOH1|OH2|3.555|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1.667|1.965|AH-5|1000|1000|1.899|2.238|AH-4|1000|1000|2.17|2.559|AH-3.5|1000|1000|2.17|2.559|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|3.166|4.571|AH4|1000|1000|3.973|5.735|AH4.5|1000|1000|3.973|5.735|AH5|1000|1000|5.261|7.596|AH5.5|1000|1000|5.261|7.596||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/dominican-republic/itf-m25-santo-domingo-men/kwiatkowski-thai-son-hardt-nick-OSOQmD0C/#ah;2;-1.50;2","-1.5","1.79","1.99","","","","","1.79","2.02","","","","","","",""
"FSM","0000002","20240310|152547","20240304_1956912_022069_038973","R12_0_M25 Santo Domingo (DOM)","Kwiatkowski","Hardt","|K|0.577733|EK|G||OL1|1.9053|EOL1|OL2|2.41503|EOL2|OH1|174|EOH1|OH2|3.555|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1.667|1.965|AH-5|1000|1000|1.899|2.238|AH-4|1000|1000|2.17|2.559|AH-3.5|1000|1000|2.17|2.559|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|3.166|4.571|AH4|1000|1000|3.973|5.735|AH4.5|1000|1000|3.973|5.735|AH5|1000|1000|5.261|7.596|AH5.5|1000|1000|5.261|7.596||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/dominican-republic/itf-m25-santo-domingo-men/kwiatkowski-thai-son-hardt-nick-OSOQmD0C/#ah;2;-2.50;2","-2.5","1.93","1.84","","","","","1.93","1.84","","","","","","",""
"FSM","0000002","20240310|152552","20240304_1956912_022069_038973","R12_0_M25 Santo Domingo (DOM)","Kwiatkowski","Hardt","|K|0.577733|EK|G||OL1|1.9053|EOL1|OL2|2.41503|EOL2|OH1|174|EOH1|OH2|3.555|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1.667|1.965|AH-5|1000|1000|1.899|2.238|AH-4|1000|1000|2.17|2.559|AH-3.5|1000|1000|2.17|2.559|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|3.166|4.571|AH4|1000|1000|3.973|5.735|AH4.5|1000|1000|3.973|5.735|AH5|1000|1000|5.261|7.596|AH5.5|1000|1000|5.261|7.596||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/dominican-republic/itf-m25-santo-domingo-men/kwiatkowski-thai-son-hardt-nick-OSOQmD0C/#ah;2;1.50;1","1.5","1.28","3.59","","","","","1.28","3.59","","","","","","",""
"FSM","0000002","20240310|152550","20240304_1956912_022069_038973","R12_0_M25 Santo Domingo (DOM)","Kwiatkowski","Hardt","|K|0.577733|EK|G||OL1|1.9053|EOL1|OL2|2.41503|EOL2|OH1|174|EOH1|OH2|3.555|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1.667|1.965|AH-5|1000|1000|1.899|2.238|AH-4|1000|1000|2.17|2.559|AH-3.5|1000|1000|2.17|2.559|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|3.166|4.571|AH4|1000|1000|3.973|5.735|AH4.5|1000|1000|3.973|5.735|AH5|1000|1000|5.261|7.596|AH5.5|1000|1000|5.261|7.596||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/dominican-republic/itf-m25-santo-domingo-men/kwiatkowski-thai-son-hardt-nick-OSOQmD0C/#ah;2;-1.50;1","-1.5","2.53","1.5","","","","","2.53","1.5","","","","","","",""
"FSM","0000002","20240310|152541","20240304_1956912_022069_038973","R12_0_M25 Santo Domingo (DOM)","Kwiatkowski","Hardt","|K|0.577733|EK|G||OL1|1.9053|EOL1|OL2|2.41503|EOL2|OH1|174|EOH1|OH2|3.555|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1.667|1.965|AH-5|1000|1000|1.899|2.238|AH-4|1000|1000|2.17|2.559|AH-3.5|1000|1000|2.17|2.559|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|3.166|4.571|AH4|1000|1000|3.973|5.735|AH4.5|1000|1000|3.973|5.735|AH5|1000|1000|5.261|7.596|AH5.5|1000|1000|5.261|7.596||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/dominican-republic/itf-m25-santo-domingo-men/kwiatkowski-thai-son-hardt-nick-OSOQmD0C/","","1.65","2.21","","","","","1.65","2.37","","","","","","",""
"CDM","0000003","20240310|152555","20240304_1955312_027486_100203","R12_1_Santa Cruz de la Sierra Challenger (BOL)","Collarini/Olivo","Dellien/Dellien Velasco","|K|0.272959|EK|G||OL1|3.73239|EOL1|OL2|1.38952|EOL2|OH1|1|EOH1|OH2|2.07|EOH2|EG|NA||NAOL1|3.97461|ENAOL1|NAOL2|1.52214|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/bolivia/santa-cruz-challenger-men-doubles/collarini-andrea-olivo-renzo-dellien-hugo-dellien-velasco-murkel-alejandro-UoNAie1m/","","","","","","","","","","","","","","","",""
"SM","0000004","20240310|152608","20240304_1937006_005992_071221","R06_3_BNP Paribas Open - Indian Wells (USA)","Djokovic","Nardi","|K|0.955587|EK|G||OL1|1.155|EOL1|OL2|24.7044|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1655|ENAOL1|NAOL2|24.7044|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|1000|1000|2.048|2.415|AH-5|1000|1000|2.94|3.466|AH-4|1000|1000|4.646|5.477|AH-3.5|1000|1000|4.646|5.477|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|10390|15000|AH4|1000|1000|10390|15000|AH4.5|1000|1000|10390|15000|AH5|1000|1000|10390|15000|AH5.5|1000|1000|10390|15000||EAH||AHS||K-1.5|1.63361|7|3.34109|7|EK-1.5||K21|4.14147|7|7.93096|1|EK21||K1.5|1.51|7|11300|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/djokovic-novak-nardi-luca-relhZDoJ/#ah;2;-5.50;2","-5.5","1.62","2.38","","","1.5","2.5","1.62","2.5","","","","","","",""
"SM","0000004","20240310|152607","20240304_1937006_005992_071221","R06_3_BNP Paribas Open - Indian Wells (USA)","Djokovic","Nardi","|K|0.955587|EK|G||OL1|1.155|EOL1|OL2|24.7044|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1655|ENAOL1|NAOL2|24.7044|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|1000|1000|2.048|2.415|AH-5|1000|1000|2.94|3.466|AH-4|1000|1000|4.646|5.477|AH-3.5|1000|1000|4.646|5.477|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|10390|15000|AH4|1000|1000|10390|15000|AH4.5|1000|1000|10390|15000|AH5|1000|1000|10390|15000|AH5.5|1000|1000|10390|15000||EAH||AHS||K-1.5|1.63361|7|3.34109|7|EK-1.5||K21|4.14147|7|7.93096|1|EK21||K1.5|1.51|7|11300|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/djokovic-novak-nardi-luca-relhZDoJ/#ah;2;-6.50;2","-6.5","2.14","1.75","","","1.96","1.83","2.14","1.83","","","","","","",""
"SM","0000004","20240310|152611","20240304_1937006_005992_071221","R06_3_BNP Paribas Open - Indian Wells (USA)","Djokovic","Nardi","|K|0.955587|EK|G||OL1|1.155|EOL1|OL2|24.7044|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1655|ENAOL1|NAOL2|24.7044|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|1000|1000|2.048|2.415|AH-5|1000|1000|2.94|3.466|AH-4|1000|1000|4.646|5.477|AH-3.5|1000|1000|4.646|5.477|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|10390|15000|AH4|1000|1000|10390|15000|AH4.5|1000|1000|10390|15000|AH5|1000|1000|10390|15000|AH5.5|1000|1000|10390|15000||EAH||AHS||K-1.5|1.63361|7|3.34109|7|EK-1.5||K21|4.14147|7|7.93096|1|EK21||K1.5|1.51|7|11300|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/djokovic-novak-nardi-luca-relhZDoJ/#ah;2;1.50;1","1.5","","","","","","","","","","","","","","",""
"SM","0000004","20240310|152610","20240304_1937006_005992_071221","R06_3_BNP Paribas Open - Indian Wells (USA)","Djokovic","Nardi","|K|0.955587|EK|G||OL1|1.155|EOL1|OL2|24.7044|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1655|ENAOL1|NAOL2|24.7044|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|1000|1000|2.048|2.415|AH-5|1000|1000|2.94|3.466|AH-4|1000|1000|4.646|5.477|AH-3.5|1000|1000|4.646|5.477|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|10390|15000|AH4|1000|1000|10390|15000|AH4.5|1000|1000|10390|15000|AH5|1000|1000|10390|15000|AH5.5|1000|1000|10390|15000||EAH||AHS||K-1.5|1.63361|7|3.34109|7|EK-1.5||K21|4.14147|7|7.93096|1|EK21||K1.5|1.51|7|11300|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/djokovic-novak-nardi-luca-relhZDoJ/#ah;2;-1.50;1","-1.5","1.21","4.75","","","1.16","5.4","1.21","5.4","","","","","","",""
