"FDV","0000061","20240315|084806","20240311_1535610_092523_092527","R10_0_W15 Monastir (TUN)","Feistel/Waligora","Xu/Zelnickova","|K|0.503871|EK|G||OL1|1.99|EOL1|OL2|2.0806|EOL2|OH1|3.383|EOH1|OH2|2.929|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-w15-monastir-9-women-doubles/feistel-gina-waligora-amelia-xu-mingge-zelnickova-radka-tzrfsXiq/","","","","","","","","2.37","1.52","","","","","","",""
"FDV","0000062","20240315|084810","20240311_1535610_092529_092384","R10_0_W15 Monastir (TUN)","Milovanovic/Paszek","Chiu/Plaza Araujo","","GEW","https://www.oddsportal.com/tennis/tunisia/itf-w15-monastir-9-women-doubles/milovanovic-elena-paszek-tamira-chiu-britney-plaza-araujo-luana-SSNl3EE2/","","","","","","","","1.06","7.3","","","","","","",""
"FDV","0000063","20240315|084813","20240311_1536010_087500_092359","R10_0_W15 Sharm ElSheikh (EGY)","Ezzat/Stagno","Frayman/Parravicini","|K|0.520522|EK|G||OL1|1.93|EOL1|OL2|2.1527|EOL2|OH1|3.281|EOH1|OH2|3.0305|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/egypt/itf-w15-sharm-elsheikh-6-women-doubles/ezzat-yasmin-stagno-beatrice-frayman-daria-parravicini-gaia-bZ0FgTC2/","","","","","","","","1.66","2.08","","","","","","",""
"DM","0000064","20240315|084816","20240304_1937012_079810_083107","R12_3_BNP Paribas Open - Indian Wells (USA)","Granollers/Zeballos","Koolhof/Mektic","|K|0.541657|EK|G||OL1|2.00725|EOL1|OL2|2.26665|EOL2|OH1|185|EOH1|OH2|219|EOH2|EG|NA||NAOL1|2.09975|ENAOL1|NAOL2|2.3871|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-indian-wells-doubles/granollers-marcel-zeballos-horacio-koolhof-wesley-mektic-nikola-WdCOh96P/","","1.9","1.9","","","1.8","1.97","1.9","1.97","","","","","","",""
"SM","0000065","20240315|084826","20240304_1937010_029935_022807","R10_3_BNP Paribas Open - Indian Wells (USA)","Paul","Medvedev","|K|0.303197|EK|G||OL1|3.6201|EOL1|OL2|1.584|EOL2|OH1|1|EOH1|OH2|1.944|EOH2|EG|NA||NAOL1|3.6201|ENAOL1|NAOL2|1.5984|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|12.96|15.278|1.359|1.602|AH-5|12.96|15.278|1.388|1.637|AH-4|10.781|12.709|1.501|1.769|AH-3.5|6.822|8.042|1.501|1.769|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|2.239|3.232|1.939|2.799|AH4|2.239|3.232|2.461|3.552|AH4.5|1.798|2.596|2.461|3.552|AH5|1.798|2.596|3.833|5.534|AH5.5|1.425|2.058|3.833|5.534||EAH||AHS||K-1.5|6.93662|1|1.51|7|EK-1.5||K21|7.32057|1|4.49175|7|EK21||K1.5|1.93561|7|2.41521|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/paul-tommy-medvedev-daniil-GETDUCKj/#ah;2;4.50;2","4.5","1.72","2.21","","","","","1.72","2.21","","","","","","",""
"SM","0000065","20240315|084825","20240304_1937010_029935_022807","R10_3_BNP Paribas Open - Indian Wells (USA)","Paul","Medvedev","|K|0.303197|EK|G||OL1|3.6201|EOL1|OL2|1.584|EOL2|OH1|1|EOH1|OH2|1.944|EOH2|EG|NA||NAOL1|3.6201|ENAOL1|NAOL2|1.5984|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|12.96|15.278|1.359|1.602|AH-5|12.96|15.278|1.388|1.637|AH-4|10.781|12.709|1.501|1.769|AH-3.5|6.822|8.042|1.501|1.769|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|2.239|3.232|1.939|2.799|AH4|2.239|3.232|2.461|3.552|AH4.5|1.798|2.596|2.461|3.552|AH5|1.798|2.596|3.833|5.534|AH5.5|1.425|2.058|3.833|5.534||EAH||AHS||K-1.5|6.93662|1|1.51|7|EK-1.5||K21|7.32057|1|4.49175|7|EK21||K1.5|1.93561|7|2.41521|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/paul-tommy-medvedev-daniil-GETDUCKj/#ah;2;3.50;2","3.5","2.13","1.78","","","","","2.13","1.78","","","","","","",""
"SM","0000065","20240315|084830","20240304_1937010_029935_022807","R10_3_BNP Paribas Open - Indian Wells (USA)","Paul","Medvedev","|K|0.303197|EK|G||OL1|3.6201|EOL1|OL2|1.584|EOL2|OH1|1|EOH1|OH2|1.944|EOH2|EG|NA||NAOL1|3.6201|ENAOL1|NAOL2|1.5984|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|12.96|15.278|1.359|1.602|AH-5|12.96|15.278|1.388|1.637|AH-4|10.781|12.709|1.501|1.769|AH-3.5|6.822|8.042|1.501|1.769|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|2.239|3.232|1.939|2.799|AH4|2.239|3.232|2.461|3.552|AH4.5|1.798|2.596|2.461|3.552|AH5|1.798|2.596|3.833|5.534|AH5.5|1.425|2.058|3.833|5.534||EAH||AHS||K-1.5|6.93662|1|1.51|7|EK-1.5||K21|7.32057|1|4.49175|7|EK21||K1.5|1.93561|7|2.41521|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/paul-tommy-medvedev-daniil-GETDUCKj/#ah;2;1.50;1","1.5","1.83","2.05","","","","","1.83","2.05","","","","","","",""
"SM","0000065","20240315|084828","20240304_1937010_029935_022807","R10_3_BNP Paribas Open - Indian Wells (USA)","Paul","Medvedev","|K|0.303197|EK|G||OL1|3.6201|EOL1|OL2|1.584|EOL2|OH1|1|EOH1|OH2|1.944|EOH2|EG|NA||NAOL1|3.6201|ENAOL1|NAOL2|1.5984|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|12.96|15.278|1.359|1.602|AH-5|12.96|15.278|1.388|1.637|AH-4|10.781|12.709|1.501|1.769|AH-3.5|6.822|8.042|1.501|1.769|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|2.239|3.232|1.939|2.799|AH4|2.239|3.232|2.461|3.552|AH4.5|1.798|2.596|2.461|3.552|AH5|1.798|2.596|3.833|5.534|AH5.5|1.425|2.058|3.833|5.534||EAH||AHS||K-1.5|6.93662|1|1.51|7|EK-1.5||K21|7.32057|1|4.49175|7|EK21||K1.5|1.93561|7|2.41521|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/paul-tommy-medvedev-daniil-GETDUCKj/#ah;2;-1.50;1","-1.5","5.96","1.16","","","","","5.96","1.16","","","","","","",""
"SM","0000065","20240315|084820","20240304_1937010_029935_022807","R10_3_BNP Paribas Open - Indian Wells (USA)","Paul","Medvedev","|K|0.303197|EK|G||OL1|3.6201|EOL1|OL2|1.584|EOL2|OH1|1|EOH1|OH2|1.944|EOH2|EG|NA||NAOL1|3.6201|ENAOL1|NAOL2|1.5984|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|12.96|15.278|1.359|1.602|AH-5|12.96|15.278|1.388|1.637|AH-4|10.781|12.709|1.501|1.769|AH-3.5|6.822|8.042|1.501|1.769|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|2.239|3.232|1.939|2.799|AH4|2.239|3.232|2.461|3.552|AH4.5|1.798|2.596|2.461|3.552|AH5|1.798|2.596|3.833|5.534|AH5.5|1.425|2.058|3.833|5.534||EAH||AHS||K-1.5|6.93662|1|1.51|7|EK-1.5||K21|7.32057|1|4.49175|7|EK21||K1.5|1.93561|7|2.41521|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/atp-indian-wells/paul-tommy-medvedev-daniil-GETDUCKj/","","3.35","1.37","","","","","3.5","1.37","","","","","","",""
"SM","0000066","20240315|084843","20240304_1937010_047275_068074","R10_3_BNP Paribas Open - Indian Wells (USA)","Sinner","Alcaraz","|K|0.501958|EK|G||OL1|2.194|EOL1|OL2|2.20497|EOL2|OH1|2.9|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.194|ENAOL1|NAOL2|2.20497|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.216|7.328|1000|1000|AH-5|6.216|7.328|1000|1000|AH-4|4.135|4.875|1000|1000|AH-3.5|3.15|3.713|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.595|2.303|1000|1000|AH4|1.595|2.303|1000|1000|AH4.5|1.434|2.07|1000|1000|AH5|1.434|2.07|1000|1000|AH5.5|1.3|1.876|1000|1000||EAH||AHS||K-1.5|3.45721|7|1.53013|7|EK-1.5||K21|5.97239|7|5.36967|7|EK21||K1.5|1.51|7|3.73616|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/sinner-jannik-alcaraz-garfia-carlos-GEii84jM/#ah;2;-1.50;2","-1.5","1.88","1.99","","","","","1.88","1.99","","","","","","",""
"SM","0000066","20240315|084842","20240304_1937010_047275_068074","R10_3_BNP Paribas Open - Indian Wells (USA)","Sinner","Alcaraz","|K|0.501958|EK|G||OL1|2.194|EOL1|OL2|2.20497|EOL2|OH1|2.9|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.194|ENAOL1|NAOL2|2.20497|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.216|7.328|1000|1000|AH-5|6.216|7.328|1000|1000|AH-4|4.135|4.875|1000|1000|AH-3.5|3.15|3.713|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.595|2.303|1000|1000|AH4|1.595|2.303|1000|1000|AH4.5|1.434|2.07|1000|1000|AH5|1.434|2.07|1000|1000|AH5.5|1.3|1.876|1000|1000||EAH||AHS||K-1.5|3.45721|7|1.53013|7|EK-1.5||K21|5.97239|7|5.36967|7|EK21||K1.5|1.51|7|3.73616|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/sinner-jannik-alcaraz-garfia-carlos-GEii84jM/#ah;2;-2.50;2","-2.5","2.09","1.8","","","","","2.09","1.8","","","","","","",""
