"FDV","0000019","20240315|164255","20240311_1536112_092498_092324","R12_0_W15 Karaganda (KAZ)","Arystanbekova/Kazionova","Mikhaylova/Poplavska","|K|0.527302|EK|G||OL1|1.9|EOL1|OL2|2.1836|EOL2|OH1|3.23|EOH1|OH2|3.074|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/kazakhstan/itf-w15-karaganda-2-women-doubles/arystanbekova-asylzhan-kazionova-ekaterina-mikhaylova-victoria-poplavska-anastasiya-rcHHXyAt/","","","","","","","","2.08","1.66","","","","","","",""
"FDV","0000020","20240315|164255","20240311_1535710_092405_092418","R10_0_W15 Montreal (CAN)","Aney/Robbe","Allen/Campana","|K|0.747346|EK|G||OL1|1.34|EOL1|OL2|4.0788|EOL2|OH1|2.278|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","","https://www.oddsportal.com/tennis/canada/itf-w15-montreal-women-doubles/aney-jessie-robbe-alice-allen-kolie-campana-carolyn-4dTyDYzb/","","","","","","","","","","","","","","","","G"
"FDV","0000021","20240315|164258","20240311_1535710_092409_092572","R10_0_W15 Montreal (CAN)","Bowers/Pawlikowska","Failla/Webster","","","https://www.oddsportal.com/tennis/canada/itf-w15-montreal-women-doubles/bowers-ashton-pawlikowska-zuzanna-failla-jessica-webster-sophia-6ckZatb2/","","","","","","","","","","","","","","","","G"
"FDV","0000022","20240315|164304","20240311_1535510_092583_092587","R10_0_W15 Sao Joao da Boa Vista (BRA)","Candiotto/Romero","Meliss/Zanolini","|K|0.689964|EK|G||OL1|1.45|EOL1|OL2|3.3269|EOL2|OH1|2.465|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/brazil/itf-w15-sao-joao-da-boa-vista-women-doubles/candiotto-ana-romero-camila-meliss-verena-zanolini-camilla-nZazCnic/","","","","","","","","1.52","2.37","","","","","","",""
"CSM","0000023","20240315|164312","20240311_1955509_022432_031446","R09_1_Phoenix Challenger (USA)","Kokkinakis","Borges","|K|0.509469|EK|G||OL1|2.13154|EOL1|OL2|2.20728|EOL2|OH1|3.546|EOH1|OH2|3.672|EOH2|EG|NA||NAOL1|2.13154|ENAOL1|NAOL2|2.20728|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1.473|1.916|AH-3|1000|1000|1.711|2.225|AH-2.5|1000|1000|1.711|2.225|AH-2|1000|1000|1.9|2.472|AH-1.5|1000|1000|1.9|2.472||AH1.5|1000|1000|2.496|3.033|AH2|1000|1000|2.862|3.477|AH2.5|1000|1000|2.862|3.477|AH3|1000|1000|3.467|4.212|AH3.5|1000|1000|3.467|4.212|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.37976|7|1.54734|7|EK-1.5||K21|5.39951|7|6.05768|7|EK21||K1.5|1.51|7|3.64392|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/phoenix-challenger-men/kokkinakis-thanasi-borges-nuno-vFsKPBK3/#ah;2;-0.50;2","-0.5","1.94","1.91","","","","","1.94","1.91","","","","","","",""
"CSM","0000023","20240315|164314","20240311_1955509_022432_031446","R09_1_Phoenix Challenger (USA)","Kokkinakis","Borges","|K|0.509469|EK|G||OL1|2.13154|EOL1|OL2|2.20728|EOL2|OH1|3.546|EOH1|OH2|3.672|EOH2|EG|NA||NAOL1|2.13154|ENAOL1|NAOL2|2.20728|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1.473|1.916|AH-3|1000|1000|1.711|2.225|AH-2.5|1000|1000|1.711|2.225|AH-2|1000|1000|1.9|2.472|AH-1.5|1000|1000|1.9|2.472||AH1.5|1000|1000|2.496|3.033|AH2|1000|1000|2.862|3.477|AH2.5|1000|1000|2.862|3.477|AH3|1000|1000|3.467|4.212|AH3.5|1000|1000|3.467|4.212|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.37976|7|1.54734|7|EK-1.5||K21|5.39951|7|6.05768|7|EK21||K1.5|1.51|7|3.64392|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/phoenix-challenger-men/kokkinakis-thanasi-borges-nuno-vFsKPBK3/#ah;2;-1.50;2","-1.5","2.12","1.77","","","1.98","1.8","2.12","1.8","","","","","","",""
"CSM","0000023","20240315|164318","20240311_1955509_022432_031446","R09_1_Phoenix Challenger (USA)","Kokkinakis","Borges","|K|0.509469|EK|G||OL1|2.13154|EOL1|OL2|2.20728|EOL2|OH1|3.546|EOH1|OH2|3.672|EOH2|EG|NA||NAOL1|2.13154|ENAOL1|NAOL2|2.20728|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1.473|1.916|AH-3|1000|1000|1.711|2.225|AH-2.5|1000|1000|1.711|2.225|AH-2|1000|1000|1.9|2.472|AH-1.5|1000|1000|1.9|2.472||AH1.5|1000|1000|2.496|3.033|AH2|1000|1000|2.862|3.477|AH2.5|1000|1000|2.862|3.477|AH3|1000|1000|3.467|4.212|AH3.5|1000|1000|3.467|4.212|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.37976|7|1.54734|7|EK-1.5||K21|5.39951|7|6.05768|7|EK21||K1.5|1.51|7|3.64392|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/phoenix-challenger-men/kokkinakis-thanasi-borges-nuno-vFsKPBK3/#ah;2;1.50;1","1.5","1.35","3.35","","","1.3","3.45","1.35","3.45","","","","","","",""
"CSM","0000023","20240315|164316","20240311_1955509_022432_031446","R09_1_Phoenix Challenger (USA)","Kokkinakis","Borges","|K|0.509469|EK|G||OL1|2.13154|EOL1|OL2|2.20728|EOL2|OH1|3.546|EOH1|OH2|3.672|EOH2|EG|NA||NAOL1|2.13154|ENAOL1|NAOL2|2.20728|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1.473|1.916|AH-3|1000|1000|1.711|2.225|AH-2.5|1000|1000|1.711|2.225|AH-2|1000|1000|1.9|2.472|AH-1.5|1000|1000|1.9|2.472||AH1.5|1000|1000|2.496|3.033|AH2|1000|1000|2.862|3.477|AH2.5|1000|1000|2.862|3.477|AH3|1000|1000|3.467|4.212|AH3.5|1000|1000|3.467|4.212|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.37976|7|1.54734|7|EK-1.5||K21|5.39951|7|6.05768|7|EK21||K1.5|1.51|7|3.64392|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/phoenix-challenger-men/kokkinakis-thanasi-borges-nuno-vFsKPBK3/#ah;2;-1.50;1","-1.5","3.03","1.41","","","3.0","1.38","3.03","1.41","","","","","","",""
"CSM","0000023","20240315|164307","20240311_1955509_022432_031446","R09_1_Phoenix Challenger (USA)","Kokkinakis","Borges","|K|0.509469|EK|G||OL1|2.13154|EOL1|OL2|2.20728|EOL2|OH1|3.546|EOH1|OH2|3.672|EOH2|EG|NA||NAOL1|2.13154|ENAOL1|NAOL2|2.20728|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1.473|1.916|AH-3|1000|1000|1.711|2.225|AH-2.5|1000|1000|1.711|2.225|AH-2|1000|1000|1.9|2.472|AH-1.5|1000|1000|1.9|2.472||AH1.5|1000|1000|2.496|3.033|AH2|1000|1000|2.862|3.477|AH2.5|1000|1000|2.862|3.477|AH3|1000|1000|3.467|4.212|AH3.5|1000|1000|3.467|4.212|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.37976|7|1.54734|7|EK-1.5||K21|5.39951|7|6.05768|7|EK21||K1.5|1.51|7|3.64392|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/phoenix-challenger-men/kokkinakis-thanasi-borges-nuno-vFsKPBK3/","","1.85","2.0","","","1.8","2.02","1.85","2.02","","","","","","",""
"CSM","0000024","20240315|164330","20240311_1955509_013429_082371","R09_1_Phoenix Challenger (USA)","Kudla","van Assche","|K|0.40774|EK|G||OL1|2.66172|EOL1|OL2|1.82858|EOL2|OH1|4.428|EOH1|OH2|3.042|EOH2|EG|NA||NAOL1|2.66172|ENAOL1|NAOL2|1.82858|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|3.918|5.097|1.355|1.763|AH-3|3.918|5.097|1.46|1.899|AH-2.5|3.247|4.224|1.46|1.899|AH-2|3.247|4.224|1.557|2.026|AH-1.5|2.85|3.707|1.557|2.026||AH1.5|2.399|2.915|1.931|2.347|AH2|2.399|2.915|2.062|2.505|AH2.5|2.224|2.702|2.062|2.505|AH3|2.224|2.702|2.434|2.958|AH3.5|1.909|2.32|2.434|2.958|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.51366|7|1.51|7|EK-1.5||K21|7.49145|1|4.34672|7|EK21||K1.5|1.64797|7|3.01341|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/phoenix-challenger-men/kudla-denis-van-assche-luca-lf8BFcMF/#ah;2;2.50;2","2.5","1.78","2.11","","","","","1.78","2.13","","","","","","",""
"CSM","0000024","20240315|164328","20240311_1955509_013429_082371","R09_1_Phoenix Challenger (USA)","Kudla","van Assche","|K|0.40774|EK|G||OL1|2.66172|EOL1|OL2|1.82858|EOL2|OH1|4.428|EOH1|OH2|3.042|EOH2|EG|NA||NAOL1|2.66172|ENAOL1|NAOL2|1.82858|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|3.918|5.097|1.355|1.763|AH-3|3.918|5.097|1.46|1.899|AH-2.5|3.247|4.224|1.46|1.899|AH-2|3.247|4.224|1.557|2.026|AH-1.5|2.85|3.707|1.557|2.026||AH1.5|2.399|2.915|1.931|2.347|AH2|2.399|2.915|2.062|2.505|AH2.5|2.224|2.702|2.062|2.505|AH3|2.224|2.702|2.434|2.958|AH3.5|1.909|2.32|2.434|2.958|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.51366|7|1.51|7|EK-1.5||K21|7.49145|1|4.34672|7|EK21||K1.5|1.64797|7|3.01341|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/phoenix-challenger-men/kudla-denis-van-assche-luca-lf8BFcMF/#ah;2;1.50;2","1.5","1.89","1.98","","","1.94","1.85","1.94","1.98","","","","","","",""
