"FDM","0000031","20240316|084746","20240311_1958512_087559_107297","R12_0_M25 Vale do Lobo (POR)","Barroso Campos/Lopez Morillo","Donski/Pereira","|K|0.417461|EK|G||OL1|2.52|EOL1|OL2|1.7544|EOL2|OH1|3.48|EOH1|OH2|2.752|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/portugal/itf-m25-vale-do-lobo-men-doubles/barroso-campos-alberto-lopez-morillo-imanol-donski-alexander-tiago-pereira-UVpz8MXl/","","","","","","","","2.08","1.66","","","","","","",""
"FDV","0000032","20240316|084750","20240311_1536212_063618_092564","R12_0_W15 Heraklion (GRE)","Mair/Sakellaridi","Nguyen Tan/Vargova","|K|0.413433|EK|G||OL1|2.4926|EOL1|OL2|1.71|EOL2|OH1|3.509|EOH1|OH2|2.907|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/greece/itf-w15-heraklion-2-women-doubles/mair-laura-sakellaridi-sapfo-nguyen-tan-lucie-vargova-nina-WxAprucS/","","","","","","","","2.08","1.66","","","","","","",""
"FDV","0000033","20240316|084753","20240311_1535612_092527_092529","R12_0_W15 Monastir (TUN)","Xu/Zelnickova","Milovanovic/Paszek","","GEW","https://www.oddsportal.com/tennis/tunisia/itf-w15-monastir-9-women-doubles/xu-mingge-zelnickova-radka-milovanovic-elena-paszek-tamira-OzkPzck2/","","","","","","","","1.65","2.1","","","","","","",""
"DV","0000034","20240316|084756","20240304_1521612_073265_078378","R12_3_BNP Paribas Open - Indian Wells (USA)","Hsieh/Mertens","Hunter/Siniakova","|K|0.486436|EK|G||OL1|2.16094|EOL1|OL2|2.04555|EOL2|OH1|3.502|EOH1|OH2|3.315|EOH2|EG|NA||NAOL1|2.3278|ENAOL1|NAOL2|2.2035|ENAOL2|NAVE1|-8.5|ENAVE1|NAVE2|-8.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/wta-indian-wells-doubles/hsieh-su-wei-mertens-elise-sanders-storm-siniakova-katerina-f5je7O5S/","","1.81","2.0","","","1.77","2.0","1.81","2.0","","","","","","",""
"CSM","0000035","20240316|084806","20240311_1955810_055828_048871","R10_1_Hamburg Challenger (GER)","Chidekh","Shimizu","|K|0.643118|EK|G||OL1|1.64736|EOL1|OL2|3.04042|EOL2|OH1|2.184|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7316|ENAOL1|NAOL2|3.04042|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|2.06|2.679|1.97|2.563|AH-3|2.06|2.679|2.271|2.954|AH-2.5|1.81|2.354|2.271|2.954|AH-2|1.81|2.354|2.504|3.257|AH-1.5|1.685|2.191|2.504|3.257||AH1.5|1.584|1.924|3.3|4.009|AH2|1.584|1.924|3.585|4.356|AH2.5|1.525|1.853|3.585|4.356|AH3|1.525|1.853|4.284|5.204|AH3.5|1.426|1.733|4.284|5.204|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.57148|7|1.83743|7|EK-1.5||K21|4.58386|7|10.097|1|EK21||K1.5|1.51|7|4.75659|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/hamburg-challenger-men/chidekh-clement-shimizu-yuta-YBLOvBNN/#ah;2;-2.50;2","-2.5","1.76","2.12","","","","","1.76","2.12","","","","","","",""
"CSM","0000035","20240316|084805","20240311_1955810_055828_048871","R10_1_Hamburg Challenger (GER)","Chidekh","Shimizu","|K|0.643118|EK|G||OL1|1.64736|EOL1|OL2|3.04042|EOL2|OH1|2.184|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7316|ENAOL1|NAOL2|3.04042|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|2.06|2.679|1.97|2.563|AH-3|2.06|2.679|2.271|2.954|AH-2.5|1.81|2.354|2.271|2.954|AH-2|1.81|2.354|2.504|3.257|AH-1.5|1.685|2.191|2.504|3.257||AH1.5|1.584|1.924|3.3|4.009|AH2|1.584|1.924|3.585|4.356|AH2.5|1.525|1.853|3.585|4.356|AH3|1.525|1.853|4.284|5.204|AH3.5|1.426|1.733|4.284|5.204|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.57148|7|1.83743|7|EK-1.5||K21|4.58386|7|10.097|1|EK21||K1.5|1.51|7|4.75659|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/hamburg-challenger-men/chidekh-clement-shimizu-yuta-YBLOvBNN/#ah;2;-3.50;2","-3.5","2.0","1.86","","","1.95","1.82","2.0","1.86","","","","","","",""
"CSM","0000035","20240316|084810","20240311_1955810_055828_048871","R10_1_Hamburg Challenger (GER)","Chidekh","Shimizu","|K|0.643118|EK|G||OL1|1.64736|EOL1|OL2|3.04042|EOL2|OH1|2.184|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7316|ENAOL1|NAOL2|3.04042|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|2.06|2.679|1.97|2.563|AH-3|2.06|2.679|2.271|2.954|AH-2.5|1.81|2.354|2.271|2.954|AH-2|1.81|2.354|2.504|3.257|AH-1.5|1.685|2.191|2.504|3.257||AH1.5|1.584|1.924|3.3|4.009|AH2|1.584|1.924|3.585|4.356|AH2.5|1.525|1.853|3.585|4.356|AH3|1.525|1.853|4.284|5.204|AH3.5|1.426|1.733|4.284|5.204|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.57148|7|1.83743|7|EK-1.5||K21|4.58386|7|10.097|1|EK21||K1.5|1.51|7|4.75659|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/germany/hamburg-challenger-men/chidekh-clement-shimizu-yuta-YBLOvBNN/#ah;2;1.50;1","1.5","1.22","4.56","","","1.19","4.6","1.22","4.6","","","","","","",""
"CSM","0000035","20240316|084808","20240311_1955810_055828_048871","R10_1_Hamburg Challenger (GER)","Chidekh","Shimizu","|K|0.643118|EK|G||OL1|1.64736|EOL1|OL2|3.04042|EOL2|OH1|2.184|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7316|ENAOL1|NAOL2|3.04042|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|2.06|2.679|1.97|2.563|AH-3|2.06|2.679|2.271|2.954|AH-2.5|1.81|2.354|2.271|2.954|AH-2|1.81|2.354|2.504|3.257|AH-1.5|1.685|2.191|2.504|3.257||AH1.5|1.584|1.924|3.3|4.009|AH2|1.584|1.924|3.585|4.356|AH2.5|1.525|1.853|3.585|4.356|AH3|1.525|1.853|4.284|5.204|AH3.5|1.426|1.733|4.284|5.204|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.57148|7|1.83743|7|EK-1.5||K21|4.58386|7|10.097|1|EK21||K1.5|1.51|7|4.75659|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/germany/hamburg-challenger-men/chidekh-clement-shimizu-yuta-YBLOvBNN/#ah;2;-1.50;1","-1.5","2.27","1.67","","","2.25","1.62","2.27","1.67","","","","","","",""
"CSM","0000035","20240316|084800","20240311_1955810_055828_048871","R10_1_Hamburg Challenger (GER)","Chidekh","Shimizu","|K|0.643118|EK|G||OL1|1.64736|EOL1|OL2|3.04042|EOL2|OH1|2.184|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7316|ENAOL1|NAOL2|3.04042|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|2.06|2.679|1.97|2.563|AH-3|2.06|2.679|2.271|2.954|AH-2.5|1.81|2.354|2.271|2.954|AH-2|1.81|2.354|2.504|3.257|AH-1.5|1.685|2.191|2.504|3.257||AH1.5|1.584|1.924|3.3|4.009|AH2|1.584|1.924|3.585|4.356|AH2.5|1.525|1.853|3.585|4.356|AH3|1.525|1.853|4.284|5.204|AH3.5|1.426|1.733|4.284|5.204|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.57148|7|1.83743|7|EK-1.5||K21|4.58386|7|10.097|1|EK21||K1.5|1.51|7|4.75659|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/germany/hamburg-challenger-men/chidekh-clement-shimizu-yuta-YBLOvBNN/","","1.52","2.62","","","1.48","2.6","1.52","2.62","","","","","","",""
"CSM","0000036","20240316|084822","20240311_1955810_048013_088766","R10_1_Hamburg Challenger (GER)","Squire","Blockx","|K|0.411437|EK|G||OL1|2.64008|EOL1|OL2|1.8394|EOL2|OH1|1|EOH1|OH2|3.06|EOH2|EG|NA||NAOL1|2.64008|ENAOL1|NAOL2|1.8394|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|4.411|5.738|1000|1000|AH-3|4.411|5.738|1000|1000|AH-2.5|3.353|4.362|1000|1000|AH-2|3.353|4.362|1000|1000|AH-1.5|2.967|3.86|1000|1000||AH1.5|2.451|2.978|1000|1000|AH2|2.451|2.978|1000|1000|AH2.5|2.133|2.591|1000|1000|AH3|2.133|2.591|1000|1000|AH3.5|1.836|2.23|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.14417|7|1.51|7|EK-1.5||K21|6.54873|1|5.33681|7|EK21||K1.5|1.65646|7|2.98791|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/hamburg-challenger-men/squire-henri-blockx-alexander-E3Im0Ik1/#ah;2;2.50;2","2.5","1.78","2.1","","","","","1.78","2.1","","","","","","",""
"CSM","0000036","20240316|084820","20240311_1955810_048013_088766","R10_1_Hamburg Challenger (GER)","Squire","Blockx","|K|0.411437|EK|G||OL1|2.64008|EOL1|OL2|1.8394|EOL2|OH1|1|EOH1|OH2|3.06|EOH2|EG|NA||NAOL1|2.64008|ENAOL1|NAOL2|1.8394|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|4.411|5.738|1000|1000|AH-3|4.411|5.738|1000|1000|AH-2.5|3.353|4.362|1000|1000|AH-2|3.353|4.362|1000|1000|AH-1.5|2.967|3.86|1000|1000||AH1.5|2.451|2.978|1000|1000|AH2|2.451|2.978|1000|1000|AH2.5|2.133|2.591|1000|1000|AH3|2.133|2.591|1000|1000|AH3.5|1.836|2.23|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.14417|7|1.51|7|EK-1.5||K21|6.54873|1|5.33681|7|EK21||K1.5|1.65646|7|2.98791|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/hamburg-challenger-men/squire-henri-blockx-alexander-E3Im0Ik1/#ah;2;1.50;2","1.5","1.98","1.88","","","1.96","1.8","1.98","1.88","","","","","","",""
