"FSM","0000001","20240326|121008","20240325_1961704_044538_063245","R04_0_M15 Monastir (TUN)","De Jonge","Stuurman","|K|0.651244|EK|G||OL1|1.63856|EOL1|OL2|2.93888|EOL2|OH1|154|EOH1|OH2|4.305|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|209.885|209.885|225.149|225.149|AH-3.5|179.905|179.905|225.149|225.149|AH-3|179.905|179.905|249.719|249.719|AH-2.5|166.792|166.792|249.719|249.719|AH-2|166.792|166.792|270.62|270.62|AH-1.5|158.61|158.61|270.62|270.62||AH1.5|143.725|143.725|328.7|328.7|AH2|143.725|143.725|358.198|358.198|AH2.5|138.73|138.73|358.198|358.198|AH3|138.73|138.73|410.874|410.874|AH3.5|132.167|132.167|410.874|410.874|AH4|132.167|132.167|488.28|488.28|AH4.5|125.755|125.755|488.28|488.28|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","",""
"SM","0000002","20240326|121016","20240318_1937107_068074_063572","R07_3_Miami Open - Miami (USA)","Alcaraz","Musetti","|K|0.999219|EK|G||OL1|1.111|EOL1|OL2|1402.72|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1211|ENAOL1|NAOL2|1405.28|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|2.466|3.278|1.956|2.6|AH-5|2.466|3.278|2.833|3.765|AH-4|1.774|2.358|4.409|5.86|AH-3.5|1.45|1.927|4.409|5.86|AH-3|1.45|1.927|7.946|10.561|AH-2.5|1.265|1.681|7.946|10.561|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.094|1.45|10940|14500|AH3|1.094|1.45|10940|14500|AH3.5|1.094|1.45|10940|14500|AH4|1.094|1.45|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.53832|7|3.90886|1|EK-1.5||K21|3.77347|7|6.54057|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-miami/alcaraz-garfia-carlos-musetti-lorenzo-0vVDteNp/#ah;2;-5.50;2","-5.5","1.77","2.13","","","1.79","2.0","1.79","2.13","","","","","","",""
"SM","0000002","20240326|121018","20240318_1937107_068074_063572","R07_3_Miami Open - Miami (USA)","Alcaraz","Musetti","|K|0.999219|EK|G||OL1|1.111|EOL1|OL2|1402.72|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1211|ENAOL1|NAOL2|1405.28|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|2.466|3.278|1.956|2.6|AH-5|2.466|3.278|2.833|3.765|AH-4|1.774|2.358|4.409|5.86|AH-3.5|1.45|1.927|4.409|5.86|AH-3|1.45|1.927|7.946|10.561|AH-2.5|1.265|1.681|7.946|10.561|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.094|1.45|10940|14500|AH3|1.094|1.45|10940|14500|AH3.5|1.094|1.45|10940|14500|AH4|1.094|1.45|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.53832|7|3.90886|1|EK-1.5||K21|3.77347|7|6.54057|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-miami/alcaraz-garfia-carlos-musetti-lorenzo-0vVDteNp/#ah;2;-6.50;2","-6.5","2.48","1.58","","","2.6","1.47","2.6","1.58","","","","","","",""
"SM","0000002","20240326|121021","20240318_1937107_068074_063572","R07_3_Miami Open - Miami (USA)","Alcaraz","Musetti","|K|0.999219|EK|G||OL1|1.111|EOL1|OL2|1402.72|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1211|ENAOL1|NAOL2|1405.28|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|2.466|3.278|1.956|2.6|AH-5|2.466|3.278|2.833|3.765|AH-4|1.774|2.358|4.409|5.86|AH-3.5|1.45|1.927|4.409|5.86|AH-3|1.45|1.927|7.946|10.561|AH-2.5|1.265|1.681|7.946|10.561|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.094|1.45|10940|14500|AH3|1.094|1.45|10940|14500|AH3.5|1.094|1.45|10940|14500|AH4|1.094|1.45|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.53832|7|3.90886|1|EK-1.5||K21|3.77347|7|6.54057|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-miami/alcaraz-garfia-carlos-musetti-lorenzo-0vVDteNp/#ah;2;1.50;1","1.5","","","","","1.02","17.0","1.02","17.0","","","","","","",""
"SM","0000002","20240326|121019","20240318_1937107_068074_063572","R07_3_Miami Open - Miami (USA)","Alcaraz","Musetti","|K|0.999219|EK|G||OL1|1.111|EOL1|OL2|1402.72|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1211|ENAOL1|NAOL2|1405.28|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|2.466|3.278|1.956|2.6|AH-5|2.466|3.278|2.833|3.765|AH-4|1.774|2.358|4.409|5.86|AH-3.5|1.45|1.927|4.409|5.86|AH-3|1.45|1.927|7.946|10.561|AH-2.5|1.265|1.681|7.946|10.561|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.094|1.45|10940|14500|AH3|1.094|1.45|10940|14500|AH3.5|1.094|1.45|10940|14500|AH4|1.094|1.45|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.53832|7|3.90886|1|EK-1.5||K21|3.77347|7|6.54057|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-miami/alcaraz-garfia-carlos-musetti-lorenzo-0vVDteNp/#ah;2;-1.50;1","-1.5","1.3","3.78","","","1.24","4.1","1.3","4.1","","","","","","",""
"SM","0000002","20240326|121011","20240318_1937107_068074_063572","R07_3_Miami Open - Miami (USA)","Alcaraz","Musetti","|K|0.999219|EK|G||OL1|1.111|EOL1|OL2|1402.72|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1211|ENAOL1|NAOL2|1405.28|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|2.466|3.278|1.956|2.6|AH-5|2.466|3.278|2.833|3.765|AH-4|1.774|2.358|4.409|5.86|AH-3.5|1.45|1.927|4.409|5.86|AH-3|1.45|1.927|7.946|10.561|AH-2.5|1.265|1.681|7.946|10.561|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.094|1.45|10940|14500|AH3|1.094|1.45|10940|14500|AH3.5|1.094|1.45|10940|14500|AH4|1.094|1.45|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.53832|7|3.90886|1|EK-1.5||K21|3.77347|7|6.54057|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/atp-miami/alcaraz-garfia-carlos-musetti-lorenzo-0vVDteNp/","","1.06","11.92","","","1.05","11.0","1.06","11.92","","","","","","",""
"SM","0000003","20240326|121033","20240318_1937107_011953_026473","R07_3_Miami Open - Miami (USA)","Dimitrov","Hurkacz","|K|0.533974|EK|G||OL1|2.068|EOL1|OL2|2.35425|EOL2|OH1|2.726|EOH1|OH2|2.9455|EOH2|EG|NA||NAOL1|2.0868|ENAOL1|NAOL2|2.35855|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|7|9.303|1.292|1.718|AH-5|7|9.303|1.463|1.945|AH-4|4.29|5.701|1.753|2.33|AH-3.5|2.888|3.839|1.753|2.33|AH-3|2.888|3.839|2.021|2.687|AH-2.5|2.37|3.15|2.021|2.687|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.565|2.074|3.637|4.821|AH3|1.565|2.074|5.255|6.965|AH3.5|1.382|1.831|5.255|6.965|AH4|1.382|1.831|8.468|11.223|AH4.5|1.256|1.665|8.468|11.223|AH5|1.256|1.665|26.907|35.662|AH5.5|1.14|1.511|26.907|35.662||EAH||AHS||K-1.5|3.07698|7|1.63654|7|EK-1.5||K21|4.28213|7|6.70707|1|EK21||K1.5|1.52|7|4.66637|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-miami/dimitrov-grigor-hurkacz-hubert-OUFDc8n1/#ah;2;0.50;2","0.5","1.72","2.21","","","","","1.72","2.21","","","","","","",""
"SM","0000003","20240326|121031","20240318_1937107_011953_026473","R07_3_Miami Open - Miami (USA)","Dimitrov","Hurkacz","|K|0.533974|EK|G||OL1|2.068|EOL1|OL2|2.35425|EOL2|OH1|2.726|EOH1|OH2|2.9455|EOH2|EG|NA||NAOL1|2.0868|ENAOL1|NAOL2|2.35855|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|7|9.303|1.292|1.718|AH-5|7|9.303|1.463|1.945|AH-4|4.29|5.701|1.753|2.33|AH-3.5|2.888|3.839|1.753|2.33|AH-3|2.888|3.839|2.021|2.687|AH-2.5|2.37|3.15|2.021|2.687|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.565|2.074|3.637|4.821|AH3|1.565|2.074|5.255|6.965|AH3.5|1.382|1.831|5.255|6.965|AH4|1.382|1.831|8.468|11.223|AH4.5|1.256|1.665|8.468|11.223|AH5|1.256|1.665|26.907|35.662|AH5.5|1.14|1.511|26.907|35.662||EAH||AHS||K-1.5|3.07698|7|1.63654|7|EK-1.5||K21|4.28213|7|6.70707|1|EK21||K1.5|1.52|7|4.66637|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-miami/dimitrov-grigor-hurkacz-hubert-OUFDc8n1/#ah;2;-1.50;2","-1.5","2.06","1.83","","","2.0","1.79","2.06","1.83","","","","","","",""
"SM","0000003","20240326|121037","20240318_1937107_011953_026473","R07_3_Miami Open - Miami (USA)","Dimitrov","Hurkacz","|K|0.533974|EK|G||OL1|2.068|EOL1|OL2|2.35425|EOL2|OH1|2.726|EOH1|OH2|2.9455|EOH2|EG|NA||NAOL1|2.0868|ENAOL1|NAOL2|2.35855|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|7|9.303|1.292|1.718|AH-5|7|9.303|1.463|1.945|AH-4|4.29|5.701|1.753|2.33|AH-3.5|2.888|3.839|1.753|2.33|AH-3|2.888|3.839|2.021|2.687|AH-2.5|2.37|3.15|2.021|2.687|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.565|2.074|3.637|4.821|AH3|1.565|2.074|5.255|6.965|AH3.5|1.382|1.831|5.255|6.965|AH4|1.382|1.831|8.468|11.223|AH4.5|1.256|1.665|8.468|11.223|AH5|1.256|1.665|26.907|35.662|AH5.5|1.14|1.511|26.907|35.662||EAH||AHS||K-1.5|3.07698|7|1.63654|7|EK-1.5||K21|4.28213|7|6.70707|1|EK21||K1.5|1.52|7|4.66637|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-miami/dimitrov-grigor-hurkacz-hubert-OUFDc8n1/#ah;2;1.50;1","1.5","1.31","3.7","","","1.26","3.8","1.31","3.8","","","","","","",""
"SM","0000003","20240326|121035","20240318_1937107_011953_026473","R07_3_Miami Open - Miami (USA)","Dimitrov","Hurkacz","|K|0.533974|EK|G||OL1|2.068|EOL1|OL2|2.35425|EOL2|OH1|2.726|EOH1|OH2|2.9455|EOH2|EG|NA||NAOL1|2.0868|ENAOL1|NAOL2|2.35855|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|7|9.303|1.292|1.718|AH-5|7|9.303|1.463|1.945|AH-4|4.29|5.701|1.753|2.33|AH-3.5|2.888|3.839|1.753|2.33|AH-3|2.888|3.839|2.021|2.687|AH-2.5|2.37|3.15|2.021|2.687|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.565|2.074|3.637|4.821|AH3|1.565|2.074|5.255|6.965|AH3.5|1.382|1.831|5.255|6.965|AH4|1.382|1.831|8.468|11.223|AH4.5|1.256|1.665|8.468|11.223|AH5|1.256|1.665|26.907|35.662|AH5.5|1.14|1.511|26.907|35.662||EAH||AHS||K-1.5|3.07698|7|1.63654|7|EK-1.5||K21|4.28213|7|6.70707|1|EK21||K1.5|1.52|7|4.66637|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-miami/dimitrov-grigor-hurkacz-hubert-OUFDc8n1/#ah;2;-1.50;1","-1.5","2.94","1.44","","","2.9","1.4","2.94","1.44","","","","","","",""
"SM","0000003","20240326|121024","20240318_1937107_011953_026473","R07_3_Miami Open - Miami (USA)","Dimitrov","Hurkacz","|K|0.533974|EK|G||OL1|2.068|EOL1|OL2|2.35425|EOL2|OH1|2.726|EOH1|OH2|2.9455|EOH2|EG|NA||NAOL1|2.0868|ENAOL1|NAOL2|2.35855|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|7|9.303|1.292|1.718|AH-5|7|9.303|1.463|1.945|AH-4|4.29|5.701|1.753|2.33|AH-3.5|2.888|3.839|1.753|2.33|AH-3|2.888|3.839|2.021|2.687|AH-2.5|2.37|3.15|2.021|2.687|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.565|2.074|3.637|4.821|AH3|1.565|2.074|5.255|6.965|AH3.5|1.382|1.831|5.255|6.965|AH4|1.382|1.831|8.468|11.223|AH4.5|1.256|1.665|8.468|11.223|AH5|1.256|1.665|26.907|35.662|AH5.5|1.14|1.511|26.907|35.662||EAH||AHS||K-1.5|3.07698|7|1.63654|7|EK-1.5||K21|4.28213|7|6.70707|1|EK21||K1.5|1.52|7|4.66637|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/atp-miami/dimitrov-grigor-hurkacz-hubert-OUFDc8n1/","","1.76","2.18","","","1.73","2.1","1.8","2.18","","","","","","",""
