"DM","0000013","20240327|133852","20240318_1937109_109883_088731","R09_3_Miami Open - Miami (USA)","Melo/Roger-Vasselin","Dodig/Krajicek","|K|0.404272|EK|G||OL1|2.5668|EOL1|OL2|1.8228|EOL2|OH1|1|EOH1|OH2|168|EOH2|EG|NA||NAOL1|2.7032|ENAOL1|NAOL2|1.9068|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-miami-doubles/melo-marcelo-roger-vasselin-edouard-dodig-ivan-krajicek-austin-QNFUCr2E/","","2.4","1.57","","","2.4","1.53","2.4","1.57","","","","","","",""
"SM","0000014","20240327|133903","20240318_1937109_068074_011953","R09_3_Miami Open - Miami (USA)","Alcaraz","Dimitrov","|K|0.854579|EK|G||OL1|1.298|EOL1|OL2|7.5336|EOL2|OH1|1.711|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3098|ENAOL1|NAOL2|7.54736|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.516|4.673|1.582|2.102|AH-5|3.516|4.673|1.996|2.653|AH-4|2.406|3.197|2.73|3.628|AH-3.5|1.817|2.415|2.73|3.628|AH-3|1.817|2.415|3.515|4.671|AH-2.5|1.582|2.103|3.515|4.671|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.26|1.669|8.324|11.032|AH3|1.26|1.669|13.381|17.735|AH3.5|1.191|1.579|13.381|17.735|AH4|1.191|1.579|22.625|29.987|AH4.5|1.15|1.524|22.625|29.987|AH5|1.15|1.524|56.996|75.543|AH5.5|1.115|1.478|56.996|75.543||EAH||AHS||K-1.5|1.94214|7|2.47813|7|EK-1.5||K21|4.00254|7|8.49615|1|EK21||K1.5|1.52|1|29.5544|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-miami/alcaraz-garfia-carlos-dimitrov-grigor-YTjiaPXE/#ah;2;-3.50;2","-3.5","1.72","2.21","","","1.6","2.3","1.72","2.3","","","","","","",""
"SM","0000014","20240327|133906","20240318_1937109_068074_011953","R09_3_Miami Open - Miami (USA)","Alcaraz","Dimitrov","|K|0.854579|EK|G||OL1|1.298|EOL1|OL2|7.5336|EOL2|OH1|1.711|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3098|ENAOL1|NAOL2|7.54736|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.516|4.673|1.582|2.102|AH-5|3.516|4.673|1.996|2.653|AH-4|2.406|3.197|2.73|3.628|AH-3.5|1.817|2.415|2.73|3.628|AH-3|1.817|2.415|3.515|4.671|AH-2.5|1.582|2.103|3.515|4.671|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.26|1.669|8.324|11.032|AH3|1.26|1.669|13.381|17.735|AH3.5|1.191|1.579|13.381|17.735|AH4|1.191|1.579|22.625|29.987|AH4.5|1.15|1.524|22.625|29.987|AH5|1.15|1.524|56.996|75.543|AH5.5|1.115|1.478|56.996|75.543||EAH||AHS||K-1.5|1.94214|7|2.47813|7|EK-1.5||K21|4.00254|7|8.49615|1|EK21||K1.5|1.52|1|29.5544|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-miami/alcaraz-garfia-carlos-dimitrov-grigor-YTjiaPXE/#ah;2;-4.50;2","-4.5","2.36","1.64","","","2.3","1.6","2.36","1.64","","","","","","",""
"SM","0000014","20240327|133910","20240318_1937109_068074_011953","R09_3_Miami Open - Miami (USA)","Alcaraz","Dimitrov","|K|0.854579|EK|G||OL1|1.298|EOL1|OL2|7.5336|EOL2|OH1|1.711|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3098|ENAOL1|NAOL2|7.54736|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.516|4.673|1.582|2.102|AH-5|3.516|4.673|1.996|2.653|AH-4|2.406|3.197|2.73|3.628|AH-3.5|1.817|2.415|2.73|3.628|AH-3|1.817|2.415|3.515|4.671|AH-2.5|1.582|2.103|3.515|4.671|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.26|1.669|8.324|11.032|AH3|1.26|1.669|13.381|17.735|AH3.5|1.191|1.579|13.381|17.735|AH4|1.191|1.579|22.625|29.987|AH4.5|1.15|1.524|22.625|29.987|AH5|1.15|1.524|56.996|75.543|AH5.5|1.115|1.478|56.996|75.543||EAH||AHS||K-1.5|1.94214|7|2.47813|7|EK-1.5||K21|4.00254|7|8.49615|1|EK21||K1.5|1.52|1|29.5544|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-miami/alcaraz-garfia-carlos-dimitrov-grigor-YTjiaPXE/#ah;2;1.50;1","1.5","1.1","8.55","","","1.07","9.0","1.1","9.0","","","","","","",""
"SM","0000014","20240327|133908","20240318_1937109_068074_011953","R09_3_Miami Open - Miami (USA)","Alcaraz","Dimitrov","|K|0.854579|EK|G||OL1|1.298|EOL1|OL2|7.5336|EOL2|OH1|1.711|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3098|ENAOL1|NAOL2|7.54736|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.516|4.673|1.582|2.102|AH-5|3.516|4.673|1.996|2.653|AH-4|2.406|3.197|2.73|3.628|AH-3.5|1.817|2.415|2.73|3.628|AH-3|1.817|2.415|3.515|4.671|AH-2.5|1.582|2.103|3.515|4.671|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.26|1.669|8.324|11.032|AH3|1.26|1.669|13.381|17.735|AH3.5|1.191|1.579|13.381|17.735|AH4|1.191|1.579|22.625|29.987|AH4.5|1.15|1.524|22.625|29.987|AH5|1.15|1.524|56.996|75.543|AH5.5|1.115|1.478|56.996|75.543||EAH||AHS||K-1.5|1.94214|7|2.47813|7|EK-1.5||K21|4.00254|7|8.49615|1|EK21||K1.5|1.52|1|29.5544|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-miami/alcaraz-garfia-carlos-dimitrov-grigor-YTjiaPXE/#ah;2;-1.50;1","-1.5","1.74","2.18","","","1.68","2.15","1.74","2.18","","","","","","",""
"SM","0000014","20240327|133856","20240318_1937109_068074_011953","R09_3_Miami Open - Miami (USA)","Alcaraz","Dimitrov","|K|0.854579|EK|G||OL1|1.298|EOL1|OL2|7.5336|EOL2|OH1|1.711|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3098|ENAOL1|NAOL2|7.54736|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.516|4.673|1.582|2.102|AH-5|3.516|4.673|1.996|2.653|AH-4|2.406|3.197|2.73|3.628|AH-3.5|1.817|2.415|2.73|3.628|AH-3|1.817|2.415|3.515|4.671|AH-2.5|1.582|2.103|3.515|4.671|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.26|1.669|8.324|11.032|AH3|1.26|1.669|13.381|17.735|AH3.5|1.191|1.579|13.381|17.735|AH4|1.191|1.579|22.625|29.987|AH4.5|1.15|1.524|22.625|29.987|AH5|1.15|1.524|56.996|75.543|AH5.5|1.115|1.478|56.996|75.543||EAH||AHS||K-1.5|1.94214|7|2.47813|7|EK-1.5||K21|4.00254|7|8.49615|1|EK21||K1.5|1.52|1|29.5544|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/atp-miami/alcaraz-garfia-carlos-dimitrov-grigor-YTjiaPXE/","","1.23","4.64","","","1.21","4.5","1.23","4.64","","","","","","",""
"SM","0000015","20240327|133926","20240318_1937109_024008_052140","R09_3_Miami Open - Miami (USA)","Zverev","Marozsan","|K|0.78076|EK|G||OL1|1.419|EOL1|OL2|5.00415|EOL2|OH1|1.8705|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4319|ENAOL1|NAOL2|5.01329|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.125|5.482|1.483|1.971|AH-5|4.125|5.482|1.869|2.484|AH-4|2.62|3.483|2.473|3.287|AH-3.5|1.952|2.595|2.473|3.287|AH-3|1.952|2.595|3.286|4.368|AH-2.5|1.633|2.171|3.286|4.368|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.263|1.675|8.156|10.81|AH3|1.263|1.675|12.135|16.084|AH3.5|1.202|1.594|12.135|16.084|AH4|1.202|1.594|25.033|33.18|AH4.5|1.144|1.516|25.033|33.18|AH5|1.144|1.516|52.878|70.086|AH5.5|1.117|1.481|52.878|70.086||EAH||AHS||K-1.5|2.13932|7|2.19592|7|EK-1.5||K21|4.55076|7|7.59582|1|EK21||K1.5|1.52|7|10.1321|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-miami/zverev-alexander-marozsan-fabian-KtJlZVEo/#ah;2;-2.50;2","-2.5","1.49","2.75","","","1.5","2.48","1.5","2.75","","","","","","",""
"SM","0000015","20240327|133924","20240318_1937109_024008_052140","R09_3_Miami Open - Miami (USA)","Zverev","Marozsan","|K|0.78076|EK|G||OL1|1.419|EOL1|OL2|5.00415|EOL2|OH1|1.8705|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4319|ENAOL1|NAOL2|5.01329|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.125|5.482|1.483|1.971|AH-5|4.125|5.482|1.869|2.484|AH-4|2.62|3.483|2.473|3.287|AH-3.5|1.952|2.595|2.473|3.287|AH-3|1.952|2.595|3.286|4.368|AH-2.5|1.633|2.171|3.286|4.368|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.263|1.675|8.156|10.81|AH3|1.263|1.675|12.135|16.084|AH3.5|1.202|1.594|12.135|16.084|AH4|1.202|1.594|25.033|33.18|AH4.5|1.144|1.516|25.033|33.18|AH5|1.144|1.516|52.878|70.086|AH5.5|1.117|1.481|52.878|70.086||EAH||AHS||K-1.5|2.13932|7|2.19592|7|EK-1.5||K21|4.55076|7|7.59582|1|EK21||K1.5|1.52|7|10.1321|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-miami/zverev-alexander-marozsan-fabian-KtJlZVEo/#ah;2;-3.50;2","-3.5","1.82","2.07","","","1.77","2.02","1.82","2.07","","","","","","",""
"SM","0000015","20240327|133931","20240318_1937109_024008_052140","R09_3_Miami Open - Miami (USA)","Zverev","Marozsan","|K|0.78076|EK|G||OL1|1.419|EOL1|OL2|5.00415|EOL2|OH1|1.8705|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4319|ENAOL1|NAOL2|5.01329|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.125|5.482|1.483|1.971|AH-5|4.125|5.482|1.869|2.484|AH-4|2.62|3.483|2.473|3.287|AH-3.5|1.952|2.595|2.473|3.287|AH-3|1.952|2.595|3.286|4.368|AH-2.5|1.633|2.171|3.286|4.368|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.263|1.675|8.156|10.81|AH3|1.263|1.675|12.135|16.084|AH3.5|1.202|1.594|12.135|16.084|AH4|1.202|1.594|25.033|33.18|AH4.5|1.144|1.516|25.033|33.18|AH5|1.144|1.516|52.878|70.086|AH5.5|1.117|1.481|52.878|70.086||EAH||AHS||K-1.5|2.13932|7|2.19592|7|EK-1.5||K21|4.55076|7|7.59582|1|EK21||K1.5|1.52|7|10.1321|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-miami/zverev-alexander-marozsan-fabian-KtJlZVEo/#ah;2;1.50;1","1.5","1.11","7.63","","","1.1","7.5","1.11","7.63","","","","","","",""
"SM","0000015","20240327|133928","20240318_1937109_024008_052140","R09_3_Miami Open - Miami (USA)","Zverev","Marozsan","|K|0.78076|EK|G||OL1|1.419|EOL1|OL2|5.00415|EOL2|OH1|1.8705|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4319|ENAOL1|NAOL2|5.01329|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.125|5.482|1.483|1.971|AH-5|4.125|5.482|1.869|2.484|AH-4|2.62|3.483|2.473|3.287|AH-3.5|1.952|2.595|2.473|3.287|AH-3|1.952|2.595|3.286|4.368|AH-2.5|1.633|2.171|3.286|4.368|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.263|1.675|8.156|10.81|AH3|1.263|1.675|12.135|16.084|AH3.5|1.202|1.594|12.135|16.084|AH4|1.202|1.594|25.033|33.18|AH4.5|1.144|1.516|25.033|33.18|AH5|1.144|1.516|52.878|70.086|AH5.5|1.117|1.481|52.878|70.086||EAH||AHS||K-1.5|2.13932|7|2.19592|7|EK-1.5||K21|4.55076|7|7.59582|1|EK21||K1.5|1.52|7|10.1321|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-miami/zverev-alexander-marozsan-fabian-KtJlZVEo/#ah;2;-1.50;1","-1.5","1.82","2.07","","","1.82","1.96","1.82","2.07","","","","","","",""
"SM","0000015","20240327|133915","20240318_1937109_024008_052140","R09_3_Miami Open - Miami (USA)","Zverev","Marozsan","|K|0.78076|EK|G||OL1|1.419|EOL1|OL2|5.00415|EOL2|OH1|1.8705|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4319|ENAOL1|NAOL2|5.01329|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.125|5.482|1.483|1.971|AH-5|4.125|5.482|1.869|2.484|AH-4|2.62|3.483|2.473|3.287|AH-3.5|1.952|2.595|2.473|3.287|AH-3|1.952|2.595|3.286|4.368|AH-2.5|1.633|2.171|3.286|4.368|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.263|1.675|8.156|10.81|AH3|1.263|1.675|12.135|16.084|AH3.5|1.202|1.594|12.135|16.084|AH4|1.202|1.594|25.033|33.18|AH4.5|1.144|1.516|25.033|33.18|AH5|1.144|1.516|52.878|70.086|AH5.5|1.117|1.481|52.878|70.086||EAH||AHS||K-1.5|2.13932|7|2.19592|7|EK-1.5||K21|4.55076|7|7.59582|1|EK21||K1.5|1.52|7|10.1321|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/atp-miami/zverev-alexander-marozsan-fabian-KtJlZVEo/","","1.27","4.14","","","1.27","3.85","1.29","4.14","","","","","","",""
