"FSM","0000001","20240330|131216","20240325_1961812_053207_084556","R12_0_M15 Tsukuba (JPN)","Shiraishi","Isomura","|K|0.763198|EK|G||OL1|1.40448|EOL1|OL2|4.33152|EOL2|OH1|132|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|199.231|199.231|248.666|248.666|AH-3.5|167.265|167.265|248.666|248.666|AH-3|167.265|167.265|292.047|292.047|AH-2.5|152.071|152.071|292.047|292.047|AH-2|152.071|152.071|332.996|332.996|AH-1.5|142.919|142.919|332.996|332.996||AH1.5|129.76|129.76|436.023|436.023|AH2|129.76|129.76|481.827|481.827|AH2.5|126.19|126.19|481.827|481.827|AH3|126.19|126.19|576.461|576.461|AH3.5|120.988|120.988|576.461|576.461|AH4|120.988|120.988|762.623|762.623|AH4.5|115.092|115.092|762.623|762.623|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/japan/itf-m15-tsukuba-men/shiraishi-hikaru-isomura-kokoro-j76Pn2JI/","","","","","","","","1.27","3.4","","","","","","",""
"CSM","0000002","20240330|131232","20240325_1956510_034968_013429","R10_1_San Luis Potosi Challenger (MEX)","Mejia","Kudla","|K|0.441412|EK|G||OL1|2.41755|EOL1|OL2|1.917|EOL2|OH1|227|EOH1|OH2|180|EOH2|EG|NA||NAOL1|2.5197|ENAOL1|NAOL2|1.998|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.287|310.139|1.685|159.007|AH-2.5|2.856|269.472|1.685|159.007|AH-2|2.856|269.472|1.765|166.536|AH-1.5|2.653|250.296|1.765|166.536||AH1.5|2.21|200.877|2.19|199.13|AH2|2.21|200.877|2.436|221.445|AH2.5|2.006|182.342|2.436|221.445|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.23881|6|1.54|6|EK-1.5||K21|6.51559|1|4.67941|6|EK21||K1.5|1.63061|6|3.09307|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-men/mejia-nicolas-kudla-denis-2cIRUvM0/#ah;2;2.50;2","2.5","1.98","1.87","","","","","1.98","1.87","","","","","","",""
"CSM","0000002","20240330|131234","20240325_1956510_034968_013429","R10_1_San Luis Potosi Challenger (MEX)","Mejia","Kudla","|K|0.441412|EK|G||OL1|2.41755|EOL1|OL2|1.917|EOL2|OH1|227|EOH1|OH2|180|EOH2|EG|NA||NAOL1|2.5197|ENAOL1|NAOL2|1.998|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.287|310.139|1.685|159.007|AH-2.5|2.856|269.472|1.685|159.007|AH-2|2.856|269.472|1.765|166.536|AH-1.5|2.653|250.296|1.765|166.536||AH1.5|2.21|200.877|2.19|199.13|AH2|2.21|200.877|2.436|221.445|AH2.5|2.006|182.342|2.436|221.445|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.23881|6|1.54|6|EK-1.5||K21|6.51559|1|4.67941|6|EK21||K1.5|1.63061|6|3.09307|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-men/mejia-nicolas-kudla-denis-2cIRUvM0/#ah;2;1.50;2","1.5","2.22","1.7","","","","","2.22","1.7","","","","","","",""
"CSM","0000002","20240330|131237","20240325_1956510_034968_013429","R10_1_San Luis Potosi Challenger (MEX)","Mejia","Kudla","|K|0.441412|EK|G||OL1|2.41755|EOL1|OL2|1.917|EOL2|OH1|227|EOH1|OH2|180|EOH2|EG|NA||NAOL1|2.5197|ENAOL1|NAOL2|1.998|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.287|310.139|1.685|159.007|AH-2.5|2.856|269.472|1.685|159.007|AH-2|2.856|269.472|1.765|166.536|AH-1.5|2.653|250.296|1.765|166.536||AH1.5|2.21|200.877|2.19|199.13|AH2|2.21|200.877|2.436|221.445|AH2.5|2.006|182.342|2.436|221.445|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.23881|6|1.54|6|EK-1.5||K21|6.51559|1|4.67941|6|EK21||K1.5|1.63061|6|3.09307|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-men/mejia-nicolas-kudla-denis-2cIRUvM0/#ah;2;1.50;1","1.5","1.58","2.45","","","","","1.58","2.45","","","","","","",""
"CSM","0000002","20240330|131236","20240325_1956510_034968_013429","R10_1_San Luis Potosi Challenger (MEX)","Mejia","Kudla","|K|0.441412|EK|G||OL1|2.41755|EOL1|OL2|1.917|EOL2|OH1|227|EOH1|OH2|180|EOH2|EG|NA||NAOL1|2.5197|ENAOL1|NAOL2|1.998|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.287|310.139|1.685|159.007|AH-2.5|2.856|269.472|1.685|159.007|AH-2|2.856|269.472|1.765|166.536|AH-1.5|2.653|250.296|1.765|166.536||AH1.5|2.21|200.877|2.19|199.13|AH2|2.21|200.877|2.436|221.445|AH2.5|2.006|182.342|2.436|221.445|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.23881|6|1.54|6|EK-1.5||K21|6.51559|1|4.67941|6|EK21||K1.5|1.63061|6|3.09307|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-men/mejia-nicolas-kudla-denis-2cIRUvM0/#ah;2;-1.50;1","-1.5","4.37","1.23","","","","","4.37","1.23","","","","","","",""
"CSM","0000002","20240330|131226","20240325_1956510_034968_013429","R10_1_San Luis Potosi Challenger (MEX)","Mejia","Kudla","|K|0.441412|EK|G||OL1|2.41755|EOL1|OL2|1.917|EOL2|OH1|227|EOH1|OH2|180|EOH2|EG|NA||NAOL1|2.5197|ENAOL1|NAOL2|1.998|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.287|310.139|1.685|159.007|AH-2.5|2.856|269.472|1.685|159.007|AH-2|2.856|269.472|1.765|166.536|AH-1.5|2.653|250.296|1.765|166.536||AH1.5|2.21|200.877|2.19|199.13|AH2|2.21|200.877|2.436|221.445|AH2.5|2.006|182.342|2.436|221.445|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.23881|6|1.54|6|EK-1.5||K21|6.51559|1|4.67941|6|EK21||K1.5|1.63061|6|3.09307|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-men/mejia-nicolas-kudla-denis-2cIRUvM0/","","2.57","1.54","","","2.5","1.5","2.57","1.54","","","","","","",""
"CSM","0000003","20240330|131246","20240325_1956510_058609_071174","R10_1_San Luis Potosi Challenger (MEX)","Soto","Mpetshi Perricard","|K|0.267119|EK|G||OL1|3.99375|EOL1|OL2|1.44535|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|4.1625|ENAOL1|NAOL2|1.44535|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|22.661|2137.79|1000|1000|AH-2.5|12.554|1184.38|1000|1000|AH-2|12.554|1184.38|1000|1000|AH-1.5|7.132|672.868|1000|1000||AH1.5|4.237|385.2|1000|1000|AH2|4.237|385.2|1000|1000|AH2.5|3.29|299.114|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|9.28683|1|1.54|6|EK-1.5||K21|7.93569|1|4.00545|6|EK21||K1.5|2.04286|6|2.28685|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-men/soto-matias-mpetshi-perricard-giovanni-K6jTMEad/#ah;2;3.50;2","3.5","1.65","2.31","","","","","1.65","2.31","","","","","","",""
"CSM","0000003","20240330|131248","20240325_1956510_058609_071174","R10_1_San Luis Potosi Challenger (MEX)","Soto","Mpetshi Perricard","|K|0.267119|EK|G||OL1|3.99375|EOL1|OL2|1.44535|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|4.1625|ENAOL1|NAOL2|1.44535|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|22.661|2137.79|1000|1000|AH-2.5|12.554|1184.38|1000|1000|AH-2|12.554|1184.38|1000|1000|AH-1.5|7.132|672.868|1000|1000||AH1.5|4.237|385.2|1000|1000|AH2|4.237|385.2|1000|1000|AH2.5|3.29|299.114|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|9.28683|1|1.54|6|EK-1.5||K21|7.93569|1|4.00545|6|EK21||K1.5|2.04286|6|2.28685|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-men/soto-matias-mpetshi-perricard-giovanni-K6jTMEad/#ah;2;2.50;2","2.5","2.08","1.79","","","","","2.08","1.79","","","","","","",""
"CSM","0000003","20240330|131251","20240325_1956510_058609_071174","R10_1_San Luis Potosi Challenger (MEX)","Soto","Mpetshi Perricard","|K|0.267119|EK|G||OL1|3.99375|EOL1|OL2|1.44535|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|4.1625|ENAOL1|NAOL2|1.44535|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|22.661|2137.79|1000|1000|AH-2.5|12.554|1184.38|1000|1000|AH-2|12.554|1184.38|1000|1000|AH-1.5|7.132|672.868|1000|1000||AH1.5|4.237|385.2|1000|1000|AH2|4.237|385.2|1000|1000|AH2.5|3.29|299.114|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|9.28683|1|1.54|6|EK-1.5||K21|7.93569|1|4.00545|6|EK21||K1.5|2.04286|6|2.28685|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-men/soto-matias-mpetshi-perricard-giovanni-K6jTMEad/#ah;2;1.50;1","1.5","1.76","2.13","","","","","1.76","2.13","","","","","","",""
"CSM","0000003","20240330|131250","20240325_1956510_058609_071174","R10_1_San Luis Potosi Challenger (MEX)","Soto","Mpetshi Perricard","|K|0.267119|EK|G||OL1|3.99375|EOL1|OL2|1.44535|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|4.1625|ENAOL1|NAOL2|1.44535|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|22.661|2137.79|1000|1000|AH-2.5|12.554|1184.38|1000|1000|AH-2|12.554|1184.38|1000|1000|AH-1.5|7.132|672.868|1000|1000||AH1.5|4.237|385.2|1000|1000|AH2|4.237|385.2|1000|1000|AH2.5|3.29|299.114|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|9.28683|1|1.54|6|EK-1.5||K21|7.93569|1|4.00545|6|EK21||K1.5|2.04286|6|2.28685|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-men/soto-matias-mpetshi-perricard-giovanni-K6jTMEad/#ah;2;-1.50;1","-1.5","5.78","1.16","","","","","5.78","1.16","","","","","","",""
"CSM","0000003","20240330|131241","20240325_1956510_058609_071174","R10_1_San Luis Potosi Challenger (MEX)","Soto","Mpetshi Perricard","|K|0.267119|EK|G||OL1|3.99375|EOL1|OL2|1.44535|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|4.1625|ENAOL1|NAOL2|1.44535|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|22.661|2137.79|1000|1000|AH-2.5|12.554|1184.38|1000|1000|AH-2|12.554|1184.38|1000|1000|AH-1.5|7.132|672.868|1000|1000||AH1.5|4.237|385.2|1000|1000|AH2|4.237|385.2|1000|1000|AH2.5|3.29|299.114|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|9.28683|1|1.54|6|EK-1.5||K21|7.93569|1|4.00545|6|EK21||K1.5|2.04286|6|2.28685|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-men/soto-matias-mpetshi-perricard-giovanni-K6jTMEad/","","","","","","3.2","1.33","3.2","1.42","","","","","","",""
