"FDM","0000001","20240409|123803","20240408_1966004_110277_110278","R04_0_CHI_M15 Quillota","Cavallo/Mouilleron Salvo","Aguilar Cardozo/Stater","|K|0.178449|EK|G||OL1|5.8905|EOL1|OL2|1.25294|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/chile/itf-m15-quillota-men-doubles/cavallo-fernando-mouilleron-salvo-manuel-aguilar-cardozo-federico-stater-alexander-QPhiNgHb/","","","","","","","","4.9","1.14","","","","","","",""
"FDM","0000002","20240409|123809","20240408_1966004_110280_110281","R04_0_CHI_M15 Quillota","Herrera Delucchi/Ortiz Gamonal","Barr/Monzon","|K|0.371182|EK|G||OL1|2.835|EOL1|OL2|1.6432|EOL2|OH1|4.59|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/chile/itf-m15-quillota-men-doubles/herrera-delucchi-benjamin-ignacio-ortiz-gamonal-barr-elbert-monzon-ignacio-hCfqPFnn/","","","","","","","","3.65","1.24","","","","","","",""
"FSM","0000003","20240409|123809","20240408_1966004_034313_038959","R04_0_CHI_M15 Quillota","Angel Lucero","Bruna","|K|0.187272|EK|G||OL1|5.46816|EOL1|OL2|1.31936|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","",""
"FSM","0000004","20240409|123822","20240408_1966004_058723_065138","R04_0_CHI_M15 Quillota","Roncadelli","Perez","|K|0.929377|EK|G||OL1|1.15|EOL1|OL2|14.4998|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/chile/itf-m15-quillota-men/roncadelli-franco-perez-brandon-SUQQ6YWH/#ah;2;-6.50;2","-6.5","","","","","","","","","","","","","","",""
"FSM","0000004","20240409|123825","20240408_1966004_058723_065138","R04_0_CHI_M15 Quillota","Roncadelli","Perez","|K|0.929377|EK|G||OL1|1.15|EOL1|OL2|14.4998|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/chile/itf-m15-quillota-men/roncadelli-franco-perez-brandon-SUQQ6YWH/#ah;2;1.50;1","1.5","","","","","","","","","","","","","","",""
"FSM","0000004","20240409|123824","20240408_1966004_058723_065138","R04_0_CHI_M15 Quillota","Roncadelli","Perez","|K|0.929377|EK|G||OL1|1.15|EOL1|OL2|14.4998|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/chile/itf-m15-quillota-men/roncadelli-franco-perez-brandon-SUQQ6YWH/#ah;2;-1.50;1","-1.5","","","","","","","","","","","","","","",""
"FSM","0000004","20240409|123816","20240408_1966004_058723_065138","R04_0_CHI_M15 Quillota","Roncadelli","Perez","|K|0.929377|EK|G||OL1|1.15|EOL1|OL2|14.4998|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/chile/itf-m15-quillota-men/roncadelli-franco-perez-brandon-SUQQ6YWH/","","","","","","1.07","7.0","1.08","7.0","","","","","","",""
"CSM","0000005","20240409|123845","20240408_1962705_016996_056590","R05_1_KOR_Busan Challenger","Uchiyama","Sweeny","|K|0.580497|EK|G||OL1|1.82515|EOL1|OL2|2.54535|EOL2|OH1|1|EOH1|OH2|239|EOH2|EG|NA||NAOL1|1.82515|ENAOL1|NAOL2|2.6529|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.661|251.033|2.028|191.346|AH-2.5|2.22|209.474|2.028|191.346|AH-2|2.22|209.474|2.195|207.095|AH-1.5|2.05|193.375|2.195|207.095||AH1.5|1.815|164.979|2.793|253.895|AH2|1.815|164.979|3.096|281.494|AH2.5|1.706|155.098|3.096|281.494|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.99666|6|1.6612|6|EK-1.5||K21|5.92276|6|5.59013|6|EK21||K1.5|1.54|6|4.17405|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/south-korea/busan-challenger-men/uchiyama-yasutaka-sweeny-dane-tGJMoFhC/#ah;2;-0.50;2","-0.5","1.77","2.08","","","","","1.77","2.08","","","","","","",""
"CSM","0000005","20240409|123847","20240408_1962705_016996_056590","R05_1_KOR_Busan Challenger","Uchiyama","Sweeny","|K|0.580497|EK|G||OL1|1.82515|EOL1|OL2|2.54535|EOL2|OH1|1|EOH1|OH2|239|EOH2|EG|NA||NAOL1|1.82515|ENAOL1|NAOL2|2.6529|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.661|251.033|2.028|191.346|AH-2.5|2.22|209.474|2.028|191.346|AH-2|2.22|209.474|2.195|207.095|AH-1.5|2.05|193.375|2.195|207.095||AH1.5|1.815|164.979|2.793|253.895|AH2|1.815|164.979|3.096|281.494|AH2.5|1.706|155.098|3.096|281.494|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.99666|6|1.6612|6|EK-1.5||K21|5.92276|6|5.59013|6|EK21||K1.5|1.54|6|4.17405|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/south-korea/busan-challenger-men/uchiyama-yasutaka-sweeny-dane-tGJMoFhC/#ah;2;-1.50;2","-1.5","1.9","1.92","","","","","1.9","1.92","","","","","","",""
"CSM","0000005","20240409|123851","20240408_1962705_016996_056590","R05_1_KOR_Busan Challenger","Uchiyama","Sweeny","|K|0.580497|EK|G||OL1|1.82515|EOL1|OL2|2.54535|EOL2|OH1|1|EOH1|OH2|239|EOH2|EG|NA||NAOL1|1.82515|ENAOL1|NAOL2|2.6529|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.661|251.033|2.028|191.346|AH-2.5|2.22|209.474|2.028|191.346|AH-2|2.22|209.474|2.195|207.095|AH-1.5|2.05|193.375|2.195|207.095||AH1.5|1.815|164.979|2.793|253.895|AH2|1.815|164.979|3.096|281.494|AH2.5|1.706|155.098|3.096|281.494|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.99666|6|1.6612|6|EK-1.5||K21|5.92276|6|5.59013|6|EK21||K1.5|1.54|6|4.17405|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/south-korea/busan-challenger-men/uchiyama-yasutaka-sweeny-dane-tGJMoFhC/#ah;2;1.50;1","1.5","1.32","3.43","","","","","1.32","3.43","","","","","","",""
"CSM","0000005","20240409|123849","20240408_1962705_016996_056590","R05_1_KOR_Busan Challenger","Uchiyama","Sweeny","|K|0.580497|EK|G||OL1|1.82515|EOL1|OL2|2.54535|EOL2|OH1|1|EOH1|OH2|239|EOH2|EG|NA||NAOL1|1.82515|ENAOL1|NAOL2|2.6529|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.661|251.033|2.028|191.346|AH-2.5|2.22|209.474|2.028|191.346|AH-2|2.22|209.474|2.195|207.095|AH-1.5|2.05|193.375|2.195|207.095||AH1.5|1.815|164.979|2.793|253.895|AH2|1.815|164.979|3.096|281.494|AH2.5|1.706|155.098|3.096|281.494|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.99666|6|1.6612|6|EK-1.5||K21|5.92276|6|5.59013|6|EK21||K1.5|1.54|6|4.17405|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/south-korea/busan-challenger-men/uchiyama-yasutaka-sweeny-dane-tGJMoFhC/#ah;2;-1.50;1","-1.5","2.7","1.48","","","","","2.7","1.48","","","","","","",""
