"CSM","0000061","20240410|104312","20240408_1962905_056274_030954","R05_1_MEX_Cuernavaca Challenger","Zhukayev","Langmo","|K|0.712005|EK|G||OL1|1.48755|EOL1|OL2|3.7062|EOL2|OH1|141|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.48755|ENAOL1|NAOL2|3.8628|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.388|225.285|2.387|225.208|AH-2.5|1.907|179.867|2.387|225.208|AH-2|1.907|179.867|2.945|277.809|AH-1.5|1.656|156.24|2.945|277.809||AH1.5|1.46|132.769|4.457|405.17|AH2|1.46|132.769|5.76|523.681|AH2.5|1.36|123.603|5.76|523.681|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.54794|6|1.85818|6|EK-1.5||K21|3.98979|6|7.43204|1|EK21||K1.5|1.54|6|6.67016|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/morelos-challenger-men/zhukayev-beibit-langmo-christian-veL50mX0/","","1.45","2.8","","","1.42","2.8","1.45","2.8","","","","","","",""
"CSM","0000062","20240410|104327","20240408_1963005_072574_017123","R05_1_USA_Sarasota Challenger","Damm","Krueger","|K|0.51877|EK|G||OL1|2.05545|EOL1|OL2|2.2152|EOL2|OH1|193|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1423|ENAOL1|NAOL2|2.3088|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.756|165.667|AH-2.5|1000|1000|1.756|165.667|AH-2|1000|1000|1.948|183.797|AH-1.5|1000|1000|1.948|183.797||AH1.5|1000|1000|2.46|223.6|AH2|1000|1000|2.753|250.244|AH2.5|1000|1000|2.753|250.244|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.86746|6|1.54|6|EK-1.5||K21|5.20209|6|5.35801|6|EK21||K1.5|1.54346|6|3.43156|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/sarasota-challenger-men/damm-martin-2003-krueger-mitchell-lEnb1WGP/#ah;2;-1.50;2","-1.5","1.78","2.07","","","","","1.78","2.07","","","","","","",""
"CSM","0000062","20240410|104326","20240408_1963005_072574_017123","R05_1_USA_Sarasota Challenger","Damm","Krueger","|K|0.51877|EK|G||OL1|2.05545|EOL1|OL2|2.2152|EOL2|OH1|193|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1423|ENAOL1|NAOL2|2.3088|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.756|165.667|AH-2.5|1000|1000|1.756|165.667|AH-2|1000|1000|1.948|183.797|AH-1.5|1000|1000|1.948|183.797||AH1.5|1000|1000|2.46|223.6|AH2|1000|1000|2.753|250.244|AH2.5|1000|1000|2.753|250.244|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.86746|6|1.54|6|EK-1.5||K21|5.20209|6|5.35801|6|EK21||K1.5|1.54346|6|3.43156|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/sarasota-challenger-men/damm-martin-2003-krueger-mitchell-lEnb1WGP/#ah;2;-2.50;2","-2.5","2.0","1.84","","","","","2.0","1.84","","","","","","",""
"CSM","0000062","20240410|104331","20240408_1963005_072574_017123","R05_1_USA_Sarasota Challenger","Damm","Krueger","|K|0.51877|EK|G||OL1|2.05545|EOL1|OL2|2.2152|EOL2|OH1|193|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1423|ENAOL1|NAOL2|2.3088|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.756|165.667|AH-2.5|1000|1000|1.756|165.667|AH-2|1000|1000|1.948|183.797|AH-1.5|1000|1000|1.948|183.797||AH1.5|1000|1000|2.46|223.6|AH2|1000|1000|2.753|250.244|AH2.5|1000|1000|2.753|250.244|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.86746|6|1.54|6|EK-1.5||K21|5.20209|6|5.35801|6|EK21||K1.5|1.54346|6|3.43156|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/sarasota-challenger-men/damm-martin-2003-krueger-mitchell-lEnb1WGP/#ah;2;1.50;1","1.5","1.25","4.07","","","","","1.25","4.07","","","","","","",""
"CSM","0000062","20240410|104329","20240408_1963005_072574_017123","R05_1_USA_Sarasota Challenger","Damm","Krueger","|K|0.51877|EK|G||OL1|2.05545|EOL1|OL2|2.2152|EOL2|OH1|193|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1423|ENAOL1|NAOL2|2.3088|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.756|165.667|AH-2.5|1000|1000|1.756|165.667|AH-2|1000|1000|1.948|183.797|AH-1.5|1000|1000|1.948|183.797||AH1.5|1000|1000|2.46|223.6|AH2|1000|1000|2.753|250.244|AH2.5|1000|1000|2.753|250.244|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.86746|6|1.54|6|EK-1.5||K21|5.20209|6|5.35801|6|EK21||K1.5|1.54346|6|3.43156|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/sarasota-challenger-men/damm-martin-2003-krueger-mitchell-lEnb1WGP/#ah;2;-1.50;1","-1.5","2.61","1.52","","","","","2.61","1.52","","","","","","",""
"CSM","0000062","20240410|104320","20240408_1963005_072574_017123","R05_1_USA_Sarasota Challenger","Damm","Krueger","|K|0.51877|EK|G||OL1|2.05545|EOL1|OL2|2.2152|EOL2|OH1|193|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1423|ENAOL1|NAOL2|2.3088|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.756|165.667|AH-2.5|1000|1000|1.756|165.667|AH-2|1000|1000|1.948|183.797|AH-1.5|1000|1000|1.948|183.797||AH1.5|1000|1000|2.46|223.6|AH2|1000|1000|2.753|250.244|AH2.5|1000|1000|2.753|250.244|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.86746|6|1.54|6|EK-1.5||K21|5.20209|6|5.35801|6|EK21||K1.5|1.54346|6|3.43156|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/sarasota-challenger-men/damm-martin-2003-krueger-mitchell-lEnb1WGP/","","1.63","2.34","","","1.6","2.3","1.63","2.34","","","","","","",""
"CSV","0000063","20240410|104331","20240408_1540304_050949_038474","R04_1_CHN_W50 Shenzhen","Wang","Yuan","|K|0.292307|EK|G||OL1|3.51575|EOL1|OL2|1.5123|EOL2|OH1|1|EOH1|OH2|1.988|EOH2|EG|NA|NOT|ENA||AH-5.5|5.903|576.497|1.239|120.986|AH-5|5.903|576.497|1.262|123.269|AH-4|5.425|529.759|1.305|127.461|AH-3.5|4.753|464.151|1.305|127.461|AH-3|4.753|464.151|1.307|127.653|AH-2.5|4.727|461.625|1.307|127.653|AH-2|4.727|461.625|1.329|129.81|AH-1.5|4.459|435.453|1.329|129.81||AH1.5|3.413|327.185|1.502|144.017|AH2|3.413|327.185|1.59|152.484|AH2.5|3.03|290.534|1.59|152.484|AH3|3.03|290.534|1.697|162.682|AH3.5|2.707|259.536|1.697|162.682|AH4|2.707|259.536|2.05|196.503|AH4.5|2.124|203.623|2.05|196.503|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.49448|1|1.5|1|EK-1.5||K21|9.41124|1|5.14121|5.6|EK21||K1.5|2.01089|5.6|2.43667|5.6|EK1.5||EAHS|","","https://www.oddsportal.com/tennis/china/itf-w50-shenzhen-women/wang-jiaqi-yuan-chengyiyi-p2ZDkhUQ/inplay-odds/","","","","","","","","","","","","","","","","G"
"CSV","0000064","20240410|104331","20240408_1541304_032365_012997","R04_1_ESP_W100 Zaragoza","Bulgaru","Martincova","|K|0.416275|EK|G||OL1|2.47025|EOL1|OL2|1.8318|EOL2|OH1|3.2053|EOH1|OH2|2.408|EOH2|EG|NA|NOT|ENA||AH-5.5|5.048|492.938|1.285|125.449|AH-5|5.048|492.938|1.407|137.397|AH-4|3.762|367.399|1.559|152.212|AH-3.5|2.985|291.526|1.559|152.212|AH-3|2.985|291.526|1.69|165.007|AH-2.5|2.599|253.831|1.69|165.007|AH-2|2.599|253.831|1.732|169.146|AH-1.5|2.505|244.621|1.732|169.146||AH1.5|2.194|210.323|1.988|190.643|AH2|2.194|210.323|2.116|202.889|AH2.5|2.057|197.193|2.116|202.889|AH3|2.057|197.193|2.321|222.486|AH3.5|1.895|181.642|2.321|222.486|AH4|1.895|181.642|2.815|269.893|AH4.5|1.657|158.861|2.815|269.893|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.1517|5.6|1.5|5.6|EK-1.5||K21|7.76221|5.6|5.42994|5.6|EK21||K1.5|1.63685|5.6|3.2019|5.6|EK1.5||EAHS|","","https://www.oddsportal.com/tennis/spain/itf-w100-zaragoza-women/bulgaru-miriam-bianca-martincova-tereza-S2UqWp66/inplay-odds/","","","","","","","","","","","","","","","","G"
"CSV","0000065","20240410|104341","20240408_1541304_009391_018454","R04_1_ESP_W100 Zaragoza","Hesse","Shymanovich","|K|0.320186|EK|G||OL1|3.20825|EOL1|OL2|1.5762|EOL2|OH1|4.1629|EOH1|OH2|2.072|EOH2|EG|NA|NOT|ENA||AH-5.5|6.75|659.225|1.207|117.882|AH-5|6.75|659.225|1.305|127.444|AH-4|4.755|464.376|1.415|138.201|AH-3.5|3.705|361.771|1.415|138.201|AH-3|3.705|361.771|1.445|141.11|AH-2.5|3.515|343.249|1.445|141.11|AH-2|3.515|343.249|1.537|150.1|AH-1.5|3.068|299.603|1.537|150.1||AH1.5|2.869|275.09|1.639|157.113|AH2|2.869|275.09|1.679|161.012|AH2.5|2.752|263.901|1.679|161.012|AH3|2.752|263.901|1.87|179.265|AH3.5|2.359|226.16|1.87|179.265|AH4|2.359|226.16|2.275|218.08|AH4.5|1.926|184.688|2.275|218.08|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.79104|1|1.5|1|EK-1.5||K21|9.67605|1|4.86425|5.6|EK21||K1.5|2.00738|5.6|2.44113|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-w100-zaragoza-women/hesse-amandine-shymanovich-iryna-EJlxElH6/#ah;2;4.50;2","4.5","1.89","1.85","","","","","1.89","1.85","","","","","","",""
"CSV","0000065","20240410|104343","20240408_1541304_009391_018454","R04_1_ESP_W100 Zaragoza","Hesse","Shymanovich","|K|0.320186|EK|G||OL1|3.20825|EOL1|OL2|1.5762|EOL2|OH1|4.1629|EOH1|OH2|2.072|EOH2|EG|NA|NOT|ENA||AH-5.5|6.75|659.225|1.207|117.882|AH-5|6.75|659.225|1.305|127.444|AH-4|4.755|464.376|1.415|138.201|AH-3.5|3.705|361.771|1.415|138.201|AH-3|3.705|361.771|1.445|141.11|AH-2.5|3.515|343.249|1.445|141.11|AH-2|3.515|343.249|1.537|150.1|AH-1.5|3.068|299.603|1.537|150.1||AH1.5|2.869|275.09|1.639|157.113|AH2|2.869|275.09|1.679|161.012|AH2.5|2.752|263.901|1.679|161.012|AH3|2.752|263.901|1.87|179.265|AH3.5|2.359|226.16|1.87|179.265|AH4|2.359|226.16|2.275|218.08|AH4.5|1.926|184.688|2.275|218.08|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.79104|1|1.5|1|EK-1.5||K21|9.67605|1|4.86425|5.6|EK21||K1.5|2.00738|5.6|2.44113|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-w100-zaragoza-women/hesse-amandine-shymanovich-iryna-EJlxElH6/#ah;2;3.50;2","3.5","2.1","1.68","","","","","2.1","1.68","","","","","","",""
"CSV","0000065","20240410|104347","20240408_1541304_009391_018454","R04_1_ESP_W100 Zaragoza","Hesse","Shymanovich","|K|0.320186|EK|G||OL1|3.20825|EOL1|OL2|1.5762|EOL2|OH1|4.1629|EOH1|OH2|2.072|EOH2|EG|NA|NOT|ENA||AH-5.5|6.75|659.225|1.207|117.882|AH-5|6.75|659.225|1.305|127.444|AH-4|4.755|464.376|1.415|138.201|AH-3.5|3.705|361.771|1.415|138.201|AH-3|3.705|361.771|1.445|141.11|AH-2.5|3.515|343.249|1.445|141.11|AH-2|3.515|343.249|1.537|150.1|AH-1.5|3.068|299.603|1.537|150.1||AH1.5|2.869|275.09|1.639|157.113|AH2|2.869|275.09|1.679|161.012|AH2.5|2.752|263.901|1.679|161.012|AH3|2.752|263.901|1.87|179.265|AH3.5|2.359|226.16|1.87|179.265|AH4|2.359|226.16|2.275|218.08|AH4.5|1.926|184.688|2.275|218.08|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.79104|1|1.5|1|EK-1.5||K21|9.67605|1|4.86425|5.6|EK21||K1.5|2.00738|5.6|2.44113|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/itf-w100-zaragoza-women/hesse-amandine-shymanovich-iryna-EJlxElH6/#ah;2;1.50;1","1.5","1.9","1.84","","","","","1.9","1.84","","","","","","",""
