"CSM","0000001","20240411|151548","20240408_1962709_016996_050382","R09_1_KOR_Busan Challenger","Uchiyama","Jubb","|K|0.388367|EK|G||OL1|2.7477|EOL1|OL2|1.7302|EOL2|OH1|1|EOH1|OH2|164|EOH2|EG|NA||NAOL1|2.8638|ENAOL1|NAOL2|1.7302|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|4.311|406.674|1000|1000|AH-2.5|3.448|325.264|1000|1000|AH-2|3.448|325.264|1000|1000|AH-1.5|3.047|287.449|1000|1000||AH1.5|2.501|227.407|1000|1000|AH2|2.501|227.407|1000|1000|AH2.5|2.265|205.935|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.33081|6|1.54|6|EK-1.5||K21|6.39821|1|4.96796|6|EK21||K1.5|1.67552|6|2.95469|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/south-korea/busan-challenger-men/uchiyama-yasutaka-jubb-paul-UwPOaPM0/","","2.16","1.74","","","2.14","1.7","2.16","1.74","","","","","","",""
"CSM","0000002","20240411|151604","20240408_1962709_071166_028074","R09_1_KOR_Busan Challenger","Wong","Hong","|K|0.47641|EK|G||OL1|2.2365|EOL1|OL2|2.03415|EOL2|OH1|210|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.331|ENAOL1|NAOL2|2.1201|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.703|349.334|1.609|151.807|AH-2.5|3.106|293.025|1.609|151.807|AH-2|3.106|293.025|1.726|162.808|AH-1.5|2.748|259.216|1.726|162.808||AH1.5|2.339|212.626|2.077|188.79|AH2|2.339|212.626|2.268|206.154|AH2.5|2.136|194.202|2.268|206.154|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.62672|6|1.54|6|EK-1.5||K21|6.23066|1|5.1787|6|EK21||K1.5|1.54|6|3.47268|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/south-korea/busan-challenger-men/wong-chak-lam-coleman-hong-seong-chan-4zlobiUb/#ah;2;1.50;2","1.5","1.88","1.97","","","1.82","1.94","1.88","1.97","","","","","","",""
"CSM","0000002","20240411|151606","20240408_1962709_071166_028074","R09_1_KOR_Busan Challenger","Wong","Hong","|K|0.47641|EK|G||OL1|2.2365|EOL1|OL2|2.03415|EOL2|OH1|210|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.331|ENAOL1|NAOL2|2.1201|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.703|349.334|1.609|151.807|AH-2.5|3.106|293.025|1.609|151.807|AH-2|3.106|293.025|1.726|162.808|AH-1.5|2.748|259.216|1.726|162.808||AH1.5|2.339|212.626|2.077|188.79|AH2|2.339|212.626|2.268|206.154|AH2.5|2.136|194.202|2.268|206.154|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.62672|6|1.54|6|EK-1.5||K21|6.23066|1|5.1787|6|EK21||K1.5|1.54|6|3.47268|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/south-korea/busan-challenger-men/wong-chak-lam-coleman-hong-seong-chan-4zlobiUb/#ah;2;0.50;2","0.5","2.06","1.81","","","","","2.06","1.81","","","","","","",""
"CSM","0000002","20240411|151611","20240408_1962709_071166_028074","R09_1_KOR_Busan Challenger","Wong","Hong","|K|0.47641|EK|G||OL1|2.2365|EOL1|OL2|2.03415|EOL2|OH1|210|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.331|ENAOL1|NAOL2|2.1201|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.703|349.334|1.609|151.807|AH-2.5|3.106|293.025|1.609|151.807|AH-2|3.106|293.025|1.726|162.808|AH-1.5|2.748|259.216|1.726|162.808||AH1.5|2.339|212.626|2.077|188.79|AH2|2.339|212.626|2.268|206.154|AH2.5|2.136|194.202|2.268|206.154|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.62672|6|1.54|6|EK-1.5||K21|6.23066|1|5.1787|6|EK21||K1.5|1.54|6|3.47268|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/south-korea/busan-challenger-men/wong-chak-lam-coleman-hong-seong-chan-4zlobiUb/#ah;2;1.50;1","1.5","1.41","3.02","","","1.4","2.85","1.41","3.02","","","","","","",""
"CSM","0000002","20240411|151609","20240408_1962709_071166_028074","R09_1_KOR_Busan Challenger","Wong","Hong","|K|0.47641|EK|G||OL1|2.2365|EOL1|OL2|2.03415|EOL2|OH1|210|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.331|ENAOL1|NAOL2|2.1201|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.703|349.334|1.609|151.807|AH-2.5|3.106|293.025|1.609|151.807|AH-2|3.106|293.025|1.726|162.808|AH-1.5|2.748|259.216|1.726|162.808||AH1.5|2.339|212.626|2.077|188.79|AH2|2.339|212.626|2.268|206.154|AH2.5|2.136|194.202|2.268|206.154|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.62672|6|1.54|6|EK-1.5||K21|6.23066|1|5.1787|6|EK21||K1.5|1.54|6|3.47268|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/south-korea/busan-challenger-men/wong-chak-lam-coleman-hong-seong-chan-4zlobiUb/#ah;2;-1.50;1","-1.5","3.96","1.27","","","3.6","1.28","3.96","1.28","","","","","","",""
"CSM","0000002","20240411|151558","20240408_1962709_071166_028074","R09_1_KOR_Busan Challenger","Wong","Hong","|K|0.47641|EK|G||OL1|2.2365|EOL1|OL2|2.03415|EOL2|OH1|210|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.331|ENAOL1|NAOL2|2.1201|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.703|349.334|1.609|151.807|AH-2.5|3.106|293.025|1.609|151.807|AH-2|3.106|293.025|1.726|162.808|AH-1.5|2.748|259.216|1.726|162.808||AH1.5|2.339|212.626|2.077|188.79|AH2|2.339|212.626|2.268|206.154|AH2.5|2.136|194.202|2.268|206.154|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.62672|6|1.54|6|EK-1.5||K21|6.23066|1|5.1787|6|EK21||K1.5|1.54|6|3.47268|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/south-korea/busan-challenger-men/wong-chak-lam-coleman-hong-seong-chan-4zlobiUb/","","2.14","1.75","","","2.08","1.74","2.14","1.75","","","","","","",""
"CSV","0000003","20240411|151616","20240408_1540309_058588_014744","R09_1_CHN_W50 Shenzhen","Wei","Liu","|K|0.726841|EK|G||OL1|1.4697|EOL1|OL2|3.76175|EOL2|OH1|1.932|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.221|216.851|1.9|185.579|AH-5|2.221|216.851|2.262|220.918|AH-4|1.871|182.701|2.839|277.253|AH-3.5|1.602|156.417|2.839|277.253|AH-3|1.602|156.417|3.535|345.258|AH-2.5|1.442|140.773|3.535|345.258|AH-2|1.442|140.773|3.742|365.452|AH-1.5|1.41|137.672|3.742|365.452||AH1.5|1.345|128.907|4.651|445.936|AH2|1.345|128.907|4.801|460.309|AH2.5|1.332|127.754|4.801|460.309|AH3|1.332|127.754|4.308|413.06|AH3.5|1.376|131.943|4.308|413.06|AH4|1.376|131.943|5.021|481.43|AH4.5|1.316|126.217|5.021|481.43|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.43613|5.6|2.01131|5.6|EK-1.5||K21|5.10992|5.6|9.97559|1|EK21||K1.5|1.5|1|6.31723|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/china/itf-w50-shenzhen-women/wei-sijia-liu-fangzhou-pY5SG2u2/","","1.36","3.0","","","","","1.36","3.0","","","","","","",""
"CSV","0000004","20240411|151633","20240408_1540309_026193_009752","R09_1_CHN_W50 Shenzhen","Zheng","Savinykh","|K|0.361723|EK|G||OL1|2.83925|EOL1|OL2|1.67205|EOL2|OH1|3.6841|EOH1|OH2|2.198|EOH2|EG|NA|NOT|ENA||AH-5.5|5.645|551.284|1.251|122.159|AH-5|5.645|551.284|1.348|131.599|AH-4|4.265|416.468|1.438|140.431|AH-3.5|3.557|347.333|1.438|140.431|AH-3|3.557|347.333|1.43|139.63|AH-2.5|3.608|352.336|1.43|139.63|AH-2|3.608|352.336|1.46|142.59|AH-1.5|3.428|334.795|1.46|142.59||AH1.5|2.908|278.814|1.626|155.924|AH2|2.908|278.814|1.626|155.873|AH2.5|2.91|278.976|1.626|155.873|AH3|2.91|278.976|1.837|176.143|AH3.5|2.413|231.331|1.837|176.143|AH4|2.413|231.331|2.24|214.762|AH4.5|1.952|187.137|2.24|214.762|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.6056|5.6|1.5|1|EK-1.5||K21|9.99837|1|5.09054|5.6|EK21||K1.5|1.76712|5.6|2.8475|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/itf-w50-shenzhen-women/zheng-wushuang-savinykh-valeria-rNbbDTY9/#ah;2;3.50;2","3.5","1.91","1.85","","","","","1.91","1.85","","","","","","",""
"CSV","0000004","20240411|151635","20240408_1540309_026193_009752","R09_1_CHN_W50 Shenzhen","Zheng","Savinykh","|K|0.361723|EK|G||OL1|2.83925|EOL1|OL2|1.67205|EOL2|OH1|3.6841|EOH1|OH2|2.198|EOH2|EG|NA|NOT|ENA||AH-5.5|5.645|551.284|1.251|122.159|AH-5|5.645|551.284|1.348|131.599|AH-4|4.265|416.468|1.438|140.431|AH-3.5|3.557|347.333|1.438|140.431|AH-3|3.557|347.333|1.43|139.63|AH-2.5|3.608|352.336|1.43|139.63|AH-2|3.608|352.336|1.46|142.59|AH-1.5|3.428|334.795|1.46|142.59||AH1.5|2.908|278.814|1.626|155.924|AH2|2.908|278.814|1.626|155.873|AH2.5|2.91|278.976|1.626|155.873|AH3|2.91|278.976|1.837|176.143|AH3.5|2.413|231.331|1.837|176.143|AH4|2.413|231.331|2.24|214.762|AH4.5|1.952|187.137|2.24|214.762|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.6056|5.6|1.5|1|EK-1.5||K21|9.99837|1|5.09054|5.6|EK21||K1.5|1.76712|5.6|2.8475|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/itf-w50-shenzhen-women/zheng-wushuang-savinykh-valeria-rNbbDTY9/#ah;2;2.50;2","2.5","2.16","1.66","","","","","2.16","1.66","","","","","","",""
"CSV","0000004","20240411|151640","20240408_1540309_026193_009752","R09_1_CHN_W50 Shenzhen","Zheng","Savinykh","|K|0.361723|EK|G||OL1|2.83925|EOL1|OL2|1.67205|EOL2|OH1|3.6841|EOH1|OH2|2.198|EOH2|EG|NA|NOT|ENA||AH-5.5|5.645|551.284|1.251|122.159|AH-5|5.645|551.284|1.348|131.599|AH-4|4.265|416.468|1.438|140.431|AH-3.5|3.557|347.333|1.438|140.431|AH-3|3.557|347.333|1.43|139.63|AH-2.5|3.608|352.336|1.43|139.63|AH-2|3.608|352.336|1.46|142.59|AH-1.5|3.428|334.795|1.46|142.59||AH1.5|2.908|278.814|1.626|155.924|AH2|2.908|278.814|1.626|155.873|AH2.5|2.91|278.976|1.626|155.873|AH3|2.91|278.976|1.837|176.143|AH3.5|2.413|231.331|1.837|176.143|AH4|2.413|231.331|2.24|214.762|AH4.5|1.952|187.137|2.24|214.762|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.6056|5.6|1.5|1|EK-1.5||K21|9.99837|1|5.09054|5.6|EK21||K1.5|1.76712|5.6|2.8475|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/itf-w50-shenzhen-women/zheng-wushuang-savinykh-valeria-rNbbDTY9/#ah;2;1.50;1","1.5","1.72","2.06","","","","","1.72","2.06","","","","","","",""
"CSV","0000004","20240411|151638","20240408_1540309_026193_009752","R09_1_CHN_W50 Shenzhen","Zheng","Savinykh","|K|0.361723|EK|G||OL1|2.83925|EOL1|OL2|1.67205|EOL2|OH1|3.6841|EOH1|OH2|2.198|EOH2|EG|NA|NOT|ENA||AH-5.5|5.645|551.284|1.251|122.159|AH-5|5.645|551.284|1.348|131.599|AH-4|4.265|416.468|1.438|140.431|AH-3.5|3.557|347.333|1.438|140.431|AH-3|3.557|347.333|1.43|139.63|AH-2.5|3.608|352.336|1.43|139.63|AH-2|3.608|352.336|1.46|142.59|AH-1.5|3.428|334.795|1.46|142.59||AH1.5|2.908|278.814|1.626|155.924|AH2|2.908|278.814|1.626|155.873|AH2.5|2.91|278.976|1.626|155.873|AH3|2.91|278.976|1.837|176.143|AH3.5|2.413|231.331|1.837|176.143|AH4|2.413|231.331|2.24|214.762|AH4.5|1.952|187.137|2.24|214.762|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.6056|5.6|1.5|1|EK-1.5||K21|9.99837|1|5.09054|5.6|EK21||K1.5|1.76712|5.6|2.8475|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/itf-w50-shenzhen-women/zheng-wushuang-savinykh-valeria-rNbbDTY9/#ah;2;-1.50;1","-1.5","4.29","1.2","","","","","4.29","1.2","","","","","","",""
