"FDM","0000001","20240412|143905","20240408_1966010_099065_110180","R10_0_CHI_M15 Quillota","Becerra Otarola/Nunez","Otegui/Perez","|K|0.446427|EK|G||OL1|2.3625|EOL1|OL2|1.85887|EOL2|OH1|3.825|EOH1|OH2|181|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/chile/itf-m15-quillota-men-doubles/becerra-otarola-ignacio-antonio-nunez-daniel-antonio-otegui-juan-bautista-perez-brandon-z1mNtAEl/","","","","","","","","2.1","1.6","","","","","","",""
"FDM","0000002","20240412|143909","20240408_1966010_108868_110275","R10_0_CHI_M15 Quillota","Roncadelli/Saraiva Dos Santos","Altamirano/Vega","|K|0.811302|EK|G||OL1|1.27348|EOL1|OL2|5.565|EOL2|OH1|124|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/chile/itf-m15-quillota-men-doubles/roncadelli-franco-saraiva-dos-santos-paulo-andre-altamirano-collin-vega-leonardo-SfQeQlU7/","","","","","","","","1.1","5.85","","","","","","",""
"CDM","0000003","20240412|143913","20240408_1962910_095781_103878","R10_1_MEX_Cuernavaca Challenger","Bollipalli/Kaliyanda Poonacha","Matuszewski/Romios","|K|0.566014|EK|G||OL1|1.78221|EOL1|OL2|2.34927|EOL2|OH1|2.655|EOH1|OH2|231|EOH2|EG|NA||NAOL1|1.95231|ENAOL1|NAOL2|2.50173|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/mexico/morelos-challenger-men-doubles/bollipalli-rithvik-kaliyanda-poonacha-niki-matuszewski-piotr-romios-matthew-christopher-QTbsPpmn/","","","","","","","","1.72","2.2","","","","","","",""
"CSM","0000004","20240412|143924","20240408_1962909_071174_028895","R09_1_MEX_Cuernavaca Challenger","Mpetshi Perricard","Janvier","|K|0.706763|EK|G||OL1|1.4981|EOL1|OL2|3.6423|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4981|ENAOL1|NAOL2|3.7962|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|2.875|271.195|AH-2.5|1000|1000|2.875|271.195|AH-2|1000|1000|3.623|341.777|AH-1.5|1000|1000|3.623|341.777||AH1.5|1000|1000|6.083|553.02|AH2|1000|1000|9.166|833.285|AH2.5|1000|1000|9.166|833.285|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.4334|6|1.93012|6|EK-1.5||K21|3.92213|6|7.11459|1|EK21||K1.5|1.54|6|8.53095|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/morelos-challenger-men/mpetshi-perricard-giovanni-janvier-maxime-hGYPzc4l/#ah;2;-2.50;2","-2.5","1.96","1.89","","","1.9","1.86","1.96","1.89","","","","","","",""
"CSM","0000004","20240412|143926","20240408_1962909_071174_028895","R09_1_MEX_Cuernavaca Challenger","Mpetshi Perricard","Janvier","|K|0.706763|EK|G||OL1|1.4981|EOL1|OL2|3.6423|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4981|ENAOL1|NAOL2|3.7962|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|2.875|271.195|AH-2.5|1000|1000|2.875|271.195|AH-2|1000|1000|3.623|341.777|AH-1.5|1000|1000|3.623|341.777||AH1.5|1000|1000|6.083|553.02|AH2|1000|1000|9.166|833.285|AH2.5|1000|1000|9.166|833.285|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.4334|6|1.93012|6|EK-1.5||K21|3.92213|6|7.11459|1|EK21||K1.5|1.54|6|8.53095|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/morelos-challenger-men/mpetshi-perricard-giovanni-janvier-maxime-hGYPzc4l/#ah;2;-3.50;2","-3.5","2.66","1.51","","","","","2.66","1.51","","","","","","",""
"CSM","0000004","20240412|143930","20240408_1962909_071174_028895","R09_1_MEX_Cuernavaca Challenger","Mpetshi Perricard","Janvier","|K|0.706763|EK|G||OL1|1.4981|EOL1|OL2|3.6423|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4981|ENAOL1|NAOL2|3.7962|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|2.875|271.195|AH-2.5|1000|1000|2.875|271.195|AH-2|1000|1000|3.623|341.777|AH-1.5|1000|1000|3.623|341.777||AH1.5|1000|1000|6.083|553.02|AH2|1000|1000|9.166|833.285|AH2.5|1000|1000|9.166|833.285|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.4334|6|1.93012|6|EK-1.5||K21|3.92213|6|7.11459|1|EK21||K1.5|1.54|6|8.53095|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/morelos-challenger-men/mpetshi-perricard-giovanni-janvier-maxime-hGYPzc4l/#ah;2;1.50;1","1.5","1.21","4.79","","","1.17","5.1","1.21","5.1","","","","","","",""
"CSM","0000004","20240412|143928","20240408_1962909_071174_028895","R09_1_MEX_Cuernavaca Challenger","Mpetshi Perricard","Janvier","|K|0.706763|EK|G||OL1|1.4981|EOL1|OL2|3.6423|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4981|ENAOL1|NAOL2|3.7962|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|2.875|271.195|AH-2.5|1000|1000|2.875|271.195|AH-2|1000|1000|3.623|341.777|AH-1.5|1000|1000|3.623|341.777||AH1.5|1000|1000|6.083|553.02|AH2|1000|1000|9.166|833.285|AH2.5|1000|1000|9.166|833.285|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.4334|6|1.93012|6|EK-1.5||K21|3.92213|6|7.11459|1|EK21||K1.5|1.54|6|8.53095|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/morelos-challenger-men/mpetshi-perricard-giovanni-janvier-maxime-hGYPzc4l/#ah;2;-1.50;1","-1.5","2.19","1.72","","","2.35","1.57","2.35","1.72","","","","","","",""
"CSM","0000004","20240412|143917","20240408_1962909_071174_028895","R09_1_MEX_Cuernavaca Challenger","Mpetshi Perricard","Janvier","|K|0.706763|EK|G||OL1|1.4981|EOL1|OL2|3.6423|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4981|ENAOL1|NAOL2|3.7962|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|2.875|271.195|AH-2.5|1000|1000|2.875|271.195|AH-2|1000|1000|3.623|341.777|AH-1.5|1000|1000|3.623|341.777||AH1.5|1000|1000|6.083|553.02|AH2|1000|1000|9.166|833.285|AH2.5|1000|1000|9.166|833.285|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.4334|6|1.93012|6|EK-1.5||K21|3.92213|6|7.11459|1|EK21||K1.5|1.54|6|8.53095|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/morelos-challenger-men/mpetshi-perricard-giovanni-janvier-maxime-hGYPzc4l/","","1.48","2.76","","","1.47","2.65","1.48","2.76","","","","","","",""
"CSV","0000005","20240412|143941","20240408_1540310_058588_009752","R10_1_CHN_W50 Shenzhen","Wei","Savinykh","|K|0.623888|EK|G||OL1|1.71465|EOL1|OL2|2.7265|EOL2|OH1|2.254|EOH1|OH2|3.5378|EOH2|EG|NA|NOT|ENA||AH-5.5|2.786|272.116|1.619|158.1|AH-5|2.786|272.116|1.81|176.743|AH-4|2.358|230.304|2.003|195.631|AH-3.5|2.095|204.569|2.003|195.631|AH-3|2.095|204.569|2.228|217.583|AH-2.5|1.895|185.046|2.228|217.583|AH-2|1.895|185.046|2.271|221.801|AH-1.5|1.865|182.101|2.271|221.801||AH1.5|1.704|163.34|2.69|257.877|AH2|1.704|163.34|2.805|268.946|AH2.5|1.66|159.19|2.805|268.946|AH3|1.66|159.19|2.94|281.896|AH3.5|1.616|154.976|2.94|281.896|AH4|1.616|154.976|3.824|366.606|AH4.5|1.434|137.508|3.824|366.606|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.6578|5.6|1.86271|5.6|EK-1.5||K21|5.88339|5.6|7.54239|5.6|EK21||K1.5|1.5|1|5.36242|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/itf-w50-shenzhen-women/wei-sijia-savinykh-valeria-hlGkPuOP/#ah;2;-3.50;2","-3.5","1.91","1.85","","","","","1.91","1.85","","","","","","",""
"CSV","0000005","20240412|143944","20240408_1540310_058588_009752","R10_1_CHN_W50 Shenzhen","Wei","Savinykh","|K|0.623888|EK|G||OL1|1.71465|EOL1|OL2|2.7265|EOL2|OH1|2.254|EOH1|OH2|3.5378|EOH2|EG|NA|NOT|ENA||AH-5.5|2.786|272.116|1.619|158.1|AH-5|2.786|272.116|1.81|176.743|AH-4|2.358|230.304|2.003|195.631|AH-3.5|2.095|204.569|2.003|195.631|AH-3|2.095|204.569|2.228|217.583|AH-2.5|1.895|185.046|2.228|217.583|AH-2|1.895|185.046|2.271|221.801|AH-1.5|1.865|182.101|2.271|221.801||AH1.5|1.704|163.34|2.69|257.877|AH2|1.704|163.34|2.805|268.946|AH2.5|1.66|159.19|2.805|268.946|AH3|1.66|159.19|2.94|281.896|AH3.5|1.616|154.976|2.94|281.896|AH4|1.616|154.976|3.824|366.606|AH4.5|1.434|137.508|3.824|366.606|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.6578|5.6|1.86271|5.6|EK-1.5||K21|5.88339|5.6|7.54239|5.6|EK21||K1.5|1.5|1|5.36242|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/itf-w50-shenzhen-women/wei-sijia-savinykh-valeria-hlGkPuOP/#ah;2;-4.50;2","-4.5","2.24","1.62","","","","","2.24","1.62","","","","","","",""
"CSV","0000005","20240412|143948","20240408_1540310_058588_009752","R10_1_CHN_W50 Shenzhen","Wei","Savinykh","|K|0.623888|EK|G||OL1|1.71465|EOL1|OL2|2.7265|EOL2|OH1|2.254|EOH1|OH2|3.5378|EOH2|EG|NA|NOT|ENA||AH-5.5|2.786|272.116|1.619|158.1|AH-5|2.786|272.116|1.81|176.743|AH-4|2.358|230.304|2.003|195.631|AH-3.5|2.095|204.569|2.003|195.631|AH-3|2.095|204.569|2.228|217.583|AH-2.5|1.895|185.046|2.228|217.583|AH-2|1.895|185.046|2.271|221.801|AH-1.5|1.865|182.101|2.271|221.801||AH1.5|1.704|163.34|2.69|257.877|AH2|1.704|163.34|2.805|268.946|AH2.5|1.66|159.19|2.805|268.946|AH3|1.66|159.19|2.94|281.896|AH3.5|1.616|154.976|2.94|281.896|AH4|1.616|154.976|3.824|366.606|AH4.5|1.434|137.508|3.824|366.606|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.6578|5.6|1.86271|5.6|EK-1.5||K21|5.88339|5.6|7.54239|5.6|EK21||K1.5|1.5|1|5.36242|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/itf-w50-shenzhen-women/wei-sijia-savinykh-valeria-hlGkPuOP/#ah;2;1.50;1","1.5","1.21","4.23","","","","","1.21","4.23","","","","","","",""
