"FSM","0000007","20240416|132434","20240415_1966904_085973_067172","R04_0_CHI_M15 Santiago","Torres","Saraiva Dos Santos","|K|0.0591535|EK|G||OL1|17.3158|EOL1|OL2|1.15|EOL2|OH1|1|EOH1|OH2|107|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1e+006|1e+006|100.06|100.06|AH-3.5|165973|165973|100.06|100.06|AH-3|165973|165973|102.932|102.932|AH-2.5|3510.15|3510.15|102.932|102.932|AH-2|3510.15|3510.15|104.265|104.265|AH-1.5|2444.46|2444.46|104.265|104.265||AH1.5|897.155|897.155|112.545|112.545|AH2|897.155|897.155|118.457|118.457|AH2.5|641.813|641.813|118.457|118.457|AH3|641.813|641.813|126.754|126.754|AH3.5|473.776|473.776|126.754|126.754|AH4|473.776|473.776|144.215|144.215|AH4.5|326.166|326.166|144.215|144.215|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","",""
"FSM","0000008","20240416|132446","20240415_1966304_056420_080639","R04_0_ITA_M25 Santa Margherita di Pula","Krutykh","Caruso","|K|0.9999|EK|G||OL1|1.15|EOL1|OL2|10240|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|130.808|130.808|843.678|843.678|AH-3.5|113.447|113.447|843.678|843.678|AH-3|113.447|113.447|1942.65|1942.65|AH-2.5|105.427|105.427|1942.65|1942.65|AH-2|105.427|105.427|7423.61|7423.61|AH-1.5|101.365|101.365|7423.61|7423.61||AH1.5|100.01|100.01|1e+006|1e+006|AH2|100.01|100.01|1e+006|1e+006|AH2.5|100.01|100.01|1e+006|1e+006|AH3|100.01|100.01|1e+006|1e+006|AH3.5|100.01|100.01|1e+006|1e+006|AH4|100.01|100.01|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/italy/itf-m25-santa-margherita-di-pula-4-men/krutykh-oleksii-caruso-antonio-KluKbQXg/#ah;2;-6.50;2","-6.5","","","","","","","","","","","","","","",""
"FSM","0000008","20240416|132445","20240415_1966304_056420_080639","R04_0_ITA_M25 Santa Margherita di Pula","Krutykh","Caruso","|K|0.9999|EK|G||OL1|1.15|EOL1|OL2|10240|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|130.808|130.808|843.678|843.678|AH-3.5|113.447|113.447|843.678|843.678|AH-3|113.447|113.447|1942.65|1942.65|AH-2.5|105.427|105.427|1942.65|1942.65|AH-2|105.427|105.427|7423.61|7423.61|AH-1.5|101.365|101.365|7423.61|7423.61||AH1.5|100.01|100.01|1e+006|1e+006|AH2|100.01|100.01|1e+006|1e+006|AH2.5|100.01|100.01|1e+006|1e+006|AH3|100.01|100.01|1e+006|1e+006|AH3.5|100.01|100.01|1e+006|1e+006|AH4|100.01|100.01|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/italy/itf-m25-santa-margherita-di-pula-4-men/krutykh-oleksii-caruso-antonio-KluKbQXg/#ah;2;-7.50;2","-7.5","1.9","1.81","","","","","1.9","1.81","","","","","","",""
"FSM","0000008","20240416|132449","20240415_1966304_056420_080639","R04_0_ITA_M25 Santa Margherita di Pula","Krutykh","Caruso","|K|0.9999|EK|G||OL1|1.15|EOL1|OL2|10240|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|130.808|130.808|843.678|843.678|AH-3.5|113.447|113.447|843.678|843.678|AH-3|113.447|113.447|1942.65|1942.65|AH-2.5|105.427|105.427|1942.65|1942.65|AH-2|105.427|105.427|7423.61|7423.61|AH-1.5|101.365|101.365|7423.61|7423.61||AH1.5|100.01|100.01|1e+006|1e+006|AH2|100.01|100.01|1e+006|1e+006|AH2.5|100.01|100.01|1e+006|1e+006|AH3|100.01|100.01|1e+006|1e+006|AH3.5|100.01|100.01|1e+006|1e+006|AH4|100.01|100.01|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/italy/itf-m25-santa-margherita-di-pula-4-men/krutykh-oleksii-caruso-antonio-KluKbQXg/#ah;2;1.50;1","1.5","","","","","","","","","","","","","","",""
"FSM","0000008","20240416|132447","20240415_1966304_056420_080639","R04_0_ITA_M25 Santa Margherita di Pula","Krutykh","Caruso","|K|0.9999|EK|G||OL1|1.15|EOL1|OL2|10240|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|130.808|130.808|843.678|843.678|AH-3.5|113.447|113.447|843.678|843.678|AH-3|113.447|113.447|1942.65|1942.65|AH-2.5|105.427|105.427|1942.65|1942.65|AH-2|105.427|105.427|7423.61|7423.61|AH-1.5|101.365|101.365|7423.61|7423.61||AH1.5|100.01|100.01|1e+006|1e+006|AH2|100.01|100.01|1e+006|1e+006|AH2.5|100.01|100.01|1e+006|1e+006|AH3|100.01|100.01|1e+006|1e+006|AH3.5|100.01|100.01|1e+006|1e+006|AH4|100.01|100.01|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/italy/itf-m25-santa-margherita-di-pula-4-men/krutykh-oleksii-caruso-antonio-KluKbQXg/#ah;2;-1.50;1","-1.5","","","","","","","","","","","","","","",""
"FSM","0000008","20240416|132440","20240415_1966304_056420_080639","R04_0_ITA_M25 Santa Margherita di Pula","Krutykh","Caruso","|K|0.9999|EK|G||OL1|1.15|EOL1|OL2|10240|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|130.808|130.808|843.678|843.678|AH-3.5|113.447|113.447|843.678|843.678|AH-3|113.447|113.447|1942.65|1942.65|AH-2.5|105.427|105.427|1942.65|1942.65|AH-2|105.427|105.427|7423.61|7423.61|AH-1.5|101.365|101.365|7423.61|7423.61||AH1.5|100.01|100.01|1e+006|1e+006|AH2|100.01|100.01|1e+006|1e+006|AH2.5|100.01|100.01|1e+006|1e+006|AH3|100.01|100.01|1e+006|1e+006|AH3.5|100.01|100.01|1e+006|1e+006|AH4|100.01|100.01|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/italy/itf-m25-santa-margherita-di-pula-4-men/krutykh-oleksii-caruso-antonio-KluKbQXg/","","","","","","1.02","10.0","1.02","10.0","","","","","","",""
"FSM","0000009","20240416|132449","20240415_1966704_090015_080945","R04_0_SRB_M15 Kursumlijska Banja","Tammaro","Djuric","|K|0.320007|EK|G||OL1|3.20512|EOL1|OL2|1.57472|EOL2|OH1|1|EOH1|OH2|148|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|805.028|805.028|124.368|124.368|AH-3.5|510.372|510.372|124.368|124.368|AH-3|510.372|510.372|133.615|133.615|AH-2.5|397.489|397.489|133.615|133.615|AH-2|397.489|397.489|140.448|140.448|AH-1.5|347.232|347.232|140.448|140.448||AH1.5|274.653|274.653|157.256|157.256|AH2|274.653|274.653|168.32|168.32|AH2.5|246.37|246.37|168.32|168.32|AH3|246.37|246.37|186.906|186.906|AH3.5|215.067|215.067|186.906|186.906|AH4|215.067|215.067|230.638|230.638|AH4.5|176.547|176.547|230.638|230.638|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","",""
"CDM","0000010","20240416|132452","20240415_1963604_027486_098296","R04_1_ARG_San Miguel de Tucuman Challenger","Collarini/Olivo","Cundom/Simonit","|K|0.782301|EK|G||OL1|1.28883|EOL1|OL2|4.6782|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.41184|ENAOL1|NAOL2|4.9818|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/argentina/san-miguel-de-tucuman-challenger-men-doubles/collarini-andrea-olivo-renzo-cundom-julian-simonit-ezequiel-EPoz7zQ1/","","","","","","","","","","","","","","","",""
"CSM","0000011","20240416|132504","20240415_1963204_032703_071836","R04_1_MEX_Acapulco Challenger","Brouwer","Palan","|K|0.723582|EK|G||OL1|1.46645|EOL1|OL2|3.8553|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.46645|ENAOL1|NAOL2|4.0182|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.987|187.426|2.853|269.135|AH-2.5|1.687|159.124|2.853|269.135|AH-2|1.687|159.124|3.519|331.956|AH-1.5|1.517|143.112|3.519|331.956||AH1.5|1.388|126.196|5.299|481.744|AH2|1.388|126.196|6.274|570.402|AH2.5|1.334|121.258|6.274|570.402|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.1746|6|2.15055|6|EK-1.5||K21|4.15893|6|7.19858|1|EK21||K1.5|1.54|6|11.8702|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/acapulco-challenger-men/brouwer-gijs-palan-dominik-GAPKt2Qq/#ah;2;-3.50;2","-3.5","1.89","1.93","","","","","1.89","1.93","","","","","","",""
"CSM","0000011","20240416|132505","20240415_1963204_032703_071836","R04_1_MEX_Acapulco Challenger","Brouwer","Palan","|K|0.723582|EK|G||OL1|1.46645|EOL1|OL2|3.8553|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.46645|ENAOL1|NAOL2|4.0182|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.987|187.426|2.853|269.135|AH-2.5|1.687|159.124|2.853|269.135|AH-2|1.687|159.124|3.519|331.956|AH-1.5|1.517|143.112|3.519|331.956||AH1.5|1.388|126.196|5.299|481.744|AH2|1.388|126.196|6.274|570.402|AH2.5|1.334|121.258|6.274|570.402|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.1746|6|2.15055|6|EK-1.5||K21|4.15893|6|7.19858|1|EK21||K1.5|1.54|6|11.8702|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/acapulco-challenger-men/brouwer-gijs-palan-dominik-GAPKt2Qq/#ah;2;-4.50;2","-4.5","2.42","1.57","","","","","2.42","1.57","","","","","","",""
"CSM","0000011","20240416|132508","20240415_1963204_032703_071836","R04_1_MEX_Acapulco Challenger","Brouwer","Palan","|K|0.723582|EK|G||OL1|1.46645|EOL1|OL2|3.8553|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.46645|ENAOL1|NAOL2|4.0182|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.987|187.426|2.853|269.135|AH-2.5|1.687|159.124|2.853|269.135|AH-2|1.687|159.124|3.519|331.956|AH-1.5|1.517|143.112|3.519|331.956||AH1.5|1.388|126.196|5.299|481.744|AH2|1.388|126.196|6.274|570.402|AH2.5|1.334|121.258|6.274|570.402|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.1746|6|2.15055|6|EK-1.5||K21|4.15893|6|7.19858|1|EK21||K1.5|1.54|6|11.8702|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/acapulco-challenger-men/brouwer-gijs-palan-dominik-GAPKt2Qq/#ah;2;1.50;1","1.5","1.13","6.11","","","","","1.13","6.11","","","","","","",""
