"FDM","0000001","20240425|161423","20240422_1968309_110537_110539","R09_0_CRO_M15 Split","Kupcic/Vetrih","Bielinskyi/Szajrych","|K|0.242553|EK|G||OL1|4.3365|EOL1|OL2|1.36591|EOL2|OH1|1|EOH1|OH2|133|EOH2|EG|NA|NOT|ENA|","","https://www.oddsportal.com/tennis/croatia/itf-m15-split-men-doubles/kupcic-jan-vetrih-miha-bielinskyi-viacheslav-szajrych-jasza-EezaOKIU/inplay-odds/","","","","","","","","","","","","","","","","G"
"FDM","0000002","20240425|161427","20240422_1967809_050304_110522","R09_0_GER_M15 Meerbusch","Ruehl/Wessels","Cerny/Filip","|K|0.763953|EK|G||OL1|1.34537|EOL1|OL2|4.452|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/germany/itf-m15-meerbusch-men-doubles/ruehl-tim-wessels-louis-cerny-matyas-filip-jakub-pKYgq1g4/","","","","","","","","1.52","2.37","","","","","","",""
"FSM","0000003","20240425|161427","20240422_1967805_064266_036620","R05_0_GER_M15 Meerbusch","Obradovic","Beaupain","|K|0.549665|EK|G||OL1|1.93648|EOL1|OL2|2.37272|EOL2|OH1|182|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|259.884|259.884|185.343|185.343|AH-3.5|217.174|217.174|185.343|185.343|AH-3|217.174|217.174|201.798|201.798|AH-2.5|198.234|198.234|201.798|201.798|AH-2|198.234|198.234|214.7|214.7|AH-1.5|187.184|187.184|214.7|214.7||AH1.5|165.298|165.298|253.144|253.144|AH2|165.298|165.298|277.093|277.093|AH2.5|156.468|156.468|277.093|277.093|AH3|156.468|156.468|321.417|321.417|AH3.5|145.164|145.164|321.417|321.417|AH4|145.164|145.164|403.179|403.179|AH4.5|132.984|132.984|403.179|403.179|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","https://www.oddsportal.com/tennis/germany/itf-m15-meerbusch-men/obradovic-dusan-beaupain-simon-hrmc6r3M/inplay-odds/","","","","","","","","","","","","","","","","G"
"SV","0000004","20240425|161437","20240422_1522105_028585_016043","R05_3_ESP_Mutua Madrid Open - Madrid","Dolehide","Kalinina","|K|0.262178|EK|G||OL1|3.85438|EOL1|OL2|1.5232|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA||NAOL1|4.16762|ENAOL1|NAOL2|1.5232|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|12.191|14.539|1.197|1.428|AH-5|12.191|14.539|1.278|1.524|AH-4|7.423|8.853|1.324|1.58|AH-3.5|6.158|7.345|1.324|1.58|AH-3|6.158|7.345|1.404|1.675|AH-2.5|4.872|5.811|1.404|1.675|AH-2|4.872|5.811|1.452|1.732|AH-1.5|4.371|5.213|1.452|1.732||AH1.5|3.629|331.37|1.568|143.221|AH2|3.629|331.37|1.702|155.435|AH2.5|3.07|280.39|1.702|155.435|AH3|3.07|280.39|1.881|171.768|AH3.5|2.621|239.337|1.881|171.768|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|8.42763|1|1.1944|1|EK-1.5||K21|9.30074|1|4.93663|5.5|EK21||K1.5|2.16552|5.5|2.2122|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/wta-madrid/dolehide-caroline-kalinina-anhelina-hngIqt86/#ah;2;4.50;2","4.5","2.04","1.83","","","","","2.04","1.83","","","","","","",""
"SV","0000004","20240425|161439","20240422_1522105_028585_016043","R05_3_ESP_Mutua Madrid Open - Madrid","Dolehide","Kalinina","|K|0.262178|EK|G||OL1|3.85438|EOL1|OL2|1.5232|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA||NAOL1|4.16762|ENAOL1|NAOL2|1.5232|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|12.191|14.539|1.197|1.428|AH-5|12.191|14.539|1.278|1.524|AH-4|7.423|8.853|1.324|1.58|AH-3.5|6.158|7.345|1.324|1.58|AH-3|6.158|7.345|1.404|1.675|AH-2.5|4.872|5.811|1.404|1.675|AH-2|4.872|5.811|1.452|1.732|AH-1.5|4.371|5.213|1.452|1.732||AH1.5|3.629|331.37|1.568|143.221|AH2|3.629|331.37|1.702|155.435|AH2.5|3.07|280.39|1.702|155.435|AH3|3.07|280.39|1.881|171.768|AH3.5|2.621|239.337|1.881|171.768|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|8.42763|1|1.1944|1|EK-1.5||K21|9.30074|1|4.93663|5.5|EK21||K1.5|2.16552|5.5|2.2122|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/wta-madrid/dolehide-caroline-kalinina-anhelina-hngIqt86/#ah;2;3.50;2","3.5","2.51","1.56","","","","","2.51","1.56","","","","","","",""
"SV","0000004","20240425|161443","20240422_1522105_028585_016043","R05_3_ESP_Mutua Madrid Open - Madrid","Dolehide","Kalinina","|K|0.262178|EK|G||OL1|3.85438|EOL1|OL2|1.5232|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA||NAOL1|4.16762|ENAOL1|NAOL2|1.5232|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|12.191|14.539|1.197|1.428|AH-5|12.191|14.539|1.278|1.524|AH-4|7.423|8.853|1.324|1.58|AH-3.5|6.158|7.345|1.324|1.58|AH-3|6.158|7.345|1.404|1.675|AH-2.5|4.872|5.811|1.404|1.675|AH-2|4.872|5.811|1.452|1.732|AH-1.5|4.371|5.213|1.452|1.732||AH1.5|3.629|331.37|1.568|143.221|AH2|3.629|331.37|1.702|155.435|AH2.5|3.07|280.39|1.702|155.435|AH3|3.07|280.39|1.881|171.768|AH3.5|2.621|239.337|1.881|171.768|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|8.42763|1|1.1944|1|EK-1.5||K21|9.30074|1|4.93663|5.5|EK21||K1.5|2.16552|5.5|2.2122|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/wta-madrid/dolehide-caroline-kalinina-anhelina-hngIqt86/#ah;2;1.50;1","1.5","2.08","1.79","","","","","2.08","1.79","","","","","","",""
"SV","0000004","20240425|161441","20240422_1522105_028585_016043","R05_3_ESP_Mutua Madrid Open - Madrid","Dolehide","Kalinina","|K|0.262178|EK|G||OL1|3.85438|EOL1|OL2|1.5232|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA||NAOL1|4.16762|ENAOL1|NAOL2|1.5232|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|12.191|14.539|1.197|1.428|AH-5|12.191|14.539|1.278|1.524|AH-4|7.423|8.853|1.324|1.58|AH-3.5|6.158|7.345|1.324|1.58|AH-3|6.158|7.345|1.404|1.675|AH-2.5|4.872|5.811|1.404|1.675|AH-2|4.872|5.811|1.452|1.732|AH-1.5|4.371|5.213|1.452|1.732||AH1.5|3.629|331.37|1.568|143.221|AH2|3.629|331.37|1.702|155.435|AH2.5|3.07|280.39|1.702|155.435|AH3|3.07|280.39|1.881|171.768|AH3.5|2.621|239.337|1.881|171.768|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|8.42763|1|1.1944|1|EK-1.5||K21|9.30074|1|4.93663|5.5|EK21||K1.5|2.16552|5.5|2.2122|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/wta-madrid/dolehide-caroline-kalinina-anhelina-hngIqt86/#ah;2;-1.50;1","-1.5","6.85","1.12","","","","","6.85","1.12","","","","","","",""
"SV","0000004","20240425|161431","20240422_1522105_028585_016043","R05_3_ESP_Mutua Madrid Open - Madrid","Dolehide","Kalinina","|K|0.262178|EK|G||OL1|3.85438|EOL1|OL2|1.5232|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA||NAOL1|4.16762|ENAOL1|NAOL2|1.5232|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|12.191|14.539|1.197|1.428|AH-5|12.191|14.539|1.278|1.524|AH-4|7.423|8.853|1.324|1.58|AH-3.5|6.158|7.345|1.324|1.58|AH-3|6.158|7.345|1.404|1.675|AH-2.5|4.872|5.811|1.404|1.675|AH-2|4.872|5.811|1.452|1.732|AH-1.5|4.371|5.213|1.452|1.732||AH1.5|3.629|331.37|1.568|143.221|AH2|3.629|331.37|1.702|155.435|AH2.5|3.07|280.39|1.702|155.435|AH3|3.07|280.39|1.881|171.768|AH3.5|2.621|239.337|1.881|171.768|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|8.42763|1|1.1944|1|EK-1.5||K21|9.30074|1|4.93663|5.5|EK21||K1.5|2.16552|5.5|2.2122|5.5|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/wta-madrid/dolehide-caroline-kalinina-anhelina-hngIqt86/","","3.89","1.29","","","3.6","1.29","3.89","1.29","","","","","","",""
"CSV","0000005","20240425|161447","20240422_1542609_006744_008531","R09_1_CHN_W50 Wuning","Lu","Wang","|K|0.119622|EK|G||OL1|8.569|EOL1|OL2|1.2141|EOL2|OH1|1|EOH1|OH2|1.596|EOH2|EG|NA|NOT|ENA||AH-5.5|245.364|23961.3|1.028|100.419|AH-5|245.364|23961.3|1.071|104.596|AH-4|23.306|2275.95|1.148|112.109|AH-3.5|9.481|925.836|1.148|112.109|AH-3|9.481|925.836|1.204|117.587|AH-2.5|6.846|668.596|1.204|117.587|AH-2|6.846|668.596|1.233|120.411|AH-1.5|6.041|589.94|1.233|120.411||AH1.5|5.418|519.442|1.292|123.841|AH2|5.418|519.442|1.344|128.896|AH2.5|4.653|446.07|1.344|128.896|AH3|4.653|446.07|1.432|137.3|AH3.5|3.839|368.097|1.432|137.3|AH4|3.839|368.097|1.707|163.659|AH4.5|2.681|257.086|1.707|163.659|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|92.3891|1|1.5|1|EK-1.5||K21|13.06|1|4.65064|5.6|EK21||K1.5|3.10829|1|1.77955|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/china/itf-w50-wuning-women/lu-jia-jing-wang-qiang-AsnXLDH6/","","","","","","","","5.0","1.14","","","","","","",""
"CSV","0000006","20240425|161501","20240422_1542609_076098_029385","R09_1_CHN_W50 Wuning","Yao","Gasanova","|K|0.255665|EK|G||OL1|4.018|EOL1|OL2|1.43775|EOL2|OH1|1|EOH1|OH2|1.89|EOH2|EG|NA|NOT|ENA||AH-5.5|10.188|994.948|1.138|111.174|AH-5|10.188|994.948|1.156|112.906|AH-4|8.959|874.859|1.197|116.884|AH-3.5|7.089|692.272|1.197|116.884|AH-3|7.089|692.272|1.257|122.726|AH-2.5|5.53|540.021|1.257|122.726|AH-2|5.53|540.021|1.271|124.116|AH-1.5|5.27|514.655|1.271|124.116||AH1.5|3.678|352.657|1.456|139.579|AH2|3.678|352.657|1.529|146.635|AH2.5|3.28|314.432|1.529|146.635|AH3|3.28|314.432|1.636|156.808|AH3.5|2.879|276.031|1.636|156.808|AH4|2.879|276.031|1.859|178.254|AH4.5|2.376|227.788|1.859|178.254|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|13.9976|1|1.5|1|EK-1.5||K21|10.275|1|4.60093|5.6|EK21||K1.5|2.40144|5.6|2.08245|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/itf-w50-wuning-women/yao-xinxin-gasanova-anastasia-Gd0XsNxe/#ah;2;4.50;2","4.5","1.85","1.91","","","","","1.85","1.91","","","","","","",""
"CSV","0000006","20240425|161503","20240422_1542609_076098_029385","R09_1_CHN_W50 Wuning","Yao","Gasanova","|K|0.255665|EK|G||OL1|4.018|EOL1|OL2|1.43775|EOL2|OH1|1|EOH1|OH2|1.89|EOH2|EG|NA|NOT|ENA||AH-5.5|10.188|994.948|1.138|111.174|AH-5|10.188|994.948|1.156|112.906|AH-4|8.959|874.859|1.197|116.884|AH-3.5|7.089|692.272|1.197|116.884|AH-3|7.089|692.272|1.257|122.726|AH-2.5|5.53|540.021|1.257|122.726|AH-2|5.53|540.021|1.271|124.116|AH-1.5|5.27|514.655|1.271|124.116||AH1.5|3.678|352.657|1.456|139.579|AH2|3.678|352.657|1.529|146.635|AH2.5|3.28|314.432|1.529|146.635|AH3|3.28|314.432|1.636|156.808|AH3.5|2.879|276.031|1.636|156.808|AH4|2.879|276.031|1.859|178.254|AH4.5|2.376|227.788|1.859|178.254|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|13.9976|1|1.5|1|EK-1.5||K21|10.275|1|4.60093|5.6|EK21||K1.5|2.40144|5.6|2.08245|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/itf-w50-wuning-women/yao-xinxin-gasanova-anastasia-Gd0XsNxe/#ah;2;4.00;2","4.0","2.0","1.78","","","","","2.0","1.78","","","","","","",""
