"FDM","0000001","20240426|162821","20240422_1967612_110578_110581","R12_0_ITA_M25 Santa Margherita di Pula","Lorusso/Pieri","Potenza/Reitano","|K|0.368391|EK|G||OL1|2.856|EOL1|OL2|1.63293|EOL2|OH1|4.624|EOH1|OH2|159|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/italy/itf-m25-santa-margherita-di-pula-5-men-doubles/lorenzo-lorusso-pieri-samuele-potenza-luca-reitano-stefano-rPa8EPFE/","","","","","","","","","","","","","","","",""
"FDV","0000002","20240426|162855","20240422_1543612_093331_065369","R12_0_KAZ_W15 Shymkent","Baidaulet/Bernovich","Ureke/Yushchenko","|K|0.0994446|EK|G||OL1|10.4121|EOL1|OL2|1.12|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/kazakhstan/itf-w15-shymkent-2-women-doubles/baidaulet-dana-bernovich-varvara-ureke-anna-yushchenko-valeriya-js3L0H9r/","","","","","","","","5.35","1.12","","","","","","",""
"CSM","0000003","20240426|162908","20240422_1964010_011517_035296","R10_1_CHN_Shenzhen 1 Challenger","Duckworth","Bertola","|K|0.777279|EK|G||OL1|1.36095|EOL1|OL2|4.78185|EOL2|OH1|129|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.36095|ENAOL1|NAOL2|4.9839|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|3.025|285.343|AH-2.5|1000|1000|3.025|285.343|AH-2|1000|1000|3.727|351.602|AH-1.5|1000|1000|3.727|351.602||AH1.5|1000|1000|5.945|540.416|AH2|1000|1000|7.611|691.897|AH2.5|1000|1000|7.611|691.897|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.02045|6|2.34245|6|EK-1.5||K21|4.27515|6|8.58389|1|EK21||K1.5|1.54|1|13.1754|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/shenzhen-3-challenger-men/duckworth-james-bertola-remy-nPjrw9sT/#ah;2;-3.50;2","-3.5","1.69","2.24","","","","","1.69","2.24","","","","","","",""
"CSM","0000003","20240426|162906","20240422_1964010_011517_035296","R10_1_CHN_Shenzhen 1 Challenger","Duckworth","Bertola","|K|0.777279|EK|G||OL1|1.36095|EOL1|OL2|4.78185|EOL2|OH1|129|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.36095|ENAOL1|NAOL2|4.9839|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|3.025|285.343|AH-2.5|1000|1000|3.025|285.343|AH-2|1000|1000|3.727|351.602|AH-1.5|1000|1000|3.727|351.602||AH1.5|1000|1000|5.945|540.416|AH2|1000|1000|7.611|691.897|AH2.5|1000|1000|7.611|691.897|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.02045|6|2.34245|6|EK-1.5||K21|4.27515|6|8.58389|1|EK21||K1.5|1.54|1|13.1754|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/shenzhen-3-challenger-men/duckworth-james-bertola-remy-nPjrw9sT/#ah;2;-4.50;2","-4.5","2.1","1.78","","","","","2.1","1.78","","","","","","",""
"CSM","0000003","20240426|162912","20240422_1964010_011517_035296","R10_1_CHN_Shenzhen 1 Challenger","Duckworth","Bertola","|K|0.777279|EK|G||OL1|1.36095|EOL1|OL2|4.78185|EOL2|OH1|129|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.36095|ENAOL1|NAOL2|4.9839|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|3.025|285.343|AH-2.5|1000|1000|3.025|285.343|AH-2|1000|1000|3.727|351.602|AH-1.5|1000|1000|3.727|351.602||AH1.5|1000|1000|5.945|540.416|AH2|1000|1000|7.611|691.897|AH2.5|1000|1000|7.611|691.897|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.02045|6|2.34245|6|EK-1.5||K21|4.27515|6|8.58389|1|EK21||K1.5|1.54|1|13.1754|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/shenzhen-3-challenger-men/duckworth-james-bertola-remy-nPjrw9sT/#ah;2;1.50;1","1.5","1.12","7.12","","","","","1.12","7.12","","","","","","",""
"CSM","0000003","20240426|162911","20240422_1964010_011517_035296","R10_1_CHN_Shenzhen 1 Challenger","Duckworth","Bertola","|K|0.777279|EK|G||OL1|1.36095|EOL1|OL2|4.78185|EOL2|OH1|129|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.36095|ENAOL1|NAOL2|4.9839|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|3.025|285.343|AH-2.5|1000|1000|3.025|285.343|AH-2|1000|1000|3.727|351.602|AH-1.5|1000|1000|3.727|351.602||AH1.5|1000|1000|5.945|540.416|AH2|1000|1000|7.611|691.897|AH2.5|1000|1000|7.611|691.897|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.02045|6|2.34245|6|EK-1.5||K21|4.27515|6|8.58389|1|EK21||K1.5|1.54|1|13.1754|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/shenzhen-3-challenger-men/duckworth-james-bertola-remy-nPjrw9sT/#ah;2;-1.50;1","-1.5","1.75","2.14","","","","","1.75","2.14","","","","","","",""
"CSM","0000003","20240426|162859","20240422_1964010_011517_035296","R10_1_CHN_Shenzhen 1 Challenger","Duckworth","Bertola","|K|0.777279|EK|G||OL1|1.36095|EOL1|OL2|4.78185|EOL2|OH1|129|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.36095|ENAOL1|NAOL2|4.9839|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|3.025|285.343|AH-2.5|1000|1000|3.025|285.343|AH-2|1000|1000|3.727|351.602|AH-1.5|1000|1000|3.727|351.602||AH1.5|1000|1000|5.945|540.416|AH2|1000|1000|7.611|691.897|AH2.5|1000|1000|7.611|691.897|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.02045|6|2.34245|6|EK-1.5||K21|4.27515|6|8.58389|1|EK21||K1.5|1.54|1|13.1754|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/china/shenzhen-3-challenger-men/duckworth-james-bertola-remy-nPjrw9sT/","","1.3","3.73","","","","","1.3","3.73","","","","","","",""
"CSM","0000004","20240426|162924","20240422_1964010_036449_087283","R10_1_CHN_Shenzhen 1 Challenger","Harris","Lajal","|K|0.756995|EK|G||OL1|1.40315|EOL1|OL2|4.3878|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.40315|ENAOL1|NAOL2|4.5732|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.983|187.119|1000|1000|AH-2.5|1.666|157.192|1000|1000|AH-2|1.666|157.192|1000|1000|AH-1.5|1.512|142.663|1000|1000||AH1.5|1.382|125.637|1000|1000|AH2|1.382|125.637|1000|1000|AH2.5|1.336|121.417|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.11663|6|2.2157|6|EK-1.5||K21|4.18225|6|7.19837|1|EK21||K1.5|1.54|1|13.6459|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/shenzhen-3-challenger-men/harris-lloyd-lajal-mark-lGXA9Ahl/#ah;2;-3.50;2","-3.5","1.92","1.93","","","","","1.92","1.93","","","","","","",""
"CSM","0000004","20240426|162927","20240422_1964010_036449_087283","R10_1_CHN_Shenzhen 1 Challenger","Harris","Lajal","|K|0.756995|EK|G||OL1|1.40315|EOL1|OL2|4.3878|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.40315|ENAOL1|NAOL2|4.5732|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.983|187.119|1000|1000|AH-2.5|1.666|157.192|1000|1000|AH-2|1.666|157.192|1000|1000|AH-1.5|1.512|142.663|1000|1000||AH1.5|1.382|125.637|1000|1000|AH2|1.382|125.637|1000|1000|AH2.5|1.336|121.417|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.11663|6|2.2157|6|EK-1.5||K21|4.18225|6|7.19837|1|EK21||K1.5|1.54|1|13.6459|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/shenzhen-3-challenger-men/harris-lloyd-lajal-mark-lGXA9Ahl/#ah;2;-4.50;2","-4.5","2.58","1.54","","","","","2.58","1.54","","","","","","",""
"CSM","0000004","20240426|162931","20240422_1964010_036449_087283","R10_1_CHN_Shenzhen 1 Challenger","Harris","Lajal","|K|0.756995|EK|G||OL1|1.40315|EOL1|OL2|4.3878|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.40315|ENAOL1|NAOL2|4.5732|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.983|187.119|1000|1000|AH-2.5|1.666|157.192|1000|1000|AH-2|1.666|157.192|1000|1000|AH-1.5|1.512|142.663|1000|1000||AH1.5|1.382|125.637|1000|1000|AH2|1.382|125.637|1000|1000|AH2.5|1.336|121.417|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.11663|6|2.2157|6|EK-1.5||K21|4.18225|6|7.19837|1|EK21||K1.5|1.54|1|13.6459|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/shenzhen-3-challenger-men/harris-lloyd-lajal-mark-lGXA9Ahl/#ah;2;1.50;1","1.5","1.13","6.63","","","","","1.13","6.63","","","","","","",""
"CSM","0000004","20240426|162929","20240422_1964010_036449_087283","R10_1_CHN_Shenzhen 1 Challenger","Harris","Lajal","|K|0.756995|EK|G||OL1|1.40315|EOL1|OL2|4.3878|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.40315|ENAOL1|NAOL2|4.5732|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.983|187.119|1000|1000|AH-2.5|1.666|157.192|1000|1000|AH-2|1.666|157.192|1000|1000|AH-1.5|1.512|142.663|1000|1000||AH1.5|1.382|125.637|1000|1000|AH2|1.382|125.637|1000|1000|AH2.5|1.336|121.417|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.11663|6|2.2157|6|EK-1.5||K21|4.18225|6|7.19837|1|EK21||K1.5|1.54|1|13.6459|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/shenzhen-3-challenger-men/harris-lloyd-lajal-mark-lGXA9Ahl/#ah;2;-1.50;1","-1.5","1.9","1.95","","","","","1.9","1.95","","","","","","",""
