"FSM","0000007","20240428|082555","20240422_1968410_090015_022437","R10_0_SRB_M15 Kursumlijska Banja","Tammaro","Milojevic","|K|0.18533|EK|G||OL1|5.5296|EOL1|OL2|1.30872|EOL2|OH1|1|EOH1|OH2|123|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|5130.62|5130.62|105.53|105.53|AH-3.5|1908.46|1908.46|105.53|105.53|AH-3|1908.46|1908.46|110.209|110.209|AH-2.5|1079.55|1079.55|110.209|110.209|AH-2|1079.55|1079.55|112.756|112.756|AH-1.5|883.968|883.968|112.756|112.756||AH1.5|537.493|537.493|122.857|122.857|AH2|537.493|537.493|128.449|128.449|AH2.5|451.502|451.502|128.449|128.449|AH3|451.502|451.502|137.293|137.293|AH3.5|368.143|368.143|137.293|137.293|AH4|368.143|368.143|157.207|157.207|AH4.5|274.804|274.804|157.207|157.207|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/serbia/itf-m15-kursumlijska-banja-2-men/mariano-tammaro-milojevic-nikola-fmFVCJQs/","","","","","","","","","","","","","","","",""
"FSM","0000008","20240428|082605","20240422_1968012_076298_081601","R12_0_TUR_M15 Antalya","Kym","Milev","|K|0.738448|EK|G||OL1|1.44704|EOL1|OL2|3.92192|EOL2|OH1|136|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|207.65|207.65|239.701|239.701|AH-3.5|171.582|171.582|239.701|239.701|AH-3|171.582|171.582|287.406|287.406|AH-2.5|153.36|153.36|287.406|287.406|AH-2|153.36|153.36|322.437|322.437|AH-1.5|144.957|144.957|322.437|322.437||AH1.5|130.736|130.736|425.351|425.351|AH2|130.736|130.736|500.967|500.967|AH2.5|124.94|124.94|500.967|500.967|AH3|124.94|124.94|629.614|629.614|AH3.5|118.882|118.882|629.614|629.614|AH4|118.882|118.882|1020.35|1020.35|AH4.5|110.865|110.865|1020.35|1020.35|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-12-men/kym-jerome-milev-yanaki-phhozvxi/#ah;2;-5.00;2","-5.0","","","","","","","1.67","2.07","","","","","","",""
"FSM","0000008","20240428|082604","20240422_1968012_076298_081601","R12_0_TUR_M15 Antalya","Kym","Milev","|K|0.738448|EK|G||OL1|1.44704|EOL1|OL2|3.92192|EOL2|OH1|136|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|207.65|207.65|239.701|239.701|AH-3.5|171.582|171.582|239.701|239.701|AH-3|171.582|171.582|287.406|287.406|AH-2.5|153.36|153.36|287.406|287.406|AH-2|153.36|153.36|322.437|322.437|AH-1.5|144.957|144.957|322.437|322.437||AH1.5|130.736|130.736|425.351|425.351|AH2|130.736|130.736|500.967|500.967|AH2.5|124.94|124.94|500.967|500.967|AH3|124.94|124.94|629.614|629.614|AH3.5|118.882|118.882|629.614|629.614|AH4|118.882|118.882|1020.35|1020.35|AH4.5|110.865|110.865|1020.35|1020.35|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-12-men/kym-jerome-milev-yanaki-phhozvxi/#ah;2;-5.50;2","-5.5","","","","","","","1.8","1.9","","","","","","",""
"FSM","0000008","20240428|082609","20240422_1968012_076298_081601","R12_0_TUR_M15 Antalya","Kym","Milev","|K|0.738448|EK|G||OL1|1.44704|EOL1|OL2|3.92192|EOL2|OH1|136|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|207.65|207.65|239.701|239.701|AH-3.5|171.582|171.582|239.701|239.701|AH-3|171.582|171.582|287.406|287.406|AH-2.5|153.36|153.36|287.406|287.406|AH-2|153.36|153.36|322.437|322.437|AH-1.5|144.957|144.957|322.437|322.437||AH1.5|130.736|130.736|425.351|425.351|AH2|130.736|130.736|500.967|500.967|AH2.5|124.94|124.94|500.967|500.967|AH3|124.94|124.94|629.614|629.614|AH3.5|118.882|118.882|629.614|629.614|AH4|118.882|118.882|1020.35|1020.35|AH4.5|110.865|110.865|1020.35|1020.35|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-12-men/kym-jerome-milev-yanaki-phhozvxi/#ah;2;1.50;1","1.5","","","","","","","","","","","","","","",""
"FSM","0000008","20240428|082607","20240422_1968012_076298_081601","R12_0_TUR_M15 Antalya","Kym","Milev","|K|0.738448|EK|G||OL1|1.44704|EOL1|OL2|3.92192|EOL2|OH1|136|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|207.65|207.65|239.701|239.701|AH-3.5|171.582|171.582|239.701|239.701|AH-3|171.582|171.582|287.406|287.406|AH-2.5|153.36|153.36|287.406|287.406|AH-2|153.36|153.36|322.437|322.437|AH-1.5|144.957|144.957|322.437|322.437||AH1.5|130.736|130.736|425.351|425.351|AH2|130.736|130.736|500.967|500.967|AH2.5|124.94|124.94|500.967|500.967|AH3|124.94|124.94|629.614|629.614|AH3.5|118.882|118.882|629.614|629.614|AH4|118.882|118.882|1020.35|1020.35|AH4.5|110.865|110.865|1020.35|1020.35|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-12-men/kym-jerome-milev-yanaki-phhozvxi/#ah;2;-1.50;1","-1.5","","","","","","","","","","","","","","",""
"FSM","0000008","20240428|082559","20240422_1968012_076298_081601","R12_0_TUR_M15 Antalya","Kym","Milev","|K|0.738448|EK|G||OL1|1.44704|EOL1|OL2|3.92192|EOL2|OH1|136|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|207.65|207.65|239.701|239.701|AH-3.5|171.582|171.582|239.701|239.701|AH-3|171.582|171.582|287.406|287.406|AH-2.5|153.36|153.36|287.406|287.406|AH-2|153.36|153.36|322.437|322.437|AH-1.5|144.957|144.957|322.437|322.437||AH1.5|130.736|130.736|425.351|425.351|AH2|130.736|130.736|500.967|500.967|AH2.5|124.94|124.94|500.967|500.967|AH3|124.94|124.94|629.614|629.614|AH3.5|118.882|118.882|629.614|629.614|AH4|118.882|118.882|1020.35|1020.35|AH4.5|110.865|110.865|1020.35|1020.35|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-12-men/kym-jerome-milev-yanaki-phhozvxi/","","","","","","","","1.18","4.57","","","","","","",""
"SM","0000009","20240428|082620","20240422_1937906_061838_014609","R06_3_ESP_Mutua Madrid Open - Madrid","Lehecka","Monteiro","|K|0.594998|EK|G||OL1|1.859|EOL1|OL2|2.70465|EOL2|OH1|2.4505|EOH1|OH2|3.3839|EOH2|EG|NA||NAOL1|1.8759|ENAOL1|NAOL2|2.70959|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.687|8.887|1.304|1.733|AH-5|6.687|8.887|1.537|2.043|AH-4|3.759|4.997|1.923|2.555|AH-3.5|2.522|3.352|1.923|2.555|AH-3|2.522|3.352|2.224|2.956|AH-2.5|2.142|2.846|2.224|2.956|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.525|2.021|3.873|5.133|AH3|1.525|2.021|5.145|6.82|AH3.5|1.389|1.842|5.145|6.82|AH4|1.389|1.842|6.755|8.953|AH4.5|1.305|1.73|6.755|8.953|AH5|1.305|1.73|9.94|13.174|AH5.5|1.229|1.629|9.94|13.174||EAH||AHS||K-1.5|3.00386|7|1.66002|7|EK-1.5||K21|4.55933|7|6.43449|1|EK21||K1.5|1.52|7|4.70605|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/atp-madrid/lehecka-jiri-monteiro-thiago-boNQ57j2/#ah;2;-1.50;2","-1.5","1.88","1.99","","","1.81","1.97","1.88","1.99","","","","","","",""
"SM","0000009","20240428|082621","20240422_1937906_061838_014609","R06_3_ESP_Mutua Madrid Open - Madrid","Lehecka","Monteiro","|K|0.594998|EK|G||OL1|1.859|EOL1|OL2|2.70465|EOL2|OH1|2.4505|EOH1|OH2|3.3839|EOH2|EG|NA||NAOL1|1.8759|ENAOL1|NAOL2|2.70959|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.687|8.887|1.304|1.733|AH-5|6.687|8.887|1.537|2.043|AH-4|3.759|4.997|1.923|2.555|AH-3.5|2.522|3.352|1.923|2.555|AH-3|2.522|3.352|2.224|2.956|AH-2.5|2.142|2.846|2.224|2.956|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.525|2.021|3.873|5.133|AH3|1.525|2.021|5.145|6.82|AH3.5|1.389|1.842|5.145|6.82|AH4|1.389|1.842|6.755|8.953|AH4.5|1.305|1.73|6.755|8.953|AH5|1.305|1.73|9.94|13.174|AH5.5|1.229|1.629|9.94|13.174||EAH||AHS||K-1.5|3.00386|7|1.66002|7|EK-1.5||K21|4.55933|7|6.43449|1|EK21||K1.5|1.52|7|4.70605|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/atp-madrid/lehecka-jiri-monteiro-thiago-boNQ57j2/#ah;2;-2.50;2","-2.5","2.13","1.77","","","","","2.13","1.77","","","","","","",""
"SM","0000009","20240428|082625","20240422_1937906_061838_014609","R06_3_ESP_Mutua Madrid Open - Madrid","Lehecka","Monteiro","|K|0.594998|EK|G||OL1|1.859|EOL1|OL2|2.70465|EOL2|OH1|2.4505|EOH1|OH2|3.3839|EOH2|EG|NA||NAOL1|1.8759|ENAOL1|NAOL2|2.70959|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.687|8.887|1.304|1.733|AH-5|6.687|8.887|1.537|2.043|AH-4|3.759|4.997|1.923|2.555|AH-3.5|2.522|3.352|1.923|2.555|AH-3|2.522|3.352|2.224|2.956|AH-2.5|2.142|2.846|2.224|2.956|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.525|2.021|3.873|5.133|AH3|1.525|2.021|5.145|6.82|AH3.5|1.389|1.842|5.145|6.82|AH4|1.389|1.842|6.755|8.953|AH4.5|1.305|1.73|6.755|8.953|AH5|1.305|1.73|9.94|13.174|AH5.5|1.229|1.629|9.94|13.174||EAH||AHS||K-1.5|3.00386|7|1.66002|7|EK-1.5||K21|4.55933|7|6.43449|1|EK21||K1.5|1.52|7|4.70605|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/atp-madrid/lehecka-jiri-monteiro-thiago-boNQ57j2/#ah;2;1.50;1","1.5","1.31","3.69","","","1.24","4.0","1.31","4.0","","","","","","",""
"SM","0000009","20240428|082623","20240422_1937906_061838_014609","R06_3_ESP_Mutua Madrid Open - Madrid","Lehecka","Monteiro","|K|0.594998|EK|G||OL1|1.859|EOL1|OL2|2.70465|EOL2|OH1|2.4505|EOH1|OH2|3.3839|EOH2|EG|NA||NAOL1|1.8759|ENAOL1|NAOL2|2.70959|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.687|8.887|1.304|1.733|AH-5|6.687|8.887|1.537|2.043|AH-4|3.759|4.997|1.923|2.555|AH-3.5|2.522|3.352|1.923|2.555|AH-3|2.522|3.352|2.224|2.956|AH-2.5|2.142|2.846|2.224|2.956|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.525|2.021|3.873|5.133|AH3|1.525|2.021|5.145|6.82|AH3.5|1.389|1.842|5.145|6.82|AH4|1.389|1.842|6.755|8.953|AH4.5|1.305|1.73|6.755|8.953|AH5|1.305|1.73|9.94|13.174|AH5.5|1.229|1.629|9.94|13.174||EAH||AHS||K-1.5|3.00386|7|1.66002|7|EK-1.5||K21|4.55933|7|6.43449|1|EK21||K1.5|1.52|7|4.70605|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/atp-madrid/lehecka-jiri-monteiro-thiago-boNQ57j2/#ah;2;-1.50;1","-1.5","2.62","1.53","","","2.65","1.47","2.65","1.53","","","","","","",""
"SM","0000009","20240428|082613","20240422_1937906_061838_014609","R06_3_ESP_Mutua Madrid Open - Madrid","Lehecka","Monteiro","|K|0.594998|EK|G||OL1|1.859|EOL1|OL2|2.70465|EOL2|OH1|2.4505|EOH1|OH2|3.3839|EOH2|EG|NA||NAOL1|1.8759|ENAOL1|NAOL2|2.70959|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.687|8.887|1.304|1.733|AH-5|6.687|8.887|1.537|2.043|AH-4|3.759|4.997|1.923|2.555|AH-3.5|2.522|3.352|1.923|2.555|AH-3|2.522|3.352|2.224|2.956|AH-2.5|2.142|2.846|2.224|2.956|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.525|2.021|3.873|5.133|AH3|1.525|2.021|5.145|6.82|AH3.5|1.389|1.842|5.145|6.82|AH4|1.389|1.842|6.755|8.953|AH4.5|1.305|1.73|6.755|8.953|AH5|1.305|1.73|9.94|13.174|AH5.5|1.229|1.629|9.94|13.174||EAH||AHS||K-1.5|3.00386|7|1.66002|7|EK-1.5||K21|4.55933|7|6.43449|1|EK21||K1.5|1.52|7|4.70605|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/atp-madrid/lehecka-jiri-monteiro-thiago-boNQ57j2/","","1.71","2.24","","","1.64","2.25","1.71","2.25","","","","","","",""
