"FDV","0000007","20240509|080654","20240506_1547709_093753_093754","R09_0_TUN_W15 Monastir","Ezzat/Villet","He/Zhou","","GEW","https://www.oddsportal.com/tennis/tunisia/itf-w15-monastir-17-women-doubles/ezzat-yasmin-villet-marie-he-jiaying-zhou-yehua-jHg3SwIb/","","","","","","","","1.6","2.2","","","","","","",""
"FDV","0000008","20240509|080658","20240506_1548009_093710_093712","R09_0_TUR_W15 Antalya","Bosaia/Bulbarella","Sagandikova/Yoruk","|K|0.0775928|EK|G||OL1|13.3411|EOL1|OL2|1.1|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-w15-antalya-13-women-doubles/bosaia-erika-bulbarella-marina-sagandikova-aruzhan-yoruk-ilay-4Wqt4lHj/","","","","","","","","7.1","1.07","","","","","","",""
"FDV","0000009","20240509|080701","20240506_1548009_093706_093708","R09_0_TUR_W15 Antalya","Evtimova/Meliss","De Stefano/Urgesi","|K|0.424944|EK|G||OL1|2.4426|EOL1|OL2|1.74|EOL2|OH1|236|EOH1|OH2|174|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-w15-antalya-13-women-doubles/evtimova-dia-meliss-verena-samira-de-stefano-urgesi-federica-nD6jK07l/","","","","","","","","2.2","1.6","","","","","","",""
"FDV","0000010","20240509|080704","20240506_1548009_086608_093705","R09_0_TUR_W15 Antalya","Siedliska/Turkmen","Roots/Rustemova","|K|0.893109|EK|G||OL1|1.12|EOL1|OL2|9.6876|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-w15-antalya-13-women-doubles/siedliska-natalia-turkmen-doga-roots-andrea-rustemova-zhanel-hClIx9NF/","","","","","","","","1.07","7.1","","","","","","",""
"FSM","0000011","20240509|080715","20240506_1971705_080500_027110","R05_0_BIH_M15 Doboj","Karol","Madarasz","|K|0.744675|EK|G||OL1|1.4364|EOL1|OL2|4.01408|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|200.728|200.728|254.638|254.638|AH-3.5|164.667|164.667|254.638|254.638|AH-3|164.667|164.667|305.663|305.663|AH-2.5|148.623|148.623|305.663|305.663|AH-2|148.623|148.623|354.921|354.921|AH-1.5|139.228|139.228|354.921|354.921||AH1.5|125.729|125.729|488.666|488.666|AH2|125.729|125.729|548.52|548.52|AH2.5|122.296|122.296|548.52|548.52|AH3|122.296|122.296|692.432|692.432|AH3.5|116.88|116.88|692.432|692.432|AH4|116.88|116.88|989.015|989.015|AH4.5|111.248|111.248|989.015|989.015|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-doboj-men/karol-milos-madarasz-gergely-0CbzNttf/#ah;2;-2.50;2","-2.5","","","","","","","1.66","2.08","","","","","","",""
"FSM","0000011","20240509|080713","20240506_1971705_080500_027110","R05_0_BIH_M15 Doboj","Karol","Madarasz","|K|0.744675|EK|G||OL1|1.4364|EOL1|OL2|4.01408|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|200.728|200.728|254.638|254.638|AH-3.5|164.667|164.667|254.638|254.638|AH-3|164.667|164.667|305.663|305.663|AH-2.5|148.623|148.623|305.663|305.663|AH-2|148.623|148.623|354.921|354.921|AH-1.5|139.228|139.228|354.921|354.921||AH1.5|125.729|125.729|488.666|488.666|AH2|125.729|125.729|548.52|548.52|AH2.5|122.296|122.296|548.52|548.52|AH3|122.296|122.296|692.432|692.432|AH3.5|116.88|116.88|692.432|692.432|AH4|116.88|116.88|989.015|989.015|AH4.5|111.248|111.248|989.015|989.015|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-doboj-men/karol-milos-madarasz-gergely-0CbzNttf/#ah;2;-3.50;2","-3.5","","","","","","","1.85","1.85","","","","","","",""
"FSM","0000011","20240509|080718","20240506_1971705_080500_027110","R05_0_BIH_M15 Doboj","Karol","Madarasz","|K|0.744675|EK|G||OL1|1.4364|EOL1|OL2|4.01408|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|200.728|200.728|254.638|254.638|AH-3.5|164.667|164.667|254.638|254.638|AH-3|164.667|164.667|305.663|305.663|AH-2.5|148.623|148.623|305.663|305.663|AH-2|148.623|148.623|354.921|354.921|AH-1.5|139.228|139.228|354.921|354.921||AH1.5|125.729|125.729|488.666|488.666|AH2|125.729|125.729|548.52|548.52|AH2.5|122.296|122.296|548.52|548.52|AH3|122.296|122.296|692.432|692.432|AH3.5|116.88|116.88|692.432|692.432|AH4|116.88|116.88|989.015|989.015|AH4.5|111.248|111.248|989.015|989.015|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-doboj-men/karol-milos-madarasz-gergely-0CbzNttf/#ah;2;1.50;1","1.5","","","","","","","","","","","","","","",""
"FSM","0000011","20240509|080716","20240506_1971705_080500_027110","R05_0_BIH_M15 Doboj","Karol","Madarasz","|K|0.744675|EK|G||OL1|1.4364|EOL1|OL2|4.01408|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|200.728|200.728|254.638|254.638|AH-3.5|164.667|164.667|254.638|254.638|AH-3|164.667|164.667|305.663|305.663|AH-2.5|148.623|148.623|305.663|305.663|AH-2|148.623|148.623|354.921|354.921|AH-1.5|139.228|139.228|354.921|354.921||AH1.5|125.729|125.729|488.666|488.666|AH2|125.729|125.729|548.52|548.52|AH2.5|122.296|122.296|548.52|548.52|AH3|122.296|122.296|692.432|692.432|AH3.5|116.88|116.88|692.432|692.432|AH4|116.88|116.88|989.015|989.015|AH4.5|111.248|111.248|989.015|989.015|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-doboj-men/karol-milos-madarasz-gergely-0CbzNttf/#ah;2;-1.50;1","-1.5","","","","","","","","","","","","","","",""
"FSM","0000011","20240509|080707","20240506_1971705_080500_027110","R05_0_BIH_M15 Doboj","Karol","Madarasz","|K|0.744675|EK|G||OL1|1.4364|EOL1|OL2|4.01408|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|200.728|200.728|254.638|254.638|AH-3.5|164.667|164.667|254.638|254.638|AH-3|164.667|164.667|305.663|305.663|AH-2.5|148.623|148.623|305.663|305.663|AH-2|148.623|148.623|354.921|354.921|AH-1.5|139.228|139.228|354.921|354.921||AH1.5|125.729|125.729|488.666|488.666|AH2|125.729|125.729|548.52|548.52|AH2.5|122.296|122.296|548.52|548.52|AH3|122.296|122.296|692.432|692.432|AH3.5|116.88|116.88|692.432|692.432|AH4|116.88|116.88|989.015|989.015|AH4.5|111.248|111.248|989.015|989.015|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-doboj-men/karol-milos-madarasz-gergely-0CbzNttf/","","","","","","","","1.48","2.45","","","","","","",""
"FSM","0000012","20240509|080728","20240506_1971705_030099_034044","R05_0_BIH_M15 Doboj","Klok","Brkic","|K|0.722192|EK|G||OL1|1.47896|EOL1|OL2|3.6864|EOL2|OH1|139|EOH1|OH2|5.4|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|196.292|196.292|251.767|251.767|AH-3.5|165.89|165.89|251.767|251.767|AH-3|165.89|165.89|293.947|293.947|AH-2.5|151.561|151.561|293.947|293.947|AH-2|151.561|151.561|333.764|333.764|AH-1.5|142.778|142.778|333.764|333.764||AH1.5|130.268|130.268|430.385|430.385|AH2|130.268|130.268|479.406|479.406|AH2.5|126.357|126.357|479.406|479.406|AH3|126.357|126.357|575.487|575.487|AH3.5|121.031|121.031|575.487|575.487|AH4|121.031|121.031|787.882|787.882|AH4.5|114.537|114.537|787.882|787.882|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-doboj-men/klok-denis-brkic-jerko-8EJeUOmK/#ah;2;-4.00;2","-4.0","","","","","","","1.69","2.04","","","","","","",""
"FSM","0000012","20240509|080727","20240506_1971705_030099_034044","R05_0_BIH_M15 Doboj","Klok","Brkic","|K|0.722192|EK|G||OL1|1.47896|EOL1|OL2|3.6864|EOL2|OH1|139|EOH1|OH2|5.4|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|196.292|196.292|251.767|251.767|AH-3.5|165.89|165.89|251.767|251.767|AH-3|165.89|165.89|293.947|293.947|AH-2.5|151.561|151.561|293.947|293.947|AH-2|151.561|151.561|333.764|333.764|AH-1.5|142.778|142.778|333.764|333.764||AH1.5|130.268|130.268|430.385|430.385|AH2|130.268|130.268|479.406|479.406|AH2.5|126.357|126.357|479.406|479.406|AH3|126.357|126.357|575.487|575.487|AH3.5|121.031|121.031|575.487|575.487|AH4|121.031|121.031|787.882|787.882|AH4.5|114.537|114.537|787.882|787.882|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-doboj-men/klok-denis-brkic-jerko-8EJeUOmK/#ah;2;-4.50;2","-4.5","","","","","","","1.85","1.85","","","","","","",""
