"FSM","0000001","20240509|115237","20240506_1971805_050386_014884","R05_0_MEX_M15 Villahermosa","Mchugh","Rodriguez","|K|0.9999|EK|G||OL1|1.15|EOL1|OL2|10240|EOL2|OH1|101|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|138.225|138.225|764.727|764.727|AH-3.5|115.044|115.044|764.727|764.727|AH-3|115.044|115.044|2529.99|2529.99|AH-2.5|104.115|104.115|2529.99|2529.99|AH-2|104.115|104.115|1e+006|1e+006|AH-1.5|100.01|100.01|1e+006|1e+006||AH1.5|100.01|100.01|1e+006|1e+006|AH2|100.01|100.01|1e+006|1e+006|AH2.5|100.01|100.01|1e+006|1e+006|AH3|100.01|100.01|1e+006|1e+006|AH3.5|100.01|100.01|1e+006|1e+006|AH4|100.01|100.01|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/itf-m15-villahermosa-men/mchugh-aidan-rodriguez-ricardo-6JjlAcpe/","","","","","","","","1.04","8.5","","","","","","",""
"FSM","0000002","20240509|115252","20240506_1971805_051086_019871","R05_0_MEX_M15 Villahermosa","Ogura","Chappell","|K|0.244967|EK|G||OL1|4.18816|EOL1|OL2|1.41512|EOL2|OH1|1|EOH1|OH2|133|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|915.675|915.675|117.683|117.683|AH-3.5|665.525|665.525|117.683|117.683|AH-3|665.525|665.525|123.028|123.028|AH-2.5|534.253|534.253|123.028|123.028|AH-2|534.253|534.253|128.015|128.015|AH-1.5|456.955|456.955|128.015|128.015||AH1.5|349.924|349.924|140.012|140.012|AH2|349.924|349.924|145.362|145.362|AH2.5|320.451|320.451|145.362|145.362|AH3|320.451|320.451|155.371|155.371|AH3.5|280.599|280.599|155.371|155.371|AH4|280.599|280.599|178.078|178.078|AH4.5|228.078|228.078|178.078|178.078|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/itf-m15-villahermosa-men/ogura-kousuke-chappell-nick-0MmtCJFr/#ah;2;4.50;2","4.5","","","","","","","1.8","1.9","","","","","","",""
"FSM","0000002","20240509|115254","20240506_1971805_051086_019871","R05_0_MEX_M15 Villahermosa","Ogura","Chappell","|K|0.244967|EK|G||OL1|4.18816|EOL1|OL2|1.41512|EOL2|OH1|1|EOH1|OH2|133|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|915.675|915.675|117.683|117.683|AH-3.5|665.525|665.525|117.683|117.683|AH-3|665.525|665.525|123.028|123.028|AH-2.5|534.253|534.253|123.028|123.028|AH-2|534.253|534.253|128.015|128.015|AH-1.5|456.955|456.955|128.015|128.015||AH1.5|349.924|349.924|140.012|140.012|AH2|349.924|349.924|145.362|145.362|AH2.5|320.451|320.451|145.362|145.362|AH3|320.451|320.451|155.371|155.371|AH3.5|280.599|280.599|155.371|155.371|AH4|280.599|280.599|178.078|178.078|AH4.5|228.078|228.078|178.078|178.078|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/itf-m15-villahermosa-men/ogura-kousuke-chappell-nick-0MmtCJFr/#ah;2;4.00;2","4.0","","","","","","","1.97","1.73","","","","","","",""
"FSM","0000002","20240509|115255","20240506_1971805_051086_019871","R05_0_MEX_M15 Villahermosa","Ogura","Chappell","|K|0.244967|EK|G||OL1|4.18816|EOL1|OL2|1.41512|EOL2|OH1|1|EOH1|OH2|133|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|915.675|915.675|117.683|117.683|AH-3.5|665.525|665.525|117.683|117.683|AH-3|665.525|665.525|123.028|123.028|AH-2.5|534.253|534.253|123.028|123.028|AH-2|534.253|534.253|128.015|128.015|AH-1.5|456.955|456.955|128.015|128.015||AH1.5|349.924|349.924|140.012|140.012|AH2|349.924|349.924|145.362|145.362|AH2.5|320.451|320.451|145.362|145.362|AH3|320.451|320.451|155.371|155.371|AH3.5|280.599|280.599|155.371|155.371|AH4|280.599|280.599|178.078|178.078|AH4.5|228.078|228.078|178.078|178.078|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/itf-m15-villahermosa-men/ogura-kousuke-chappell-nick-0MmtCJFr/#ah;2;1.50;1","1.5","","","","","","","","","","","","","","",""
"FSM","0000002","20240509|115245","20240506_1971805_051086_019871","R05_0_MEX_M15 Villahermosa","Ogura","Chappell","|K|0.244967|EK|G||OL1|4.18816|EOL1|OL2|1.41512|EOL2|OH1|1|EOH1|OH2|133|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|915.675|915.675|117.683|117.683|AH-3.5|665.525|665.525|117.683|117.683|AH-3|665.525|665.525|123.028|123.028|AH-2.5|534.253|534.253|123.028|123.028|AH-2|534.253|534.253|128.015|128.015|AH-1.5|456.955|456.955|128.015|128.015||AH1.5|349.924|349.924|140.012|140.012|AH2|349.924|349.924|145.362|145.362|AH2.5|320.451|320.451|145.362|145.362|AH3|320.451|320.451|155.371|155.371|AH3.5|280.599|280.599|155.371|155.371|AH4|280.599|280.599|178.078|178.078|AH4.5|228.078|228.078|178.078|178.078|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/itf-m15-villahermosa-men/ogura-kousuke-chappell-nick-0MmtCJFr/","","","","","","","","3.2","1.31","","","","","","",""
"FSM","0000003","20240509|115258","20240506_1971805_058999_029038","R05_0_MEX_M15 Villahermosa","Schachter","Nakamura","|K|0.868425|EK|G||OL1|1.23424|EOL1|OL2|7.79264|EOL2|OH1|116|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|170.019|170.019|315.054|315.054|AH-3.5|146.5|146.5|315.054|315.054|AH-3|146.5|146.5|385.443|385.443|AH-2.5|135.033|135.033|385.443|385.443|AH-2|135.033|135.033|458.734|458.734|AH-1.5|127.876|127.876|458.734|458.734||AH1.5|117.036|117.036|687.001|687.001|AH2|117.036|117.036|788.988|788.988|AH2.5|114.514|114.514|788.988|788.988|AH3|114.514|114.514|1096.09|1096.09|AH3.5|110.039|110.039|1096.09|1096.09|AH4|110.039|110.039|1807.35|1807.35|AH4.5|105.857|105.857|1807.35|1807.35|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/itf-m15-villahermosa-men/schachter-noah-nakamura-ren-j7QiUIyR/","","","","","","1.12","5.45","1.12","5.45","","","","","","",""
"FSM","0000004","20240509|115315","20240506_1971805_036612_044775","R05_0_MEX_M15 Villahermosa","Strode","O'Hoisin","|K|0.551775|EK|G||OL1|1.93648|EOL1|OL2|2.38336|EOL2|OH1|182|EOH1|OH2|224|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|248.61|248.61|193.327|193.327|AH-3.5|207.15|207.15|193.327|193.327|AH-3|207.15|207.15|213.054|213.054|AH-2.5|188.453|188.453|213.054|213.054|AH-2|188.453|188.453|229.926|229.926|AH-1.5|176.967|176.967|229.926|229.926||AH1.5|157.374|157.374|274.294|274.294|AH2|157.374|157.374|300.557|300.557|AH2.5|149.861|149.861|300.557|300.557|AH3|149.861|149.861|351.8|351.8|AH3.5|139.714|139.714|351.8|351.8|AH4|139.714|139.714|452.443|452.443|AH4.5|128.373|128.373|452.443|452.443|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/itf-m15-villahermosa-men/strode-isaiah-o-hoisin-osgar-nwCNOdal/#ah;2;0.50;2","0.5","","","","","","","1.8","1.9","","","","","","",""
"FSM","0000004","20240509|115312","20240506_1971805_036612_044775","R05_0_MEX_M15 Villahermosa","Strode","O'Hoisin","|K|0.551775|EK|G||OL1|1.93648|EOL1|OL2|2.38336|EOL2|OH1|182|EOH1|OH2|224|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|248.61|248.61|193.327|193.327|AH-3.5|207.15|207.15|193.327|193.327|AH-3|207.15|207.15|213.054|213.054|AH-2.5|188.453|188.453|213.054|213.054|AH-2|188.453|188.453|229.926|229.926|AH-1.5|176.967|176.967|229.926|229.926||AH1.5|157.374|157.374|274.294|274.294|AH2|157.374|157.374|300.557|300.557|AH2.5|149.861|149.861|300.557|300.557|AH3|149.861|149.861|351.8|351.8|AH3.5|139.714|139.714|351.8|351.8|AH4|139.714|139.714|452.443|452.443|AH4.5|128.373|128.373|452.443|452.443|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/itf-m15-villahermosa-men/strode-isaiah-o-hoisin-osgar-nwCNOdal/#ah;2;-0.50;2","-0.5","","","","","","","1.9","1.8","","","","","","",""
"FSM","0000004","20240509|115305","20240506_1971805_036612_044775","R05_0_MEX_M15 Villahermosa","Strode","O'Hoisin","|K|0.551775|EK|G||OL1|1.93648|EOL1|OL2|2.38336|EOL2|OH1|182|EOH1|OH2|224|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|248.61|248.61|193.327|193.327|AH-3.5|207.15|207.15|193.327|193.327|AH-3|207.15|207.15|213.054|213.054|AH-2.5|188.453|188.453|213.054|213.054|AH-2|188.453|188.453|229.926|229.926|AH-1.5|176.967|176.967|229.926|229.926||AH1.5|157.374|157.374|274.294|274.294|AH2|157.374|157.374|300.557|300.557|AH2.5|149.861|149.861|300.557|300.557|AH3|149.861|149.861|351.8|351.8|AH3.5|139.714|139.714|351.8|351.8|AH4|139.714|139.714|452.443|452.443|AH4.5|128.373|128.373|452.443|452.443|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/itf-m15-villahermosa-men/strode-isaiah-o-hoisin-osgar-nwCNOdal/","","","","","","","","1.85","1.85","","","","","","",""
"CDM","0000005","20240509|115346","20240506_1969909_110819_088789","R09_1_BRA_Santos Challenger","Kuzuhara/Zanellato","Aboian/Aboian","|K|0.375659|EK|G||OL1|2.71539|EOL1|OL2|1.62111|EOL2|OH1|267|EOH1|OH2|2.415|EOH2|EG|NA||NAOL1|2.89161|ENAOL1|NAOL2|1.77583|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/brazil/santos-challenger-men-doubles/kuzuhara-bruno-zanellato-nicolas-aboian-leonardo-aboian-valerio-xWE5Onwn/","","","","","","","","2.7","1.4","","","","","","",""
"CDM","0000006","20240509|115355","20240506_1969909_110629_110659","R09_1_BRA_Santos Challenger","Ribero/Torres","Habib/Hilderbrand","|K|0.407061|EK|G||OL1|2.50182|EOL1|OL2|1.70166|EOL2|OH1|246|EOH1|OH2|2.535|EOH2|EG|NA||NAOL1|2.66418|ENAOL1|NAOL2|1.86407|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/brazil/santos-challenger-men-doubles/ribero-franco-torres-juan-bautista-habib-hady-hilderbrand-trey-SpcqzdSp/","","","","","","","","2.0","1.73","","","","","","",""
