"CDM","0000007","20240513|164121","20240513_1970204_060556_110808","R04_1_POR_Oeiras 4 Challenger","Drzewiecki/Walkow","Harrison/Martin","|K|0.441611|EK|G||OL1|2.30859|EOL1|OL2|1.81242|EOL2|OH1|227|EOH1|OH2|2.7|EOH2|EG|NA||NAOL1|2.45841|ENAOL1|NAOL2|1.9854|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/portugal/oeiras-4-challenger-men-doubles/drzewiecki-karol-walkow-szymon-harrison-christian-martin-fabrice-G4KAFdWq/","","","","","","","","","","","","","","","",""
"CDM","0000008","20240513|164125","20240513_1970204_111030_094008","R04_1_POR_Oeiras 4 Challenger","Kiger/Lawson","Freund/Ingildsen","|K|0.320368|EK|G||OL1|3.18321|EOL1|OL2|1.49021|EOL2|OH1|1|EOH1|OH2|2.22|EOH2|EG|NA||NAOL1|3.38979|ENAOL1|NAOL2|1.63244|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/portugal/oeiras-4-challenger-men-doubles/kiger-mac-lawson-alex-freund-simon-ingildsen-johannes-Cj4DZHNF/","","","","","","","","","","","","","","","",""
"CDM","0000009","20240513|164128","20240513_1970204_097319_052845","R04_1_POR_Oeiras 4 Challenger","Schnaitter/Wallner","Duda/Kopriva","|K|0.684404|EK|G||OL1|1.48014|EOL1|OL2|3.22389|EOL2|OH1|2.205|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.62141|ENAOL1|NAOL2|3.43311|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/portugal/oeiras-4-challenger-men-doubles/schnaitter-jakob-wallner-mark-duda-filip-kopriva-vit-v7X0QDp2/","","","","","","","","","","","","","","","",""
"CSM","0000010","20240513|164145","20240513_1970004_086082_046747","R04_1_FRA_Bordeaux Challenger","Shang","Gaston","|K|0.629217|EK|G||OL1|1.67745|EOL1|OL2|2.8755|EOL2|OH1|159|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.67745|ENAOL1|NAOL2|2.997|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|2.323|219.109|AH-2.5|1000|1000|2.323|219.109|AH-2|1000|1000|2.553|240.824|AH-1.5|1000|1000|2.553|240.824||AH1.5|1000|1000|3.377|307.032|AH2|1000|1000|3.673|333.953|AH2.5|1000|1000|3.673|333.953|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.85343|6|1.71295|6|EK-1.5||K21|4.33007|6|6.43583|1|EK21||K1.5|1.54|6|5.37276|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/bordeaux-challenger-men/shang-juncheng-gaston-hugo-hhQfnnWA/#ah;2;-2.50;2","-2.5","2.02","1.81","","","","","2.02","1.81","","","","","","",""
"CSM","0000010","20240513|164142","20240513_1970004_086082_046747","R04_1_FRA_Bordeaux Challenger","Shang","Gaston","|K|0.629217|EK|G||OL1|1.67745|EOL1|OL2|2.8755|EOL2|OH1|159|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.67745|ENAOL1|NAOL2|2.997|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|2.323|219.109|AH-2.5|1000|1000|2.323|219.109|AH-2|1000|1000|2.553|240.824|AH-1.5|1000|1000|2.553|240.824||AH1.5|1000|1000|3.377|307.032|AH2|1000|1000|3.673|333.953|AH2.5|1000|1000|3.673|333.953|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.85343|6|1.71295|6|EK-1.5||K21|4.33007|6|6.43583|1|EK21||K1.5|1.54|6|5.37276|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/bordeaux-challenger-men/shang-juncheng-gaston-hugo-hhQfnnWA/#ah;2;-3.50;2","-3.5","2.13","1.73","","","2.08","1.7","2.13","1.73","","","","","","",""
"CSM","0000010","20240513|164149","20240513_1970004_086082_046747","R04_1_FRA_Bordeaux Challenger","Shang","Gaston","|K|0.629217|EK|G||OL1|1.67745|EOL1|OL2|2.8755|EOL2|OH1|159|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.67745|ENAOL1|NAOL2|2.997|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|2.323|219.109|AH-2.5|1000|1000|2.323|219.109|AH-2|1000|1000|2.553|240.824|AH-1.5|1000|1000|2.553|240.824||AH1.5|1000|1000|3.377|307.032|AH2|1000|1000|3.673|333.953|AH2.5|1000|1000|3.673|333.953|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.85343|6|1.71295|6|EK-1.5||K21|4.33007|6|6.43583|1|EK21||K1.5|1.54|6|5.37276|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/bordeaux-challenger-men/shang-juncheng-gaston-hugo-hhQfnnWA/#ah;2;1.50;1","1.5","1.28","3.73","","","1.23","4.1","1.28","4.1","","","","","","",""
"CSM","0000010","20240513|164147","20240513_1970004_086082_046747","R04_1_FRA_Bordeaux Challenger","Shang","Gaston","|K|0.629217|EK|G||OL1|1.67745|EOL1|OL2|2.8755|EOL2|OH1|159|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.67745|ENAOL1|NAOL2|2.997|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|2.323|219.109|AH-2.5|1000|1000|2.323|219.109|AH-2|1000|1000|2.553|240.824|AH-1.5|1000|1000|2.553|240.824||AH1.5|1000|1000|3.377|307.032|AH2|1000|1000|3.673|333.953|AH2.5|1000|1000|3.673|333.953|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.85343|6|1.71295|6|EK-1.5||K21|4.33007|6|6.43583|1|EK21||K1.5|1.54|6|5.37276|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/bordeaux-challenger-men/shang-juncheng-gaston-hugo-hhQfnnWA/#ah;2;-1.50;1","-1.5","2.66","1.49","","","2.43","1.54","2.66","1.54","","","","","","",""
"CSM","0000010","20240513|164133","20240513_1970004_086082_046747","R04_1_FRA_Bordeaux Challenger","Shang","Gaston","|K|0.629217|EK|G||OL1|1.67745|EOL1|OL2|2.8755|EOL2|OH1|159|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.67745|ENAOL1|NAOL2|2.997|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|2.323|219.109|AH-2.5|1000|1000|2.323|219.109|AH-2|1000|1000|2.553|240.824|AH-1.5|1000|1000|2.553|240.824||AH1.5|1000|1000|3.377|307.032|AH2|1000|1000|3.673|333.953|AH2.5|1000|1000|3.673|333.953|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.85343|6|1.71295|6|EK-1.5||K21|4.33007|6|6.43583|1|EK21||K1.5|1.54|6|5.37276|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/bordeaux-challenger-men/shang-juncheng-gaston-hugo-hhQfnnWA/","","1.73","2.17","","","1.57","2.38","1.73","2.38","","","","","","",""
"CSM","0000011","20240513|164202","20240513_1970404_029180_059092","R04_1_TUN_Tunis Challenger","Harris","Droguet","|K|0.295287|EK|G||OL1|3.61035|EOL1|OL2|1.4981|EOL2|OH1|1|EOH1|OH2|142|EOH2|EG|NA||NAOL1|3.7629|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.361|128.379|AH-2.5|1000|1000|1.361|128.379|AH-2|1000|1000|1.41|133.05|AH-1.5|1000|1000|1.41|133.05||AH1.5|1000|1000|1.641|149.214|AH2|1000|1000|1.807|164.3|AH2.5|1000|1000|1.807|164.3|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.36847|1|1.54|6|EK-1.5||K21|8.05211|1|4.69998|6|EK21||K1.5|1.98695|6|2.35518|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/tunisia/tunis-challenger-men/harris-billy-droguet-titouan-0xbykWoC/#ah;2;4.50;2","4.5","1.66","2.25","","","","","1.66","2.25","","","","","","",""
"CSM","0000011","20240513|164204","20240513_1970404_029180_059092","R04_1_TUN_Tunis Challenger","Harris","Droguet","|K|0.295287|EK|G||OL1|3.61035|EOL1|OL2|1.4981|EOL2|OH1|1|EOH1|OH2|142|EOH2|EG|NA||NAOL1|3.7629|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.361|128.379|AH-2.5|1000|1000|1.361|128.379|AH-2|1000|1000|1.41|133.05|AH-1.5|1000|1000|1.41|133.05||AH1.5|1000|1000|1.641|149.214|AH2|1000|1000|1.807|164.3|AH2.5|1000|1000|1.807|164.3|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.36847|1|1.54|6|EK-1.5||K21|8.05211|1|4.69998|6|EK21||K1.5|1.98695|6|2.35518|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/tunisia/tunis-challenger-men/harris-billy-droguet-titouan-0xbykWoC/#ah;2;3.50;2","3.5","1.98","1.85","","","","","1.98","1.85","","","","","","",""
"CSM","0000011","20240513|164208","20240513_1970404_029180_059092","R04_1_TUN_Tunis Challenger","Harris","Droguet","|K|0.295287|EK|G||OL1|3.61035|EOL1|OL2|1.4981|EOL2|OH1|1|EOH1|OH2|142|EOH2|EG|NA||NAOL1|3.7629|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.361|128.379|AH-2.5|1000|1000|1.361|128.379|AH-2|1000|1000|1.41|133.05|AH-1.5|1000|1000|1.41|133.05||AH1.5|1000|1000|1.641|149.214|AH2|1000|1000|1.807|164.3|AH2.5|1000|1000|1.807|164.3|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.36847|1|1.54|6|EK-1.5||K21|8.05211|1|4.69998|6|EK21||K1.5|1.98695|6|2.35518|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/tunisia/tunis-challenger-men/harris-billy-droguet-titouan-0xbykWoC/#ah;2;1.50;1","1.5","1.82","2.01","","","","","1.82","2.01","","","","","","",""
