"CDV","0000019","20240516|185447","20240513_1546610_010853_093110","R10_1_FRA_Trophee Clarins - Paris","Xu/Zhang","Muhammad/Sutjiadi","|K|0.448931|EK|G||OL1|2.23|EOL1|OL2|1.8928|EOL2|OH1|3.122|EOH1|OH2|2.639|EOH2|EG|NA||NAOL1|2.453|ENAOL1|NAOL2|1.911|ENAOL2|NAVE1|-6|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/paris-challenger-women-doubles/xu-yi-fan-zhang-shuai-muhammad-asia-sutjiadi-aldila-SbSCmRUP/","","","","","","","","1.9","1.8","","","","","","",""
"DM","0000020","20240516|185451","20240506_1938010_079810_110922","R10_3_ITA_Internazionali BNL d'Italia - Rome","Granollers/Zeballos","Bublik/Shelton","|K|0.59523|EK|G||OL1|1.83365|EOL1|OL2|2.5668|EOL2|OH1|169|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.91815|ENAOL1|NAOL2|2.7032|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/italy/atp-rome-doubles/granollers-marcel-zeballos-horacio-bublik-alexander-shelton-ben-tpaG5ajB/","","","","","","","","1.5","2.45","","","","","","",""
"CSM","0000021","20240516|185500","20240513_1970310_005136_045979","R10_1_TPE_Taipei Challenger","Marchenko","Hsu","|K|0.287438|EK|G||OL1|3.7062|EOL1|OL2|1.48755|EOL2|OH1|1|EOH1|OH2|141|EOH2|EG|NA||NAOL1|3.8628|ENAOL1|NAOL2|1.48755|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.319|124.393|AH-2.5|1000|1000|1.319|124.393|AH-2|1000|1000|1.389|131.008|AH-1.5|1000|1000|1.389|131.008||AH1.5|1000|1000|1.63|148.152|AH2|1000|1000|1.793|163.02|AH2.5|1000|1000|1.793|163.02|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.08294|1|1.54|6|EK-1.5||K21|7.60437|1|4.47394|6|EK21||K1.5|2.01724|6|2.3172|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/taiwan/taipei-challenger-men/marchenko-illya-hsu-yu-hsiou-OAePVctS/#ah;2;3.50;2","3.5","1.9","1.95","","","","","1.9","1.95","","","","","","",""
"CSM","0000021","20240516|185503","20240513_1970310_005136_045979","R10_1_TPE_Taipei Challenger","Marchenko","Hsu","|K|0.287438|EK|G||OL1|3.7062|EOL1|OL2|1.48755|EOL2|OH1|1|EOH1|OH2|141|EOH2|EG|NA||NAOL1|3.8628|ENAOL1|NAOL2|1.48755|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.319|124.393|AH-2.5|1000|1000|1.319|124.393|AH-2|1000|1000|1.389|131.008|AH-1.5|1000|1000|1.389|131.008||AH1.5|1000|1000|1.63|148.152|AH2|1000|1000|1.793|163.02|AH2.5|1000|1000|1.793|163.02|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.08294|1|1.54|6|EK-1.5||K21|7.60437|1|4.47394|6|EK21||K1.5|2.01724|6|2.3172|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/taiwan/taipei-challenger-men/marchenko-illya-hsu-yu-hsiou-OAePVctS/#ah;2;2.50;2","2.5","2.25","1.68","","","","","2.25","1.68","","","","","","",""
"CSM","0000021","20240516|185507","20240513_1970310_005136_045979","R10_1_TPE_Taipei Challenger","Marchenko","Hsu","|K|0.287438|EK|G||OL1|3.7062|EOL1|OL2|1.48755|EOL2|OH1|1|EOH1|OH2|141|EOH2|EG|NA||NAOL1|3.8628|ENAOL1|NAOL2|1.48755|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.319|124.393|AH-2.5|1000|1000|1.319|124.393|AH-2|1000|1000|1.389|131.008|AH-1.5|1000|1000|1.389|131.008||AH1.5|1000|1000|1.63|148.152|AH2|1000|1000|1.793|163.02|AH2.5|1000|1000|1.793|163.02|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.08294|1|1.54|6|EK-1.5||K21|7.60437|1|4.47394|6|EK21||K1.5|2.01724|6|2.3172|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/taiwan/taipei-challenger-men/marchenko-illya-hsu-yu-hsiou-OAePVctS/#ah;2;1.50;1","1.5","1.78","2.11","","","","","1.78","2.11","","","","","","",""
"CSM","0000021","20240516|185505","20240513_1970310_005136_045979","R10_1_TPE_Taipei Challenger","Marchenko","Hsu","|K|0.287438|EK|G||OL1|3.7062|EOL1|OL2|1.48755|EOL2|OH1|1|EOH1|OH2|141|EOH2|EG|NA||NAOL1|3.8628|ENAOL1|NAOL2|1.48755|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.319|124.393|AH-2.5|1000|1000|1.319|124.393|AH-2|1000|1000|1.389|131.008|AH-1.5|1000|1000|1.389|131.008||AH1.5|1000|1000|1.63|148.152|AH2|1000|1000|1.793|163.02|AH2.5|1000|1000|1.793|163.02|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.08294|1|1.54|6|EK-1.5||K21|7.60437|1|4.47394|6|EK21||K1.5|2.01724|6|2.3172|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/taiwan/taipei-challenger-men/marchenko-illya-hsu-yu-hsiou-OAePVctS/#ah;2;-1.50;1","-1.5","5.19","1.18","","","","","5.19","1.18","","","","","","",""
"CSM","0000021","20240516|185455","20240513_1970310_005136_045979","R10_1_TPE_Taipei Challenger","Marchenko","Hsu","|K|0.287438|EK|G||OL1|3.7062|EOL1|OL2|1.48755|EOL2|OH1|1|EOH1|OH2|141|EOH2|EG|NA||NAOL1|3.8628|ENAOL1|NAOL2|1.48755|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.319|124.393|AH-2.5|1000|1000|1.319|124.393|AH-2|1000|1000|1.389|131.008|AH-1.5|1000|1000|1.389|131.008||AH1.5|1000|1000|1.63|148.152|AH2|1000|1000|1.793|163.02|AH2.5|1000|1000|1.793|163.02|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.08294|1|1.54|6|EK-1.5||K21|7.60437|1|4.47394|6|EK21||K1.5|2.01724|6|2.3172|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/taiwan/taipei-challenger-men/marchenko-illya-hsu-yu-hsiou-OAePVctS/","","2.89","1.44","","","","","2.89","1.44","","","","","","",""
"CSM","0000022","20240516|185520","20240513_1970310_047752_011517","R10_1_TPE_Taipei Challenger","Walton","Duckworth","|K|0.549741|EK|G||OL1|1.9383|EOL1|OL2|2.37495|EOL2|OH1|182|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.0202|ENAOL1|NAOL2|2.4753|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.11835|6|1.62307|6|EK-1.5||K21|5.21644|6|6.75204|1|EK21||K1.5|1.54|6|3.78962|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/taiwan/taipei-challenger-men/walton-adam-duckworth-james-t4PDIniJ/#ah;2;0.50;2","0.5","1.79","2.09","","","","","1.79","2.09","","","","","","",""
"CSM","0000022","20240516|185522","20240513_1970310_047752_011517","R10_1_TPE_Taipei Challenger","Walton","Duckworth","|K|0.549741|EK|G||OL1|1.9383|EOL1|OL2|2.37495|EOL2|OH1|182|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.0202|ENAOL1|NAOL2|2.4753|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.11835|6|1.62307|6|EK-1.5||K21|5.21644|6|6.75204|1|EK21||K1.5|1.54|6|3.78962|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/taiwan/taipei-challenger-men/walton-adam-duckworth-james-t4PDIniJ/#ah;2;-0.50;2","-0.5","1.92","1.93","","","","","1.92","1.93","","","","","","",""
"CSM","0000022","20240516|185526","20240513_1970310_047752_011517","R10_1_TPE_Taipei Challenger","Walton","Duckworth","|K|0.549741|EK|G||OL1|1.9383|EOL1|OL2|2.37495|EOL2|OH1|182|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.0202|ENAOL1|NAOL2|2.4753|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.11835|6|1.62307|6|EK-1.5||K21|5.21644|6|6.75204|1|EK21||K1.5|1.54|6|3.78962|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/taiwan/taipei-challenger-men/walton-adam-duckworth-james-t4PDIniJ/#ah;2;1.50;1","1.5","1.37","3.23","","","","","1.37","3.23","","","","","","",""
"CSM","0000022","20240516|185524","20240513_1970310_047752_011517","R10_1_TPE_Taipei Challenger","Walton","Duckworth","|K|0.549741|EK|G||OL1|1.9383|EOL1|OL2|2.37495|EOL2|OH1|182|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.0202|ENAOL1|NAOL2|2.4753|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.11835|6|1.62307|6|EK-1.5||K21|5.21644|6|6.75204|1|EK21||K1.5|1.54|6|3.78962|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/taiwan/taipei-challenger-men/walton-adam-duckworth-james-t4PDIniJ/#ah;2;-1.50;1","-1.5","2.9","1.44","","","","","2.9","1.44","","","","","","",""
