"FSM","0000001","20240520|085430","20240520_1974304_071631_076158","R04_0_ITA_M15 Cervia","La Vela","Bagnolini","|K|0.733073|EK|G||OL1|1.45768|EOL1|OL2|3.84|EOL2|OH1|137|EOH1|OH2|5.625|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|182.619|182.619|266.024|266.024|AH-3.5|160.232|160.232|266.024|266.024|AH-3|160.232|160.232|303.608|303.608|AH-2.5|149.114|149.114|303.608|303.608|AH-2|149.114|149.114|340.404|340.404|AH-1.5|141.597|141.597|340.404|340.404||AH1.5|129.925|129.925|434.164|434.164|AH2|129.925|129.925|469.241|469.241|AH2.5|127.083|127.083|469.241|469.241|AH3|127.083|127.083|534.859|534.859|AH3.5|122.996|122.996|534.859|534.859|AH4|122.996|122.996|653.197|653.197|AH4.5|118.077|118.077|653.197|653.197|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/italy/itf-m15-cervia-men/la-vela-giuseppe-bagnolini-daniel-xWQIA2ec/","","","","","","","","1.28","3.3","","","","","","",""
"FSM","0000002","20240520|085445","20240520_1974604_081781_067188","R04_0_SLO_M15 Celje","Kupcic","Barnat","|K|0.428644|EK|G||OL1|2.39616|EOL1|OL2|1.87264|EOL2|OH1|3.51|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|360.202|360.202|151.181|151.181|AH-3.5|295.383|295.383|151.181|151.181|AH-3|295.383|295.383|161.747|161.747|AH-2.5|261.95|261.95|161.747|161.747|AH-2|261.95|261.95|171.366|171.366|AH-1.5|240.124|240.124|171.366|171.366||AH1.5|204.553|204.553|195.646|195.646|AH2|204.553|204.553|207.692|207.692|AH2.5|192.857|192.857|207.692|207.692|AH3|192.857|192.857|233.069|233.069|AH3.5|175.149|175.149|233.069|233.069|AH4|175.149|175.149|284.472|284.472|AH4.5|154.209|154.209|284.472|284.472|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/slovenia/itf-m15-celje-men/kupcic-jan-barnat-jiri-jaSb2SqI/#ah;2;2.50;2","2.5","","","","","","","","","","","","","","",""
"FSM","0000002","20240520|085448","20240520_1974604_081781_067188","R04_0_SLO_M15 Celje","Kupcic","Barnat","|K|0.428644|EK|G||OL1|2.39616|EOL1|OL2|1.87264|EOL2|OH1|3.51|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|360.202|360.202|151.181|151.181|AH-3.5|295.383|295.383|151.181|151.181|AH-3|295.383|295.383|161.747|161.747|AH-2.5|261.95|261.95|161.747|161.747|AH-2|261.95|261.95|171.366|171.366|AH-1.5|240.124|240.124|171.366|171.366||AH1.5|204.553|204.553|195.646|195.646|AH2|204.553|204.553|207.692|207.692|AH2.5|192.857|192.857|207.692|207.692|AH3|192.857|192.857|233.069|233.069|AH3.5|175.149|175.149|233.069|233.069|AH4|175.149|175.149|284.472|284.472|AH4.5|154.209|154.209|284.472|284.472|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/slovenia/itf-m15-celje-men/kupcic-jan-barnat-jiri-jaSb2SqI/#ah;2;1.50;1","1.5","","","","","","","","","","","","","","",""
"FSM","0000002","20240520|085447","20240520_1974604_081781_067188","R04_0_SLO_M15 Celje","Kupcic","Barnat","|K|0.428644|EK|G||OL1|2.39616|EOL1|OL2|1.87264|EOL2|OH1|3.51|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|360.202|360.202|151.181|151.181|AH-3.5|295.383|295.383|151.181|151.181|AH-3|295.383|295.383|161.747|161.747|AH-2.5|261.95|261.95|161.747|161.747|AH-2|261.95|261.95|171.366|171.366|AH-1.5|240.124|240.124|171.366|171.366||AH1.5|204.553|204.553|195.646|195.646|AH2|204.553|204.553|207.692|207.692|AH2.5|192.857|192.857|207.692|207.692|AH3|192.857|192.857|233.069|233.069|AH3.5|175.149|175.149|233.069|233.069|AH4|175.149|175.149|284.472|284.472|AH4.5|154.209|154.209|284.472|284.472|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/slovenia/itf-m15-celje-men/kupcic-jan-barnat-jiri-jaSb2SqI/#ah;2;-1.50;1","-1.5","","","","","","","","","","","","","","",""
"FSM","0000002","20240520|085438","20240520_1974604_081781_067188","R04_0_SLO_M15 Celje","Kupcic","Barnat","|K|0.428644|EK|G||OL1|2.39616|EOL1|OL2|1.87264|EOL2|OH1|3.51|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|360.202|360.202|151.181|151.181|AH-3.5|295.383|295.383|151.181|151.181|AH-3|295.383|295.383|161.747|161.747|AH-2.5|261.95|261.95|161.747|161.747|AH-2|261.95|261.95|171.366|171.366|AH-1.5|240.124|240.124|171.366|171.366||AH1.5|204.553|204.553|195.646|195.646|AH2|204.553|204.553|207.692|207.692|AH2.5|192.857|192.857|207.692|207.692|AH3|192.857|192.857|233.069|233.069|AH3.5|175.149|175.149|233.069|233.069|AH4|175.149|175.149|284.472|284.472|AH4.5|154.209|154.209|284.472|284.472|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/slovenia/itf-m15-celje-men/kupcic-jan-barnat-jiri-jaSb2SqI/","","","","","","","","2.25","1.57","","","","","","",""
"FSM","0000003","20240520|085501","20240520_1974604_041066_090774","R04_0_SLO_M15 Celje","Sorrentino","Romano","|K|0.578386|EK|G||OL1|1.84072|EOL1|OL2|2.43712|EOL2|OH1|173|EOH1|OH2|3.57|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|242.796|242.796|189.402|189.402|AH-3.5|211.855|211.855|189.402|189.402|AH-3|211.855|211.855|203.731|203.731|AH-2.5|196.403|196.403|203.731|203.731|AH-2|196.403|196.403|216.286|216.286|AH-1.5|185.995|185.995|216.286|216.286||AH1.5|165.427|165.427|252.843|252.843|AH2|165.427|165.427|270.115|270.115|AH2.5|158.784|158.784|270.115|270.115|AH3|158.784|158.784|303.02|303.02|AH3.5|149.256|149.256|303.02|303.02|AH4|149.256|149.256|367.085|367.085|AH4.5|137.441|137.441|367.085|367.085|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/slovenia/itf-m15-celje-men/sorrentino-luigi-romano-filippo-bPV606EU/#ah;2;-0.50;2","-0.5","","","","","","","","","","","","","","",""
"FSM","0000003","20240520|085504","20240520_1974604_041066_090774","R04_0_SLO_M15 Celje","Sorrentino","Romano","|K|0.578386|EK|G||OL1|1.84072|EOL1|OL2|2.43712|EOL2|OH1|173|EOH1|OH2|3.57|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|242.796|242.796|189.402|189.402|AH-3.5|211.855|211.855|189.402|189.402|AH-3|211.855|211.855|203.731|203.731|AH-2.5|196.403|196.403|203.731|203.731|AH-2|196.403|196.403|216.286|216.286|AH-1.5|185.995|185.995|216.286|216.286||AH1.5|165.427|165.427|252.843|252.843|AH2|165.427|165.427|270.115|270.115|AH2.5|158.784|158.784|270.115|270.115|AH3|158.784|158.784|303.02|303.02|AH3.5|149.256|149.256|303.02|303.02|AH4|149.256|149.256|367.085|367.085|AH4.5|137.441|137.441|367.085|367.085|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/slovenia/itf-m15-celje-men/sorrentino-luigi-romano-filippo-bPV606EU/#ah;2;1.50;1","1.5","","","","","","","","","","","","","","",""
"FSM","0000003","20240520|085503","20240520_1974604_041066_090774","R04_0_SLO_M15 Celje","Sorrentino","Romano","|K|0.578386|EK|G||OL1|1.84072|EOL1|OL2|2.43712|EOL2|OH1|173|EOH1|OH2|3.57|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|242.796|242.796|189.402|189.402|AH-3.5|211.855|211.855|189.402|189.402|AH-3|211.855|211.855|203.731|203.731|AH-2.5|196.403|196.403|203.731|203.731|AH-2|196.403|196.403|216.286|216.286|AH-1.5|185.995|185.995|216.286|216.286||AH1.5|165.427|165.427|252.843|252.843|AH2|165.427|165.427|270.115|270.115|AH2.5|158.784|158.784|270.115|270.115|AH3|158.784|158.784|303.02|303.02|AH3.5|149.256|149.256|303.02|303.02|AH4|149.256|149.256|367.085|367.085|AH4.5|137.441|137.441|367.085|367.085|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/slovenia/itf-m15-celje-men/sorrentino-luigi-romano-filippo-bPV606EU/#ah;2;-1.50;1","-1.5","","","","","","","","","","","","","","",""
"FSM","0000003","20240520|085453","20240520_1974604_041066_090774","R04_0_SLO_M15 Celje","Sorrentino","Romano","|K|0.578386|EK|G||OL1|1.84072|EOL1|OL2|2.43712|EOL2|OH1|173|EOH1|OH2|3.57|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|242.796|242.796|189.402|189.402|AH-3.5|211.855|211.855|189.402|189.402|AH-3|211.855|211.855|203.731|203.731|AH-2.5|196.403|196.403|203.731|203.731|AH-2|196.403|196.403|216.286|216.286|AH-1.5|185.995|185.995|216.286|216.286||AH1.5|165.427|165.427|252.843|252.843|AH2|165.427|165.427|270.115|270.115|AH2.5|158.784|158.784|270.115|270.115|AH3|158.784|158.784|303.02|303.02|AH3.5|149.256|149.256|303.02|303.02|AH4|149.256|149.256|367.085|367.085|AH4.5|137.441|137.441|367.085|367.085|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/slovenia/itf-m15-celje-men/sorrentino-luigi-romano-filippo-bPV606EU/","","","","","","","","1.85","1.85","","","","","","",""
"CDM","0000004","20240520|085508","20240520_1970704_108743_080517","R04_1_GEO_Kachreti Challenger","Agafonov/Simakin","Barroso Campos/Cid Subervi","|K|0.456133|EK|G||OL1|2.2374|EOL1|OL2|1.8527|EOL2|OH1|220|EOH1|OH2|2.76|EOH2|EG|NA||NAOL1|2.3826|ENAOL1|NAOL2|2.02952|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/georgia/kachreti-challenger-men-doubles/agafonov-egor-simakin-ilia-barroso-campos-alberto-cid-subervi-roberto-AFTgzSpJ/","","","","","","","","2.37","1.52","","","","","","",""
"CDM","0000005","20240520|085512","20240520_1970704_111172_111173","R04_1_GEO_Kachreti Challenger","Bobrov/Lobanov","Erel/Ramanathan","|K|0.412009|EK|G||OL1|2.47131|EOL1|OL2|1.7218|EOL2|OH1|243|EOH1|OH2|2.565|EOH2|EG|NA||NAOL1|2.63169|ENAOL1|NAOL2|1.88613|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/georgia/kachreti-challenger-men-doubles/bobrov-bogdan-lobanov-aleksandr-erel-yanki-ramanathan-ramkumar-nBaw78Ft/","","","","","","","","2.7","1.4","","","","","","",""
