"SM","0000013","20240521|163453","20240527_1938302_012653_068627","R02_4_FRA_French Open - Paris","Trungelliti","Diallo","|K|0.534936|EK|G||OL1|2.057|EOL1|OL2|2.3652|EOL2|OH1|2.7115|EOH1|OH2|2.9592|EOH2|EG|NA||NAOL1|2.0757|ENAOL1|NAOL2|2.36952|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/atp-french-open/trungelliti-marco-diallo-gabriel-KlPkDsRO/","","1.58","2.42","","","1.49","2.55","1.58","2.55","","","","","","",""
"SM","0000014","20240521|163458","20240527_1938302_036594_023301","R02_4_FRA_French Open - Paris","Vacherot","Couacaud","|K|0.599255|EK|G||OL1|1.837|EOL1|OL2|2.7375|EOL2|OH1|2.4215|EOH1|OH2|3.425|EOH2|EG|NA||NAOL1|1.8537|ENAOL1|NAOL2|2.7425|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/atp-french-open/vacherot-valentin-couacaud-enzo-zTV6CLbs/","","","","","","1.57","2.35","1.57","2.4","","","","","","",""
"SM","0000016","20240521|163511","20240520_1938205_038911_034298","R05_2_FRA_Open Parc - Lyon","Humbert","Koepfer","|K|0.651192|EK|G||OL1|1.694|EOL1|OL2|3.14265|EOL2|OH1|2.233|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7094|ENAOL1|NAOL2|3.14839|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.306|5.723|1.461|1.942|AH-5|4.306|5.723|1.718|2.284|AH-4|2.989|3.972|2.16|2.871|AH-3.5|2.204|2.929|2.16|2.871|AH-3|2.204|2.929|2.54|3.376|AH-2.5|1.912|2.542|2.54|3.376|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.483|1.966|4.17|5.527|AH3|1.483|1.966|4.987|6.61|AH3.5|1.401|1.857|4.987|6.61|AH4|1.401|1.857|6.046|8.013|AH4.5|1.336|1.77|6.046|8.013|AH5|1.336|1.77|8.34|11.054|AH5.5|1.259|1.669|8.34|11.054||EAH||AHS||K-1.5|2.59713|7|1.83342|7|EK-1.5||K21|4.39677|7|6.89528|1|EK21||K1.5|1.52|7|6.19308|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/atp-lyon/humbert-ugo-koepfer-dominik-QX24CgTp/#ah;2;-1.50;2","-1.5","1.7","2.24","","","","","1.7","2.24","","","","","","",""
"SM","0000016","20240521|163510","20240520_1938205_038911_034298","R05_2_FRA_Open Parc - Lyon","Humbert","Koepfer","|K|0.651192|EK|G||OL1|1.694|EOL1|OL2|3.14265|EOL2|OH1|2.233|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7094|ENAOL1|NAOL2|3.14839|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.306|5.723|1.461|1.942|AH-5|4.306|5.723|1.718|2.284|AH-4|2.989|3.972|2.16|2.871|AH-3.5|2.204|2.929|2.16|2.871|AH-3|2.204|2.929|2.54|3.376|AH-2.5|1.912|2.542|2.54|3.376|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.483|1.966|4.17|5.527|AH3|1.483|1.966|4.987|6.61|AH3.5|1.401|1.857|4.987|6.61|AH4|1.401|1.857|6.046|8.013|AH4.5|1.336|1.77|6.046|8.013|AH5|1.336|1.77|8.34|11.054|AH5.5|1.259|1.669|8.34|11.054||EAH||AHS||K-1.5|2.59713|7|1.83342|7|EK-1.5||K21|4.39677|7|6.89528|1|EK21||K1.5|1.52|7|6.19308|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/atp-lyon/humbert-ugo-koepfer-dominik-QX24CgTp/#ah;2;-2.50;2","-2.5","1.87","2.0","","","","","1.87","2.0","","","","","","",""
"SM","0000016","20240521|163515","20240520_1938205_038911_034298","R05_2_FRA_Open Parc - Lyon","Humbert","Koepfer","|K|0.651192|EK|G||OL1|1.694|EOL1|OL2|3.14265|EOL2|OH1|2.233|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7094|ENAOL1|NAOL2|3.14839|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.306|5.723|1.461|1.942|AH-5|4.306|5.723|1.718|2.284|AH-4|2.989|3.972|2.16|2.871|AH-3.5|2.204|2.929|2.16|2.871|AH-3|2.204|2.929|2.54|3.376|AH-2.5|1.912|2.542|2.54|3.376|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.483|1.966|4.17|5.527|AH3|1.483|1.966|4.987|6.61|AH3.5|1.401|1.857|4.987|6.61|AH4|1.401|1.857|6.046|8.013|AH4.5|1.336|1.77|6.046|8.013|AH5|1.336|1.77|8.34|11.054|AH5.5|1.259|1.669|8.34|11.054||EAH||AHS||K-1.5|2.59713|7|1.83342|7|EK-1.5||K21|4.39677|7|6.89528|1|EK21||K1.5|1.52|7|6.19308|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/atp-lyon/humbert-ugo-koepfer-dominik-QX24CgTp/#ah;2;1.50;1","1.5","1.24","4.43","","","","","1.24","4.43","","","","","","",""
"SM","0000016","20240521|163513","20240520_1938205_038911_034298","R05_2_FRA_Open Parc - Lyon","Humbert","Koepfer","|K|0.651192|EK|G||OL1|1.694|EOL1|OL2|3.14265|EOL2|OH1|2.233|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7094|ENAOL1|NAOL2|3.14839|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.306|5.723|1.461|1.942|AH-5|4.306|5.723|1.718|2.284|AH-4|2.989|3.972|2.16|2.871|AH-3.5|2.204|2.929|2.16|2.871|AH-3|2.204|2.929|2.54|3.376|AH-2.5|1.912|2.542|2.54|3.376|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.483|1.966|4.17|5.527|AH3|1.483|1.966|4.987|6.61|AH3.5|1.401|1.857|4.987|6.61|AH4|1.401|1.857|6.046|8.013|AH4.5|1.336|1.77|6.046|8.013|AH5|1.336|1.77|8.34|11.054|AH5.5|1.259|1.669|8.34|11.054||EAH||AHS||K-1.5|2.59713|7|1.83342|7|EK-1.5||K21|4.39677|7|6.89528|1|EK21||K1.5|1.52|7|6.19308|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/atp-lyon/humbert-ugo-koepfer-dominik-QX24CgTp/#ah;2;-1.50;1","-1.5","2.46","1.6","","","","","2.46","1.6","","","","","","",""
"SM","0000016","20240521|163502","20240520_1938205_038911_034298","R05_2_FRA_Open Parc - Lyon","Humbert","Koepfer","|K|0.651192|EK|G||OL1|1.694|EOL1|OL2|3.14265|EOL2|OH1|2.233|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7094|ENAOL1|NAOL2|3.14839|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.306|5.723|1.461|1.942|AH-5|4.306|5.723|1.718|2.284|AH-4|2.989|3.972|2.16|2.871|AH-3.5|2.204|2.929|2.16|2.871|AH-3|2.204|2.929|2.54|3.376|AH-2.5|1.912|2.542|2.54|3.376|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.483|1.966|4.17|5.527|AH3|1.483|1.966|4.987|6.61|AH3.5|1.401|1.857|4.987|6.61|AH4|1.401|1.857|6.046|8.013|AH4.5|1.336|1.77|6.046|8.013|AH5|1.336|1.77|8.34|11.054|AH5.5|1.259|1.669|8.34|11.054||EAH||AHS||K-1.5|2.59713|7|1.83342|7|EK-1.5||K21|4.39677|7|6.89528|1|EK21||K1.5|1.52|7|6.19308|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/atp-lyon/humbert-ugo-koepfer-dominik-QX24CgTp/","","1.58","2.51","","","1.53","2.48","1.58","2.51","","","","","","",""
"CSM","0000017","20240521|163527","20240520_1970605_073399_089396","R05_1_GER_Augsburg Challenger","Kodat","Pacheco Mendez","|K|0.41189|EK|G||OL1|2.58795|EOL1|OL2|1.80405|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.6973|ENAOL1|NAOL2|1.80405|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.445|325.041|1.661|156.736|AH-2.5|2.928|276.255|1.661|156.736|AH-2|2.928|276.255|1.731|163.289|AH-1.5|2.735|258.006|1.731|163.289||AH1.5|2.373|215.686|2.051|186.441|AH2|2.373|215.686|2.208|200.683|AH2.5|2.193|199.321|2.208|200.683|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.53707|6|1.54|6|EK-1.5||K21|5.53817|6|6.86248|1|EK21||K1.5|1.60248|6|3.1909|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/augsburg-challenger-men/kodat-toby-alex-pacheco-mendez-rodrigo-zuYjwGgl/#ah;2;0.50;2","0.5","1.96","1.85","","","","","1.96","1.85","","","","","","",""
"CSM","0000017","20240521|163529","20240520_1970605_073399_089396","R05_1_GER_Augsburg Challenger","Kodat","Pacheco Mendez","|K|0.41189|EK|G||OL1|2.58795|EOL1|OL2|1.80405|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.6973|ENAOL1|NAOL2|1.80405|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.445|325.041|1.661|156.736|AH-2.5|2.928|276.255|1.661|156.736|AH-2|2.928|276.255|1.731|163.289|AH-1.5|2.735|258.006|1.731|163.289||AH1.5|2.373|215.686|2.051|186.441|AH2|2.373|215.686|2.208|200.683|AH2.5|2.193|199.321|2.208|200.683|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.53707|6|1.54|6|EK-1.5||K21|5.53817|6|6.86248|1|EK21||K1.5|1.60248|6|3.1909|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/augsburg-challenger-men/kodat-toby-alex-pacheco-mendez-rodrigo-zuYjwGgl/#ah;2;-0.50;2","-0.5","1.97","1.85","","","","","2.01","1.85","","","","","","",""
"CSM","0000017","20240521|163533","20240520_1970605_073399_089396","R05_1_GER_Augsburg Challenger","Kodat","Pacheco Mendez","|K|0.41189|EK|G||OL1|2.58795|EOL1|OL2|1.80405|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.6973|ENAOL1|NAOL2|1.80405|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.445|325.041|1.661|156.736|AH-2.5|2.928|276.255|1.661|156.736|AH-2|2.928|276.255|1.731|163.289|AH-1.5|2.735|258.006|1.731|163.289||AH1.5|2.373|215.686|2.051|186.441|AH2|2.373|215.686|2.208|200.683|AH2.5|2.193|199.321|2.208|200.683|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.53707|6|1.54|6|EK-1.5||K21|5.53817|6|6.86248|1|EK21||K1.5|1.60248|6|3.1909|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/germany/augsburg-challenger-men/kodat-toby-alex-pacheco-mendez-rodrigo-zuYjwGgl/#ah;2;1.50;1","1.5","1.43","2.85","","","","","1.43","2.85","","","","","","",""
"CSM","0000017","20240521|163531","20240520_1970605_073399_089396","R05_1_GER_Augsburg Challenger","Kodat","Pacheco Mendez","|K|0.41189|EK|G||OL1|2.58795|EOL1|OL2|1.80405|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.6973|ENAOL1|NAOL2|1.80405|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.445|325.041|1.661|156.736|AH-2.5|2.928|276.255|1.661|156.736|AH-2|2.928|276.255|1.731|163.289|AH-1.5|2.735|258.006|1.731|163.289||AH1.5|2.373|215.686|2.051|186.441|AH2|2.373|215.686|2.208|200.683|AH2.5|2.193|199.321|2.208|200.683|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.53707|6|1.54|6|EK-1.5||K21|5.53817|6|6.86248|1|EK21||K1.5|1.60248|6|3.1909|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/germany/augsburg-challenger-men/kodat-toby-alex-pacheco-mendez-rodrigo-zuYjwGgl/#ah;2;-1.50;1","-1.5","3.23","1.35","","","","","3.23","1.35","","","","","","",""
