"SM","0000025","20240525|083202","20240527_1938304_027358_052394","R04_4_FRA_French Open - Paris","Martinez","Tirante","|K|0.76781|EK|G||OL1|1.441|EOL1|OL2|4.71945|EOL2|OH1|1.8995|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4541|ENAOL1|NAOL2|4.72807|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/atp-french-open/martinez-pedro-tirante-thiago-agustin-p2JTgv1D/","","1.33","3.61","","","1.3","3.6","1.33","3.61","","","","","","",""
"SM","0000026","20240525|083207","20240527_1938304_031358_001837","R04_4_FRA_French Open - Paris","Munar","Bautista-Agut","|K|0.525358|EK|G||OL1|2.101|EOL1|OL2|2.31045|EOL2|OH1|2.7695|EOH1|OH2|2.8907|EOH2|EG|NA||NAOL1|2.1201|ENAOL1|NAOL2|2.31467|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/atp-french-open/munar-jaume-bautista-agut-roberto-ptrgs1H7/","","1.79","2.13","","","1.77","2.06","1.8","2.13","","","","","","",""
"SM","0000027","20240525|083212","20240527_1938304_082371_033502","R04_4_FRA_French Open - Paris","van Assche","Shapovalov","|K|0.422792|EK|G||OL1|2.59515|EOL1|OL2|1.914|EOL2|OH1|3.2469|EOH1|OH2|2.523|EOH2|EG|NA||NAOL1|2.59989|ENAOL1|NAOL2|1.9314|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/atp-french-open/van-assche-luca-shapovalov-denis-ht2A6HpJ/","","2.24","1.72","","","2.15","1.7","2.24","1.72","","","","","","",""
"SM","0000028","20240525|083226","20240520_1938212_037532_071174","R12_2_FRA_Open Parc - Lyon","Etcheverry","Mpetshi Perricard","|K|0.653109|EK|G||OL1|1.694|EOL1|OL2|3.16455|EOL2|OH1|2.233|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7094|ENAOL1|NAOL2|3.17033|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.534|6.026|1.437|1.909|AH-5|4.534|6.026|1.633|2.17|AH-4|3.288|4.37|1.929|2.563|AH-3.5|2.512|3.338|1.929|2.563|AH-3|2.512|3.338|2.115|2.811|AH-2.5|2.253|2.995|2.115|2.811|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.506|1.996|4|5.302|AH3|1.506|1.996|6.957|9.221|AH3.5|1.298|1.721|6.957|9.221|AH4|1.298|1.721|16.014|21.224|AH4.5|1.174|1.556|16.014|21.224|AH5|1.174|1.556|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|2.59962|7|1.83207|7|EK-1.5||K21|4.84822|7|5.81516|7|EK21||K1.5|1.52|7|6.48348|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/atp-lyon/etcheverry-tomas-martin-mpetshi-perricard-giovanni-0Wle02S7/#ah;2;-2.50;2","-2.5","1.87","2.0","","","1.8","2.02","1.87","2.02","","","","","","",""
"SM","0000028","20240525|083229","20240520_1938212_037532_071174","R12_2_FRA_Open Parc - Lyon","Etcheverry","Mpetshi Perricard","|K|0.653109|EK|G||OL1|1.694|EOL1|OL2|3.16455|EOL2|OH1|2.233|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7094|ENAOL1|NAOL2|3.17033|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.534|6.026|1.437|1.909|AH-5|4.534|6.026|1.633|2.17|AH-4|3.288|4.37|1.929|2.563|AH-3.5|2.512|3.338|1.929|2.563|AH-3|2.512|3.338|2.115|2.811|AH-2.5|2.253|2.995|2.115|2.811|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.506|1.996|4|5.302|AH3|1.506|1.996|6.957|9.221|AH3.5|1.298|1.721|6.957|9.221|AH4|1.298|1.721|16.014|21.224|AH4.5|1.174|1.556|16.014|21.224|AH5|1.174|1.556|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|2.59962|7|1.83207|7|EK-1.5||K21|4.84822|7|5.81516|7|EK21||K1.5|1.52|7|6.48348|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/atp-lyon/etcheverry-tomas-martin-mpetshi-perricard-giovanni-0Wle02S7/#ah;2;-3.50;2","-3.5","2.57","1.55","","","2.25","1.63","2.57","1.63","","","","","","",""
"SM","0000028","20240525|083233","20240520_1938212_037532_071174","R12_2_FRA_Open Parc - Lyon","Etcheverry","Mpetshi Perricard","|K|0.653109|EK|G||OL1|1.694|EOL1|OL2|3.16455|EOL2|OH1|2.233|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7094|ENAOL1|NAOL2|3.17033|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.534|6.026|1.437|1.909|AH-5|4.534|6.026|1.633|2.17|AH-4|3.288|4.37|1.929|2.563|AH-3.5|2.512|3.338|1.929|2.563|AH-3|2.512|3.338|2.115|2.811|AH-2.5|2.253|2.995|2.115|2.811|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.506|1.996|4|5.302|AH3|1.506|1.996|6.957|9.221|AH3.5|1.298|1.721|6.957|9.221|AH4|1.298|1.721|16.014|21.224|AH4.5|1.174|1.556|16.014|21.224|AH5|1.174|1.556|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|2.59962|7|1.83207|7|EK-1.5||K21|4.84822|7|5.81516|7|EK21||K1.5|1.52|7|6.48348|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/atp-lyon/etcheverry-tomas-martin-mpetshi-perricard-giovanni-0Wle02S7/#ah;2;1.50;1","1.5","1.18","5.48","","","1.16","5.6","1.18","5.6","","","","","","",""
"SM","0000028","20240525|083231","20240520_1938212_037532_071174","R12_2_FRA_Open Parc - Lyon","Etcheverry","Mpetshi Perricard","|K|0.653109|EK|G||OL1|1.694|EOL1|OL2|3.16455|EOL2|OH1|2.233|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7094|ENAOL1|NAOL2|3.17033|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.534|6.026|1.437|1.909|AH-5|4.534|6.026|1.633|2.17|AH-4|3.288|4.37|1.929|2.563|AH-3.5|2.512|3.338|1.929|2.563|AH-3|2.512|3.338|2.115|2.811|AH-2.5|2.253|2.995|2.115|2.811|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.506|1.996|4|5.302|AH3|1.506|1.996|6.957|9.221|AH3.5|1.298|1.721|6.957|9.221|AH4|1.298|1.721|16.014|21.224|AH4.5|1.174|1.556|16.014|21.224|AH5|1.174|1.556|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|2.59962|7|1.83207|7|EK-1.5||K21|4.84822|7|5.81516|7|EK21||K1.5|1.52|7|6.48348|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/atp-lyon/etcheverry-tomas-martin-mpetshi-perricard-giovanni-0Wle02S7/#ah;2;-1.50;1","-1.5","2.18","1.74","","","2.18","1.68","2.18","1.74","","","","","","",""
"SM","0000028","20240525|083216","20240520_1938212_037532_071174","R12_2_FRA_Open Parc - Lyon","Etcheverry","Mpetshi Perricard","|K|0.653109|EK|G||OL1|1.694|EOL1|OL2|3.16455|EOL2|OH1|2.233|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7094|ENAOL1|NAOL2|3.17033|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.534|6.026|1.437|1.909|AH-5|4.534|6.026|1.633|2.17|AH-4|3.288|4.37|1.929|2.563|AH-3.5|2.512|3.338|1.929|2.563|AH-3|2.512|3.338|2.115|2.811|AH-2.5|2.253|2.995|2.115|2.811|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.506|1.996|4|5.302|AH3|1.506|1.996|6.957|9.221|AH3.5|1.298|1.721|6.957|9.221|AH4|1.298|1.721|16.014|21.224|AH4.5|1.174|1.556|16.014|21.224|AH5|1.174|1.556|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|2.59962|7|1.83207|7|EK-1.5||K21|4.84822|7|5.81516|7|EK21||K1.5|1.52|7|6.48348|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/atp-lyon/etcheverry-tomas-martin-mpetshi-perricard-giovanni-0Wle02S7/","","1.44","2.98","","","1.41","2.95","1.44","2.98","","","","","","",""
"CSM","0000029","20240525|083247","20240520_1970612_055257_081189","R12_1_GER_Augsburg Challenger","Skatov","Moeller","|K|0.586521|EK|G||OL1|1.80405|EOL1|OL2|2.5773|EOL2|OH1|1|EOH1|OH2|242|EOH2|EG|NA||NAOL1|1.80405|ENAOL1|NAOL2|2.6862|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.264|213.615|2.238|211.087|AH-2.5|2.014|190.02|2.238|211.087|AH-2|2.014|190.02|2.425|228.743|AH-1.5|1.883|177.674|2.425|228.743||AH1.5|1.719|156.286|3.054|277.665|AH2|1.719|156.286|3.306|300.586|AH2.5|1.648|149.854|3.306|300.586|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.86554|6|1.70825|6|EK-1.5||K21|4.73433|6|5.99244|6|EK21||K1.5|1.54|6|5.11712|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/augsburg-challenger-men/skatov-timofey-moeller-elmer-rap19BUs/#ah;2;-2.50;2","-2.5","1.72","2.19","","","1.81","1.96","1.81","2.19","","","","","","",""
"CSM","0000029","20240525|083249","20240520_1970612_055257_081189","R12_1_GER_Augsburg Challenger","Skatov","Moeller","|K|0.586521|EK|G||OL1|1.80405|EOL1|OL2|2.5773|EOL2|OH1|1|EOH1|OH2|242|EOH2|EG|NA||NAOL1|1.80405|ENAOL1|NAOL2|2.6862|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.264|213.615|2.238|211.087|AH-2.5|2.014|190.02|2.238|211.087|AH-2|2.014|190.02|2.425|228.743|AH-1.5|1.883|177.674|2.425|228.743||AH1.5|1.719|156.286|3.054|277.665|AH2|1.719|156.286|3.306|300.586|AH2.5|1.648|149.854|3.306|300.586|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.86554|6|1.70825|6|EK-1.5||K21|4.73433|6|5.99244|6|EK21||K1.5|1.54|6|5.11712|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/augsburg-challenger-men/skatov-timofey-moeller-elmer-rap19BUs/#ah;2;-3.50;2","-3.5","1.93","1.93","","","1.96","1.81","1.96","1.93","","","","","","",""
"CSM","0000029","20240525|083253","20240520_1970612_055257_081189","R12_1_GER_Augsburg Challenger","Skatov","Moeller","|K|0.586521|EK|G||OL1|1.80405|EOL1|OL2|2.5773|EOL2|OH1|1|EOH1|OH2|242|EOH2|EG|NA||NAOL1|1.80405|ENAOL1|NAOL2|2.6862|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.264|213.615|2.238|211.087|AH-2.5|2.014|190.02|2.238|211.087|AH-2|2.014|190.02|2.425|228.743|AH-1.5|1.883|177.674|2.425|228.743||AH1.5|1.719|156.286|3.054|277.665|AH2|1.719|156.286|3.306|300.586|AH2.5|1.648|149.854|3.306|300.586|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.86554|6|1.70825|6|EK-1.5||K21|4.73433|6|5.99244|6|EK21||K1.5|1.54|6|5.11712|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/germany/augsburg-challenger-men/skatov-timofey-moeller-elmer-rap19BUs/#ah;2;1.50;1","1.5","1.23","4.44","","","1.21","4.3","1.23","4.44","","","","","","",""
