"SV","0000031","20240525|083314","20240527_1522504_012432_014054","R04_4_FRA_French Open - Paris","Tomova","Alexandrova","|K|0.374565|EK|G||OL1|2.69403|EOL1|OL2|1.792|EOL2|OH1|1|EOH1|OH2|160|EOH2|EG|NA||NAOL1|2.91297|ENAOL1|NAOL2|1.792|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AHS||K-1.5|1|1|1|1|EK-1.5||K21|1|1|1|1|EK21||K1.5|1|1|1|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/wta-french-open/tomova-viktoriya-alexandrova-ekaterina-OEy1FxA7/","","","","","","3.0","1.4","3.12","1.4","","","","","","",""
"SV","0000032","20240525|083318","20240527_1522504_037410_013706","R04_4_FRA_French Open - Paris","Yuan","Sherif","|K|0.0814621|EK|G||OL1|12.3905|EOL1|OL2|1.2208|EOL2|OH1|1|EOH1|OH2|109|EOH2|EG|NA||NAOL1|13.3975|ENAOL1|NAOL2|1.2208|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AHS||K-1.5|1|1|1|1|EK-1.5||K21|1|1|1|1|EK21||K1.5|1|1|1|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/wta-french-open/yuan-yue-1998-sherif-mayar-SbrXuczn/","","","","","","3.95","1.26","4.08","1.26","","","","","","",""
"SV","0000033","20240525|083329","20240520_1522312_011575_011672","R12_2_FRA_Internationaux de Strasbourg - Strasbourg","Collins","Keys","|K|0.603633|EK|G||OL1|1.8592|EOL1|OL2|2.55277|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8592|ENAOL1|NAOL2|2.76023|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.501|4.175|1.583|1.888|AH-5|3.501|4.175|1.822|2.173|AH-4|2.712|3.235|2.239|2.671|AH-3.5|2.124|2.533|2.239|2.671|AH-3|2.124|2.533|2.569|3.064|AH-2.5|1.893|2.258|2.569|3.064|AH-2|1.893|2.258|2.83|3.376|AH-1.5|1.773|2.114|2.83|3.376||AH1.5|1.633|149.138|3.323|303.51|AH2|1.633|149.138|3.472|317.099|AH2.5|1.599|146.062|3.472|317.099|AH3|1.599|146.062|4.018|366.896|AH3.5|1.505|137.468|4.018|366.896|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.65203|5.5|1.83079|1|EK-1.5||K21|5.34795|5.5|7.46875|5.5|EK21||K1.5|1.3085|1|5.45008|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/wta-strasbourg/collins-danielle-keys-madison-dA0IbJRq/#ah;2;-2.50;2","-2.5","1.96","1.92","","","1.93","1.87","1.96","1.92","","","","","","",""
"SV","0000033","20240525|083331","20240520_1522312_011575_011672","R12_2_FRA_Internationaux de Strasbourg - Strasbourg","Collins","Keys","|K|0.603633|EK|G||OL1|1.8592|EOL1|OL2|2.55277|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8592|ENAOL1|NAOL2|2.76023|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.501|4.175|1.583|1.888|AH-5|3.501|4.175|1.822|2.173|AH-4|2.712|3.235|2.239|2.671|AH-3.5|2.124|2.533|2.239|2.671|AH-3|2.124|2.533|2.569|3.064|AH-2.5|1.893|2.258|2.569|3.064|AH-2|1.893|2.258|2.83|3.376|AH-1.5|1.773|2.114|2.83|3.376||AH1.5|1.633|149.138|3.323|303.51|AH2|1.633|149.138|3.472|317.099|AH2.5|1.599|146.062|3.472|317.099|AH3|1.599|146.062|4.018|366.896|AH3.5|1.505|137.468|4.018|366.896|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.65203|5.5|1.83079|1|EK-1.5||K21|5.34795|5.5|7.46875|5.5|EK21||K1.5|1.3085|1|5.45008|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/wta-strasbourg/collins-danielle-keys-madison-dA0IbJRq/#ah;2;-3.50;2","-3.5","2.25","1.71","","","2.2","1.66","2.25","1.71","","","","","","",""
"SV","0000033","20240525|083336","20240520_1522312_011575_011672","R12_2_FRA_Internationaux de Strasbourg - Strasbourg","Collins","Keys","|K|0.603633|EK|G||OL1|1.8592|EOL1|OL2|2.55277|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8592|ENAOL1|NAOL2|2.76023|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.501|4.175|1.583|1.888|AH-5|3.501|4.175|1.822|2.173|AH-4|2.712|3.235|2.239|2.671|AH-3.5|2.124|2.533|2.239|2.671|AH-3|2.124|2.533|2.569|3.064|AH-2.5|1.893|2.258|2.569|3.064|AH-2|1.893|2.258|2.83|3.376|AH-1.5|1.773|2.114|2.83|3.376||AH1.5|1.633|149.138|3.323|303.51|AH2|1.633|149.138|3.472|317.099|AH2.5|1.599|146.062|3.472|317.099|AH3|1.599|146.062|4.018|366.896|AH3.5|1.505|137.468|4.018|366.896|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.65203|5.5|1.83079|1|EK-1.5||K21|5.34795|5.5|7.46875|5.5|EK21||K1.5|1.3085|1|5.45008|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/wta-strasbourg/collins-danielle-keys-madison-dA0IbJRq/#ah;2;1.50;1","1.5","1.3","3.89","","","1.26","3.85","1.3","3.89","","","","","","",""
"SV","0000033","20240525|083334","20240520_1522312_011575_011672","R12_2_FRA_Internationaux de Strasbourg - Strasbourg","Collins","Keys","|K|0.603633|EK|G||OL1|1.8592|EOL1|OL2|2.55277|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8592|ENAOL1|NAOL2|2.76023|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.501|4.175|1.583|1.888|AH-5|3.501|4.175|1.822|2.173|AH-4|2.712|3.235|2.239|2.671|AH-3.5|2.124|2.533|2.239|2.671|AH-3|2.124|2.533|2.569|3.064|AH-2.5|1.893|2.258|2.569|3.064|AH-2|1.893|2.258|2.83|3.376|AH-1.5|1.773|2.114|2.83|3.376||AH1.5|1.633|149.138|3.323|303.51|AH2|1.633|149.138|3.472|317.099|AH2.5|1.599|146.062|3.472|317.099|AH3|1.599|146.062|4.018|366.896|AH3.5|1.505|137.468|4.018|366.896|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.65203|5.5|1.83079|1|EK-1.5||K21|5.34795|5.5|7.46875|5.5|EK21||K1.5|1.3085|1|5.45008|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/wta-strasbourg/collins-danielle-keys-madison-dA0IbJRq/#ah;2;-1.50;1","-1.5","2.63","1.54","","","2.55","1.52","2.63","1.54","","","","","","",""
"SV","0000033","20240525|083323","20240520_1522312_011575_011672","R12_2_FRA_Internationaux de Strasbourg - Strasbourg","Collins","Keys","|K|0.603633|EK|G||OL1|1.8592|EOL1|OL2|2.55277|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8592|ENAOL1|NAOL2|2.76023|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.501|4.175|1.583|1.888|AH-5|3.501|4.175|1.822|2.173|AH-4|2.712|3.235|2.239|2.671|AH-3.5|2.124|2.533|2.239|2.671|AH-3|2.124|2.533|2.569|3.064|AH-2.5|1.893|2.258|2.569|3.064|AH-2|1.893|2.258|2.83|3.376|AH-1.5|1.773|2.114|2.83|3.376||AH1.5|1.633|149.138|3.323|303.51|AH2|1.633|149.138|3.472|317.099|AH2.5|1.599|146.062|3.472|317.099|AH3|1.599|146.062|4.018|366.896|AH3.5|1.505|137.468|4.018|366.896|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.65203|5.5|1.83079|1|EK-1.5||K21|5.34795|5.5|7.46875|5.5|EK21||K1.5|1.3085|1|5.45008|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/wta-strasbourg/collins-danielle-keys-madison-dA0IbJRq/","","1.68","2.33","","","1.64","2.3","1.68","2.33","","","","","","",""
"SV","0000034","20240525|083348","20240520_1522412_013706_053793","R12_2_MAR_Grand Prix De SAR La Princesse Lalla Meryem - Rabat","Sherif","Stearns","|K|0.688346|EK|G||OL1|1.6352|EOL1|OL2|3.23889|EOL2|OH1|146|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6352|ENAOL1|NAOL2|3.50211|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|2.78|3.315|1.793|2.139|AH-5|2.78|3.315|2.151|2.566|AH-4|2.209|2.635|2.581|3.078|AH-3.5|1.887|2.251|2.581|3.078|AH-3|1.887|2.251|3.219|3.839|AH-2.5|1.648|1.966|3.219|3.839|AH-2|1.648|1.966|3.558|4.244|AH-1.5|1.571|1.874|3.558|4.244||AH1.5|1.443|131.743|4.545|415.034|AH2|1.443|131.743|4.878|445.514|AH2.5|1.412|128.942|4.878|445.514|AH3|1.412|128.942|5.123|467.828|AH3.5|1.393|127.187|5.123|467.828|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.6266|5.5|1.84468|1|EK-1.5||K21|5.07755|5.5|7.77259|5.5|EK21||K1.5|1.29309|1|5.70145|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/morocco/wta-rabat/sherif-mayar-stearns-peyton-vH0n2Oce/#ah;2;-3.50;2","-3.5","1.75","2.18","","","","","1.75","2.18","","","","","","",""
"SV","0000034","20240525|083346","20240520_1522412_013706_053793","R12_2_MAR_Grand Prix De SAR La Princesse Lalla Meryem - Rabat","Sherif","Stearns","|K|0.688346|EK|G||OL1|1.6352|EOL1|OL2|3.23889|EOL2|OH1|146|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6352|ENAOL1|NAOL2|3.50211|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|2.78|3.315|1.793|2.139|AH-5|2.78|3.315|2.151|2.566|AH-4|2.209|2.635|2.581|3.078|AH-3.5|1.887|2.251|2.581|3.078|AH-3|1.887|2.251|3.219|3.839|AH-2.5|1.648|1.966|3.219|3.839|AH-2|1.648|1.966|3.558|4.244|AH-1.5|1.571|1.874|3.558|4.244||AH1.5|1.443|131.743|4.545|415.034|AH2|1.443|131.743|4.878|445.514|AH2.5|1.412|128.942|4.878|445.514|AH3|1.412|128.942|5.123|467.828|AH3.5|1.393|127.187|5.123|467.828|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.6266|5.5|1.84468|1|EK-1.5||K21|5.07755|5.5|7.77259|5.5|EK21||K1.5|1.29309|1|5.70145|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/morocco/wta-rabat/sherif-mayar-stearns-peyton-vH0n2Oce/#ah;2;-4.50;2","-4.5","2.1","1.81","","","2.1","1.72","2.1","1.81","","","","","","",""
"SV","0000034","20240525|083353","20240520_1522412_013706_053793","R12_2_MAR_Grand Prix De SAR La Princesse Lalla Meryem - Rabat","Sherif","Stearns","|K|0.688346|EK|G||OL1|1.6352|EOL1|OL2|3.23889|EOL2|OH1|146|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6352|ENAOL1|NAOL2|3.50211|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|2.78|3.315|1.793|2.139|AH-5|2.78|3.315|2.151|2.566|AH-4|2.209|2.635|2.581|3.078|AH-3.5|1.887|2.251|2.581|3.078|AH-3|1.887|2.251|3.219|3.839|AH-2.5|1.648|1.966|3.219|3.839|AH-2|1.648|1.966|3.558|4.244|AH-1.5|1.571|1.874|3.558|4.244||AH1.5|1.443|131.743|4.545|415.034|AH2|1.443|131.743|4.878|445.514|AH2.5|1.412|128.942|4.878|445.514|AH3|1.412|128.942|5.123|467.828|AH3.5|1.393|127.187|5.123|467.828|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.6266|5.5|1.84468|1|EK-1.5||K21|5.07755|5.5|7.77259|5.5|EK21||K1.5|1.29309|1|5.70145|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/morocco/wta-rabat/sherif-mayar-stearns-peyton-vH0n2Oce/#ah;2;1.50;1","1.5","1.17","5.74","","","1.15","5.75","1.17","5.75","","","","","","",""
"SV","0000034","20240525|083350","20240520_1522412_013706_053793","R12_2_MAR_Grand Prix De SAR La Princesse Lalla Meryem - Rabat","Sherif","Stearns","|K|0.688346|EK|G||OL1|1.6352|EOL1|OL2|3.23889|EOL2|OH1|146|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6352|ENAOL1|NAOL2|3.50211|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|2.78|3.315|1.793|2.139|AH-5|2.78|3.315|2.151|2.566|AH-4|2.209|2.635|2.581|3.078|AH-3.5|1.887|2.251|2.581|3.078|AH-3|1.887|2.251|3.219|3.839|AH-2.5|1.648|1.966|3.219|3.839|AH-2|1.648|1.966|3.558|4.244|AH-1.5|1.571|1.874|3.558|4.244||AH1.5|1.443|131.743|4.545|415.034|AH2|1.443|131.743|4.878|445.514|AH2.5|1.412|128.942|4.878|445.514|AH3|1.412|128.942|5.123|467.828|AH3.5|1.393|127.187|5.123|467.828|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.6266|5.5|1.84468|1|EK-1.5||K21|5.07755|5.5|7.77259|5.5|EK21||K1.5|1.29309|1|5.70145|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/morocco/wta-rabat/sherif-mayar-stearns-peyton-vH0n2Oce/#ah;2;-1.50;1","-1.5","2.03","1.86","","","1.96","1.83","2.03","1.86","","","","","","",""
