"SM","0000025","20240526|082851","20240527_1938304_051417_024721","R04_4_FRA_French Open - Paris","Misolic","O'Connell","|K|0.504229|EK|G||OL1|2.189|EOL1|OL2|2.2119|EOL2|OH1|2.8855|EOH1|OH2|2.7674|EOH2|EG|NA||NAOL1|2.2089|ENAOL1|NAOL2|2.21594|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/atp-french-open/misolic-filip-o-connell-christopher-SUbbTH8N/","","1.66","2.34","","","1.62","2.3","1.66","2.34","","","","","","",""
"SM","0000026","20240526|082855","20240527_1938304_028263_048013","R04_4_FRA_French Open - Paris","Purcell","Squire","|K|0.356211|EK|G||OL1|3.07695|EOL1|OL2|1.716|EOL2|OH1|1|EOH1|OH2|2.262|EOH2|EG|NA||NAOL1|3.08257|ENAOL1|NAOL2|1.7316|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/atp-french-open/purcell-max-squire-henri-CdFL1BEk/","","2.73","1.51","","","2.5","1.53","2.73","1.53","","","","","","",""
"CSM","0000027","20240526|082908","20240527_1970901_046748_043196","R01_1_ITA_Vicenza Challenger","Alvarez Varona","Naw","|K|0.565303|EK|G||OL1|1.86735|EOL1|OL2|2.46015|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.86735|ENAOL1|NAOL2|2.5641|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.352|221.856|2.072|195.458|AH-2.5|2.17|204.759|2.072|195.458|AH-2|2.17|204.759|2.231|210.465|AH-1.5|2.02|190.526|2.231|210.465||AH1.5|1.81|164.552|2.804|254.913|AH2|1.81|164.552|3.01|273.658|AH2.5|1.733|157.585|3.01|273.658|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.01621|6|1.65474|6|EK-1.5||K21|4.7722|6|6.37344|1|EK21||K1.5|1.54|6|4.39193|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/alvarez-varona-nicolas-naw-hazem-hQDxpFp3/#ah;2;-0.50;2","-0.5","1.85","1.92","","","","","1.85","1.92","","","","","","",""
"CSM","0000027","20240526|082910","20240527_1970901_046748_043196","R01_1_ITA_Vicenza Challenger","Alvarez Varona","Naw","|K|0.565303|EK|G||OL1|1.86735|EOL1|OL2|2.46015|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.86735|ENAOL1|NAOL2|2.5641|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.352|221.856|2.072|195.458|AH-2.5|2.17|204.759|2.072|195.458|AH-2|2.17|204.759|2.231|210.465|AH-1.5|2.02|190.526|2.231|210.465||AH1.5|1.81|164.552|2.804|254.913|AH2|1.81|164.552|3.01|273.658|AH2.5|1.733|157.585|3.01|273.658|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.01621|6|1.65474|6|EK-1.5||K21|4.7722|6|6.37344|1|EK21||K1.5|1.54|6|4.39193|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/alvarez-varona-nicolas-naw-hazem-hQDxpFp3/#ah;2;-1.50;2","-1.5","1.97","1.81","","","","","1.97","1.81","","","","","","",""
"CSM","0000027","20240526|082914","20240527_1970901_046748_043196","R01_1_ITA_Vicenza Challenger","Alvarez Varona","Naw","|K|0.565303|EK|G||OL1|1.86735|EOL1|OL2|2.46015|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.86735|ENAOL1|NAOL2|2.5641|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.352|221.856|2.072|195.458|AH-2.5|2.17|204.759|2.072|195.458|AH-2|2.17|204.759|2.231|210.465|AH-1.5|2.02|190.526|2.231|210.465||AH1.5|1.81|164.552|2.804|254.913|AH2|1.81|164.552|3.01|273.658|AH2.5|1.733|157.585|3.01|273.658|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.01621|6|1.65474|6|EK-1.5||K21|4.7722|6|6.37344|1|EK21||K1.5|1.54|6|4.39193|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/alvarez-varona-nicolas-naw-hazem-hQDxpFp3/#ah;2;1.50;1","1.5","1.36","3.08","","","","","1.36","3.08","","","","","","",""
"CSM","0000027","20240526|082912","20240527_1970901_046748_043196","R01_1_ITA_Vicenza Challenger","Alvarez Varona","Naw","|K|0.565303|EK|G||OL1|1.86735|EOL1|OL2|2.46015|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.86735|ENAOL1|NAOL2|2.5641|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.352|221.856|2.072|195.458|AH-2.5|2.17|204.759|2.072|195.458|AH-2|2.17|204.759|2.231|210.465|AH-1.5|2.02|190.526|2.231|210.465||AH1.5|1.81|164.552|2.804|254.913|AH2|1.81|164.552|3.01|273.658|AH2.5|1.733|157.585|3.01|273.658|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.01621|6|1.65474|6|EK-1.5||K21|4.7722|6|6.37344|1|EK21||K1.5|1.54|6|4.39193|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/alvarez-varona-nicolas-naw-hazem-hQDxpFp3/#ah;2;-1.50;1","-1.5","2.79","1.42","","","","","2.79","1.42","","","","","","",""
"CSM","0000027","20240526|082900","20240527_1970901_046748_043196","R01_1_ITA_Vicenza Challenger","Alvarez Varona","Naw","|K|0.565303|EK|G||OL1|1.86735|EOL1|OL2|2.46015|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.86735|ENAOL1|NAOL2|2.5641|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.352|221.856|2.072|195.458|AH-2.5|2.17|204.759|2.072|195.458|AH-2|2.17|204.759|2.231|210.465|AH-1.5|2.02|190.526|2.231|210.465||AH1.5|1.81|164.552|2.804|254.913|AH2|1.81|164.552|3.01|273.658|AH2.5|1.733|157.585|3.01|273.658|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.01621|6|1.65474|6|EK-1.5||K21|4.7722|6|6.37344|1|EK21||K1.5|1.54|6|4.39193|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/alvarez-varona-nicolas-naw-hazem-hQDxpFp3/","","1.81","1.97","","","","","1.81","1.97","","","","","","",""
"CSM","0000028","20240526|082929","20240527_1970901_038107_056577","R01_1_ITA_Vicenza Challenger","Fonio","Seggerman","|K|0.660168|EK|G||OL1|1.6036|EOL1|OL2|3.14175|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6036|ENAOL1|NAOL2|3.2745|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.185|206.095|1000|1000|AH-2.5|1.819|171.597|1000|1000|AH-2|1.819|171.597|1000|1000|AH-1.5|1.652|155.853|1000|1000||AH1.5|1.493|135.694|1000|1000|AH2|1.493|135.694|1000|1000|AH2.5|1.415|128.659|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.29455|6|2.03624|6|EK-1.5||K21|4.83419|6|7.90449|1|EK21||K1.5|1.54|6|6.80472|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/fonio-giovanni-seggerman-ryan-xhnamlie/#ah;2;-2.50;2","-2.5","1.54","2.39","","","","","1.54","2.39","","","","","","",""
"CSM","0000028","20240526|082927","20240527_1970901_038107_056577","R01_1_ITA_Vicenza Challenger","Fonio","Seggerman","|K|0.660168|EK|G||OL1|1.6036|EOL1|OL2|3.14175|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6036|ENAOL1|NAOL2|3.2745|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.185|206.095|1000|1000|AH-2.5|1.819|171.597|1000|1000|AH-2|1.819|171.597|1000|1000|AH-1.5|1.652|155.853|1000|1000||AH1.5|1.493|135.694|1000|1000|AH2|1.493|135.694|1000|1000|AH2.5|1.415|128.659|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.29455|6|2.03624|6|EK-1.5||K21|4.83419|6|7.90449|1|EK21||K1.5|1.54|6|6.80472|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/fonio-giovanni-seggerman-ryan-xhnamlie/#ah;2;-3.50;2","-3.5","1.82","1.93","","","","","1.82","1.93","","","","","","",""
"CSM","0000028","20240526|082933","20240527_1970901_038107_056577","R01_1_ITA_Vicenza Challenger","Fonio","Seggerman","|K|0.660168|EK|G||OL1|1.6036|EOL1|OL2|3.14175|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6036|ENAOL1|NAOL2|3.2745|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.185|206.095|1000|1000|AH-2.5|1.819|171.597|1000|1000|AH-2|1.819|171.597|1000|1000|AH-1.5|1.652|155.853|1000|1000||AH1.5|1.493|135.694|1000|1000|AH2|1.493|135.694|1000|1000|AH2.5|1.415|128.659|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.29455|6|2.03624|6|EK-1.5||K21|4.83419|6|7.90449|1|EK21||K1.5|1.54|6|6.80472|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/fonio-giovanni-seggerman-ryan-xhnamlie/#ah;2;1.50;1","1.5","1.12","5.78","","","","","1.12","5.78","","","","","","",""
"CSM","0000028","20240526|082931","20240527_1970901_038107_056577","R01_1_ITA_Vicenza Challenger","Fonio","Seggerman","|K|0.660168|EK|G||OL1|1.6036|EOL1|OL2|3.14175|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6036|ENAOL1|NAOL2|3.2745|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.185|206.095|1000|1000|AH-2.5|1.819|171.597|1000|1000|AH-2|1.819|171.597|1000|1000|AH-1.5|1.652|155.853|1000|1000||AH1.5|1.493|135.694|1000|1000|AH2|1.493|135.694|1000|1000|AH2.5|1.415|128.659|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.29455|6|2.03624|6|EK-1.5||K21|4.83419|6|7.90449|1|EK21||K1.5|1.54|6|6.80472|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/fonio-giovanni-seggerman-ryan-xhnamlie/#ah;2;-1.50;1","-1.5","1.83","1.93","","","","","1.83","1.93","","","","","","",""
