"FDV","0000007","20240528|115658","20240527_1551804_094244_094245","R04_0_USA_W15 San Diego","Nguyen/Pareja","Tirunelveli/Vyrlan","","GEW","https://www.oddsportal.com/tennis/usa/itf-w15-san-diego-ca-women-doubles/nguyen-kenzie-pareja-julieta-tirunelveli-teja-vyrlan-esther-O8hQnSoK/","","","","","","","","","","","","","","","",""
"FSM","0000008","20240528|115712","20240527_1975404_030230_095883","R04_0_JAM_M15 Kingston","Bertran","Shah","|K|0.576182|EK|G||OL1|1.85136|EOL1|OL2|2.41664|EOL2|OH1|1|EOH1|OH2|3.54|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|226.569|226.569|203.728|203.728|AH-3.5|196.406|196.406|203.728|203.728|AH-3|196.406|196.406|221.639|221.639|AH-2.5|182.211|182.211|221.639|221.639|AH-2|182.211|182.211|231.352|231.352|AH-1.5|176.131|176.131|231.352|231.352||AH1.5|156.841|156.841|275.93|275.93|AH2|156.841|156.841|301.772|301.772|AH2.5|149.561|149.561|301.772|301.772|AH3|149.561|149.561|339.387|339.387|AH3.5|141.773|141.773|339.387|339.387|AH4|141.773|141.773|402.115|402.115|AH4.5|133.1|133.1|402.115|402.115|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/jamaica/itf-m15-kingston-3-men/bertran-peter-shah-aryan-MZQuKMR6/#ah;2;-4.00;2","-4.0","","","","","","","1.69","2.04","","","","","","",""
"FSM","0000008","20240528|115710","20240527_1975404_030230_095883","R04_0_JAM_M15 Kingston","Bertran","Shah","|K|0.576182|EK|G||OL1|1.85136|EOL1|OL2|2.41664|EOL2|OH1|1|EOH1|OH2|3.54|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|226.569|226.569|203.728|203.728|AH-3.5|196.406|196.406|203.728|203.728|AH-3|196.406|196.406|221.639|221.639|AH-2.5|182.211|182.211|221.639|221.639|AH-2|182.211|182.211|231.352|231.352|AH-1.5|176.131|176.131|231.352|231.352||AH1.5|156.841|156.841|275.93|275.93|AH2|156.841|156.841|301.772|301.772|AH2.5|149.561|149.561|301.772|301.772|AH3|149.561|149.561|339.387|339.387|AH3.5|141.773|141.773|339.387|339.387|AH4|141.773|141.773|402.115|402.115|AH4.5|133.1|133.1|402.115|402.115|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/jamaica/itf-m15-kingston-3-men/bertran-peter-shah-aryan-MZQuKMR6/#ah;2;-4.50;2","-4.5","","","","","","","1.86","1.84","","","","","","",""
"FSM","0000008","20240528|115715","20240527_1975404_030230_095883","R04_0_JAM_M15 Kingston","Bertran","Shah","|K|0.576182|EK|G||OL1|1.85136|EOL1|OL2|2.41664|EOL2|OH1|1|EOH1|OH2|3.54|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|226.569|226.569|203.728|203.728|AH-3.5|196.406|196.406|203.728|203.728|AH-3|196.406|196.406|221.639|221.639|AH-2.5|182.211|182.211|221.639|221.639|AH-2|182.211|182.211|231.352|231.352|AH-1.5|176.131|176.131|231.352|231.352||AH1.5|156.841|156.841|275.93|275.93|AH2|156.841|156.841|301.772|301.772|AH2.5|149.561|149.561|301.772|301.772|AH3|149.561|149.561|339.387|339.387|AH3.5|141.773|141.773|339.387|339.387|AH4|141.773|141.773|402.115|402.115|AH4.5|133.1|133.1|402.115|402.115|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/jamaica/itf-m15-kingston-3-men/bertran-peter-shah-aryan-MZQuKMR6/#ah;2;1.50;1","1.5","","","","","","","","","","","","","","",""
"FSM","0000008","20240528|115713","20240527_1975404_030230_095883","R04_0_JAM_M15 Kingston","Bertran","Shah","|K|0.576182|EK|G||OL1|1.85136|EOL1|OL2|2.41664|EOL2|OH1|1|EOH1|OH2|3.54|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|226.569|226.569|203.728|203.728|AH-3.5|196.406|196.406|203.728|203.728|AH-3|196.406|196.406|221.639|221.639|AH-2.5|182.211|182.211|221.639|221.639|AH-2|182.211|182.211|231.352|231.352|AH-1.5|176.131|176.131|231.352|231.352||AH1.5|156.841|156.841|275.93|275.93|AH2|156.841|156.841|301.772|301.772|AH2.5|149.561|149.561|301.772|301.772|AH3|149.561|149.561|339.387|339.387|AH3.5|141.773|141.773|339.387|339.387|AH4|141.773|141.773|402.115|402.115|AH4.5|133.1|133.1|402.115|402.115|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/jamaica/itf-m15-kingston-3-men/bertran-peter-shah-aryan-MZQuKMR6/#ah;2;-1.50;1","-1.5","","","","","","","","","","","","","","",""
"FSM","0000008","20240528|115702","20240527_1975404_030230_095883","R04_0_JAM_M15 Kingston","Bertran","Shah","|K|0.576182|EK|G||OL1|1.85136|EOL1|OL2|2.41664|EOL2|OH1|1|EOH1|OH2|3.54|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|226.569|226.569|203.728|203.728|AH-3.5|196.406|196.406|203.728|203.728|AH-3|196.406|196.406|221.639|221.639|AH-2.5|182.211|182.211|221.639|221.639|AH-2|182.211|182.211|231.352|231.352|AH-1.5|176.131|176.131|231.352|231.352||AH1.5|156.841|156.841|275.93|275.93|AH2|156.841|156.841|301.772|301.772|AH2.5|149.561|149.561|301.772|301.772|AH3|149.561|149.561|339.387|339.387|AH3.5|141.773|141.773|339.387|339.387|AH4|141.773|141.773|402.115|402.115|AH4.5|133.1|133.1|402.115|402.115|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/jamaica/itf-m15-kingston-3-men/bertran-peter-shah-aryan-MZQuKMR6/","","","","","","","","1.3","3.25","","","","","","",""
"FSM","0000009","20240528|115729","20240527_1975404_062709_071212","R04_0_JAM_M15 Kingston","Sheehy","Fishback","|K|0.514233|EK|G||OL1|2.0748|EOL1|OL2|2.19184|EOL2|OH1|1|EOH1|OH2|206|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|295.874|295.874|170.754|170.754|AH-3.5|241.335|241.335|170.754|170.754|AH-3|241.335|241.335|189.225|189.225|AH-2.5|212.076|212.076|189.225|189.225|AH-2|212.076|212.076|203.171|203.171|AH-1.5|196.926|196.926|203.171|203.171||AH1.5|171.121|171.121|240.605|240.605|AH2|171.121|171.121|261.357|261.357|AH2.5|161.974|161.974|261.357|261.357|AH3|161.974|161.974|297.456|297.456|AH3.5|150.644|150.644|297.456|297.456|AH4|150.644|150.644|381.622|381.622|AH4.5|135.509|135.509|381.622|381.622|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/jamaica/itf-m15-kingston-3-men/sheehy-joshua-fishback-ryan-xvHuKsq4/#ah;2;-0.50;2","-0.5","","","","","","","1.69","2.04","","","","","","",""
"FSM","0000009","20240528|115727","20240527_1975404_062709_071212","R04_0_JAM_M15 Kingston","Sheehy","Fishback","|K|0.514233|EK|G||OL1|2.0748|EOL1|OL2|2.19184|EOL2|OH1|1|EOH1|OH2|206|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|295.874|295.874|170.754|170.754|AH-3.5|241.335|241.335|170.754|170.754|AH-3|241.335|241.335|189.225|189.225|AH-2.5|212.076|212.076|189.225|189.225|AH-2|212.076|212.076|203.171|203.171|AH-1.5|196.926|196.926|203.171|203.171||AH1.5|171.121|171.121|240.605|240.605|AH2|171.121|171.121|261.357|261.357|AH2.5|161.974|161.974|261.357|261.357|AH3|161.974|161.974|297.456|297.456|AH3.5|150.644|150.644|297.456|297.456|AH4|150.644|150.644|381.622|381.622|AH4.5|135.509|135.509|381.622|381.622|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/jamaica/itf-m15-kingston-3-men/sheehy-joshua-fishback-ryan-xvHuKsq4/#ah;2;-1.50;2","-1.5","","","","","","","1.82","1.88","","","","","","",""
"FSM","0000009","20240528|115733","20240527_1975404_062709_071212","R04_0_JAM_M15 Kingston","Sheehy","Fishback","|K|0.514233|EK|G||OL1|2.0748|EOL1|OL2|2.19184|EOL2|OH1|1|EOH1|OH2|206|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|295.874|295.874|170.754|170.754|AH-3.5|241.335|241.335|170.754|170.754|AH-3|241.335|241.335|189.225|189.225|AH-2.5|212.076|212.076|189.225|189.225|AH-2|212.076|212.076|203.171|203.171|AH-1.5|196.926|196.926|203.171|203.171||AH1.5|171.121|171.121|240.605|240.605|AH2|171.121|171.121|261.357|261.357|AH2.5|161.974|161.974|261.357|261.357|AH3|161.974|161.974|297.456|297.456|AH3.5|150.644|150.644|297.456|297.456|AH4|150.644|150.644|381.622|381.622|AH4.5|135.509|135.509|381.622|381.622|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/jamaica/itf-m15-kingston-3-men/sheehy-joshua-fishback-ryan-xvHuKsq4/#ah;2;1.50;1","1.5","","","","","","","","","","","","","","",""
"FSM","0000009","20240528|115731","20240527_1975404_062709_071212","R04_0_JAM_M15 Kingston","Sheehy","Fishback","|K|0.514233|EK|G||OL1|2.0748|EOL1|OL2|2.19184|EOL2|OH1|1|EOH1|OH2|206|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|295.874|295.874|170.754|170.754|AH-3.5|241.335|241.335|170.754|170.754|AH-3|241.335|241.335|189.225|189.225|AH-2.5|212.076|212.076|189.225|189.225|AH-2|212.076|212.076|203.171|203.171|AH-1.5|196.926|196.926|203.171|203.171||AH1.5|171.121|171.121|240.605|240.605|AH2|171.121|171.121|261.357|261.357|AH2.5|161.974|161.974|261.357|261.357|AH3|161.974|161.974|297.456|297.456|AH3.5|150.644|150.644|297.456|297.456|AH4|150.644|150.644|381.622|381.622|AH4.5|135.509|135.509|381.622|381.622|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/jamaica/itf-m15-kingston-3-men/sheehy-joshua-fishback-ryan-xvHuKsq4/#ah;2;-1.50;1","-1.5","","","","","","","","","","","","","","",""
"FSM","0000009","20240528|115719","20240527_1975404_062709_071212","R04_0_JAM_M15 Kingston","Sheehy","Fishback","|K|0.514233|EK|G||OL1|2.0748|EOL1|OL2|2.19184|EOL2|OH1|1|EOH1|OH2|206|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|295.874|295.874|170.754|170.754|AH-3.5|241.335|241.335|170.754|170.754|AH-3|241.335|241.335|189.225|189.225|AH-2.5|212.076|212.076|189.225|189.225|AH-2|212.076|212.076|203.171|203.171|AH-1.5|196.926|196.926|203.171|203.171||AH1.5|171.121|171.121|240.605|240.605|AH2|171.121|171.121|261.357|261.357|AH2.5|161.974|161.974|261.357|261.357|AH3|161.974|161.974|297.456|297.456|AH3.5|150.644|150.644|297.456|297.456|AH4|150.644|150.644|381.622|381.622|AH4.5|135.509|135.509|381.622|381.622|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/jamaica/itf-m15-kingston-3-men/sheehy-joshua-fishback-ryan-xvHuKsq4/","","","","","","","","1.65","2.1","","","","","","",""
