"SM","0000019","20240529|162446","20240527_1938305_024008_011226","R05_4_FRA_French Open - Paris","Zverev","Goffin","|K|0.9999|EK|G||OL1|1.111|EOL1|OL2|10950|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1211|ENAOL1|NAOL2|10970|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/atp-french-open/zverev-alexander-goffin-david-UNWswM5e/","","1.06","13.06","","","1.04","13.0","1.06","13.06","","","","","","",""
"CSM","0000020","20240529|162455","20240527_1970805_011522_048871","R05_1_USA_Little Rock Challenger","Tomic","Shimizu","|K|0.429024|EK|G||OL1|2.4921|EOL1|OL2|1.8568|EOL2|OH1|234|EOH1|OH2|176|EOH2|EG|NA||NAOL1|2.5974|ENAOL1|NAOL2|1.8568|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|4.015|378.753|1.603|151.211|AH-2.5|3.13|295.27|1.603|151.211|AH-2|3.13|295.27|1.695|159.915|AH-1.5|2.829|266.903|1.695|159.915||AH1.5|2.386|216.919|2.041|185.529|AH2|2.386|216.919|2.273|206.624|AH2.5|2.132|193.788|2.273|206.624|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.06126|6|1.54|6|EK-1.5||K21|6.57668|1|5.39242|6|EK21||K1.5|1.69319|6|2.90546|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/little-rock-challenger-men/tomic-bernard-shimizu-yuta-YDh4auVa/#ah;2;0.50;2","0.5","1.89","1.93","","","","","1.89","1.93","","","","","","",""
"CSM","0000020","20240529|162457","20240527_1970805_011522_048871","R05_1_USA_Little Rock Challenger","Tomic","Shimizu","|K|0.429024|EK|G||OL1|2.4921|EOL1|OL2|1.8568|EOL2|OH1|234|EOH1|OH2|176|EOH2|EG|NA||NAOL1|2.5974|ENAOL1|NAOL2|1.8568|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|4.015|378.753|1.603|151.211|AH-2.5|3.13|295.27|1.603|151.211|AH-2|3.13|295.27|1.695|159.915|AH-1.5|2.829|266.903|1.695|159.915||AH1.5|2.386|216.919|2.041|185.529|AH2|2.386|216.919|2.273|206.624|AH2.5|2.132|193.788|2.273|206.624|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.06126|6|1.54|6|EK-1.5||K21|6.57668|1|5.39242|6|EK21||K1.5|1.69319|6|2.90546|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/little-rock-challenger-men/tomic-bernard-shimizu-yuta-YDh4auVa/#ah;2;-0.50;2","-0.5","2.02","1.81","","","","","2.02","1.81","","","","","","",""
"CSM","0000020","20240529|162501","20240527_1970805_011522_048871","R05_1_USA_Little Rock Challenger","Tomic","Shimizu","|K|0.429024|EK|G||OL1|2.4921|EOL1|OL2|1.8568|EOL2|OH1|234|EOH1|OH2|176|EOH2|EG|NA||NAOL1|2.5974|ENAOL1|NAOL2|1.8568|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|4.015|378.753|1.603|151.211|AH-2.5|3.13|295.27|1.603|151.211|AH-2|3.13|295.27|1.695|159.915|AH-1.5|2.829|266.903|1.695|159.915||AH1.5|2.386|216.919|2.041|185.529|AH2|2.386|216.919|2.273|206.624|AH2.5|2.132|193.788|2.273|206.624|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.06126|6|1.54|6|EK-1.5||K21|6.57668|1|5.39242|6|EK21||K1.5|1.69319|6|2.90546|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/little-rock-challenger-men/tomic-bernard-shimizu-yuta-YDh4auVa/#ah;2;1.50;1","1.5","1.41","2.97","","","","","1.41","2.97","","","","","","",""
"CSM","0000020","20240529|162500","20240527_1970805_011522_048871","R05_1_USA_Little Rock Challenger","Tomic","Shimizu","|K|0.429024|EK|G||OL1|2.4921|EOL1|OL2|1.8568|EOL2|OH1|234|EOH1|OH2|176|EOH2|EG|NA||NAOL1|2.5974|ENAOL1|NAOL2|1.8568|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|4.015|378.753|1.603|151.211|AH-2.5|3.13|295.27|1.603|151.211|AH-2|3.13|295.27|1.695|159.915|AH-1.5|2.829|266.903|1.695|159.915||AH1.5|2.386|216.919|2.041|185.529|AH2|2.386|216.919|2.273|206.624|AH2.5|2.132|193.788|2.273|206.624|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.06126|6|1.54|6|EK-1.5||K21|6.57668|1|5.39242|6|EK21||K1.5|1.69319|6|2.90546|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/little-rock-challenger-men/tomic-bernard-shimizu-yuta-YDh4auVa/#ah;2;-1.50;1","-1.5","3.17","1.36","","","","","3.17","1.36","","","","","","",""
"CSM","0000020","20240529|162450","20240527_1970805_011522_048871","R05_1_USA_Little Rock Challenger","Tomic","Shimizu","|K|0.429024|EK|G||OL1|2.4921|EOL1|OL2|1.8568|EOL2|OH1|234|EOH1|OH2|176|EOH2|EG|NA||NAOL1|2.5974|ENAOL1|NAOL2|1.8568|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|4.015|378.753|1.603|151.211|AH-2.5|3.13|295.27|1.603|151.211|AH-2|3.13|295.27|1.695|159.915|AH-1.5|2.829|266.903|1.695|159.915||AH1.5|2.386|216.919|2.041|185.529|AH2|2.386|216.919|2.273|206.624|AH2.5|2.132|193.788|2.273|206.624|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.06126|6|1.54|6|EK-1.5||K21|6.57668|1|5.39242|6|EK21||K1.5|1.69319|6|2.90546|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/little-rock-challenger-men/tomic-bernard-shimizu-yuta-YDh4auVa/","","1.96","1.86","","","1.94","1.83","1.96","1.86","","","","","","",""
"SV","0000021","20240529|162505","20240527_1522505_017142_012390","R05_4_FRA_French Open - Paris","Badosa","Putintseva","|K|0.592495|EK|G||OL1|1.8928|EOL1|OL2|2.48214|EOL2|OH1|169|EOH1|OH2|246|EOH2|EG|NA||NAOL1|1.8928|ENAOL1|NAOL2|2.68386|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AHS||K-1.5|1|1|1|1|EK-1.5||K21|1|1|1|1|EK21||K1.5|1|1|1|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/wta-french-open/badosa-paula-putintseva-yulia-O2RLUPVo/","","1.71","2.25","","","1.65","2.23","1.71","2.25","","","","","","",""
"CSV","0000022","20240529|162519","20240527_1550805_015642_005300","R05_1_KOR_W35 Changwon","Okamura","Sema","|K|0.58592|EK|G||OL1|1.82115|EOL1|OL2|2.4805|EOL2|OH1|2.394|EOH1|OH2|3.2186|EOH2|EG|NA|NOT|ENA||AH-5.5|2.93|286.092|1.574|153.737|AH-5|2.93|286.092|1.848|180.432|AH-4|2.297|224.328|2.226|217.421|AH-3.5|1.896|185.163|2.226|217.421|AH-3|1.896|185.163|2.505|244.654|AH-2.5|1.732|169.13|2.505|244.654|AH-2|1.732|169.13|2.777|271.175|AH-1.5|1.622|158.42|2.777|271.175||AH1.5|1.545|148.15|3.209|307.682|AH2|1.545|148.15|3.465|332.225|AH2.5|1.492|143.062|3.465|332.225|AH3|1.492|143.062|3.47|332.692|AH3.5|1.491|142.975|3.47|332.692|AH4|1.491|142.975|4.703|450.897|AH4.5|1.34|128.498|4.703|450.897|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.1532|5.6|1.65197|5.6|EK-1.5||K21|6.76119|5.6|7.46563|5.6|EK21||K1.5|1.50089|5.6|3.78009|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/south-korea/itf-w35-changwon-women/okamura-kyoka-sema-erika-fLAFd2op/#ah;2;-2.50;2","-2.5","1.75","1.98","","","","","1.75","1.98","","","","","","",""
"CSV","0000022","20240529|162518","20240527_1550805_015642_005300","R05_1_KOR_W35 Changwon","Okamura","Sema","|K|0.58592|EK|G||OL1|1.82115|EOL1|OL2|2.4805|EOL2|OH1|2.394|EOH1|OH2|3.2186|EOH2|EG|NA|NOT|ENA||AH-5.5|2.93|286.092|1.574|153.737|AH-5|2.93|286.092|1.848|180.432|AH-4|2.297|224.328|2.226|217.421|AH-3.5|1.896|185.163|2.226|217.421|AH-3|1.896|185.163|2.505|244.654|AH-2.5|1.732|169.13|2.505|244.654|AH-2|1.732|169.13|2.777|271.175|AH-1.5|1.622|158.42|2.777|271.175||AH1.5|1.545|148.15|3.209|307.682|AH2|1.545|148.15|3.465|332.225|AH2.5|1.492|143.062|3.465|332.225|AH3|1.492|143.062|3.47|332.692|AH3.5|1.491|142.975|3.47|332.692|AH4|1.491|142.975|4.703|450.897|AH4.5|1.34|128.498|4.703|450.897|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.1532|5.6|1.65197|5.6|EK-1.5||K21|6.76119|5.6|7.46563|5.6|EK21||K1.5|1.50089|5.6|3.78009|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/south-korea/itf-w35-changwon-women/okamura-kyoka-sema-erika-fLAFd2op/#ah;2;-3.50;2","-3.5","1.94","1.79","","","","","1.94","1.79","","","","","","",""
"CSV","0000022","20240529|162523","20240527_1550805_015642_005300","R05_1_KOR_W35 Changwon","Okamura","Sema","|K|0.58592|EK|G||OL1|1.82115|EOL1|OL2|2.4805|EOL2|OH1|2.394|EOH1|OH2|3.2186|EOH2|EG|NA|NOT|ENA||AH-5.5|2.93|286.092|1.574|153.737|AH-5|2.93|286.092|1.848|180.432|AH-4|2.297|224.328|2.226|217.421|AH-3.5|1.896|185.163|2.226|217.421|AH-3|1.896|185.163|2.505|244.654|AH-2.5|1.732|169.13|2.505|244.654|AH-2|1.732|169.13|2.777|271.175|AH-1.5|1.622|158.42|2.777|271.175||AH1.5|1.545|148.15|3.209|307.682|AH2|1.545|148.15|3.465|332.225|AH2.5|1.492|143.062|3.465|332.225|AH3|1.492|143.062|3.47|332.692|AH3.5|1.491|142.975|3.47|332.692|AH4|1.491|142.975|4.703|450.897|AH4.5|1.34|128.498|4.703|450.897|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.1532|5.6|1.65197|5.6|EK-1.5||K21|6.76119|5.6|7.46563|5.6|EK21||K1.5|1.50089|5.6|3.78009|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/south-korea/itf-w35-changwon-women/okamura-kyoka-sema-erika-fLAFd2op/#ah;2;1.50;1","1.5","1.23","3.82","","","","","1.23","3.83","","","","","","",""
"CSV","0000022","20240529|162521","20240527_1550805_015642_005300","R05_1_KOR_W35 Changwon","Okamura","Sema","|K|0.58592|EK|G||OL1|1.82115|EOL1|OL2|2.4805|EOL2|OH1|2.394|EOH1|OH2|3.2186|EOH2|EG|NA|NOT|ENA||AH-5.5|2.93|286.092|1.574|153.737|AH-5|2.93|286.092|1.848|180.432|AH-4|2.297|224.328|2.226|217.421|AH-3.5|1.896|185.163|2.226|217.421|AH-3|1.896|185.163|2.505|244.654|AH-2.5|1.732|169.13|2.505|244.654|AH-2|1.732|169.13|2.777|271.175|AH-1.5|1.622|158.42|2.777|271.175||AH1.5|1.545|148.15|3.209|307.682|AH2|1.545|148.15|3.465|332.225|AH2.5|1.492|143.062|3.465|332.225|AH3|1.492|143.062|3.47|332.692|AH3.5|1.491|142.975|3.47|332.692|AH4|1.491|142.975|4.703|450.897|AH4.5|1.34|128.498|4.703|450.897|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.1532|5.6|1.65197|5.6|EK-1.5||K21|6.76119|5.6|7.46563|5.6|EK21||K1.5|1.50089|5.6|3.78009|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/south-korea/itf-w35-changwon-women/okamura-kyoka-sema-erika-fLAFd2op/#ah;2;-1.50;1","-1.5","2.28","1.57","","","","","2.28","1.57","","","","","","",""
