"DV","0000055","20240530|090334","20240527_1522504_075243_094086","R04_4_FRA_French Open - Paris","Kolodziejova/Siskova","Alexandrova/Pavlyuchenkova","|K|0.298148|EK|G||OL1|3.52464|EOL1|OL2|1.45717|EOL2|OH1|1|EOH1|OH2|143|EOH2|EG|NA||NAOL1|3.7968|ENAOL1|NAOL2|1.4586|ENAOL2|NAVE1|-8.5|ENAVE1|NAVE2|-3.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/wta-french-open-doubles/kolodziejova-miriam-siskova-anna-alexandrova-ekaterina-pavlyuchenkova-anastasia-6a01xS8k/","","2.78","1.44","","","2.9","1.37","2.9","1.44","","","","","","",""
"CSM","0000056","20240530|090348","20240527_1970905_027205_012097","R05_1_ITA_Vicenza Challenger","Dellien Velasco","Travaglia","|K|0.487685|EK|G||OL1|2.1939|EOL1|OL2|2.0874|EOL2|OH1|206|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.2866|ENAOL1|NAOL2|2.1756|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.84|267.898|1.844|173.958|AH-2.5|2.493|235.212|1.844|173.958|AH-2|2.493|235.212|1.96|184.933|AH-1.5|2.308|217.739|1.96|184.933||AH1.5|2.045|185.927|2.38|216.377|AH2|2.045|185.927|2.531|230.114|AH2.5|1.945|176.856|2.531|230.114|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.68926|6|1.54|6|EK-1.5||K21|5.64418|6|5.20693|6|EK21||K1.5|1.54|6|3.5209|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/dellien-velasco-murkel-alejandro-travaglia-stefano-h4M4Xp3t/#ah;2;1.50;2","1.5","1.81","2.02","","","","","1.81","2.02","","","","","","",""
"CSM","0000056","20240530|090351","20240527_1970905_027205_012097","R05_1_ITA_Vicenza Challenger","Dellien Velasco","Travaglia","|K|0.487685|EK|G||OL1|2.1939|EOL1|OL2|2.0874|EOL2|OH1|206|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.2866|ENAOL1|NAOL2|2.1756|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.84|267.898|1.844|173.958|AH-2.5|2.493|235.212|1.844|173.958|AH-2|2.493|235.212|1.96|184.933|AH-1.5|2.308|217.739|1.96|184.933||AH1.5|2.045|185.927|2.38|216.377|AH2|2.045|185.927|2.531|230.114|AH2.5|1.945|176.856|2.531|230.114|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.68926|6|1.54|6|EK-1.5||K21|5.64418|6|5.20693|6|EK21||K1.5|1.54|6|3.5209|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/dellien-velasco-murkel-alejandro-travaglia-stefano-h4M4Xp3t/#ah;2;-0.50;2","-0.5","2.07","1.78","","","","","2.07","1.78","","","","","","",""
"CSM","0000056","20240530|090355","20240527_1970905_027205_012097","R05_1_ITA_Vicenza Challenger","Dellien Velasco","Travaglia","|K|0.487685|EK|G||OL1|2.1939|EOL1|OL2|2.0874|EOL2|OH1|206|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.2866|ENAOL1|NAOL2|2.1756|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.84|267.898|1.844|173.958|AH-2.5|2.493|235.212|1.844|173.958|AH-2|2.493|235.212|1.96|184.933|AH-1.5|2.308|217.739|1.96|184.933||AH1.5|2.045|185.927|2.38|216.377|AH2|2.045|185.927|2.531|230.114|AH2.5|1.945|176.856|2.531|230.114|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.68926|6|1.54|6|EK-1.5||K21|5.64418|6|5.20693|6|EK21||K1.5|1.54|6|3.5209|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/dellien-velasco-murkel-alejandro-travaglia-stefano-h4M4Xp3t/#ah;2;1.50;1","1.5","1.42","2.9","","","","","1.42","2.9","","","","","","",""
"CSM","0000056","20240530|090353","20240527_1970905_027205_012097","R05_1_ITA_Vicenza Challenger","Dellien Velasco","Travaglia","|K|0.487685|EK|G||OL1|2.1939|EOL1|OL2|2.0874|EOL2|OH1|206|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.2866|ENAOL1|NAOL2|2.1756|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.84|267.898|1.844|173.958|AH-2.5|2.493|235.212|1.844|173.958|AH-2|2.493|235.212|1.96|184.933|AH-1.5|2.308|217.739|1.96|184.933||AH1.5|2.045|185.927|2.38|216.377|AH2|2.045|185.927|2.531|230.114|AH2.5|1.945|176.856|2.531|230.114|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.68926|6|1.54|6|EK-1.5||K21|5.64418|6|5.20693|6|EK21||K1.5|1.54|6|3.5209|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/dellien-velasco-murkel-alejandro-travaglia-stefano-h4M4Xp3t/#ah;2;-1.50;1","-1.5","3.3","1.34","","","","","3.3","1.34","","","","","","",""
"CSM","0000056","20240530|090339","20240527_1970905_027205_012097","R05_1_ITA_Vicenza Challenger","Dellien Velasco","Travaglia","|K|0.487685|EK|G||OL1|2.1939|EOL1|OL2|2.0874|EOL2|OH1|206|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.2866|ENAOL1|NAOL2|2.1756|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.84|267.898|1.844|173.958|AH-2.5|2.493|235.212|1.844|173.958|AH-2|2.493|235.212|1.96|184.933|AH-1.5|2.308|217.739|1.96|184.933||AH1.5|2.045|185.927|2.38|216.377|AH2|2.045|185.927|2.531|230.114|AH2.5|1.945|176.856|2.531|230.114|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.68926|6|1.54|6|EK-1.5||K21|5.64418|6|5.20693|6|EK21||K1.5|1.54|6|3.5209|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/dellien-velasco-murkel-alejandro-travaglia-stefano-h4M4Xp3t/","","2.01","1.82","","","2.0","1.78","2.01","1.82","","","","","","",""
"CSV","0000057","20240530|090409","20240527_1551009_059913_006590","R09_1_AUT_W35 Klagenfurt","Meri","Buyukakcay","|K|0.433853|EK|G||OL1|2.36775|EOL1|OL2|1.88505|EOL2|OH1|3.0723|EOH1|OH2|2.478|EOH2|EG|NA|NOT|ENA||AH-5.5|4.11|401.377|1.364|133.181|AH-5|4.11|401.377|1.501|146.597|AH-4|3.222|314.605|1.657|161.835|AH-3.5|2.68|261.72|1.657|161.835|AH-3|2.68|261.72|1.818|177.577|AH-2.5|2.344|228.905|1.818|177.577|AH-2|2.344|228.905|1.899|185.424|AH-1.5|2.223|217.063|1.899|185.424||AH1.5|2.103|201.665|2.069|198.362|AH2|2.103|201.665|2.175|208.572|AH2.5|2.004|192.104|2.175|208.572|AH3|2.004|192.104|2.306|221.085|AH3.5|1.904|182.587|2.306|221.085|AH4|1.904|182.587|2.752|263.853|AH4.5|1.68|161.03|2.752|263.853|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.76966|5.6|1.5|1|EK-1.5||K21|7.74387|5.6|5.67846|5.6|EK21||K1.5|1.76507|5.6|2.8521|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/austria/itf-w35-klagenfurt-women/meri-eszter-buyukakcay-cagla-raIdSiqC/#ah;2;2.50;2","2.5","1.82","1.95","","","","","1.82","1.95","","","","","","",""
"CSV","0000057","20240530|090406","20240527_1551009_059913_006590","R09_1_AUT_W35 Klagenfurt","Meri","Buyukakcay","|K|0.433853|EK|G||OL1|2.36775|EOL1|OL2|1.88505|EOL2|OH1|3.0723|EOH1|OH2|2.478|EOH2|EG|NA|NOT|ENA||AH-5.5|4.11|401.377|1.364|133.181|AH-5|4.11|401.377|1.501|146.597|AH-4|3.222|314.605|1.657|161.835|AH-3.5|2.68|261.72|1.657|161.835|AH-3|2.68|261.72|1.818|177.577|AH-2.5|2.344|228.905|1.818|177.577|AH-2|2.344|228.905|1.899|185.424|AH-1.5|2.223|217.063|1.899|185.424||AH1.5|2.103|201.665|2.069|198.362|AH2|2.103|201.665|2.175|208.572|AH2.5|2.004|192.104|2.175|208.572|AH3|2.004|192.104|2.306|221.085|AH3.5|1.904|182.587|2.306|221.085|AH4|1.904|182.587|2.752|263.853|AH4.5|1.68|161.03|2.752|263.853|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.76966|5.6|1.5|1|EK-1.5||K21|7.74387|5.6|5.67846|5.6|EK21||K1.5|1.76507|5.6|2.8521|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/austria/itf-w35-klagenfurt-women/meri-eszter-buyukakcay-cagla-raIdSiqC/#ah;2;1.50;2","1.5","1.94","1.83","","","","","1.94","1.83","","","","","","",""
"CSV","0000057","20240530|090413","20240527_1551009_059913_006590","R09_1_AUT_W35 Klagenfurt","Meri","Buyukakcay","|K|0.433853|EK|G||OL1|2.36775|EOL1|OL2|1.88505|EOL2|OH1|3.0723|EOH1|OH2|2.478|EOH2|EG|NA|NOT|ENA||AH-5.5|4.11|401.377|1.364|133.181|AH-5|4.11|401.377|1.501|146.597|AH-4|3.222|314.605|1.657|161.835|AH-3.5|2.68|261.72|1.657|161.835|AH-3|2.68|261.72|1.818|177.577|AH-2.5|2.344|228.905|1.818|177.577|AH-2|2.344|228.905|1.899|185.424|AH-1.5|2.223|217.063|1.899|185.424||AH1.5|2.103|201.665|2.069|198.362|AH2|2.103|201.665|2.175|208.572|AH2.5|2.004|192.104|2.175|208.572|AH3|2.004|192.104|2.306|221.085|AH3.5|1.904|182.587|2.306|221.085|AH4|1.904|182.587|2.752|263.853|AH4.5|1.68|161.03|2.752|263.853|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.76966|5.6|1.5|1|EK-1.5||K21|7.74387|5.6|5.67846|5.6|EK21||K1.5|1.76507|5.6|2.8521|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/austria/itf-w35-klagenfurt-women/meri-eszter-buyukakcay-cagla-raIdSiqC/#ah;2;1.50;1","1.5","1.51","2.51","","","","","1.51","2.51","","","","","","",""
"CSV","0000057","20240530|090411","20240527_1551009_059913_006590","R09_1_AUT_W35 Klagenfurt","Meri","Buyukakcay","|K|0.433853|EK|G||OL1|2.36775|EOL1|OL2|1.88505|EOL2|OH1|3.0723|EOH1|OH2|2.478|EOH2|EG|NA|NOT|ENA||AH-5.5|4.11|401.377|1.364|133.181|AH-5|4.11|401.377|1.501|146.597|AH-4|3.222|314.605|1.657|161.835|AH-3.5|2.68|261.72|1.657|161.835|AH-3|2.68|261.72|1.818|177.577|AH-2.5|2.344|228.905|1.818|177.577|AH-2|2.344|228.905|1.899|185.424|AH-1.5|2.223|217.063|1.899|185.424||AH1.5|2.103|201.665|2.069|198.362|AH2|2.103|201.665|2.175|208.572|AH2.5|2.004|192.104|2.175|208.572|AH3|2.004|192.104|2.306|221.085|AH3.5|1.904|182.587|2.306|221.085|AH4|1.904|182.587|2.752|263.853|AH4.5|1.68|161.03|2.752|263.853|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.76966|5.6|1.5|1|EK-1.5||K21|7.74387|5.6|5.67846|5.6|EK21||K1.5|1.76507|5.6|2.8521|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/austria/itf-w35-klagenfurt-women/meri-eszter-buyukakcay-cagla-raIdSiqC/#ah;2;-1.50;1","-1.5","3.23","1.33","","","","","3.23","1.33","","","","","","",""
"CSV","0000057","20240530|090359","20240527_1551009_059913_006590","R09_1_AUT_W35 Klagenfurt","Meri","Buyukakcay","|K|0.433853|EK|G||OL1|2.36775|EOL1|OL2|1.88505|EOL2|OH1|3.0723|EOH1|OH2|2.478|EOH2|EG|NA|NOT|ENA||AH-5.5|4.11|401.377|1.364|133.181|AH-5|4.11|401.377|1.501|146.597|AH-4|3.222|314.605|1.657|161.835|AH-3.5|2.68|261.72|1.657|161.835|AH-3|2.68|261.72|1.818|177.577|AH-2.5|2.344|228.905|1.818|177.577|AH-2|2.344|228.905|1.899|185.424|AH-1.5|2.223|217.063|1.899|185.424||AH1.5|2.103|201.665|2.069|198.362|AH2|2.103|201.665|2.175|208.572|AH2.5|2.004|192.104|2.175|208.572|AH3|2.004|192.104|2.306|221.085|AH3.5|1.904|182.587|2.306|221.085|AH4|1.904|182.587|2.752|263.853|AH4.5|1.68|161.03|2.752|263.853|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.76966|5.6|1.5|1|EK-1.5||K21|7.74387|5.6|5.67846|5.6|EK21||K1.5|1.76507|5.6|2.8521|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/austria/itf-w35-klagenfurt-women/meri-eszter-buyukakcay-cagla-raIdSiqC/","","2.12","1.7","","","2.05","1.67","2.12","1.7","","","","","","",""
