"SM","0000049","20240601|084909","20240527_1938307_036263_047275","R07_4_FRA_French Open - Paris","Moutet","Sinner","|K|0.0179481|EK|G||OL1|61.0134|EOL1|OL2|1.122|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|61.1248|ENAOL1|NAOL2|1.1322|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/atp-french-open/moutet-corentin-sinner-jannik-tQrnpffJ/","","12.89","1.06","","","10.5","1.06","12.89","1.06","","","","","","",""
"CSM","0000050","20240601|084924","20240527_1970909_047557_027205","R09_1_ITA_Vicenza Challenger","Tseng","Dellien Velasco","|K|0.492886|EK|G||OL1|2.16195|EOL1|OL2|2.1087|EOL2|OH1|1|EOH1|OH2|198|EOH2|EG|NA||NAOL1|2.2533|ENAOL1|NAOL2|2.1978|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.919|275.378|1.839|173.512|AH-2.5|2.502|236.032|1.839|173.512|AH-2|2.502|236.032|1.962|185.133|AH-1.5|2.305|217.463|1.962|185.133||AH1.5|2.049|186.314|2.374|215.856|AH2|2.049|186.314|2.572|233.842|AH2.5|1.922|174.715|2.572|233.842|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.5298|6|1.54|6|EK-1.5||K21|5.43103|6|6.16054|1|EK21||K1.5|1.55378|6|3.38548|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/tseng-chun-hsin-dellien-velasco-murkel-alejandro-GpS2LJV1/#ah;2;0.50;2","0.5","1.79","2.1","","","","","1.79","2.1","","","","","","",""
"CSM","0000050","20240601|084922","20240527_1970909_047557_027205","R09_1_ITA_Vicenza Challenger","Tseng","Dellien Velasco","|K|0.492886|EK|G||OL1|2.16195|EOL1|OL2|2.1087|EOL2|OH1|1|EOH1|OH2|198|EOH2|EG|NA||NAOL1|2.2533|ENAOL1|NAOL2|2.1978|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.919|275.378|1.839|173.512|AH-2.5|2.502|236.032|1.839|173.512|AH-2|2.502|236.032|1.962|185.133|AH-1.5|2.305|217.463|1.962|185.133||AH1.5|2.049|186.314|2.374|215.856|AH2|2.049|186.314|2.572|233.842|AH2.5|1.922|174.715|2.572|233.842|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.5298|6|1.54|6|EK-1.5||K21|5.43103|6|6.16054|1|EK21||K1.5|1.55378|6|3.38548|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/tseng-chun-hsin-dellien-velasco-murkel-alejandro-GpS2LJV1/#ah;2;-0.50;2","-0.5","1.9","1.97","","","","","1.9","1.97","","","","","","",""
"CSM","0000050","20240601|084928","20240527_1970909_047557_027205","R09_1_ITA_Vicenza Challenger","Tseng","Dellien Velasco","|K|0.492886|EK|G||OL1|2.16195|EOL1|OL2|2.1087|EOL2|OH1|1|EOH1|OH2|198|EOH2|EG|NA||NAOL1|2.2533|ENAOL1|NAOL2|2.1978|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.919|275.378|1.839|173.512|AH-2.5|2.502|236.032|1.839|173.512|AH-2|2.502|236.032|1.962|185.133|AH-1.5|2.305|217.463|1.962|185.133||AH1.5|2.049|186.314|2.374|215.856|AH2|2.049|186.314|2.572|233.842|AH2.5|1.922|174.715|2.572|233.842|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.5298|6|1.54|6|EK-1.5||K21|5.43103|6|6.16054|1|EK21||K1.5|1.55378|6|3.38548|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/tseng-chun-hsin-dellien-velasco-murkel-alejandro-GpS2LJV1/#ah;2;1.50;1","1.5","1.36","3.34","","","1.33","3.25","1.36","3.34","","","","","","",""
"CSM","0000050","20240601|084926","20240527_1970909_047557_027205","R09_1_ITA_Vicenza Challenger","Tseng","Dellien Velasco","|K|0.492886|EK|G||OL1|2.16195|EOL1|OL2|2.1087|EOL2|OH1|1|EOH1|OH2|198|EOH2|EG|NA||NAOL1|2.2533|ENAOL1|NAOL2|2.1978|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.919|275.378|1.839|173.512|AH-2.5|2.502|236.032|1.839|173.512|AH-2|2.502|236.032|1.962|185.133|AH-1.5|2.305|217.463|1.962|185.133||AH1.5|2.049|186.314|2.374|215.856|AH2|2.049|186.314|2.572|233.842|AH2.5|1.922|174.715|2.572|233.842|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.5298|6|1.54|6|EK-1.5||K21|5.43103|6|6.16054|1|EK21||K1.5|1.55378|6|3.38548|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/tseng-chun-hsin-dellien-velasco-murkel-alejandro-GpS2LJV1/#ah;2;-1.50;1","-1.5","2.93","1.44","","","3.0","1.38","3.0","1.44","","","","","","",""
"CSM","0000050","20240601|084915","20240527_1970909_047557_027205","R09_1_ITA_Vicenza Challenger","Tseng","Dellien Velasco","|K|0.492886|EK|G||OL1|2.16195|EOL1|OL2|2.1087|EOL2|OH1|1|EOH1|OH2|198|EOH2|EG|NA||NAOL1|2.2533|ENAOL1|NAOL2|2.1978|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.919|275.378|1.839|173.512|AH-2.5|2.502|236.032|1.839|173.512|AH-2|2.502|236.032|1.962|185.133|AH-1.5|2.305|217.463|1.962|185.133||AH1.5|2.049|186.314|2.374|215.856|AH2|2.049|186.314|2.572|233.842|AH2.5|1.922|174.715|2.572|233.842|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.5298|6|1.54|6|EK-1.5||K21|5.43103|6|6.16054|1|EK21||K1.5|1.55378|6|3.38548|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/italy/vicenza-challenger-men/tseng-chun-hsin-dellien-velasco-murkel-alejandro-GpS2LJV1/","","1.85","2.02","","","1.82","1.94","1.85","2.02","","","","","","",""
"SV","0000051","20240601|084933","20240527_1522507_039749_032168","R07_4_FRA_French Open - Paris","Danilovic","Vondrousova","|K|0.283247|EK|G||OL1|3.57186|EOL1|OL2|1.568|EOL2|OH1|1|EOH1|OH2|140|EOH2|EG|NA||NAOL1|3.86214|ENAOL1|NAOL2|1.568|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AHS||K-1.5|1|1|1|1|EK-1.5||K21|1|1|1|1|EK21||K1.5|1|1|1|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/wta-french-open/danilovic-olga-vondrousova-marketa-hrXBDPYG/","","3.3","1.38","","","3.25","1.34","3.3","1.38","","","","","","",""
"SV","0000052","20240601|084938","20240527_1522507_054663_054664","R07_4_FRA_French Open - Paris","Gauff","Cocciaretto","|K|0.867234|EK|G||OL1|1.2992|EOL1|OL2|7.60786|EOL2|OH1|116|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.2992|ENAOL1|NAOL2|8.22614|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AHS||K-1.5|1|1|1|1|EK-1.5||K21|1|1|1|1|EK21||K1.5|1|1|1|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/wta-french-open/gauff-coco-cocciaretto-elisabetta-nPOVsFWI/","","1.14","6.83","","","1.13","6.25","1.14","7.0","","","","","","",""
"CSV","0000053","20240601|084949","20240527_1550910_037189_051278","R10_1_DOM_W35 Santo Domingo","Portillo Ramirez","Hu","|K|0.366838|EK|G||OL1|2.79825|EOL1|OL2|1.6827|EOL2|OH1|3.6309|EOH1|OH2|2.212|EOH2|EG|NA|NOT|ENA||AH-5.5|8.506|830.656|1.164|113.686|AH-5|8.506|830.656|1.273|124.27|AH-4|5.243|512.026|1.358|132.653|AH-3.5|4.16|406.251|1.358|132.653|AH-3|4.16|406.251|1.382|135|AH-2.5|3.95|385.711|1.382|135|AH-2|3.95|385.711|1.423|138.923|AH-1.5|3.655|356.915|1.423|138.923||AH1.5|2.983|286.044|1.604|153.751|AH2|2.983|286.044|1.749|167.733|AH2.5|2.583|247.639|1.749|167.733|AH3|2.583|247.639|1.836|176|AH3.5|2.415|231.578|1.836|176|AH4|2.415|231.578|2.278|218.413|AH4.5|1.924|184.45|2.278|218.413|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.34794|1|1.5|1|EK-1.5||K21|7.97773|5.6|6.04865|5.6|EK21||K1.5|1.90533|5.6|2.58653|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/dominican-republic/itf-w35-santo-domingo-4-women/portillo-ramirez-maria-jose-hu-victoria-OjaKZozp/#ah;2;3.50;2","3.5","1.83","1.94","","","","","1.83","1.94","","","","","","",""
"CSV","0000053","20240601|084951","20240527_1550910_037189_051278","R10_1_DOM_W35 Santo Domingo","Portillo Ramirez","Hu","|K|0.366838|EK|G||OL1|2.79825|EOL1|OL2|1.6827|EOL2|OH1|3.6309|EOH1|OH2|2.212|EOH2|EG|NA|NOT|ENA||AH-5.5|8.506|830.656|1.164|113.686|AH-5|8.506|830.656|1.273|124.27|AH-4|5.243|512.026|1.358|132.653|AH-3.5|4.16|406.251|1.358|132.653|AH-3|4.16|406.251|1.382|135|AH-2.5|3.95|385.711|1.382|135|AH-2|3.95|385.711|1.423|138.923|AH-1.5|3.655|356.915|1.423|138.923||AH1.5|2.983|286.044|1.604|153.751|AH2|2.983|286.044|1.749|167.733|AH2.5|2.583|247.639|1.749|167.733|AH3|2.583|247.639|1.836|176|AH3.5|2.415|231.578|1.836|176|AH4|2.415|231.578|2.278|218.413|AH4.5|1.924|184.45|2.278|218.413|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.34794|1|1.5|1|EK-1.5||K21|7.97773|5.6|6.04865|5.6|EK21||K1.5|1.90533|5.6|2.58653|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/dominican-republic/itf-w35-santo-domingo-4-women/portillo-ramirez-maria-jose-hu-victoria-OjaKZozp/#ah;2;2.50;2","2.5","2.05","1.75","","","","","2.05","1.75","","","","","","",""
"CSV","0000053","20240601|084955","20240527_1550910_037189_051278","R10_1_DOM_W35 Santo Domingo","Portillo Ramirez","Hu","|K|0.366838|EK|G||OL1|2.79825|EOL1|OL2|1.6827|EOL2|OH1|3.6309|EOH1|OH2|2.212|EOH2|EG|NA|NOT|ENA||AH-5.5|8.506|830.656|1.164|113.686|AH-5|8.506|830.656|1.273|124.27|AH-4|5.243|512.026|1.358|132.653|AH-3.5|4.16|406.251|1.358|132.653|AH-3|4.16|406.251|1.382|135|AH-2.5|3.95|385.711|1.382|135|AH-2|3.95|385.711|1.423|138.923|AH-1.5|3.655|356.915|1.423|138.923||AH1.5|2.983|286.044|1.604|153.751|AH2|2.983|286.044|1.749|167.733|AH2.5|2.583|247.639|1.749|167.733|AH3|2.583|247.639|1.836|176|AH3.5|2.415|231.578|1.836|176|AH4|2.415|231.578|2.278|218.413|AH4.5|1.924|184.45|2.278|218.413|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.34794|1|1.5|1|EK-1.5||K21|7.97773|5.6|6.04865|5.6|EK21||K1.5|1.90533|5.6|2.58653|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/dominican-republic/itf-w35-santo-domingo-4-women/portillo-ramirez-maria-jose-hu-victoria-OjaKZozp/#ah;2;1.50;1","1.5","1.62","2.25","","","","","1.62","2.25","","","","","","",""
