"FSM","0000019","20240605|083450","20240603_1978504_033947_027539","R04_0_TUN_M15 Monastir","Lomakin","Nazim Makhlouf","|K|0.457076|EK|G||OL1|2.33016|EOL1|OL2|1.9684|EOL2|OH1|219|EOH1|OH2|185|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|371.109|371.109|151.507|151.507|AH-3.5|294.147|294.147|151.507|151.507|AH-3|294.147|294.147|166.196|166.196|AH-2.5|251.067|251.067|166.196|166.196|AH-2|251.067|251.067|176.48|176.48|AH-1.5|230.752|230.752|176.48|176.48||AH1.5|195.985|195.985|204.183|204.183|AH2|195.985|195.985|221.136|221.136|AH2.5|182.552|182.552|221.136|221.136|AH3|182.552|182.552|250.453|250.453|AH3.5|166.466|166.466|250.453|250.453|AH4|166.466|166.466|321.337|321.337|AH4.5|145.18|145.18|321.337|321.337|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","",""
"FSM","0000020","20240605|083504","20240603_1978504_036276_085445","R04_0_TUN_M15 Monastir","Van Wyk","Gorokhov","|K|0.539022|EK|G||OL1|1.97904|EOL1|OL2|2.30888|EOL2|OH1|1|EOH1|OH2|217|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|321.77|321.77|163.545|163.545|AH-3.5|257.369|257.369|163.545|163.545|AH-3|257.369|257.369|178.502|178.502|AH-2.5|227.385|227.385|178.502|178.502|AH-2|227.385|227.385|191.925|191.925|AH-1.5|208.784|208.784|191.925|191.925||AH1.5|181.115|181.115|223.282|223.282|AH2|181.115|181.115|238.342|238.342|AH2.5|172.285|172.285|238.342|238.342|AH3|172.285|172.285|274.452|274.452|AH3.5|157.322|157.322|274.452|274.452|AH4|157.322|157.322|346.923|346.923|AH4.5|140.499|140.499|346.923|346.923|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-23-men/van-wyk-kris-gorokhov-mikhail-Q31bq9Gd/#ah;2;-2.50;2","-2.5","","","","","","","1.8","1.9","","","","","","",""
"FSM","0000020","20240605|083506","20240603_1978504_036276_085445","R04_0_TUN_M15 Monastir","Van Wyk","Gorokhov","|K|0.539022|EK|G||OL1|1.97904|EOL1|OL2|2.30888|EOL2|OH1|1|EOH1|OH2|217|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|321.77|321.77|163.545|163.545|AH-3.5|257.369|257.369|163.545|163.545|AH-3|257.369|257.369|178.502|178.502|AH-2.5|227.385|227.385|178.502|178.502|AH-2|227.385|227.385|191.925|191.925|AH-1.5|208.784|208.784|191.925|191.925||AH1.5|181.115|181.115|223.282|223.282|AH2|181.115|181.115|238.342|238.342|AH2.5|172.285|172.285|238.342|238.342|AH3|172.285|172.285|274.452|274.452|AH3.5|157.322|157.322|274.452|274.452|AH4|157.322|157.322|346.923|346.923|AH4.5|140.499|140.499|346.923|346.923|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-23-men/van-wyk-kris-gorokhov-mikhail-Q31bq9Gd/#ah;2;-3.00;2","-3.0","","","","","","","1.87","1.83","","","","","","",""
"FSM","0000020","20240605|083510","20240603_1978504_036276_085445","R04_0_TUN_M15 Monastir","Van Wyk","Gorokhov","|K|0.539022|EK|G||OL1|1.97904|EOL1|OL2|2.30888|EOL2|OH1|1|EOH1|OH2|217|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|321.77|321.77|163.545|163.545|AH-3.5|257.369|257.369|163.545|163.545|AH-3|257.369|257.369|178.502|178.502|AH-2.5|227.385|227.385|178.502|178.502|AH-2|227.385|227.385|191.925|191.925|AH-1.5|208.784|208.784|191.925|191.925||AH1.5|181.115|181.115|223.282|223.282|AH2|181.115|181.115|238.342|238.342|AH2.5|172.285|172.285|238.342|238.342|AH3|172.285|172.285|274.452|274.452|AH3.5|157.322|157.322|274.452|274.452|AH4|157.322|157.322|346.923|346.923|AH4.5|140.499|140.499|346.923|346.923|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-23-men/van-wyk-kris-gorokhov-mikhail-Q31bq9Gd/#ah;2;1.50;1","1.5","","","","","","","","","","","","","","",""
"FSM","0000020","20240605|083508","20240603_1978504_036276_085445","R04_0_TUN_M15 Monastir","Van Wyk","Gorokhov","|K|0.539022|EK|G||OL1|1.97904|EOL1|OL2|2.30888|EOL2|OH1|1|EOH1|OH2|217|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|321.77|321.77|163.545|163.545|AH-3.5|257.369|257.369|163.545|163.545|AH-3|257.369|257.369|178.502|178.502|AH-2.5|227.385|227.385|178.502|178.502|AH-2|227.385|227.385|191.925|191.925|AH-1.5|208.784|208.784|191.925|191.925||AH1.5|181.115|181.115|223.282|223.282|AH2|181.115|181.115|238.342|238.342|AH2.5|172.285|172.285|238.342|238.342|AH3|172.285|172.285|274.452|274.452|AH3.5|157.322|157.322|274.452|274.452|AH4|157.322|157.322|346.923|346.923|AH4.5|140.499|140.499|346.923|346.923|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-23-men/van-wyk-kris-gorokhov-mikhail-Q31bq9Gd/#ah;2;-1.50;1","-1.5","","","","","","","","","","","","","","",""
"FSM","0000020","20240605|083455","20240603_1978504_036276_085445","R04_0_TUN_M15 Monastir","Van Wyk","Gorokhov","|K|0.539022|EK|G||OL1|1.97904|EOL1|OL2|2.30888|EOL2|OH1|1|EOH1|OH2|217|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|321.77|321.77|163.545|163.545|AH-3.5|257.369|257.369|163.545|163.545|AH-3|257.369|257.369|178.502|178.502|AH-2.5|227.385|227.385|178.502|178.502|AH-2|227.385|227.385|191.925|191.925|AH-1.5|208.784|208.784|191.925|191.925||AH1.5|181.115|181.115|223.282|223.282|AH2|181.115|181.115|238.342|238.342|AH2.5|172.285|172.285|238.342|238.342|AH3|172.285|172.285|274.452|274.452|AH3.5|157.322|157.322|274.452|274.452|AH4|157.322|157.322|346.923|346.923|AH4.5|140.499|140.499|346.923|346.923|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-23-men/van-wyk-kris-gorokhov-mikhail-Q31bq9Gd/","","","","","","1.57","2.25","1.57","2.25","","","","","","",""
"FSM","0000021","20240605|083524","20240603_1978404_030978_043645","R04_0_USA_M15 San Diego","Ponwith","Rubio Fierros","|K|0.41847|EK|G||OL1|2.44736|EOL1|OL2|1.83008|EOL2|OH1|3.585|EOH1|OH2|172|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|370.325|370.325|152.065|152.065|AH-3.5|292.067|292.067|152.065|152.065|AH-3|292.067|292.067|164.437|164.437|AH-2.5|255.19|255.19|164.437|164.437|AH-2|255.19|255.19|174.52|174.52|AH-1.5|234.191|234.191|174.52|174.52||AH1.5|199.259|199.259|200.746|200.746|AH2|199.259|199.259|215.709|215.709|AH2.5|186.424|186.424|215.709|215.709|AH3|186.424|186.424|242.499|242.499|AH3.5|170.176|170.176|242.499|242.499|AH4|170.176|170.176|298.092|298.092|AH4.5|150.482|150.482|298.092|298.092|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m15-san-diego-ca-2-men/ponwith-nathan-rubio-fierros-alan-fernando-GYDuaXr9/#ah;2;2.50;2","2.5","","","","","","","1.67","2.07","","","","","","",""
"FSM","0000021","20240605|083522","20240603_1978404_030978_043645","R04_0_USA_M15 San Diego","Ponwith","Rubio Fierros","|K|0.41847|EK|G||OL1|2.44736|EOL1|OL2|1.83008|EOL2|OH1|3.585|EOH1|OH2|172|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|370.325|370.325|152.065|152.065|AH-3.5|292.067|292.067|152.065|152.065|AH-3|292.067|292.067|164.437|164.437|AH-2.5|255.19|255.19|164.437|164.437|AH-2|255.19|255.19|174.52|174.52|AH-1.5|234.191|234.191|174.52|174.52||AH1.5|199.259|199.259|200.746|200.746|AH2|199.259|199.259|215.709|215.709|AH2.5|186.424|186.424|215.709|215.709|AH3|186.424|186.424|242.499|242.499|AH3.5|170.176|170.176|242.499|242.499|AH4|170.176|170.176|298.092|298.092|AH4.5|150.482|150.482|298.092|298.092|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m15-san-diego-ca-2-men/ponwith-nathan-rubio-fierros-alan-fernando-GYDuaXr9/#ah;2;1.50;2","1.5","","","","","","","1.83","1.87","","","","","","",""
"FSM","0000021","20240605|083514","20240603_1978404_030978_043645","R04_0_USA_M15 San Diego","Ponwith","Rubio Fierros","|K|0.41847|EK|G||OL1|2.44736|EOL1|OL2|1.83008|EOL2|OH1|3.585|EOH1|OH2|172|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|370.325|370.325|152.065|152.065|AH-3.5|292.067|292.067|152.065|152.065|AH-3|292.067|292.067|164.437|164.437|AH-2.5|255.19|255.19|164.437|164.437|AH-2|255.19|255.19|174.52|174.52|AH-1.5|234.191|234.191|174.52|174.52||AH1.5|199.259|199.259|200.746|200.746|AH2|199.259|199.259|215.709|215.709|AH2.5|186.424|186.424|215.709|215.709|AH3|186.424|186.424|242.499|242.499|AH3.5|170.176|170.176|242.499|242.499|AH4|170.176|170.176|298.092|298.092|AH4.5|150.482|150.482|298.092|298.092|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-m15-san-diego-ca-2-men/ponwith-nathan-rubio-fierros-alan-fernando-GYDuaXr9/","","","","","","","","2.0","1.72","","","","","","",""
"CDM","0000022","20240605|083529","20240603_1976504_111569_088789","R04_1_ARG_Santa Fe Challenger","Boscardin Dias/Sakamoto","Aboian/Aboian","|K|0.547295|EK|G||OL1|1.84263|EOL1|OL2|2.24757|EOL2|OH1|2.745|EOH1|OH2|221|EOH2|EG|NA||NAOL1|2.01849|ENAOL1|NAOL2|2.39343|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/argentina/santa-fe-challenger-men-doubles/boscardin-dias-pedro-sakamoto-pedro-aboian-leonardo-aboian-valerio-2kKblyR1/","","","","","","","","1.65","2.05","","","","","","",""
"CDM","0000023","20240605|083533","20240603_1976209_091804_090021","R09_1_CZE_Prostejov Challenger","Middelkoop/Oswald","Drzewiecki/Matuszewski","|K|0.570985|EK|G||OL1|1.77214|EOL1|OL2|2.37978|EOL2|OH1|2.64|EOH1|OH2|234|EOH2|EG|NA||NAOL1|1.94128|ENAOL1|NAOL2|2.53422|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/czech-republic/prostejov-challenger-men-doubles/middelkoop-matwe-oswald-philipp-drzewiecki-karol-matuszewski-piotr-xhn276pd/","","","","","","","","1.65","2.25","","","","","","",""
