"FDM","0000001","20240606|172818","20240603_1979010_101743_111601","R10_0_GUM_M15 Harmon","Masabayashi/Tajima","Ito/Kono","|K|0.562409|EK|G||OL1|1.82806|EOL1|OL2|2.4045|EOL2|OH1|178|EOH1|OH2|3.893|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/guam/itf-m15-harmon-men-doubles/masabayashi-tomohiro-tajima-naoki-ito-tatsuma-kono-yuhei-Wp0zuzTi/","","","","","","","","1.85","1.85","","","","","","",""
"FDM","0000002","20240606|172822","20240603_1978609_065409_111690","R09_0_ITA_M15 Caltanissetta","Giovannini/Giovannini","Colore/Planelles Ripoll","","GEW","https://www.oddsportal.com/tennis/italy/itf-m15-caltanissetta-men-doubles/giovannini-filippo-giovannini-umberto-maria-colore-marco-planelles-ripoll-gerard-WtAONygg/","","","","","","","","","","","","","","","",""
"FSM","0000003","20240606|172838","20240603_1978209_040187_051853","R09_0_ESP_M25 Cordoba","Guerrieri","Martin Tiffon","|K|0.359973|EK|G||OL1|2.84672|EOL1|OL2|1.67048|EOL2|OH1|4.17|EOH1|OH2|157|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|545.54|545.54|131.181|131.181|AH-3.5|420.707|420.707|131.181|131.181|AH-3|420.707|420.707|138.494|138.494|AH-2.5|359.782|359.782|138.494|138.494|AH-2|359.782|359.782|144.113|144.113|AH-1.5|326.693|326.693|144.113|144.113||AH1.5|264.698|264.698|160.717|160.717|AH2|264.698|264.698|171.112|171.112|AH2.5|240.623|240.623|171.112|171.112|AH3|240.623|240.623|188.306|188.306|AH3.5|213.243|213.243|188.306|188.306|AH4|213.243|213.243|225.377|225.377|AH4.5|179.759|179.759|225.377|225.377|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-cordoba-men/guerrieri-andrea-martin-tiffon-pol-CIAXBZgL/#ah;2;3.50;2","3.5","","","","","","","1.66","2.08","","","","","","",""
"FSM","0000003","20240606|172840","20240603_1978209_040187_051853","R09_0_ESP_M25 Cordoba","Guerrieri","Martin Tiffon","|K|0.359973|EK|G||OL1|2.84672|EOL1|OL2|1.67048|EOL2|OH1|4.17|EOH1|OH2|157|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|545.54|545.54|131.181|131.181|AH-3.5|420.707|420.707|131.181|131.181|AH-3|420.707|420.707|138.494|138.494|AH-2.5|359.782|359.782|138.494|138.494|AH-2|359.782|359.782|144.113|144.113|AH-1.5|326.693|326.693|144.113|144.113||AH1.5|264.698|264.698|160.717|160.717|AH2|264.698|264.698|171.112|171.112|AH2.5|240.623|240.623|171.112|171.112|AH3|240.623|240.623|188.306|188.306|AH3.5|213.243|213.243|188.306|188.306|AH4|213.243|213.243|225.377|225.377|AH4.5|179.759|179.759|225.377|225.377|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-cordoba-men/guerrieri-andrea-martin-tiffon-pol-CIAXBZgL/#ah;2;2.50;2","2.5","","","","","","","1.9","1.8","","","","","","",""
"FSM","0000003","20240606|172842","20240603_1978209_040187_051853","R09_0_ESP_M25 Cordoba","Guerrieri","Martin Tiffon","|K|0.359973|EK|G||OL1|2.84672|EOL1|OL2|1.67048|EOL2|OH1|4.17|EOH1|OH2|157|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|545.54|545.54|131.181|131.181|AH-3.5|420.707|420.707|131.181|131.181|AH-3|420.707|420.707|138.494|138.494|AH-2.5|359.782|359.782|138.494|138.494|AH-2|359.782|359.782|144.113|144.113|AH-1.5|326.693|326.693|144.113|144.113||AH1.5|264.698|264.698|160.717|160.717|AH2|264.698|264.698|171.112|171.112|AH2.5|240.623|240.623|171.112|171.112|AH3|240.623|240.623|188.306|188.306|AH3.5|213.243|213.243|188.306|188.306|AH4|213.243|213.243|225.377|225.377|AH4.5|179.759|179.759|225.377|225.377|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-cordoba-men/guerrieri-andrea-martin-tiffon-pol-CIAXBZgL/#ah;2;1.50;1","1.5","","","","","","","","","","","","","","",""
"FSM","0000003","20240606|172831","20240603_1978209_040187_051853","R09_0_ESP_M25 Cordoba","Guerrieri","Martin Tiffon","|K|0.359973|EK|G||OL1|2.84672|EOL1|OL2|1.67048|EOL2|OH1|4.17|EOH1|OH2|157|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|545.54|545.54|131.181|131.181|AH-3.5|420.707|420.707|131.181|131.181|AH-3|420.707|420.707|138.494|138.494|AH-2.5|359.782|359.782|138.494|138.494|AH-2|359.782|359.782|144.113|144.113|AH-1.5|326.693|326.693|144.113|144.113||AH1.5|264.698|264.698|160.717|160.717|AH2|264.698|264.698|171.112|171.112|AH2.5|240.623|240.623|171.112|171.112|AH3|240.623|240.623|188.306|188.306|AH3.5|213.243|213.243|188.306|188.306|AH4|213.243|213.243|225.377|225.377|AH4.5|179.759|179.759|225.377|225.377|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/itf-m25-cordoba-men/guerrieri-andrea-martin-tiffon-pol-CIAXBZgL/","","","","","","","","2.45","1.57","","","","","","",""
"FSM","0000004","20240606|172853","20240603_1978209_058606_051846","R09_0_ESP_M25 Cordoba","Nijboer","Marti Pujolras","|K|0.517797|EK|G||OL1|2.06416|EOL1|OL2|2.21312|EOL2|OH1|194|EOH1|OH2|208|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|298.803|298.803|166.083|166.083|AH-3.5|251.326|251.326|166.083|166.083|AH-3|251.326|251.326|178.043|178.043|AH-2.5|228.134|228.134|178.043|178.043|AH-2|228.134|228.134|189.385|189.385|AH-1.5|211.875|211.875|189.385|189.385||AH1.5|185.614|185.614|216.803|216.803|AH2|185.614|185.614|229.502|229.502|AH2.5|177.219|177.219|229.502|229.502|AH3|177.219|177.219|253.444|253.444|AH3.5|165.171|165.171|253.444|253.444|AH4|165.171|165.171|301.788|301.788|AH4.5|149.557|149.557|301.788|301.788|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-cordoba-men/nijboer-ryan-marti-pujolras-alex-ERxATdWp/#ah;2;-0.50;2","-0.5","","","","","","","1.9","1.8","","","","","","",""
"FSM","0000004","20240606|172855","20240603_1978209_058606_051846","R09_0_ESP_M25 Cordoba","Nijboer","Marti Pujolras","|K|0.517797|EK|G||OL1|2.06416|EOL1|OL2|2.21312|EOL2|OH1|194|EOH1|OH2|208|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|298.803|298.803|166.083|166.083|AH-3.5|251.326|251.326|166.083|166.083|AH-3|251.326|251.326|178.043|178.043|AH-2.5|228.134|228.134|178.043|178.043|AH-2|228.134|228.134|189.385|189.385|AH-1.5|211.875|211.875|189.385|189.385||AH1.5|185.614|185.614|216.803|216.803|AH2|185.614|185.614|229.502|229.502|AH2.5|177.219|177.219|229.502|229.502|AH3|177.219|177.219|253.444|253.444|AH3.5|165.171|165.171|253.444|253.444|AH4|165.171|165.171|301.788|301.788|AH4.5|149.557|149.557|301.788|301.788|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-cordoba-men/nijboer-ryan-marti-pujolras-alex-ERxATdWp/#ah;2;-1.50;2","-1.5","","","","","","","2.01","1.71","","","","","","",""
"FSM","0000004","20240606|172846","20240603_1978209_058606_051846","R09_0_ESP_M25 Cordoba","Nijboer","Marti Pujolras","|K|0.517797|EK|G||OL1|2.06416|EOL1|OL2|2.21312|EOL2|OH1|194|EOH1|OH2|208|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|298.803|298.803|166.083|166.083|AH-3.5|251.326|251.326|166.083|166.083|AH-3|251.326|251.326|178.043|178.043|AH-2.5|228.134|228.134|178.043|178.043|AH-2|228.134|228.134|189.385|189.385|AH-1.5|211.875|211.875|189.385|189.385||AH1.5|185.614|185.614|216.803|216.803|AH2|185.614|185.614|229.502|229.502|AH2.5|177.219|177.219|229.502|229.502|AH3|177.219|177.219|253.444|253.444|AH3.5|165.171|165.171|253.444|253.444|AH4|165.171|165.171|301.788|301.788|AH4.5|149.557|149.557|301.788|301.788|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/itf-m25-cordoba-men/nijboer-ryan-marti-pujolras-alex-ERxATdWp/","","","","","","","","1.85","1.85","","","","","","",""
"FSM","0000005","20240606|172906","20240603_1978209_095537_041964","R09_0_ESP_M25 Cordoba","Radulov","Kuhn","|K|0.194678|EK|G||OL1|5.26336|EOL1|OL2|1.33|EOL2|OH1|1|EOH1|OH2|125|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1016.68|1016.68|116.029|116.029|AH-3.5|723.861|723.861|116.029|116.029|AH-3|723.861|723.861|120.177|120.177|AH-2.5|595.621|595.621|120.177|120.177|AH-2|595.621|595.621|123.312|123.312|AH-1.5|528.959|528.959|123.312|123.312||AH1.5|384.956|384.956|135.093|135.093|AH2|384.956|384.956|143.105|143.105|AH2.5|331.992|331.992|143.105|143.105|AH3|331.992|331.992|157.983|157.983|AH3.5|272.464|272.464|157.983|157.983|AH4|272.464|272.464|187.943|187.943|AH4.5|213.71|213.71|187.943|187.943|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-cordoba-men/radulov-iliyan-kuhn-nicola-0AJDJxAk/#ah;2;4.50;2","4.5","","","","","","","1.85","1.85","","","","","","",""
"FSM","0000005","20240606|172907","20240603_1978209_095537_041964","R09_0_ESP_M25 Cordoba","Radulov","Kuhn","|K|0.194678|EK|G||OL1|5.26336|EOL1|OL2|1.33|EOL2|OH1|1|EOH1|OH2|125|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1016.68|1016.68|116.029|116.029|AH-3.5|723.861|723.861|116.029|116.029|AH-3|723.861|723.861|120.177|120.177|AH-2.5|595.621|595.621|120.177|120.177|AH-2|595.621|595.621|123.312|123.312|AH-1.5|528.959|528.959|123.312|123.312||AH1.5|384.956|384.956|135.093|135.093|AH2|384.956|384.956|143.105|143.105|AH2.5|331.992|331.992|143.105|143.105|AH3|331.992|331.992|157.983|157.983|AH3.5|272.464|272.464|157.983|157.983|AH4|272.464|272.464|187.943|187.943|AH4.5|213.71|213.71|187.943|187.943|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-cordoba-men/radulov-iliyan-kuhn-nicola-0AJDJxAk/#ah;2;4.00;2","4.0","","","","","","","2.07","1.67","","","","","","",""
