"FSM","0000001","20240610|162249","20240610_1980604_103327_019877","R04_0_KOR_M15 Anseong","Park","Moon Lee","|K|0.159047|EK|G||OL1|6.44096|EOL1|OL2|1.26616|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|2192.85|2192.85|109.358|109.358|AH-3.5|1168.58|1168.58|109.358|109.358|AH-3|1168.58|1168.58|112.919|112.919|AH-2.5|874.06|874.06|112.919|112.919|AH-2|874.06|874.06|117.194|117.194|AH-1.5|681.611|681.611|117.194|117.194||AH1.5|455.75|455.75|128.11|128.11|AH2|455.75|455.75|132.503|132.503|AH2.5|407.669|407.669|132.503|132.503|AH3|407.669|407.669|144.405|144.405|AH3.5|325.198|325.198|144.405|144.405|AH4|325.198|325.198|167.538|167.538|AH4.5|248.066|248.066|167.538|167.538|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","",""
"SM","0000002","20240610|162304","20240610_1938604_011517_014727","R04_2_GER_Boss Open - Stuttgart","Duckworth","Herbert","|K|0.508715|EK|G||OL1|2.167|EOL1|OL2|2.2338|EOL2|OH1|2.8565|EOH1|OH2|2.7948|EOH2|EG|NA||NAOL1|2.1867|ENAOL1|NAOL2|2.23788|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|12.66|16.826|1.194|1.587|AH-5|12.66|16.826|1.36|1.807|AH-4|5.516|7.331|1.648|2.19|AH-3.5|3.227|4.289|1.648|2.19|AH-3|3.227|4.289|1.974|2.624|AH-2.5|2.439|3.241|1.974|2.624|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.563|2.072|3.644|4.83|AH3|1.563|2.072|4.986|6.609|AH3.5|1.401|1.858|4.986|6.609|AH4|1.401|1.858|8.237|10.917|AH4.5|1.262|1.672|8.237|10.917|AH5|1.262|1.672|16.14|21.392|AH5.5|1.174|1.555|16.14|21.392||EAH||AHS||K-1.5|3.37008|7|1.5578|7|EK-1.5||K21|5.6676|7|4.82537|7|EK21||K1.5|1.52|7|4.12116|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/atp-stuttgart/duckworth-james-herbert-pierre-hugues-K09t8dTh/#ah;2;1.50;2","1.5","1.85","1.97","","","1.86","1.92","1.86","1.97","","","","","","",""
"SM","0000002","20240610|162302","20240610_1938604_011517_014727","R04_2_GER_Boss Open - Stuttgart","Duckworth","Herbert","|K|0.508715|EK|G||OL1|2.167|EOL1|OL2|2.2338|EOL2|OH1|2.8565|EOH1|OH2|2.7948|EOH2|EG|NA||NAOL1|2.1867|ENAOL1|NAOL2|2.23788|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|12.66|16.826|1.194|1.587|AH-5|12.66|16.826|1.36|1.807|AH-4|5.516|7.331|1.648|2.19|AH-3.5|3.227|4.289|1.648|2.19|AH-3|3.227|4.289|1.974|2.624|AH-2.5|2.439|3.241|1.974|2.624|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.563|2.072|3.644|4.83|AH3|1.563|2.072|4.986|6.609|AH3.5|1.401|1.858|4.986|6.609|AH4|1.401|1.858|8.237|10.917|AH4.5|1.262|1.672|8.237|10.917|AH5|1.262|1.672|16.14|21.392|AH5.5|1.174|1.555|16.14|21.392||EAH||AHS||K-1.5|3.37008|7|1.5578|7|EK-1.5||K21|5.6676|7|4.82537|7|EK21||K1.5|1.52|7|4.12116|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/atp-stuttgart/duckworth-james-herbert-pierre-hugues-K09t8dTh/#ah;2;0.50;2","0.5","2.06","1.79","","","","","2.06","1.79","","","","","","",""
"SM","0000002","20240610|162308","20240610_1938604_011517_014727","R04_2_GER_Boss Open - Stuttgart","Duckworth","Herbert","|K|0.508715|EK|G||OL1|2.167|EOL1|OL2|2.2338|EOL2|OH1|2.8565|EOH1|OH2|2.7948|EOH2|EG|NA||NAOL1|2.1867|ENAOL1|NAOL2|2.23788|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|12.66|16.826|1.194|1.587|AH-5|12.66|16.826|1.36|1.807|AH-4|5.516|7.331|1.648|2.19|AH-3.5|3.227|4.289|1.648|2.19|AH-3|3.227|4.289|1.974|2.624|AH-2.5|2.439|3.241|1.974|2.624|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.563|2.072|3.644|4.83|AH3|1.563|2.072|4.986|6.609|AH3.5|1.401|1.858|4.986|6.609|AH4|1.401|1.858|8.237|10.917|AH4.5|1.262|1.672|8.237|10.917|AH5|1.262|1.672|16.14|21.392|AH5.5|1.174|1.555|16.14|21.392||EAH||AHS||K-1.5|3.37008|7|1.5578|7|EK-1.5||K21|5.6676|7|4.82537|7|EK21||K1.5|1.52|7|4.12116|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/germany/atp-stuttgart/duckworth-james-herbert-pierre-hugues-K09t8dTh/#ah;2;1.50;1","1.5","1.43","2.86","","","1.42","2.85","1.43","2.86","","","","","","",""
"SM","0000002","20240610|162306","20240610_1938604_011517_014727","R04_2_GER_Boss Open - Stuttgart","Duckworth","Herbert","|K|0.508715|EK|G||OL1|2.167|EOL1|OL2|2.2338|EOL2|OH1|2.8565|EOH1|OH2|2.7948|EOH2|EG|NA||NAOL1|2.1867|ENAOL1|NAOL2|2.23788|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|12.66|16.826|1.194|1.587|AH-5|12.66|16.826|1.36|1.807|AH-4|5.516|7.331|1.648|2.19|AH-3.5|3.227|4.289|1.648|2.19|AH-3|3.227|4.289|1.974|2.624|AH-2.5|2.439|3.241|1.974|2.624|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.563|2.072|3.644|4.83|AH3|1.563|2.072|4.986|6.609|AH3.5|1.401|1.858|4.986|6.609|AH4|1.401|1.858|8.237|10.917|AH4.5|1.262|1.672|8.237|10.917|AH5|1.262|1.672|16.14|21.392|AH5.5|1.174|1.555|16.14|21.392||EAH||AHS||K-1.5|3.37008|7|1.5578|7|EK-1.5||K21|5.6676|7|4.82537|7|EK21||K1.5|1.52|7|4.12116|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/germany/atp-stuttgart/duckworth-james-herbert-pierre-hugues-K09t8dTh/#ah;2;-1.50;1","-1.5","3.58","1.3","","","3.9","1.25","3.9","1.3","","","","","","",""
"SM","0000002","20240610|162253","20240610_1938604_011517_014727","R04_2_GER_Boss Open - Stuttgart","Duckworth","Herbert","|K|0.508715|EK|G||OL1|2.167|EOL1|OL2|2.2338|EOL2|OH1|2.8565|EOH1|OH2|2.7948|EOH2|EG|NA||NAOL1|2.1867|ENAOL1|NAOL2|2.23788|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|12.66|16.826|1.194|1.587|AH-5|12.66|16.826|1.36|1.807|AH-4|5.516|7.331|1.648|2.19|AH-3.5|3.227|4.289|1.648|2.19|AH-3|3.227|4.289|1.974|2.624|AH-2.5|2.439|3.241|1.974|2.624|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.563|2.072|3.644|4.83|AH3|1.563|2.072|4.986|6.609|AH3.5|1.401|1.858|4.986|6.609|AH4|1.401|1.858|8.237|10.917|AH4.5|1.262|1.672|8.237|10.917|AH5|1.262|1.672|16.14|21.392|AH5.5|1.174|1.555|16.14|21.392||EAH||AHS||K-1.5|3.37008|7|1.5578|7|EK-1.5||K21|5.6676|7|4.82537|7|EK21||K1.5|1.52|7|4.12116|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/germany/atp-stuttgart/duckworth-james-herbert-pierre-hugues-K09t8dTh/","","2.19","1.69","","","2.17","1.7","2.25","1.7","","","","","","",""
"SM","0000003","20240610|162321","20240610_1938504_001837_035297","R04_2_NED_Libema Open - 's-Hertogenbosch","Bautista-Agut","Huesler","|K|0.486922|EK|G||OL1|2.2557|EOL1|OL2|2.145|EOL2|OH1|2.8222|EOH1|OH2|2.8275|EOH2|EG|NA||NAOL1|2.25982|ENAOL1|NAOL2|2.1645|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|8.648|11.493|1.249|1.659|AH-5|8.648|11.493|1.378|1.832|AH-4|5.233|6.955|1.624|2.159|AH-3.5|3.323|4.417|1.624|2.159|AH-3|3.323|4.417|1.805|2.399|AH-2.5|2.758|3.666|1.805|2.399|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.791|2.374|2.812|3.727|AH3|1.791|2.374|3.814|5.055|AH3.5|1.534|2.033|3.814|5.055|AH4|1.534|2.033|5.419|7.183|AH4.5|1.371|1.817|5.419|7.183|AH5|1.371|1.817|9.647|12.786|AH5.5|1.234|1.635|9.647|12.786||EAH||AHS||K-1.5|3.5506|7|1.52|7|EK-1.5||K21|5.10764|7|5.78196|7|EK21||K1.5|1.52|7|3.61617|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/netherlands/atp-hertogenbosch/bautista-agut-roberto-huesler-marc-andrea-Oh6c4ESH/#ah;2;-0.50;2","-0.5","1.93","1.88","","","","","1.93","1.88","","","","","","",""
"SM","0000003","20240610|162324","20240610_1938504_001837_035297","R04_2_NED_Libema Open - 's-Hertogenbosch","Bautista-Agut","Huesler","|K|0.486922|EK|G||OL1|2.2557|EOL1|OL2|2.145|EOL2|OH1|2.8222|EOH1|OH2|2.8275|EOH2|EG|NA||NAOL1|2.25982|ENAOL1|NAOL2|2.1645|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|8.648|11.493|1.249|1.659|AH-5|8.648|11.493|1.378|1.832|AH-4|5.233|6.955|1.624|2.159|AH-3.5|3.323|4.417|1.624|2.159|AH-3|3.323|4.417|1.805|2.399|AH-2.5|2.758|3.666|1.805|2.399|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.791|2.374|2.812|3.727|AH3|1.791|2.374|3.814|5.055|AH3.5|1.534|2.033|3.814|5.055|AH4|1.534|2.033|5.419|7.183|AH4.5|1.371|1.817|5.419|7.183|AH5|1.371|1.817|9.647|12.786|AH5.5|1.234|1.635|9.647|12.786||EAH||AHS||K-1.5|3.5506|7|1.52|7|EK-1.5||K21|5.10764|7|5.78196|7|EK21||K1.5|1.52|7|3.61617|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/netherlands/atp-hertogenbosch/bautista-agut-roberto-huesler-marc-andrea-Oh6c4ESH/#ah;2;-1.50;2","-1.5","2.12","1.74","","","2.15","1.67","2.15","1.74","","","","","","",""
"SM","0000003","20240610|162328","20240610_1938504_001837_035297","R04_2_NED_Libema Open - 's-Hertogenbosch","Bautista-Agut","Huesler","|K|0.486922|EK|G||OL1|2.2557|EOL1|OL2|2.145|EOL2|OH1|2.8222|EOH1|OH2|2.8275|EOH2|EG|NA||NAOL1|2.25982|ENAOL1|NAOL2|2.1645|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|8.648|11.493|1.249|1.659|AH-5|8.648|11.493|1.378|1.832|AH-4|5.233|6.955|1.624|2.159|AH-3.5|3.323|4.417|1.624|2.159|AH-3|3.323|4.417|1.805|2.399|AH-2.5|2.758|3.666|1.805|2.399|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.791|2.374|2.812|3.727|AH3|1.791|2.374|3.814|5.055|AH3.5|1.534|2.033|3.814|5.055|AH4|1.534|2.033|5.419|7.183|AH4.5|1.371|1.817|5.419|7.183|AH5|1.371|1.817|9.647|12.786|AH5.5|1.234|1.635|9.647|12.786||EAH||AHS||K-1.5|3.5506|7|1.52|7|EK-1.5||K21|5.10764|7|5.78196|7|EK21||K1.5|1.52|7|3.61617|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/netherlands/atp-hertogenbosch/bautista-agut-roberto-huesler-marc-andrea-Oh6c4ESH/#ah;2;1.50;1","1.5","1.4","3.0","","","1.34","3.2","1.4","3.2","","","","","","",""
"SM","0000003","20240610|162326","20240610_1938504_001837_035297","R04_2_NED_Libema Open - 's-Hertogenbosch","Bautista-Agut","Huesler","|K|0.486922|EK|G||OL1|2.2557|EOL1|OL2|2.145|EOL2|OH1|2.8222|EOH1|OH2|2.8275|EOH2|EG|NA||NAOL1|2.25982|ENAOL1|NAOL2|2.1645|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|8.648|11.493|1.249|1.659|AH-5|8.648|11.493|1.378|1.832|AH-4|5.233|6.955|1.624|2.159|AH-3.5|3.323|4.417|1.624|2.159|AH-3|3.323|4.417|1.805|2.399|AH-2.5|2.758|3.666|1.805|2.399|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.791|2.374|2.812|3.727|AH3|1.791|2.374|3.814|5.055|AH3.5|1.534|2.033|3.814|5.055|AH4|1.534|2.033|5.419|7.183|AH4.5|1.371|1.817|5.419|7.183|AH5|1.371|1.817|9.647|12.786|AH5.5|1.234|1.635|9.647|12.786||EAH||AHS||K-1.5|3.5506|7|1.52|7|EK-1.5||K21|5.10764|7|5.78196|7|EK21||K1.5|1.52|7|3.61617|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/netherlands/atp-hertogenbosch/bautista-agut-roberto-huesler-marc-andrea-Oh6c4ESH/#ah;2;-1.50;1","-1.5","3.09","1.38","","","3.2","1.34","3.2","1.38","","","","","","",""
"SM","0000003","20240610|162313","20240610_1938504_001837_035297","R04_2_NED_Libema Open - 's-Hertogenbosch","Bautista-Agut","Huesler","|K|0.486922|EK|G||OL1|2.2557|EOL1|OL2|2.145|EOL2|OH1|2.8222|EOH1|OH2|2.8275|EOH2|EG|NA||NAOL1|2.25982|ENAOL1|NAOL2|2.1645|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|8.648|11.493|1.249|1.659|AH-5|8.648|11.493|1.378|1.832|AH-4|5.233|6.955|1.624|2.159|AH-3.5|3.323|4.417|1.624|2.159|AH-3|3.323|4.417|1.805|2.399|AH-2.5|2.758|3.666|1.805|2.399|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.791|2.374|2.812|3.727|AH3|1.791|2.374|3.814|5.055|AH3.5|1.534|2.033|3.814|5.055|AH4|1.534|2.033|5.419|7.183|AH4.5|1.371|1.817|5.419|7.183|AH5|1.371|1.817|9.647|12.786|AH5.5|1.234|1.635|9.647|12.786||EAH||AHS||K-1.5|3.5506|7|1.52|7|EK-1.5||K21|5.10764|7|5.78196|7|EK21||K1.5|1.52|7|3.61617|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/netherlands/atp-hertogenbosch/bautista-agut-roberto-huesler-marc-andrea-Oh6c4ESH/","","1.87","1.95","","","1.9","1.9","1.9","1.96","","","","","","",""
