"FSM","0000055","20240611|083951","20240610_1980404_079061_065267","R04_0_SRB_M15 Kursumlijska Banja","Juhas","Zakaryia","|K|0.700984|EK|G||OL1|1.52152|EOL1|OL2|3.4304|EOL2|OH1|143|EOH1|OH2|5.025|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|219.662|219.662|218.769|218.769|AH-3.5|184.197|184.197|218.769|218.769|AH-3|184.197|184.197|252.256|252.256|AH-2.5|165.679|165.679|252.256|252.256|AH-2|165.679|165.679|274.649|274.649|AH-1.5|157.258|157.258|274.649|274.649||AH1.5|141.204|141.204|342.693|342.693|AH2|141.204|141.204|391.397|391.397|AH2.5|134.317|134.317|391.397|391.397|AH3|134.317|134.317|471.511|471.511|AH3.5|126.917|126.917|471.511|471.511|AH4|126.917|126.917|669.471|669.471|AH4.5|117.56|117.56|669.471|669.471|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","",""
"FSM","0000056","20240611|084006","20240610_1980304_072454_048872","R04_0_TUN_M15 Monastir","Elamin","Reco","|K|0.328559|EK|G||OL1|3.1232|EOL1|OL2|1.58536|EOL2|OH1|4.575|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|433.577|433.577|136.913|136.913|AH-3.5|370.906|370.906|136.913|136.913|AH-3|370.906|370.906|142.644|142.644|AH-2.5|334.499|334.499|142.644|142.644|AH-2|334.499|334.499|148.58|148.58|AH-1.5|305.846|305.846|148.58|148.58||AH1.5|254.074|254.074|164.904|164.904|AH2|254.074|254.074|171.799|171.799|AH2.5|239.277|239.277|171.799|171.799|AH3|239.277|239.277|188.728|188.728|AH3.5|212.705|212.705|188.728|188.728|AH4|212.705|212.705|218.923|218.923|AH4.5|184.088|184.088|218.923|218.923|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-24-men/elamin-ammar-reco-alexandre-zZQIzyhl/#ah;2;4.00;2","4.0","","","","","","","1.75","1.95","","","","","","",""
"FSM","0000056","20240611|084003","20240610_1980304_072454_048872","R04_0_TUN_M15 Monastir","Elamin","Reco","|K|0.328559|EK|G||OL1|3.1232|EOL1|OL2|1.58536|EOL2|OH1|4.575|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|433.577|433.577|136.913|136.913|AH-3.5|370.906|370.906|136.913|136.913|AH-3|370.906|370.906|142.644|142.644|AH-2.5|334.499|334.499|142.644|142.644|AH-2|334.499|334.499|148.58|148.58|AH-1.5|305.846|305.846|148.58|148.58||AH1.5|254.074|254.074|164.904|164.904|AH2|254.074|254.074|171.799|171.799|AH2.5|239.277|239.277|171.799|171.799|AH3|239.277|239.277|188.728|188.728|AH3.5|212.705|212.705|188.728|188.728|AH4|212.705|212.705|218.923|218.923|AH4.5|184.088|184.088|218.923|218.923|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-24-men/elamin-ammar-reco-alexandre-zZQIzyhl/#ah;2;3.50;2","3.5","","","","","","","1.91","1.79","","","","","","",""
"FSM","0000056","20240611|084009","20240610_1980304_072454_048872","R04_0_TUN_M15 Monastir","Elamin","Reco","|K|0.328559|EK|G||OL1|3.1232|EOL1|OL2|1.58536|EOL2|OH1|4.575|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|433.577|433.577|136.913|136.913|AH-3.5|370.906|370.906|136.913|136.913|AH-3|370.906|370.906|142.644|142.644|AH-2.5|334.499|334.499|142.644|142.644|AH-2|334.499|334.499|148.58|148.58|AH-1.5|305.846|305.846|148.58|148.58||AH1.5|254.074|254.074|164.904|164.904|AH2|254.074|254.074|171.799|171.799|AH2.5|239.277|239.277|171.799|171.799|AH3|239.277|239.277|188.728|188.728|AH3.5|212.705|212.705|188.728|188.728|AH4|212.705|212.705|218.923|218.923|AH4.5|184.088|184.088|218.923|218.923|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-24-men/elamin-ammar-reco-alexandre-zZQIzyhl/#ah;2;1.50;1","1.5","","","","","","","","","","","","","","",""
"FSM","0000056","20240611|084007","20240610_1980304_072454_048872","R04_0_TUN_M15 Monastir","Elamin","Reco","|K|0.328559|EK|G||OL1|3.1232|EOL1|OL2|1.58536|EOL2|OH1|4.575|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|433.577|433.577|136.913|136.913|AH-3.5|370.906|370.906|136.913|136.913|AH-3|370.906|370.906|142.644|142.644|AH-2.5|334.499|334.499|142.644|142.644|AH-2|334.499|334.499|148.58|148.58|AH-1.5|305.846|305.846|148.58|148.58||AH1.5|254.074|254.074|164.904|164.904|AH2|254.074|254.074|171.799|171.799|AH2.5|239.277|239.277|171.799|171.799|AH3|239.277|239.277|188.728|188.728|AH3.5|212.705|212.705|188.728|188.728|AH4|212.705|212.705|218.923|218.923|AH4.5|184.088|184.088|218.923|218.923|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-24-men/elamin-ammar-reco-alexandre-zZQIzyhl/#ah;2;-1.50;1","-1.5","","","","","","","","","","","","","","",""
"FSM","0000056","20240611|083955","20240610_1980304_072454_048872","R04_0_TUN_M15 Monastir","Elamin","Reco","|K|0.328559|EK|G||OL1|3.1232|EOL1|OL2|1.58536|EOL2|OH1|4.575|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|433.577|433.577|136.913|136.913|AH-3.5|370.906|370.906|136.913|136.913|AH-3|370.906|370.906|142.644|142.644|AH-2.5|334.499|334.499|142.644|142.644|AH-2|334.499|334.499|148.58|148.58|AH-1.5|305.846|305.846|148.58|148.58||AH1.5|254.074|254.074|164.904|164.904|AH2|254.074|254.074|171.799|171.799|AH2.5|239.277|239.277|171.799|171.799|AH3|239.277|239.277|188.728|188.728|AH3.5|212.705|212.705|188.728|188.728|AH4|212.705|212.705|218.923|218.923|AH4.5|184.088|184.088|218.923|218.923|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-24-men/elamin-ammar-reco-alexandre-zZQIzyhl/","","","","","","","","2.6","1.44","","","","","","",""
"CDM","0000057","20240611|084012","20240610_1976904_111733_056738","R04_1_FRA_Lyon Challenger","Uzhylovskyi/Wenger","Gaston/Tabur","|K|0.414218|EK|G||OL1|2.46114|EOL1|OL2|1.7218|EOL2|OH1|242|EOH1|OH2|2.565|EOH2|EG|NA||NAOL1|2.62086|ENAOL1|NAOL2|1.88613|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/lyon-challenger-men-doubles/uzhylovsky-volodymyr-wenger-damian-gaston-hugo-tabur-clement-v3icKigK/","","","","","","","","","","","","","","","",""
"CDM","0000058","20240611|084017","20240610_1976704_102789_043482","R04_1_ITA_Perugia Challenger","Romboli/Zormann Da Silva","Lock/Lock","|K|0.676675|EK|G||OL1|1.49021|EOL1|OL2|3.1527|EOL2|OH1|2.22|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.63244|ENAOL1|NAOL2|3.3573|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/italy/perugia-challenger-men-doubles/romboli-fernando-zormann-da-silva-marcelo-lock-benjamin-lock-courtney-john-GvH7FJEL/","","","","","","","","1.35","2.95","","","","","","",""
"DV","0000059","20240611|084021","20240610_1522804_086356_076348","R04_2_NED_Libema Open - 's-Hertogenbosch","Kalashnikova/Sizikova","Alexandrova/Kudermetova","|K|0.211508|EK|G||OL1|4.96177|EOL1|OL2|1.29413|EOL2|OH1|1|EOH1|OH2|127|EOH2|EG|NA||NAOL1|5.3449|ENAOL1|NAOL2|1.2954|ENAOL2|NAVE1|-8.5|ENAVE1|NAVE2|-3.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch-doubles/kalashnikova-oksana-sizikova-yana-alexandrova-ekaterina-kudermetova-veronika-CUhVxCN6/","","","","","","","","2.75","1.4","","","","","","",""
"CSM","0000060","20240611|084033","20240610_1976904_014716_021464","R04_1_FRA_Lyon Challenger","Basilashvili","Ritschard","|K|0.325145|EK|G||OL1|3.2802|EOL1|OL2|1.57195|EOL2|OH1|1|EOH1|OH2|149|EOH2|EG|NA||NAOL1|3.4188|ENAOL1|NAOL2|1.57195|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|5.96|562.306|1000|1000|AH-2.5|4.437|418.621|1000|1000|AH-2|4.437|418.621|1000|1000|AH-1.5|3.992|376.619|1000|1000||AH1.5|3.133|284.798|1000|1000|AH2|3.133|284.798|1000|1000|AH2.5|2.782|252.941|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.79575|1|1.54|6|EK-1.5||K21|6.37894|1|4.50017|6|EK21||K1.5|1.91282|6|2.45922|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/lyon-challenger-men/basilashvili-nikoloz-ritschard-alexander-KWgGrz6F/#ah;2;3.50;2","3.5","1.78","2.05","","","","","1.78","2.05","","","","","","",""
"CSM","0000060","20240611|084035","20240610_1976904_014716_021464","R04_1_FRA_Lyon Challenger","Basilashvili","Ritschard","|K|0.325145|EK|G||OL1|3.2802|EOL1|OL2|1.57195|EOL2|OH1|1|EOH1|OH2|149|EOH2|EG|NA||NAOL1|3.4188|ENAOL1|NAOL2|1.57195|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|5.96|562.306|1000|1000|AH-2.5|4.437|418.621|1000|1000|AH-2|4.437|418.621|1000|1000|AH-1.5|3.992|376.619|1000|1000||AH1.5|3.133|284.798|1000|1000|AH2|3.133|284.798|1000|1000|AH2.5|2.782|252.941|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.79575|1|1.54|6|EK-1.5||K21|6.37894|1|4.50017|6|EK21||K1.5|1.91282|6|2.45922|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/lyon-challenger-men/basilashvili-nikoloz-ritschard-alexander-KWgGrz6F/#ah;2;2.50;2","2.5","2.01","1.81","","","","","2.01","1.81","","","","","","",""
