"FSM","0000008","20240612|112941","20240610_1980204_027082_052135","R04_0_USA_M15 San Diego","Altamirano","Bulus","|K|0.632268|EK|G||OL1|1.69176|EOL1|OL2|2.78528|EOL2|OH1|159|EOH1|OH2|4.08|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|236.094|236.094|199.943|199.943|AH-3.5|200.057|200.057|199.943|199.943|AH-3|200.057|200.057|219.93|219.93|AH-2.5|183.382|183.382|219.93|219.93|AH-2|183.382|183.382|238.245|238.245|AH-1.5|172.335|172.335|238.245|238.245||AH1.5|153.196|153.196|287.983|287.983|AH2|153.196|153.196|312.609|312.609|AH2.5|147.035|147.035|312.609|312.609|AH3|147.035|147.035|366.323|366.323|AH3.5|137.548|137.548|366.323|366.323|AH4|137.548|137.548|463.241|463.241|AH4.5|127.53|127.53|463.241|463.241|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-m15-san-diego-ca-3-men/altamirano-collin-bulus-christopher-Uguc7A75/","","","","","","","","1.35","2.95","","","","","","",""
"FSM","0000009","20240612|113002","20240610_1979104_027111_036896","R04_0_USA_M25 Wichita","Escobedo","Kissell","|K|0.975025|EK|G||OL1|1.15|EOL1|OL2|41.001|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|150.057|150.057|484.399|484.399|AH-3.5|126.015|126.015|484.399|484.399|AH-3|126.015|126.015|816.462|816.462|AH-2.5|113.957|113.957|816.462|816.462|AH-2|113.957|113.957|1328.72|1328.72|AH-1.5|108.139|108.139|1328.72|1328.72||AH1.5|100.206|100.206|48617|48617|AH2|100.206|100.206|1e+006|1e+006|AH2.5|100.01|100.01|1e+006|1e+006|AH3|100.01|100.01|1e+006|1e+006|AH3.5|100.01|100.01|1e+006|1e+006|AH4|100.01|100.01|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-wichita-ks-men/escobedo-ernesto-kissell-chad-rF6Ro84l/#ah;2;-5.00;2","-5.0","","","","","","","","","","","","","","",""
"FSM","0000009","20240612|113000","20240610_1979104_027111_036896","R04_0_USA_M25 Wichita","Escobedo","Kissell","|K|0.975025|EK|G||OL1|1.15|EOL1|OL2|41.001|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|150.057|150.057|484.399|484.399|AH-3.5|126.015|126.015|484.399|484.399|AH-3|126.015|126.015|816.462|816.462|AH-2.5|113.957|113.957|816.462|816.462|AH-2|113.957|113.957|1328.72|1328.72|AH-1.5|108.139|108.139|1328.72|1328.72||AH1.5|100.206|100.206|48617|48617|AH2|100.206|100.206|1e+006|1e+006|AH2.5|100.01|100.01|1e+006|1e+006|AH3|100.01|100.01|1e+006|1e+006|AH3.5|100.01|100.01|1e+006|1e+006|AH4|100.01|100.01|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-wichita-ks-men/escobedo-ernesto-kissell-chad-rF6Ro84l/#ah;2;-6.50;2","-6.5","","","","","","","","","","","","","","",""
"FSM","0000009","20240612|113003","20240610_1979104_027111_036896","R04_0_USA_M25 Wichita","Escobedo","Kissell","|K|0.975025|EK|G||OL1|1.15|EOL1|OL2|41.001|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|150.057|150.057|484.399|484.399|AH-3.5|126.015|126.015|484.399|484.399|AH-3|126.015|126.015|816.462|816.462|AH-2.5|113.957|113.957|816.462|816.462|AH-2|113.957|113.957|1328.72|1328.72|AH-1.5|108.139|108.139|1328.72|1328.72||AH1.5|100.206|100.206|48617|48617|AH2|100.206|100.206|1e+006|1e+006|AH2.5|100.01|100.01|1e+006|1e+006|AH3|100.01|100.01|1e+006|1e+006|AH3.5|100.01|100.01|1e+006|1e+006|AH4|100.01|100.01|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-wichita-ks-men/escobedo-ernesto-kissell-chad-rF6Ro84l/#ah;2;-1.50;1","-1.5","","","","","","","","","","","","","","",""
"FSM","0000009","20240612|112951","20240610_1979104_027111_036896","R04_0_USA_M25 Wichita","Escobedo","Kissell","|K|0.975025|EK|G||OL1|1.15|EOL1|OL2|41.001|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|150.057|150.057|484.399|484.399|AH-3.5|126.015|126.015|484.399|484.399|AH-3|126.015|126.015|816.462|816.462|AH-2.5|113.957|113.957|816.462|816.462|AH-2|113.957|113.957|1328.72|1328.72|AH-1.5|108.139|108.139|1328.72|1328.72||AH1.5|100.206|100.206|48617|48617|AH2|100.206|100.206|1e+006|1e+006|AH2.5|100.01|100.01|1e+006|1e+006|AH3|100.01|100.01|1e+006|1e+006|AH3.5|100.01|100.01|1e+006|1e+006|AH4|100.01|100.01|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-wichita-ks-men/escobedo-ernesto-kissell-chad-rF6Ro84l/","","","","","","","","1.08","6.7","","","","","","",""
"FSM","0000010","20240612|113016","20240610_1979104_011522_029937","R04_0_USA_M25 Wichita","Tomic","Rybakov","|K|0.712839|EK|G||OL1|1.50024|EOL1|OL2|3.57376|EOL2|OH1|141|EOH1|OH2|5.235|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|228.069|228.069|222.928|222.928|AH-3.5|181.348|181.348|222.928|222.928|AH-3|181.348|181.348|263.551|263.551|AH-2.5|161.143|161.143|263.551|263.551|AH-2|161.143|161.143|296.898|296.898|AH-1.5|150.788|150.788|296.898|296.898||AH1.5|135.042|135.042|385.369|385.369|AH2|135.042|135.042|442.081|442.081|AH2.5|129.233|129.233|442.081|442.081|AH3|129.233|129.233|552.359|552.359|AH3.5|122.106|122.106|552.359|552.359|AH4|122.106|122.106|792.817|792.817|AH4.5|114.434|114.434|792.817|792.817|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-wichita-ks-men/tomic-bernard-rybakov-alex-AJJgksBt/#ah;2;-2.50;2","-2.5","1.78","1.94","","","","","1.82","1.94","","","","","","",""
"FSM","0000010","20240612|113018","20240610_1979104_011522_029937","R04_0_USA_M25 Wichita","Tomic","Rybakov","|K|0.712839|EK|G||OL1|1.50024|EOL1|OL2|3.57376|EOL2|OH1|141|EOH1|OH2|5.235|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|228.069|228.069|222.928|222.928|AH-3.5|181.348|181.348|222.928|222.928|AH-3|181.348|181.348|263.551|263.551|AH-2.5|161.143|161.143|263.551|263.551|AH-2|161.143|161.143|296.898|296.898|AH-1.5|150.788|150.788|296.898|296.898||AH1.5|135.042|135.042|385.369|385.369|AH2|135.042|135.042|442.081|442.081|AH2.5|129.233|129.233|442.081|442.081|AH3|129.233|129.233|552.359|552.359|AH3.5|122.106|122.106|552.359|552.359|AH4|122.106|122.106|792.817|792.817|AH4.5|114.434|114.434|792.817|792.817|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-wichita-ks-men/tomic-bernard-rybakov-alex-AJJgksBt/#ah;2;-3.50;2","-3.5","2.12","1.66","","","","","2.12","1.66","","","","","","",""
"FSM","0000010","20240612|113022","20240610_1979104_011522_029937","R04_0_USA_M25 Wichita","Tomic","Rybakov","|K|0.712839|EK|G||OL1|1.50024|EOL1|OL2|3.57376|EOL2|OH1|141|EOH1|OH2|5.235|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|228.069|228.069|222.928|222.928|AH-3.5|181.348|181.348|222.928|222.928|AH-3|181.348|181.348|263.551|263.551|AH-2.5|161.143|161.143|263.551|263.551|AH-2|161.143|161.143|296.898|296.898|AH-1.5|150.788|150.788|296.898|296.898||AH1.5|135.042|135.042|385.369|385.369|AH2|135.042|135.042|442.081|442.081|AH2.5|129.233|129.233|442.081|442.081|AH3|129.233|129.233|552.359|552.359|AH3.5|122.106|122.106|552.359|552.359|AH4|122.106|122.106|792.817|792.817|AH4.5|114.434|114.434|792.817|792.817|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-wichita-ks-men/tomic-bernard-rybakov-alex-AJJgksBt/#ah;2;1.50;1","1.5","1.22","3.87","","","","","1.22","3.9","","","","","","",""
"FSM","0000010","20240612|113020","20240610_1979104_011522_029937","R04_0_USA_M25 Wichita","Tomic","Rybakov","|K|0.712839|EK|G||OL1|1.50024|EOL1|OL2|3.57376|EOL2|OH1|141|EOH1|OH2|5.235|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|228.069|228.069|222.928|222.928|AH-3.5|181.348|181.348|222.928|222.928|AH-3|181.348|181.348|263.551|263.551|AH-2.5|161.143|161.143|263.551|263.551|AH-2|161.143|161.143|296.898|296.898|AH-1.5|150.788|150.788|296.898|296.898||AH1.5|135.042|135.042|385.369|385.369|AH2|135.042|135.042|442.081|442.081|AH2.5|129.233|129.233|442.081|442.081|AH3|129.233|129.233|552.359|552.359|AH3.5|122.106|122.106|552.359|552.359|AH4|122.106|122.106|792.817|792.817|AH4.5|114.434|114.434|792.817|792.817|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-wichita-ks-men/tomic-bernard-rybakov-alex-AJJgksBt/#ah;2;-1.50;1","-1.5","2.17","1.63","","","","","2.27","1.63","","","","","","",""
"FSM","0000010","20240612|113007","20240610_1979104_011522_029937","R04_0_USA_M25 Wichita","Tomic","Rybakov","|K|0.712839|EK|G||OL1|1.50024|EOL1|OL2|3.57376|EOL2|OH1|141|EOH1|OH2|5.235|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|228.069|228.069|222.928|222.928|AH-3.5|181.348|181.348|222.928|222.928|AH-3|181.348|181.348|263.551|263.551|AH-2.5|161.143|161.143|263.551|263.551|AH-2|161.143|161.143|296.898|296.898|AH-1.5|150.788|150.788|296.898|296.898||AH1.5|135.042|135.042|385.369|385.369|AH2|135.042|135.042|442.081|442.081|AH2.5|129.233|129.233|442.081|442.081|AH3|129.233|129.233|552.359|552.359|AH3.5|122.106|122.106|552.359|552.359|AH4|122.106|122.106|792.817|792.817|AH4.5|114.434|114.434|792.817|792.817|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-wichita-ks-men/tomic-bernard-rybakov-alex-AJJgksBt/","","1.5","2.45","","","","","1.5","2.45","","","","","","",""
"CDM","0000012","20240612|113029","20240610_1977004_072292_088789","R04_1_PER_Lima 1 Challenger","Gimenez/Reis Da Silva","Aboian/Aboian","|K|0.371297|EK|G||OL1|2.7459|EOL1|OL2|1.61104|EOL2|OH1|270|EOH1|OH2|2.4|EOH2|EG|NA||NAOL1|2.9241|ENAOL1|NAOL2|1.7648|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/peru/lima-challenger-men-doubles/gimenez-igor-reis-da-silva-joao-lucas-aboian-leonardo-aboian-valerio-lWiDFqOh/","","","","","","","","3.4","1.28","","","","","","",""
