"DM","0000007","20240615|170052","20240617_1938704_108280_063508","R04_2_GER_Terra Wortmann Open - Halle","Glasspool/Rojer","Krawietz/Puetz","|K|0.492322|EK|G||OL1|2.2134|EOL1|OL2|2.13745|EOL2|OH1|204|EOH1|OH2|197|EOH2|EG|NA||NAOL1|2.3154|ENAOL1|NAOL2|2.23595|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-2|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/germany/atp-halle-doubles/glasspool-lloyd-rojer-jean-julien-krawietz-kevin-puetz-tim-4ls8gTO6/","","","","2.1","1.65","","","","","2.1","1.73","","","","","","",""
"DM","0000008","20240615|170056","20240617_1938704_074126_086531","R04_2_GER_Terra Wortmann Open - Halle","Rublev/Zverev","Hanfmann/Koepfer","|K|0.742587|EK|G||OL1|1.46475|EOL1|OL2|4.02615|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.53225|ENAOL1|NAOL2|4.2401|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/germany/atp-halle-doubles/rublev-andrey-zverev-alexander-hanfmann-yannick-koepfer-dominik-M5kicBPs/","","","","1.31","3.15","","","","","1.33","3.15","","","","","","",""
"SV","0000009","20240615|170111","20240610_1522810_014054_024368","R10_2_NED_Libema Open - 's-Hertogenbosch","Alexandrova","Samsonova","|K|0.441999|EK|G||OL1|2.29043|EOL1|OL2|2.016|EOL2|OH1|227|EOH1|OH2|180|EOH2|EG|NA||NAOL1|2.47657|ENAOL1|NAOL2|2.016|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|9.052|10.796|1.239|1.478|AH-5|9.052|10.796|1.395|1.663|AH-4|4.989|5.95|1.557|1.857|AH-3.5|3.633|4.333|1.557|1.857|AH-3|3.633|4.333|1.659|1.978|AH-2.5|3.18|3.792|1.659|1.978|AH-2|3.18|3.792|1.733|2.066|AH-1.5|2.939|3.505|1.733|2.066||AH1.5|2.433|222.162|1.991|181.858|AH2|2.433|222.162|2.212|202.039|AH2.5|2.168|198.002|2.212|202.039|AH3|2.168|198.002|2.673|244.13|AH3.5|1.855|169.382|2.673|244.13|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.0932|5.5|1.43734|1|EK-1.5||K21|6.58028|5.5|5.87653|5.5|EK21||K1.5|1.62326|1|3.17397|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch/alexandrova-ekaterina-samsonova-liudmila-Uwu2iS2k/#ah;2;2.50;2","2.5","","","1.62","2.15","","","","","1.66","2.23","","","","","","",""
"SV","0000009","20240615|170108","20240610_1522810_014054_024368","R10_2_NED_Libema Open - 's-Hertogenbosch","Alexandrova","Samsonova","|K|0.441999|EK|G||OL1|2.29043|EOL1|OL2|2.016|EOL2|OH1|227|EOH1|OH2|180|EOH2|EG|NA||NAOL1|2.47657|ENAOL1|NAOL2|2.016|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|9.052|10.796|1.239|1.478|AH-5|9.052|10.796|1.395|1.663|AH-4|4.989|5.95|1.557|1.857|AH-3.5|3.633|4.333|1.557|1.857|AH-3|3.633|4.333|1.659|1.978|AH-2.5|3.18|3.792|1.659|1.978|AH-2|3.18|3.792|1.733|2.066|AH-1.5|2.939|3.505|1.733|2.066||AH1.5|2.433|222.162|1.991|181.858|AH2|2.433|222.162|2.212|202.039|AH2.5|2.168|198.002|2.212|202.039|AH3|2.168|198.002|2.673|244.13|AH3.5|1.855|169.382|2.673|244.13|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.0932|5.5|1.43734|1|EK-1.5||K21|6.58028|5.5|5.87653|5.5|EK21||K1.5|1.62326|1|3.17397|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch/alexandrova-ekaterina-samsonova-liudmila-Uwu2iS2k/#ah;2;1.50;2","1.5","1.81","2.07","1.75","1.95","","","1.85","1.93","1.85","2.07","","","","","","",""
"SV","0000009","20240615|170115","20240610_1522810_014054_024368","R10_2_NED_Libema Open - 's-Hertogenbosch","Alexandrova","Samsonova","|K|0.441999|EK|G||OL1|2.29043|EOL1|OL2|2.016|EOL2|OH1|227|EOH1|OH2|180|EOH2|EG|NA||NAOL1|2.47657|ENAOL1|NAOL2|2.016|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|9.052|10.796|1.239|1.478|AH-5|9.052|10.796|1.395|1.663|AH-4|4.989|5.95|1.557|1.857|AH-3.5|3.633|4.333|1.557|1.857|AH-3|3.633|4.333|1.659|1.978|AH-2.5|3.18|3.792|1.659|1.978|AH-2|3.18|3.792|1.733|2.066|AH-1.5|2.939|3.505|1.733|2.066||AH1.5|2.433|222.162|1.991|181.858|AH2|2.433|222.162|2.212|202.039|AH2.5|2.168|198.002|2.212|202.039|AH3|2.168|198.002|2.673|244.13|AH3.5|1.855|169.382|2.673|244.13|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.0932|5.5|1.43734|1|EK-1.5||K21|6.58028|5.5|5.87653|5.5|EK21||K1.5|1.62326|1|3.17397|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch/alexandrova-ekaterina-samsonova-liudmila-Uwu2iS2k/#ah;2;1.50;1","1.5","1.42","3.02","1.38","2.8","","","1.42","2.85","1.43","3.02","","","","","","",""
"SV","0000009","20240615|170113","20240610_1522810_014054_024368","R10_2_NED_Libema Open - 's-Hertogenbosch","Alexandrova","Samsonova","|K|0.441999|EK|G||OL1|2.29043|EOL1|OL2|2.016|EOL2|OH1|227|EOH1|OH2|180|EOH2|EG|NA||NAOL1|2.47657|ENAOL1|NAOL2|2.016|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|9.052|10.796|1.239|1.478|AH-5|9.052|10.796|1.395|1.663|AH-4|4.989|5.95|1.557|1.857|AH-3.5|3.633|4.333|1.557|1.857|AH-3|3.633|4.333|1.659|1.978|AH-2.5|3.18|3.792|1.659|1.978|AH-2|3.18|3.792|1.733|2.066|AH-1.5|2.939|3.505|1.733|2.066||AH1.5|2.433|222.162|1.991|181.858|AH2|2.433|222.162|2.212|202.039|AH2.5|2.168|198.002|2.212|202.039|AH3|2.168|198.002|2.673|244.13|AH3.5|1.855|169.382|2.673|244.13|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.0932|5.5|1.43734|1|EK-1.5||K21|6.58028|5.5|5.87653|5.5|EK21||K1.5|1.62326|1|3.17397|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch/alexandrova-ekaterina-samsonova-liudmila-Uwu2iS2k/#ah;2;-1.50;1","-1.5","3.39","1.35","3.15","1.31","","","3.5","1.3","3.5","1.35","","","","","","",""
"SV","0000009","20240615|170100","20240610_1522810_014054_024368","R10_2_NED_Libema Open - 's-Hertogenbosch","Alexandrova","Samsonova","|K|0.441999|EK|G||OL1|2.29043|EOL1|OL2|2.016|EOL2|OH1|227|EOH1|OH2|180|EOH2|EG|NA||NAOL1|2.47657|ENAOL1|NAOL2|2.016|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|9.052|10.796|1.239|1.478|AH-5|9.052|10.796|1.395|1.663|AH-4|4.989|5.95|1.557|1.857|AH-3.5|3.633|4.333|1.557|1.857|AH-3|3.633|4.333|1.659|1.978|AH-2.5|3.18|3.792|1.659|1.978|AH-2|3.18|3.792|1.733|2.066|AH-1.5|2.939|3.505|1.733|2.066||AH1.5|2.433|222.162|1.991|181.858|AH2|2.433|222.162|2.212|202.039|AH2.5|2.168|198.002|2.212|202.039|AH3|2.168|198.002|2.673|244.13|AH3.5|1.855|169.382|2.673|244.13|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.0932|5.5|1.43734|1|EK-1.5||K21|6.58028|5.5|5.87653|5.5|EK21||K1.5|1.62326|1|3.17397|5.5|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch/alexandrova-ekaterina-samsonova-liudmila-Uwu2iS2k/","","2.01","1.88","1.9","1.8","","","2.08","1.75","2.08","1.88","","","","","","",""
"CSV","0000010","20240615|170128","20240610_1554012_006744_067639","R12_1_CHN_W50 Taizhou","Lu","Shi","|K|0.437601|EK|G||OL1|2.34725|EOL1|OL2|1.8957|EOL2|OH1|3.0457|EOH1|OH2|2.492|EOH2|EG|NA|NOT|ENA||AH-5.5|3.212|313.691|1.503|146.797|AH-5|3.212|313.691|1.649|161.08|AH-4|2.701|263.721|1.99|194.292|AH-3.5|2.11|206.054|1.99|194.292|AH-3|2.11|206.054|2.269|221.6|AH-2.5|1.866|182.237|2.269|221.6|AH-2|1.866|182.237|2.347|229.164|AH-1.5|1.817|177.421|2.347|229.164||AH1.5|1.796|172.223|2.487|238.46|AH2|1.796|172.223|2.9|278.081|AH2.5|1.629|156.154|2.9|278.081|AH3|1.629|156.154|3.137|300.784|AH3.5|1.562|149.805|3.137|300.784|AH4|1.562|149.805|3.424|328.279|AH4.5|1.5|143.806|3.424|328.279|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.09814|5.6|1.5|5.6|EK-1.5||K21|6.23823|5.6|6.99534|5.6|EK21||K1.5|1.65495|5.6|3.14386|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/itf-w50-taizhou-women/lu-jia-jing-shi-han-j9PonHt0/#ah;2;1.50;2","1.5","1.81","1.95","1.73","1.97","","","","","1.81","1.98","","","","","","",""
"CSV","0000010","20240615|170126","20240610_1554012_006744_067639","R12_1_CHN_W50 Taizhou","Lu","Shi","|K|0.437601|EK|G||OL1|2.34725|EOL1|OL2|1.8957|EOL2|OH1|3.0457|EOH1|OH2|2.492|EOH2|EG|NA|NOT|ENA||AH-5.5|3.212|313.691|1.503|146.797|AH-5|3.212|313.691|1.649|161.08|AH-4|2.701|263.721|1.99|194.292|AH-3.5|2.11|206.054|1.99|194.292|AH-3|2.11|206.054|2.269|221.6|AH-2.5|1.866|182.237|2.269|221.6|AH-2|1.866|182.237|2.347|229.164|AH-1.5|1.817|177.421|2.347|229.164||AH1.5|1.796|172.223|2.487|238.46|AH2|1.796|172.223|2.9|278.081|AH2.5|1.629|156.154|2.9|278.081|AH3|1.629|156.154|3.137|300.784|AH3.5|1.562|149.805|3.137|300.784|AH4|1.562|149.805|3.424|328.279|AH4.5|1.5|143.806|3.424|328.279|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.09814|5.6|1.5|5.6|EK-1.5||K21|6.23823|5.6|6.99534|5.6|EK21||K1.5|1.65495|5.6|3.14386|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/itf-w50-taizhou-women/lu-jia-jing-shi-han-j9PonHt0/#ah;2;0.50;2","0.5","1.92","1.84","1.81","1.89","","","","","1.92","1.89","","","","","","",""
"CSV","0000010","20240615|170132","20240610_1554012_006744_067639","R12_1_CHN_W50 Taizhou","Lu","Shi","|K|0.437601|EK|G||OL1|2.34725|EOL1|OL2|1.8957|EOL2|OH1|3.0457|EOH1|OH2|2.492|EOH2|EG|NA|NOT|ENA||AH-5.5|3.212|313.691|1.503|146.797|AH-5|3.212|313.691|1.649|161.08|AH-4|2.701|263.721|1.99|194.292|AH-3.5|2.11|206.054|1.99|194.292|AH-3|2.11|206.054|2.269|221.6|AH-2.5|1.866|182.237|2.269|221.6|AH-2|1.866|182.237|2.347|229.164|AH-1.5|1.817|177.421|2.347|229.164||AH1.5|1.796|172.223|2.487|238.46|AH2|1.796|172.223|2.9|278.081|AH2.5|1.629|156.154|2.9|278.081|AH3|1.629|156.154|3.137|300.784|AH3.5|1.562|149.805|3.137|300.784|AH4|1.562|149.805|3.424|328.279|AH4.5|1.5|143.806|3.424|328.279|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.09814|5.6|1.5|5.6|EK-1.5||K21|6.23823|5.6|6.99534|5.6|EK21||K1.5|1.65495|5.6|3.14386|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/itf-w50-taizhou-women/lu-jia-jing-shi-han-j9PonHt0/#ah;2;1.50;1","1.5","1.41","2.79","1.4","2.7","","","","","1.41","2.79","","","","","","",""
"CSV","0000010","20240615|170130","20240610_1554012_006744_067639","R12_1_CHN_W50 Taizhou","Lu","Shi","|K|0.437601|EK|G||OL1|2.34725|EOL1|OL2|1.8957|EOL2|OH1|3.0457|EOH1|OH2|2.492|EOH2|EG|NA|NOT|ENA||AH-5.5|3.212|313.691|1.503|146.797|AH-5|3.212|313.691|1.649|161.08|AH-4|2.701|263.721|1.99|194.292|AH-3.5|2.11|206.054|1.99|194.292|AH-3|2.11|206.054|2.269|221.6|AH-2.5|1.866|182.237|2.269|221.6|AH-2|1.866|182.237|2.347|229.164|AH-1.5|1.817|177.421|2.347|229.164||AH1.5|1.796|172.223|2.487|238.46|AH2|1.796|172.223|2.9|278.081|AH2.5|1.629|156.154|2.9|278.081|AH3|1.629|156.154|3.137|300.784|AH3.5|1.562|149.805|3.137|300.784|AH4|1.562|149.805|3.424|328.279|AH4.5|1.5|143.806|3.424|328.279|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.09814|5.6|1.5|5.6|EK-1.5||K21|6.23823|5.6|6.99534|5.6|EK21||K1.5|1.65495|5.6|3.14386|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/itf-w50-taizhou-women/lu-jia-jing-shi-han-j9PonHt0/#ah;2;-1.50;1","-1.5","3.11","1.34","3.05","1.33","","","","","3.11","1.34","","","","","","",""
