"CDM","0000007","20240621|170152","20240617_1977112_099470_110808","R12_1_GBR_Ilkley Challenger","King/Stalder","Harrison/Martin","|K|0.516317|EK|G||OL1|1.97298|EOL1|OL2|2.10519|EOL2|OH1|194|EOH1|OH2|207|EOH2|EG|NA||NAOL1|2.10102|ENAOL1|NAOL2|2.24181|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/ilkley-challenger-men-doubles/king-evan-stalder-reese-harrison-christian-martin-fabrice-jkTEkoiI/","","","","1.84","1.86","","","","","1.87","1.87","","","","","","",""
"CSV","0000009","20240621|170211","20240617_1555510_076098_014744","R10_1_CHN_W35 Luzhou","Yao","Liu","|K|0.471304|EK|G||OL1|2.18325|EOL1|OL2|2.0235|EOL2|OH1|2.8329|EOH1|OH2|2.66|EOH2|EG|NA|NOT|ENA||AH-5.5|4.089|399.292|1.366|133.412|AH-5|4.089|399.292|1.505|146.945|AH-4|3.205|313.014|1.677|163.789|AH-3.5|2.629|256.768|1.677|163.789|AH-3|2.629|256.768|1.85|180.628|AH-2.5|2.294|224.026|1.85|180.628|AH-2|2.294|224.026|1.834|179.111|AH-1.5|2.318|226.404|1.834|179.111||AH1.5|2.106|201.921|2.066|198.116|AH2|2.106|201.921|2.2|210.939|AH2.5|1.983|190.14|2.2|210.939|AH3|1.983|190.14|2.207|211.6|AH3.5|1.978|189.606|2.207|211.6|AH4|1.978|189.606|2.401|230.23|AH4.5|1.844|176.787|2.401|230.23|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.88679|5.6|1.5|5.6|EK-1.5||K21|6.71811|5.6|6.47854|5.6|EK21||K1.5|1.61402|5.6|3.28025|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/itf-w35-luzhou-women/yao-xinxin-liu-fangzhou-OEuMCe9c/#ah;2;0.50;2","0.5","1.88","1.88","1.89","1.81","","","","","1.89","1.88","","","","","","",""
"CSV","0000009","20240621|170214","20240617_1555510_076098_014744","R10_1_CHN_W35 Luzhou","Yao","Liu","|K|0.471304|EK|G||OL1|2.18325|EOL1|OL2|2.0235|EOL2|OH1|2.8329|EOH1|OH2|2.66|EOH2|EG|NA|NOT|ENA||AH-5.5|4.089|399.292|1.366|133.412|AH-5|4.089|399.292|1.505|146.945|AH-4|3.205|313.014|1.677|163.789|AH-3.5|2.629|256.768|1.677|163.789|AH-3|2.629|256.768|1.85|180.628|AH-2.5|2.294|224.026|1.85|180.628|AH-2|2.294|224.026|1.834|179.111|AH-1.5|2.318|226.404|1.834|179.111||AH1.5|2.106|201.921|2.066|198.116|AH2|2.106|201.921|2.2|210.939|AH2.5|1.983|190.14|2.2|210.939|AH3|1.983|190.14|2.207|211.6|AH3.5|1.978|189.606|2.207|211.6|AH4|1.978|189.606|2.401|230.23|AH4.5|1.844|176.787|2.401|230.23|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.88679|5.6|1.5|5.6|EK-1.5||K21|6.71811|5.6|6.47854|5.6|EK21||K1.5|1.61402|5.6|3.28025|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/itf-w35-luzhou-women/yao-xinxin-liu-fangzhou-OEuMCe9c/#ah;2;-0.50;2","-0.5","1.98","1.79","1.95","1.75","","","","","1.98","1.79","","","","","","",""
"CSV","0000009","20240621|170218","20240617_1555510_076098_014744","R10_1_CHN_W35 Luzhou","Yao","Liu","|K|0.471304|EK|G||OL1|2.18325|EOL1|OL2|2.0235|EOL2|OH1|2.8329|EOH1|OH2|2.66|EOH2|EG|NA|NOT|ENA||AH-5.5|4.089|399.292|1.366|133.412|AH-5|4.089|399.292|1.505|146.945|AH-4|3.205|313.014|1.677|163.789|AH-3.5|2.629|256.768|1.677|163.789|AH-3|2.629|256.768|1.85|180.628|AH-2.5|2.294|224.026|1.85|180.628|AH-2|2.294|224.026|1.834|179.111|AH-1.5|2.318|226.404|1.834|179.111||AH1.5|2.106|201.921|2.066|198.116|AH2|2.106|201.921|2.2|210.939|AH2.5|1.983|190.14|2.2|210.939|AH3|1.983|190.14|2.207|211.6|AH3.5|1.978|189.606|2.207|211.6|AH4|1.978|189.606|2.401|230.23|AH4.5|1.844|176.787|2.401|230.23|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.88679|5.6|1.5|5.6|EK-1.5||K21|6.71811|5.6|6.47854|5.6|EK21||K1.5|1.61402|5.6|3.28025|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/itf-w35-luzhou-women/yao-xinxin-liu-fangzhou-OEuMCe9c/#ah;2;1.50;1","1.5","1.41","2.79","1.0","1.0","","","","","1.41","2.79","","","","","","",""
"CSV","0000009","20240621|170216","20240617_1555510_076098_014744","R10_1_CHN_W35 Luzhou","Yao","Liu","|K|0.471304|EK|G||OL1|2.18325|EOL1|OL2|2.0235|EOL2|OH1|2.8329|EOH1|OH2|2.66|EOH2|EG|NA|NOT|ENA||AH-5.5|4.089|399.292|1.366|133.412|AH-5|4.089|399.292|1.505|146.945|AH-4|3.205|313.014|1.677|163.789|AH-3.5|2.629|256.768|1.677|163.789|AH-3|2.629|256.768|1.85|180.628|AH-2.5|2.294|224.026|1.85|180.628|AH-2|2.294|224.026|1.834|179.111|AH-1.5|2.318|226.404|1.834|179.111||AH1.5|2.106|201.921|2.066|198.116|AH2|2.106|201.921|2.2|210.939|AH2.5|1.983|190.14|2.2|210.939|AH3|1.983|190.14|2.207|211.6|AH3.5|1.978|189.606|2.207|211.6|AH4|1.978|189.606|2.401|230.23|AH4.5|1.844|176.787|2.401|230.23|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.88679|5.6|1.5|5.6|EK-1.5||K21|6.71811|5.6|6.47854|5.6|EK21||K1.5|1.61402|5.6|3.28025|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/itf-w35-luzhou-women/yao-xinxin-liu-fangzhou-OEuMCe9c/#ah;2;-1.50;1","-1.5","2.96","1.37","2.87","1.36","","","","","2.96","1.37","","","","","","",""
"CSV","0000009","20240621|170201","20240617_1555510_076098_014744","R10_1_CHN_W35 Luzhou","Yao","Liu","|K|0.471304|EK|G||OL1|2.18325|EOL1|OL2|2.0235|EOL2|OH1|2.8329|EOH1|OH2|2.66|EOH2|EG|NA|NOT|ENA||AH-5.5|4.089|399.292|1.366|133.412|AH-5|4.089|399.292|1.505|146.945|AH-4|3.205|313.014|1.677|163.789|AH-3.5|2.629|256.768|1.677|163.789|AH-3|2.629|256.768|1.85|180.628|AH-2.5|2.294|224.026|1.85|180.628|AH-2|2.294|224.026|1.834|179.111|AH-1.5|2.318|226.404|1.834|179.111||AH1.5|2.106|201.921|2.066|198.116|AH2|2.106|201.921|2.2|210.939|AH2.5|1.983|190.14|2.2|210.939|AH3|1.983|190.14|2.207|211.6|AH3.5|1.978|189.606|2.207|211.6|AH4|1.978|189.606|2.401|230.23|AH4.5|1.844|176.787|2.401|230.23|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.88679|5.6|1.5|5.6|EK-1.5||K21|6.71811|5.6|6.47854|5.6|EK21||K1.5|1.61402|5.6|3.28025|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/china/itf-w35-luzhou-women/yao-xinxin-liu-fangzhou-OEuMCe9c/","","1.93","1.83","1.92","1.78","","","","","1.93","1.83","","","","","","",""
"CSV","0000010","20240621|170230","20240617_1555310_015642_050620","R10_1_TPE_W35 Taipei","Okamura","Naklo","|K|0.557517|EK|G||OL1|1.917|EOL1|OL2|2.3165|EOL2|OH1|2.52|EOH1|OH2|3.0058|EOH2|EG|NA|NOT|ENA||AH-5.5|2.861|279.412|1.595|155.737|AH-5|2.861|279.412|1.975|192.903|AH-4|2.126|207.639|2.551|249.166|AH-3.5|1.71|167.04|2.551|249.166|AH-3|1.71|167.04|2.871|280.346|AH-2.5|1.592|155.449|2.871|280.346|AH-2|1.592|155.449|3.028|295.662|AH-1.5|1.547|151.108|3.028|295.662||AH1.5|1.423|136.421|3.907|374.568|AH2|1.423|136.421|4.727|453.182|AH2.5|1.338|128.314|4.727|453.182|AH3|1.338|128.314|4.766|456.912|AH3.5|1.335|128.018|4.766|456.912|AH4|1.335|128.018|5.808|556.84|AH4.5|1.271|121.89|5.808|556.84|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.29292|5.6|1.61049|5.6|EK-1.5||K21|6.20448|5.6|8.05156|5.6|EK21||K1.5|1.52807|5.6|3.63933|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/taiwan/itf-w35-taipei-women/okamura-kyoka-naklo-thasaporn-IeHzT4uJ/#ah;2;-2.50;2","-2.5","1.81","1.95","1.79","1.91","","","","","1.84","1.95","","","","","","",""
"CSV","0000010","20240621|170232","20240617_1555310_015642_050620","R10_1_TPE_W35 Taipei","Okamura","Naklo","|K|0.557517|EK|G||OL1|1.917|EOL1|OL2|2.3165|EOL2|OH1|2.52|EOH1|OH2|3.0058|EOH2|EG|NA|NOT|ENA||AH-5.5|2.861|279.412|1.595|155.737|AH-5|2.861|279.412|1.975|192.903|AH-4|2.126|207.639|2.551|249.166|AH-3.5|1.71|167.04|2.551|249.166|AH-3|1.71|167.04|2.871|280.346|AH-2.5|1.592|155.449|2.871|280.346|AH-2|1.592|155.449|3.028|295.662|AH-1.5|1.547|151.108|3.028|295.662||AH1.5|1.423|136.421|3.907|374.568|AH2|1.423|136.421|4.727|453.182|AH2.5|1.338|128.314|4.727|453.182|AH3|1.338|128.314|4.766|456.912|AH3.5|1.335|128.018|4.766|456.912|AH4|1.335|128.018|5.808|556.84|AH4.5|1.271|121.89|5.808|556.84|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.29292|5.6|1.61049|5.6|EK-1.5||K21|6.20448|5.6|8.05156|5.6|EK21||K1.5|1.52807|5.6|3.63933|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/taiwan/itf-w35-taipei-women/okamura-kyoka-naklo-thasaporn-IeHzT4uJ/#ah;2;-3.50;2","-3.5","2.01","1.76","2.0","1.72","","","","","2.01","1.76","","","","","","",""
"CSV","0000010","20240621|170237","20240617_1555310_015642_050620","R10_1_TPE_W35 Taipei","Okamura","Naklo","|K|0.557517|EK|G||OL1|1.917|EOL1|OL2|2.3165|EOL2|OH1|2.52|EOH1|OH2|3.0058|EOH2|EG|NA|NOT|ENA||AH-5.5|2.861|279.412|1.595|155.737|AH-5|2.861|279.412|1.975|192.903|AH-4|2.126|207.639|2.551|249.166|AH-3.5|1.71|167.04|2.551|249.166|AH-3|1.71|167.04|2.871|280.346|AH-2.5|1.592|155.449|2.871|280.346|AH-2|1.592|155.449|3.028|295.662|AH-1.5|1.547|151.108|3.028|295.662||AH1.5|1.423|136.421|3.907|374.568|AH2|1.423|136.421|4.727|453.182|AH2.5|1.338|128.314|4.727|453.182|AH3|1.338|128.314|4.766|456.912|AH3.5|1.335|128.018|4.766|456.912|AH4|1.335|128.018|5.808|556.84|AH4.5|1.271|121.89|5.808|556.84|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.29292|5.6|1.61049|5.6|EK-1.5||K21|6.20448|5.6|8.05156|5.6|EK21||K1.5|1.52807|5.6|3.63933|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/taiwan/itf-w35-taipei-women/okamura-kyoka-naklo-thasaporn-IeHzT4uJ/#ah;2;1.50;1","1.5","1.25","3.78","1.23","3.75","","","","","1.25","3.78","","","","","","",""
"CSV","0000010","20240621|170235","20240617_1555310_015642_050620","R10_1_TPE_W35 Taipei","Okamura","Naklo","|K|0.557517|EK|G||OL1|1.917|EOL1|OL2|2.3165|EOL2|OH1|2.52|EOH1|OH2|3.0058|EOH2|EG|NA|NOT|ENA||AH-5.5|2.861|279.412|1.595|155.737|AH-5|2.861|279.412|1.975|192.903|AH-4|2.126|207.639|2.551|249.166|AH-3.5|1.71|167.04|2.551|249.166|AH-3|1.71|167.04|2.871|280.346|AH-2.5|1.592|155.449|2.871|280.346|AH-2|1.592|155.449|3.028|295.662|AH-1.5|1.547|151.108|3.028|295.662||AH1.5|1.423|136.421|3.907|374.568|AH2|1.423|136.421|4.727|453.182|AH2.5|1.338|128.314|4.727|453.182|AH3|1.338|128.314|4.766|456.912|AH3.5|1.335|128.018|4.766|456.912|AH4|1.335|128.018|5.808|556.84|AH4.5|1.271|121.89|5.808|556.84|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.29292|5.6|1.61049|5.6|EK-1.5||K21|6.20448|5.6|8.05156|5.6|EK21||K1.5|1.52807|5.6|3.63933|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/taiwan/itf-w35-taipei-women/okamura-kyoka-naklo-thasaporn-IeHzT4uJ/#ah;2;-1.50;1","-1.5","2.36","1.56","2.33","1.54","","","","","2.36","1.56","","","","","","",""
"CSV","0000010","20240621|170223","20240617_1555310_015642_050620","R10_1_TPE_W35 Taipei","Okamura","Naklo","|K|0.557517|EK|G||OL1|1.917|EOL1|OL2|2.3165|EOL2|OH1|2.52|EOH1|OH2|3.0058|EOH2|EG|NA|NOT|ENA||AH-5.5|2.861|279.412|1.595|155.737|AH-5|2.861|279.412|1.975|192.903|AH-4|2.126|207.639|2.551|249.166|AH-3.5|1.71|167.04|2.551|249.166|AH-3|1.71|167.04|2.871|280.346|AH-2.5|1.592|155.449|2.871|280.346|AH-2|1.592|155.449|3.028|295.662|AH-1.5|1.547|151.108|3.028|295.662||AH1.5|1.423|136.421|3.907|374.568|AH2|1.423|136.421|4.727|453.182|AH2.5|1.338|128.314|4.727|453.182|AH3|1.338|128.314|4.766|456.912|AH3.5|1.335|128.018|4.766|456.912|AH4|1.335|128.018|5.808|556.84|AH4.5|1.271|121.89|5.808|556.84|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.29292|5.6|1.61049|5.6|EK-1.5||K21|6.20448|5.6|8.05156|5.6|EK21||K1.5|1.52807|5.6|3.63933|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/taiwan/itf-w35-taipei-women/okamura-kyoka-naklo-thasaporn-IeHzT4uJ/","","1.57","2.33","1.58","2.23","","","","","1.61","2.33","","","","","","",""
