"FDV","0000007","20240625|121249","20240624_1556904_094901_094902","R04_0_USA_W15 Los Angeles","Ewing/Reed","Friedman/Mckenzie","|K|0.465433|EK|G||OL1|2.22525|EOL1|OL2|1.88|EOL2|OH1|215|EOH1|OH2|188|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-w15-los-angeles-ca-women-doubles/ewing-salma-reed-lexington-friedman-lauren-mckenzie-kylie-YiHf1HpC/","","","","2.25","1.57","","","","","2.25","1.58","","","","","","",""
"FDV","0000008","20240625|121254","20240624_1556904_094898_088187","R04_0_USA_W15 Los Angeles","Failla/Yamalapalli","Center/Fakih","|K|0.727601|EK|G||OL1|1.38|EOL1|OL2|3.8088|EOL2|OH1|1|EOH1|OH2|368|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-w15-los-angeles-ca-women-doubles/failla-jessica-yamalapalli-sahaja-center-olivia-fakih-kate-txqpCYbU/","","","","1.35","2.95","","","","","1.35","2.95","","","","","","",""
"FSM","0000009","20240625|121304","20240624_1983804_064915_081810","R04_0_USA_M15 Los Angeles","Fenty","Nidunjianzan","|K|0.374022|EK|G||OL1|2.74432|EOL1|OL2|1.7024|EOL2|OH1|1|EOH1|OH2|160|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|423.159|423.159|143.675|143.675|AH-3.5|328.966|328.966|143.675|143.675|AH-3|328.966|328.966|154.487|154.487|AH-2.5|283.529|283.529|154.487|154.487|AH-2|283.529|283.529|162.18|162.18|AH-1.5|260.825|260.825|162.18|162.18||AH1.5|220.984|220.984|182.656|182.656|AH2|220.984|220.984|194.435|194.435|AH2.5|205.892|205.892|194.435|194.435|AH3|205.892|205.892|211.458|211.458|AH3.5|189.72|189.72|211.458|211.458|AH4|189.72|189.72|248.108|248.108|AH4.5|167.518|167.518|248.108|248.108|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m15-los-angeles-ca-men/fenty-andrew-nidunjianzan-fnu-z594juFd/#ah;2;2.50;2","2.5","","","1.87","1.83","","","","","1.89","1.83","","","","","","",""
"FSM","0000009","20240625|121306","20240624_1983804_064915_081810","R04_0_USA_M15 Los Angeles","Fenty","Nidunjianzan","|K|0.374022|EK|G||OL1|2.74432|EOL1|OL2|1.7024|EOL2|OH1|1|EOH1|OH2|160|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|423.159|423.159|143.675|143.675|AH-3.5|328.966|328.966|143.675|143.675|AH-3|328.966|328.966|154.487|154.487|AH-2.5|283.529|283.529|154.487|154.487|AH-2|283.529|283.529|162.18|162.18|AH-1.5|260.825|260.825|162.18|162.18||AH1.5|220.984|220.984|182.656|182.656|AH2|220.984|220.984|194.435|194.435|AH2.5|205.892|205.892|194.435|194.435|AH3|205.892|205.892|211.458|211.458|AH3.5|189.72|189.72|211.458|211.458|AH4|189.72|189.72|248.108|248.108|AH4.5|167.518|167.518|248.108|248.108|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m15-los-angeles-ca-men/fenty-andrew-nidunjianzan-fnu-z594juFd/#ah;2;2.00;2","2.0","","","1.97","1.73","","","","","1.97","1.73","","","","","","",""
"FSM","0000009","20240625|121258","20240624_1983804_064915_081810","R04_0_USA_M15 Los Angeles","Fenty","Nidunjianzan","|K|0.374022|EK|G||OL1|2.74432|EOL1|OL2|1.7024|EOL2|OH1|1|EOH1|OH2|160|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|423.159|423.159|143.675|143.675|AH-3.5|328.966|328.966|143.675|143.675|AH-3|328.966|328.966|154.487|154.487|AH-2.5|283.529|283.529|154.487|154.487|AH-2|283.529|283.529|162.18|162.18|AH-1.5|260.825|260.825|162.18|162.18||AH1.5|220.984|220.984|182.656|182.656|AH2|220.984|220.984|194.435|194.435|AH2.5|205.892|205.892|194.435|194.435|AH3|205.892|205.892|211.458|211.458|AH3.5|189.72|189.72|211.458|211.458|AH4|189.72|189.72|248.108|248.108|AH4.5|167.518|167.518|248.108|248.108|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-m15-los-angeles-ca-men/fenty-andrew-nidunjianzan-fnu-z594juFd/","","","","2.25","1.57","","","2.25","1.57","2.25","1.57","","","","","","",""
"SM","0000010","20240625|121325","20240624_1939005_024245_028267","R05_2_GBR_Rothesay International - Eastbourne","Bublik","Vukic","|K|0.624929|EK|G||OL1|1.771|EOL1|OL2|2.92365|EOL2|OH1|2.3345|EOH1|OH2|3.6579|EOH2|EG|NA||NAOL1|1.7871|ENAOL1|NAOL2|2.92899|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.668|8.862|1.304|1.734|AH-5|6.668|8.862|1.491|1.981|AH-4|4.07|5.409|1.845|2.452|AH-3.5|2.671|3.549|1.845|2.452|AH-3|2.671|3.549|2.198|2.922|AH-2.5|2.166|2.879|2.198|2.922|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.528|2.025|3.854|5.108|AH3|1.528|2.025|5.302|7.027|AH3.5|1.378|1.827|5.302|7.027|AH4|1.378|1.827|7.872|10.434|AH4.5|1.271|1.684|7.872|10.434|AH5|1.271|1.684|14.364|19.038|AH5.5|1.184|1.57|14.364|19.038||EAH||AHS||K-1.5|2.95018|7|1.67847|7|EK-1.5||K21|4.3378|7|6.8105|1|EK21||K1.5|1.52|7|4.91297|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/bublik-alexander-vukic-aleksandar-M1R8KaUb/#ah;2;-1.50;2","-1.5","1.65","2.34","1.59","2.21","","","","","1.65","2.34","","","","","","",""
"SM","0000010","20240625|121322","20240624_1939005_024245_028267","R05_2_GBR_Rothesay International - Eastbourne","Bublik","Vukic","|K|0.624929|EK|G||OL1|1.771|EOL1|OL2|2.92365|EOL2|OH1|2.3345|EOH1|OH2|3.6579|EOH2|EG|NA||NAOL1|1.7871|ENAOL1|NAOL2|2.92899|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.668|8.862|1.304|1.734|AH-5|6.668|8.862|1.491|1.981|AH-4|4.07|5.409|1.845|2.452|AH-3.5|2.671|3.549|1.845|2.452|AH-3|2.671|3.549|2.198|2.922|AH-2.5|2.166|2.879|2.198|2.922|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.528|2.025|3.854|5.108|AH3|1.528|2.025|5.302|7.027|AH3.5|1.378|1.827|5.302|7.027|AH4|1.378|1.827|7.872|10.434|AH4.5|1.271|1.684|7.872|10.434|AH5|1.271|1.684|14.364|19.038|AH5.5|1.184|1.57|14.364|19.038||EAH||AHS||K-1.5|2.95018|7|1.67847|7|EK-1.5||K21|4.3378|7|6.8105|1|EK21||K1.5|1.52|7|4.91297|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/bublik-alexander-vukic-aleksandar-M1R8KaUb/#ah;2;-2.50;2","-2.5","1.83","2.05","1.76","1.94","","","","","1.83","2.05","","","","","","",""
"SM","0000010","20240625|121329","20240624_1939005_024245_028267","R05_2_GBR_Rothesay International - Eastbourne","Bublik","Vukic","|K|0.624929|EK|G||OL1|1.771|EOL1|OL2|2.92365|EOL2|OH1|2.3345|EOH1|OH2|3.6579|EOH2|EG|NA||NAOL1|1.7871|ENAOL1|NAOL2|2.92899|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.668|8.862|1.304|1.734|AH-5|6.668|8.862|1.491|1.981|AH-4|4.07|5.409|1.845|2.452|AH-3.5|2.671|3.549|1.845|2.452|AH-3|2.671|3.549|2.198|2.922|AH-2.5|2.166|2.879|2.198|2.922|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.528|2.025|3.854|5.108|AH3|1.528|2.025|5.302|7.027|AH3.5|1.378|1.827|5.302|7.027|AH4|1.378|1.827|7.872|10.434|AH4.5|1.271|1.684|7.872|10.434|AH5|1.271|1.684|14.364|19.038|AH5.5|1.184|1.57|14.364|19.038||EAH||AHS||K-1.5|2.95018|7|1.67847|7|EK-1.5||K21|4.3378|7|6.8105|1|EK21||K1.5|1.52|7|4.91297|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/bublik-alexander-vukic-aleksandar-M1R8KaUb/#ah;2;1.50;1","1.5","1.21","4.85","1.18","4.3","","","","","1.21","4.85","","","","","","",""
"SM","0000010","20240625|121327","20240624_1939005_024245_028267","R05_2_GBR_Rothesay International - Eastbourne","Bublik","Vukic","|K|0.624929|EK|G||OL1|1.771|EOL1|OL2|2.92365|EOL2|OH1|2.3345|EOH1|OH2|3.6579|EOH2|EG|NA||NAOL1|1.7871|ENAOL1|NAOL2|2.92899|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.668|8.862|1.304|1.734|AH-5|6.668|8.862|1.491|1.981|AH-4|4.07|5.409|1.845|2.452|AH-3.5|2.671|3.549|1.845|2.452|AH-3|2.671|3.549|2.198|2.922|AH-2.5|2.166|2.879|2.198|2.922|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.528|2.025|3.854|5.108|AH3|1.528|2.025|5.302|7.027|AH3.5|1.378|1.827|5.302|7.027|AH4|1.378|1.827|7.872|10.434|AH4.5|1.271|1.684|7.872|10.434|AH5|1.271|1.684|14.364|19.038|AH5.5|1.184|1.57|14.364|19.038||EAH||AHS||K-1.5|2.95018|7|1.67847|7|EK-1.5||K21|4.3378|7|6.8105|1|EK21||K1.5|1.52|7|4.91297|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/bublik-alexander-vukic-aleksandar-M1R8KaUb/#ah;2;-1.50;1","-1.5","2.43","1.61","2.33","1.55","","","","","2.43","1.61","","","","","","",""
"SM","0000010","20240625|121313","20240624_1939005_024245_028267","R05_2_GBR_Rothesay International - Eastbourne","Bublik","Vukic","|K|0.624929|EK|G||OL1|1.771|EOL1|OL2|2.92365|EOL2|OH1|2.3345|EOH1|OH2|3.6579|EOH2|EG|NA||NAOL1|1.7871|ENAOL1|NAOL2|2.92899|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.668|8.862|1.304|1.734|AH-5|6.668|8.862|1.491|1.981|AH-4|4.07|5.409|1.845|2.452|AH-3.5|2.671|3.549|1.845|2.452|AH-3|2.671|3.549|2.198|2.922|AH-2.5|2.166|2.879|2.198|2.922|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.528|2.025|3.854|5.108|AH3|1.528|2.025|5.302|7.027|AH3.5|1.378|1.827|5.302|7.027|AH4|1.378|1.827|7.872|10.434|AH4.5|1.271|1.684|7.872|10.434|AH5|1.271|1.684|14.364|19.038|AH5.5|1.184|1.57|14.364|19.038||EAH||AHS||K-1.5|2.95018|7|1.67847|7|EK-1.5||K21|4.3378|7|6.8105|1|EK21||K1.5|1.52|7|4.91297|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/bublik-alexander-vukic-aleksandar-M1R8KaUb/","","1.5","2.75","1.46","2.52","","","1.53","2.5","1.53","2.75","","","","","","",""
"SM","0000011","20240625|121343","20240624_1939005_029180_039438","R05_2_GBR_Rothesay International - Eastbourne","Harris","Broom","|K|0.609737|EK|G||OL1|1.815|EOL1|OL2|2.81415|EOL2|OH1|2.3925|EOH1|OH2|3.5209|EOH2|EG|NA||NAOL1|1.8315|ENAOL1|NAOL2|2.81929|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|5.968|7.932|1.335|1.774|AH-5|5.968|7.932|1.538|2.044|AH-4|3.753|4.988|1.804|2.398|AH-3.5|2.759|3.667|1.804|2.398|AH-3|2.759|3.667|2.103|2.794|AH-2.5|2.268|3.014|2.103|2.794|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.583|2.098|3.542|4.695|AH3|1.583|2.098|4.812|6.378|AH3.5|1.416|1.877|4.812|6.378|AH4|1.416|1.877|8.944|11.855|AH4.5|1.246|1.652|8.944|11.855|AH5|1.246|1.652|21.204|28.104|AH5.5|1.154|1.529|21.204|28.104||EAH||AHS||K-1.5|2.69532|7|1.7833|7|EK-1.5||K21|4.29126|7|6.68754|1|EK21||K1.5|1.52|7|6.30067|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/harris-billy-broom-charles-lEdtDsho/#ah;2;-2.50;2","-2.5","1.92","1.95","1.84","1.86","","","1.85","1.93","1.92","1.95","","","","","","",""
