"SV","0000081","20240629|093801","20240701_1523304_037266_014448","R04_4_GBR_Wimbledon - London","Yastremska","Podoroska","|K|0.688034|EK|G||OL1|1.6352|EOL1|OL2|3.23889|EOL2|OH1|146|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6352|ENAOL1|NAOL2|3.50211|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AHS||K-1.5|1|1|1|1|EK-1.5||K21|1|1|1|1|EK21||K1.5|1|1|1|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/united-kingdom/wta-wimbledon/yastremska-dayana-podoroska-nadia-jmUnp8SI/","","1.4","3.11","1.39","3.0","","","1.4","2.95","1.4","3.12","","","","","","",""
"SV","0000082","20240629|093816","20240624_1523112_049081_017503","R12_2_GBR_Rothesay International - Eastbourne","Fernandez","Kasatkina","|K|0.542151|EK|G||OL1|2.072|EOL1|OL2|2.20971|EOL2|OH1|185|EOH1|OH2|219|EOH2|EG|NA||NAOL1|2.072|ENAOL1|NAOL2|2.38929|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|4.105|4.896|1.484|1.77|AH-5|4.105|4.896|1.663|1.983|AH-4|3.164|3.773|1.901|2.268|AH-3.5|2.554|3.046|1.901|2.268|AH-3|2.554|3.046|2.185|2.606|AH-2.5|2.175|2.594|2.185|2.606|AH-2|2.175|2.594|2.374|2.831|AH-1.5|2.016|2.404|2.374|2.831||AH1.5|1.767|161.396|2.879|262.878|AH2|1.767|161.396|3.165|289.004|AH2.5|1.674|152.909|3.165|289.004|AH3|1.674|152.909|3.709|338.754|AH3.5|1.554|141.884|3.709|338.754|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.27779|5.5|1.59417|1|EK-1.5||K21|6.18235|5.5|6.28003|5.5|EK21||K1.5|1.46354|1|3.9159|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/united-kingdom/wta-eastbourne/fernandez-leylah-annie-kasatkina-daria-r7MM9UN9/#ah;2;2.50;2","2.5","","","1.67","2.07","","","","","1.68","2.28","","","","","","",""
"SV","0000082","20240629|093814","20240624_1523112_049081_017503","R12_2_GBR_Rothesay International - Eastbourne","Fernandez","Kasatkina","|K|0.542151|EK|G||OL1|2.072|EOL1|OL2|2.20971|EOL2|OH1|185|EOH1|OH2|219|EOH2|EG|NA||NAOL1|2.072|ENAOL1|NAOL2|2.38929|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|4.105|4.896|1.484|1.77|AH-5|4.105|4.896|1.663|1.983|AH-4|3.164|3.773|1.901|2.268|AH-3.5|2.554|3.046|1.901|2.268|AH-3|2.554|3.046|2.185|2.606|AH-2.5|2.175|2.594|2.185|2.606|AH-2|2.175|2.594|2.374|2.831|AH-1.5|2.016|2.404|2.374|2.831||AH1.5|1.767|161.396|2.879|262.878|AH2|1.767|161.396|3.165|289.004|AH2.5|1.674|152.909|3.165|289.004|AH3|1.674|152.909|3.709|338.754|AH3.5|1.554|141.884|3.709|338.754|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.27779|5.5|1.59417|1|EK-1.5||K21|6.18235|5.5|6.28003|5.5|EK21||K1.5|1.46354|1|3.9159|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/united-kingdom/wta-eastbourne/fernandez-leylah-annie-kasatkina-daria-r7MM9UN9/#ah;2;1.50;2","1.5","1.85","2.02","1.81","1.89","","","1.88","1.91","1.88","2.07","","","","","","",""
"SV","0000082","20240629|093821","20240624_1523112_049081_017503","R12_2_GBR_Rothesay International - Eastbourne","Fernandez","Kasatkina","|K|0.542151|EK|G||OL1|2.072|EOL1|OL2|2.20971|EOL2|OH1|185|EOH1|OH2|219|EOH2|EG|NA||NAOL1|2.072|ENAOL1|NAOL2|2.38929|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|4.105|4.896|1.484|1.77|AH-5|4.105|4.896|1.663|1.983|AH-4|3.164|3.773|1.901|2.268|AH-3.5|2.554|3.046|1.901|2.268|AH-3|2.554|3.046|2.185|2.606|AH-2.5|2.175|2.594|2.185|2.606|AH-2|2.175|2.594|2.374|2.831|AH-1.5|2.016|2.404|2.374|2.831||AH1.5|1.767|161.396|2.879|262.878|AH2|1.767|161.396|3.165|289.004|AH2.5|1.674|152.909|3.165|289.004|AH3|1.674|152.909|3.709|338.754|AH3.5|1.554|141.884|3.709|338.754|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.27779|5.5|1.59417|1|EK-1.5||K21|6.18235|5.5|6.28003|5.5|EK21||K1.5|1.46354|1|3.9159|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/united-kingdom/wta-eastbourne/fernandez-leylah-annie-kasatkina-daria-r7MM9UN9/#ah;2;1.50;1","1.5","1.42","3.03","1.38","2.8","","","1.43","2.8","1.43","3.03","","","","","","",""
"SV","0000082","20240629|093818","20240624_1523112_049081_017503","R12_2_GBR_Rothesay International - Eastbourne","Fernandez","Kasatkina","|K|0.542151|EK|G||OL1|2.072|EOL1|OL2|2.20971|EOL2|OH1|185|EOH1|OH2|219|EOH2|EG|NA||NAOL1|2.072|ENAOL1|NAOL2|2.38929|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|4.105|4.896|1.484|1.77|AH-5|4.105|4.896|1.663|1.983|AH-4|3.164|3.773|1.901|2.268|AH-3.5|2.554|3.046|1.901|2.268|AH-3|2.554|3.046|2.185|2.606|AH-2.5|2.175|2.594|2.185|2.606|AH-2|2.175|2.594|2.374|2.831|AH-1.5|2.016|2.404|2.374|2.831||AH1.5|1.767|161.396|2.879|262.878|AH2|1.767|161.396|3.165|289.004|AH2.5|1.674|152.909|3.165|289.004|AH3|1.674|152.909|3.709|338.754|AH3.5|1.554|141.884|3.709|338.754|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.27779|5.5|1.59417|1|EK-1.5||K21|6.18235|5.5|6.28003|5.5|EK21||K1.5|1.46354|1|3.9159|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/united-kingdom/wta-eastbourne/fernandez-leylah-annie-kasatkina-daria-r7MM9UN9/#ah;2;-1.50;1","-1.5","3.53","1.33","3.3","1.28","","","3.5","1.3","3.53","1.38","","","","","","",""
"SV","0000082","20240629|093805","20240624_1523112_049081_017503","R12_2_GBR_Rothesay International - Eastbourne","Fernandez","Kasatkina","|K|0.542151|EK|G||OL1|2.072|EOL1|OL2|2.20971|EOL2|OH1|185|EOH1|OH2|219|EOH2|EG|NA||NAOL1|2.072|ENAOL1|NAOL2|2.38929|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|4.105|4.896|1.484|1.77|AH-5|4.105|4.896|1.663|1.983|AH-4|3.164|3.773|1.901|2.268|AH-3.5|2.554|3.046|1.901|2.268|AH-3|2.554|3.046|2.185|2.606|AH-2.5|2.175|2.594|2.185|2.606|AH-2|2.175|2.594|2.374|2.831|AH-1.5|2.016|2.404|2.374|2.831||AH1.5|1.767|161.396|2.879|262.878|AH2|1.767|161.396|3.165|289.004|AH2.5|1.674|152.909|3.165|289.004|AH3|1.674|152.909|3.709|338.754|AH3.5|1.554|141.884|3.709|338.754|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.27779|5.5|1.59417|1|EK-1.5||K21|6.18235|5.5|6.28003|5.5|EK21||K1.5|1.46354|1|3.9159|5.5|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/united-kingdom/wta-eastbourne/fernandez-leylah-annie-kasatkina-daria-r7MM9UN9/","","2.06","1.84","1.96","1.74","","","2.08","1.75","2.11","1.84","","","","","","",""
"CSV","0000083","20240629|093821","20240624_1556110_038720_039543","R10_1_CZE_W75 Doksy - Stare Splavy","Kladivova","Maristany","|K|0.41287|EK|G||OL1|2.49075|EOL1|OL2|1.82115|EOL2|OH1|3.2319|EOH1|OH2|2.394|EOH2|EG|NA|NOT|ENA||AH-5.5|4.837|472.342|1.299|126.857|AH-5|4.837|472.342|1.424|139.056|AH-4|3.646|356.045|1.568|153.107|AH-3.5|2.952|288.298|1.568|153.107|AH-3|2.952|288.298|1.617|157.896|AH-2.5|2.793|272.723|1.617|157.896|AH-2|2.793|272.723|1.682|164.213|AH-1.5|2.619|255.731|1.682|164.213||AH1.5|2.224|213.202|1.964|188.338|AH2|2.224|213.202|2.037|195.324|AH2.5|2.137|204.906|2.037|195.324|AH3|2.137|204.906|2.203|211.251|AH3.5|1.981|189.887|2.203|211.251|AH4|1.981|189.887|2.639|253.014|AH4.5|1.725|165.354|2.639|253.014|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.63256|5.6|1.5|1|EK-1.5||K21|7.591|5.6|6.06858|5.6|EK21||K1.5|1.7715|5.6|2.83773|5.6|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","","","",""
"CSV","0000084","20240629|093835","20240624_1556110_073274_012107","R10_1_CZE_W75 Doksy - Stare Splavy","Valentova","Jang","|K|0.646492|EK|G||OL1|1.65075|EOL1|OL2|2.90075|EOL2|OH1|1|EOH1|OH2|3.7639|EOH2|EG|NA|NOT|ENA||AH-5.5|2.794|272.879|1.616|157.844|AH-5|2.794|272.879|1.966|191.998|AH-4|2.137|208.698|2.385|232.947|AH-3.5|1.794|175.218|2.385|232.947|AH-3|1.794|175.218|2.692|262.908|AH-2.5|1.653|161.384|2.692|262.908|AH-2|1.653|161.384|3.416|333.552|AH-1.5|1.462|142.817|3.416|333.552||AH1.5|1.363|130.668|4.444|426.074|AH2|1.363|130.668|4.106|393.668|AH2.5|1.398|134.052|4.106|393.668|AH3|1.398|134.052|4.603|441.31|AH3.5|1.349|129.299|4.603|441.31|AH4|1.349|129.299|5.917|567.298|AH4.5|1.266|121.4|5.917|567.298|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.27965|5.6|2.15265|5.6|EK-1.5||K21|5.52795|5.6|8.45286|1|EK21||K1.5|1.5|1|7.86553|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/czech-republic/itf-w75-doksy-stare-splavy-women/valentova-tereza-jang-su-jeong-rRt7ZyPr/#ah;2;-2.50;2","-2.5","","","","","","","","","1.65","2.11","","","","","","",""
"CSV","0000084","20240629|093832","20240624_1556110_073274_012107","R10_1_CZE_W75 Doksy - Stare Splavy","Valentova","Jang","|K|0.646492|EK|G||OL1|1.65075|EOL1|OL2|2.90075|EOL2|OH1|1|EOH1|OH2|3.7639|EOH2|EG|NA|NOT|ENA||AH-5.5|2.794|272.879|1.616|157.844|AH-5|2.794|272.879|1.966|191.998|AH-4|2.137|208.698|2.385|232.947|AH-3.5|1.794|175.218|2.385|232.947|AH-3|1.794|175.218|2.692|262.908|AH-2.5|1.653|161.384|2.692|262.908|AH-2|1.653|161.384|3.416|333.552|AH-1.5|1.462|142.817|3.416|333.552||AH1.5|1.363|130.668|4.444|426.074|AH2|1.363|130.668|4.106|393.668|AH2.5|1.398|134.052|4.106|393.668|AH3|1.398|134.052|4.603|441.31|AH3.5|1.349|129.299|4.603|441.31|AH4|1.349|129.299|5.917|567.298|AH4.5|1.266|121.4|5.917|567.298|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.27965|5.6|2.15265|5.6|EK-1.5||K21|5.52795|5.6|8.45286|1|EK21||K1.5|1.5|1|7.86553|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/czech-republic/itf-w75-doksy-stare-splavy-women/valentova-tereza-jang-su-jeong-rRt7ZyPr/#ah;2;-3.50;2","-3.5","1.78","2.01","1.74","1.96","","","","","1.81","2.01","","","","","","",""
"CSV","0000084","20240629|093840","20240624_1556110_073274_012107","R10_1_CZE_W75 Doksy - Stare Splavy","Valentova","Jang","|K|0.646492|EK|G||OL1|1.65075|EOL1|OL2|2.90075|EOL2|OH1|1|EOH1|OH2|3.7639|EOH2|EG|NA|NOT|ENA||AH-5.5|2.794|272.879|1.616|157.844|AH-5|2.794|272.879|1.966|191.998|AH-4|2.137|208.698|2.385|232.947|AH-3.5|1.794|175.218|2.385|232.947|AH-3|1.794|175.218|2.692|262.908|AH-2.5|1.653|161.384|2.692|262.908|AH-2|1.653|161.384|3.416|333.552|AH-1.5|1.462|142.817|3.416|333.552||AH1.5|1.363|130.668|4.444|426.074|AH2|1.363|130.668|4.106|393.668|AH2.5|1.398|134.052|4.106|393.668|AH3|1.398|134.052|4.603|441.31|AH3.5|1.349|129.299|4.603|441.31|AH4|1.349|129.299|5.917|567.298|AH4.5|1.266|121.4|5.917|567.298|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.27965|5.6|2.15265|5.6|EK-1.5||K21|5.52795|5.6|8.45286|1|EK21||K1.5|1.5|1|7.86553|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/czech-republic/itf-w75-doksy-stare-splavy-women/valentova-tereza-jang-su-jeong-rRt7ZyPr/#ah;2;1.50;1","1.5","1.21","4.25","1.2","4.05","","","","","1.22","4.25","","","","","","",""
"CSV","0000084","20240629|093837","20240624_1556110_073274_012107","R10_1_CZE_W75 Doksy - Stare Splavy","Valentova","Jang","|K|0.646492|EK|G||OL1|1.65075|EOL1|OL2|2.90075|EOL2|OH1|1|EOH1|OH2|3.7639|EOH2|EG|NA|NOT|ENA||AH-5.5|2.794|272.879|1.616|157.844|AH-5|2.794|272.879|1.966|191.998|AH-4|2.137|208.698|2.385|232.947|AH-3.5|1.794|175.218|2.385|232.947|AH-3|1.794|175.218|2.692|262.908|AH-2.5|1.653|161.384|2.692|262.908|AH-2|1.653|161.384|3.416|333.552|AH-1.5|1.462|142.817|3.416|333.552||AH1.5|1.363|130.668|4.444|426.074|AH2|1.363|130.668|4.106|393.668|AH2.5|1.398|134.052|4.106|393.668|AH3|1.398|134.052|4.603|441.31|AH3.5|1.349|129.299|4.603|441.31|AH4|1.349|129.299|5.917|567.298|AH4.5|1.266|121.4|5.917|567.298|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.27965|5.6|2.15265|5.6|EK-1.5||K21|5.52795|5.6|8.45286|1|EK21||K1.5|1.5|1|7.86553|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/czech-republic/itf-w75-doksy-stare-splavy-women/valentova-tereza-jang-su-jeong-rRt7ZyPr/#ah;2;-1.50;1","-1.5","2.08","1.72","2.04","1.69","","","","","2.08","1.72","","","","","","",""
"CSV","0000084","20240629|093826","20240624_1556110_073274_012107","R10_1_CZE_W75 Doksy - Stare Splavy","Valentova","Jang","|K|0.646492|EK|G||OL1|1.65075|EOL1|OL2|2.90075|EOL2|OH1|1|EOH1|OH2|3.7639|EOH2|EG|NA|NOT|ENA||AH-5.5|2.794|272.879|1.616|157.844|AH-5|2.794|272.879|1.966|191.998|AH-4|2.137|208.698|2.385|232.947|AH-3.5|1.794|175.218|2.385|232.947|AH-3|1.794|175.218|2.692|262.908|AH-2.5|1.653|161.384|2.692|262.908|AH-2|1.653|161.384|3.416|333.552|AH-1.5|1.462|142.817|3.416|333.552||AH1.5|1.363|130.668|4.444|426.074|AH2|1.363|130.668|4.106|393.668|AH2.5|1.398|134.052|4.106|393.668|AH3|1.398|134.052|4.603|441.31|AH3.5|1.349|129.299|4.603|441.31|AH4|1.349|129.299|5.917|567.298|AH4.5|1.266|121.4|5.917|567.298|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.27965|5.6|2.15265|5.6|EK-1.5||K21|5.52795|5.6|8.45286|1|EK21||K1.5|1.5|1|7.86553|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/czech-republic/itf-w75-doksy-stare-splavy-women/valentova-tereza-jang-su-jeong-rRt7ZyPr/","","1.45","2.67","1.45","2.55","","","1.48","2.5","1.48","2.67","","","","","","",""
"CSV","0000085","20240629|093856","20240624_1556610_014541_042230","R10_1_FRA_W35 Perigueux","Benoit","Tubello","|K|0.6731|EK|G||OL1|1.58685|EOL1|OL2|3.1365|EOL2|OH1|2.086|EOH1|OH2|4.0698|EOH2|EG|NA|NOT|ENA||AH-5.5|2.69|262.714|1.653|161.458|AH-5|2.69|262.714|2.01|196.248|AH-4|2.088|203.898|2.512|245.279|AH-3.5|1.729|168.833|2.512|245.279|AH-3|1.729|168.833|2.873|280.533|AH-2.5|1.591|155.392|2.873|280.533|AH-2|1.591|155.392|2.937|286.851|AH-1.5|1.572|153.519|2.937|286.851||AH1.5|1.422|136.357|3.912|375.049|AH2|1.422|136.357|4.45|426.671|AH2.5|1.362|130.612|4.45|426.671|AH3|1.362|130.612|4.624|443.377|AH3.5|1.347|129.123|4.624|443.377|AH4|1.347|129.123|5.8|556.084|AH4.5|1.272|121.926|5.8|556.084|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.41918|5.6|2.02488|5.6|EK-1.5||K21|5.70565|5.6|8.44301|1|EK21||K1.5|1.5|1|6.35051|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/itf-w35-perigueux-women/benoit-marie-tubello-alice-4IUUa7ZA/#ah;2;-3.50;2","-3.5","1.65","2.2","","","","","","","1.65","2.2","","","","","","",""
"CSV","0000085","20240629|093853","20240624_1556610_014541_042230","R10_1_FRA_W35 Perigueux","Benoit","Tubello","|K|0.6731|EK|G||OL1|1.58685|EOL1|OL2|3.1365|EOL2|OH1|2.086|EOH1|OH2|4.0698|EOH2|EG|NA|NOT|ENA||AH-5.5|2.69|262.714|1.653|161.458|AH-5|2.69|262.714|2.01|196.248|AH-4|2.088|203.898|2.512|245.279|AH-3.5|1.729|168.833|2.512|245.279|AH-3|1.729|168.833|2.873|280.533|AH-2.5|1.591|155.392|2.873|280.533|AH-2|1.591|155.392|2.937|286.851|AH-1.5|1.572|153.519|2.937|286.851||AH1.5|1.422|136.357|3.912|375.049|AH2|1.422|136.357|4.45|426.671|AH2.5|1.362|130.612|4.45|426.671|AH3|1.362|130.612|4.624|443.377|AH3.5|1.347|129.123|4.624|443.377|AH4|1.347|129.123|5.8|556.084|AH4.5|1.272|121.926|5.8|556.084|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.41918|5.6|2.02488|5.6|EK-1.5||K21|5.70565|5.6|8.44301|1|EK21||K1.5|1.5|1|6.35051|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/itf-w35-perigueux-women/benoit-marie-tubello-alice-4IUUa7ZA/#ah;2;-4.50;2","-4.5","1.87","1.9","1.84","1.86","","","","","1.9","1.9","","","","","","",""
