"FSM","0000007","20240702|173508","20240701_1987104_084556_050250","R04_0_JPN_M15 Tokyo","Isomura","Kikuchi","|K|0.571402|EK|G||OL1|1.87264|EOL1|OL2|2.39616|EOL2|OH1|1|EOH1|OH2|3.51|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/japan/itf-m15-tokyo-men/isomura-kokoro-kikuchi-yuta-8CjBJUmR/","","","","1.8","1.9","","","","","1.8","1.94","","","","","","",""
"FSM","0000008","20240702|173512","20240701_1987104_029943_031481","R04_0_JPN_M15 Tokyo","Takahashi","Edward Papac","|K|0.976131|EK|G||OL1|1.15|EOL1|OL2|42.9056|EOL2|OH1|103|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|137.714|137.714|626.546|626.546|AH-3.5|118.992|118.992|626.546|626.546|AH-3|118.992|118.992|1003.79|1003.79|AH-2.5|111.065|111.065|1003.79|1003.79|AH-2|111.065|111.065|1759.38|1759.38|AH-1.5|106.026|106.026|1759.38|1759.38||AH1.5|100.01|100.01|1e+006|1e+006|AH2|100.01|100.01|1e+006|1e+006|AH2.5|100.01|100.01|1e+006|1e+006|AH3|100.01|100.01|1e+006|1e+006|AH3.5|100.01|100.01|1e+006|1e+006|AH4|100.01|100.01|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","","","",""
"FSM","0000009","20240702|173524","20240701_1987504_048075_099988","R04_0_KAZ_M15 Ust-Kamenogorsk","Borisiouk","Khazime","|K|0.664816|EK|G||OL1|1.60664|EOL1|OL2|3.06176|EOL2|OH1|1|EOH1|OH2|4.485|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|225.143|225.143|216.5|216.5|AH-3.5|185.837|185.837|216.5|216.5|AH-3|185.837|185.837|247.435|247.435|AH-2.5|167.826|167.826|247.435|247.435|AH-2|167.826|167.826|269.972|269.972|AH-1.5|158.833|158.833|269.972|269.972||AH1.5|141.562|141.562|340.607|340.607|AH2|141.562|141.562|388.822|388.822|AH2.5|134.623|134.623|388.822|388.822|AH3|134.623|134.623|475.43|475.43|AH3.5|126.636|126.636|475.43|475.43|AH4|126.636|126.636|658.879|658.879|AH4.5|117.893|117.893|658.879|658.879|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/kazakhstan/itf-m15-ust-kamenogorsk-2-men/borisiouk-martin-khazime-daniel-4YO0EYH0/#ah;2;-3.50;2","-3.5","","","1.72","2.0","","","","","1.72","2.01","","","","","","",""
"FSM","0000009","20240702|173526","20240701_1987504_048075_099988","R04_0_KAZ_M15 Ust-Kamenogorsk","Borisiouk","Khazime","|K|0.664816|EK|G||OL1|1.60664|EOL1|OL2|3.06176|EOL2|OH1|1|EOH1|OH2|4.485|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|225.143|225.143|216.5|216.5|AH-3.5|185.837|185.837|216.5|216.5|AH-3|185.837|185.837|247.435|247.435|AH-2.5|167.826|167.826|247.435|247.435|AH-2|167.826|167.826|269.972|269.972|AH-1.5|158.833|158.833|269.972|269.972||AH1.5|141.562|141.562|340.607|340.607|AH2|141.562|141.562|388.822|388.822|AH2.5|134.623|134.623|388.822|388.822|AH3|134.623|134.623|475.43|475.43|AH3.5|126.636|126.636|475.43|475.43|AH4|126.636|126.636|658.879|658.879|AH4.5|117.893|117.893|658.879|658.879|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/kazakhstan/itf-m15-ust-kamenogorsk-2-men/borisiouk-martin-khazime-daniel-4YO0EYH0/#ah;2;-4.00;2","-4.0","","","1.87","1.83","","","","","1.87","1.83","","","","","","",""
"FSM","0000009","20240702|173516","20240701_1987504_048075_099988","R04_0_KAZ_M15 Ust-Kamenogorsk","Borisiouk","Khazime","|K|0.664816|EK|G||OL1|1.60664|EOL1|OL2|3.06176|EOL2|OH1|1|EOH1|OH2|4.485|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|225.143|225.143|216.5|216.5|AH-3.5|185.837|185.837|216.5|216.5|AH-3|185.837|185.837|247.435|247.435|AH-2.5|167.826|167.826|247.435|247.435|AH-2|167.826|167.826|269.972|269.972|AH-1.5|158.833|158.833|269.972|269.972||AH1.5|141.562|141.562|340.607|340.607|AH2|141.562|141.562|388.822|388.822|AH2.5|134.623|134.623|388.822|388.822|AH3|134.623|134.623|475.43|475.43|AH3.5|126.636|126.636|475.43|475.43|AH4|126.636|126.636|658.879|658.879|AH4.5|117.893|117.893|658.879|658.879|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/kazakhstan/itf-m15-ust-kamenogorsk-2-men/borisiouk-martin-khazime-daniel-4YO0EYH0/","","","","1.35","2.95","","","","","1.35","2.95","","","","","","",""
"FSM","0000010","20240702|173541","20240701_1987504_031210_052335","R04_0_KAZ_M15 Ust-Kamenogorsk","Chepik","Atlangeriev","|K|0.127232|EK|G||OL1|8.04864|EOL1|OL2|1.2236|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1e+006|1e+006|103.167|103.167|AH-3.5|3257.11|3257.11|103.167|103.167|AH-3|3257.11|3257.11|106.83|106.83|AH-2.5|1564.1|1564.1|106.83|106.83|AH-2|1564.1|1564.1|110.714|110.714|AH-1.5|1033.38|1033.38|110.714|110.714||AH1.5|580.529|580.529|120.81|120.81|AH2|580.529|580.529|126.612|126.612|AH2.5|475.767|475.767|126.612|126.612|AH3|475.767|475.767|139.526|139.526|AH3.5|352.999|352.999|139.526|139.526|AH4|352.999|352.999|166.179|166.179|AH4.5|251.105|251.105|166.179|166.179|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/kazakhstan/itf-m15-ust-kamenogorsk-2-men/chepik-alexander-atlangeriev-bekkhan-QJoENxeE/#ah;2;5.50;2","5.5","","","1.72","2.0","","","","","1.72","2.0","","","","","","",""
"FSM","0000010","20240702|173539","20240701_1987504_031210_052335","R04_0_KAZ_M15 Ust-Kamenogorsk","Chepik","Atlangeriev","|K|0.127232|EK|G||OL1|8.04864|EOL1|OL2|1.2236|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1e+006|1e+006|103.167|103.167|AH-3.5|3257.11|3257.11|103.167|103.167|AH-3|3257.11|3257.11|106.83|106.83|AH-2.5|1564.1|1564.1|106.83|106.83|AH-2|1564.1|1564.1|110.714|110.714|AH-1.5|1033.38|1033.38|110.714|110.714||AH1.5|580.529|580.529|120.81|120.81|AH2|580.529|580.529|126.612|126.612|AH2.5|475.767|475.767|126.612|126.612|AH3|475.767|475.767|139.526|139.526|AH3.5|352.999|352.999|139.526|139.526|AH4|352.999|352.999|166.179|166.179|AH4.5|251.105|251.105|166.179|166.179|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/kazakhstan/itf-m15-ust-kamenogorsk-2-men/chepik-alexander-atlangeriev-bekkhan-QJoENxeE/#ah;2;4.50;2","4.5","","","2.07","1.67","","","","","2.07","1.71","","","","","","",""
"FSM","0000010","20240702|173533","20240701_1987504_031210_052335","R04_0_KAZ_M15 Ust-Kamenogorsk","Chepik","Atlangeriev","|K|0.127232|EK|G||OL1|8.04864|EOL1|OL2|1.2236|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1e+006|1e+006|103.167|103.167|AH-3.5|3257.11|3257.11|103.167|103.167|AH-3|3257.11|3257.11|106.83|106.83|AH-2.5|1564.1|1564.1|106.83|106.83|AH-2|1564.1|1564.1|110.714|110.714|AH-1.5|1033.38|1033.38|110.714|110.714||AH1.5|580.529|580.529|120.81|120.81|AH2|580.529|580.529|126.612|126.612|AH2.5|475.767|475.767|126.612|126.612|AH3|475.767|475.767|139.526|139.526|AH3.5|352.999|352.999|139.526|139.526|AH4|352.999|352.999|166.179|166.179|AH4.5|251.105|251.105|166.179|166.179|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/kazakhstan/itf-m15-ust-kamenogorsk-2-men/chepik-alexander-atlangeriev-bekkhan-QJoENxeE/","","","","3.65","1.24","","","","","3.68","1.24","","","","","","",""
"FSM","0000011","20240702|173554","20240701_1987504_090178_096542","R04_0_KAZ_M15 Ust-Kamenogorsk","Zhukov","Ivanov","|K|0.656268|EK|G||OL1|1.62792|EOL1|OL2|2.97984|EOL2|OH1|153|EOH1|OH2|4.365|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|233.396|233.396|204.181|204.181|AH-3.5|195.987|195.987|204.181|204.181|AH-3|195.987|195.987|224.265|224.265|AH-2.5|180.473|180.473|224.265|224.265|AH-2|180.473|180.473|242.008|242.008|AH-1.5|170.419|170.419|242.008|242.008||AH1.5|152.274|152.274|291.299|291.299|AH2|152.274|152.274|319.533|319.533|AH2.5|145.551|145.551|319.533|319.533|AH3|145.551|145.551|380.011|380.011|AH3.5|135.713|135.713|380.011|380.011|AH4|135.713|135.713|477.799|477.799|AH4.5|126.469|126.469|477.799|477.799|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/kazakhstan/itf-m15-ust-kamenogorsk-2-men/zhukov-maxim-ivanov-saveliy-lKJpEPNH/#ah;2;-3.50;2","-3.5","","","1.74","1.96","","","","","1.74","1.97","","","","","","",""
"FSM","0000011","20240702|173556","20240701_1987504_090178_096542","R04_0_KAZ_M15 Ust-Kamenogorsk","Zhukov","Ivanov","|K|0.656268|EK|G||OL1|1.62792|EOL1|OL2|2.97984|EOL2|OH1|153|EOH1|OH2|4.365|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|233.396|233.396|204.181|204.181|AH-3.5|195.987|195.987|204.181|204.181|AH-3|195.987|195.987|224.265|224.265|AH-2.5|180.473|180.473|224.265|224.265|AH-2|180.473|180.473|242.008|242.008|AH-1.5|170.419|170.419|242.008|242.008||AH1.5|152.274|152.274|291.299|291.299|AH2|152.274|152.274|319.533|319.533|AH2.5|145.551|145.551|319.533|319.533|AH3|145.551|145.551|380.011|380.011|AH3.5|135.713|135.713|380.011|380.011|AH4|135.713|135.713|477.799|477.799|AH4.5|126.469|126.469|477.799|477.799|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/kazakhstan/itf-m15-ust-kamenogorsk-2-men/zhukov-maxim-ivanov-saveliy-lKJpEPNH/#ah;2;-4.00;2","-4.0","","","1.87","1.83","","","","","1.87","1.83","","","","","","",""
"FSM","0000011","20240702|173548","20240701_1987504_090178_096542","R04_0_KAZ_M15 Ust-Kamenogorsk","Zhukov","Ivanov","|K|0.656268|EK|G||OL1|1.62792|EOL1|OL2|2.97984|EOL2|OH1|153|EOH1|OH2|4.365|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|233.396|233.396|204.181|204.181|AH-3.5|195.987|195.987|204.181|204.181|AH-3|195.987|195.987|224.265|224.265|AH-2.5|180.473|180.473|224.265|224.265|AH-2|180.473|180.473|242.008|242.008|AH-1.5|170.419|170.419|242.008|242.008||AH1.5|152.274|152.274|291.299|291.299|AH2|152.274|152.274|319.533|319.533|AH2.5|145.551|145.551|319.533|319.533|AH3|145.551|145.551|380.011|380.011|AH3.5|135.713|135.713|380.011|380.011|AH4|135.713|135.713|477.799|477.799|AH4.5|126.469|126.469|477.799|477.799|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/kazakhstan/itf-m15-ust-kamenogorsk-2-men/zhukov-maxim-ivanov-saveliy-lKJpEPNH/","","","","1.4","2.7","","","","","1.4","2.72","","","","","","",""
