"SM","0000019","20240705|183922","20240701_1939106_069471_025171","R06_4_GBR_Wimbledon - London","Rune","Halys","|K|0.741237|EK|G||OL1|1.485|EOL1|OL2|4.23765|EOL2|OH1|1.9575|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4985|ENAOL1|NAOL2|4.24539|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/united-kingdom/atp-wimbledon/rune-holger-halys-quentin-UR4tYgng/","","1.22","4.73","1.21","4.45","","","1.22","4.25","1.23","4.73","","","","","","",""
"CSM","0000020","20240705|183935","20240701_1984410_011981_055257","R10_1_FRA_Troyes Challenger","Giustino","Skatov","|K|0.295394|EK|G||OL1|3.61035|EOL1|OL2|1.4981|EOL2|OH1|1|EOH1|OH2|142|EOH2|EG|NA||NAOL1|3.7629|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|6.194|584.317|1.317|124.258|AH-2.5|5.43|512.239|1.317|124.258|AH-2|5.43|512.239|1.349|127.274|AH-1.5|4.947|466.653|1.349|127.274||AH1.5|3.733|339.399|1.559|141.771|AH2|3.733|339.399|1.676|152.362|AH2.5|3.201|290.98|1.676|152.362|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.38867|1|1.54|6|EK-1.5||K21|7.73272|1|4.22396|6|EK21||K1.5|2.00623|6|2.33074|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/troyes-challenger-men/giustino-lorenzo-skatov-timofey-Kf0kYSBl/#ah;2;3.50;2","3.5","1.94","1.91","","","","","","","1.94","1.91","","","","","","",""
"CSM","0000020","20240705|183937","20240701_1984410_011981_055257","R10_1_FRA_Troyes Challenger","Giustino","Skatov","|K|0.295394|EK|G||OL1|3.61035|EOL1|OL2|1.4981|EOL2|OH1|1|EOH1|OH2|142|EOH2|EG|NA||NAOL1|3.7629|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|6.194|584.317|1.317|124.258|AH-2.5|5.43|512.239|1.317|124.258|AH-2|5.43|512.239|1.349|127.274|AH-1.5|4.947|466.653|1.349|127.274||AH1.5|3.733|339.399|1.559|141.771|AH2|3.733|339.399|1.676|152.362|AH2.5|3.201|290.98|1.676|152.362|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.38867|1|1.54|6|EK-1.5||K21|7.73272|1|4.22396|6|EK21||K1.5|2.00623|6|2.33074|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/troyes-challenger-men/giustino-lorenzo-skatov-timofey-Kf0kYSBl/#ah;2;2.50;2","2.5","2.26","1.68","","","","","","","2.26","1.68","","","","","","",""
"CSM","0000020","20240705|183941","20240701_1984410_011981_055257","R10_1_FRA_Troyes Challenger","Giustino","Skatov","|K|0.295394|EK|G||OL1|3.61035|EOL1|OL2|1.4981|EOL2|OH1|1|EOH1|OH2|142|EOH2|EG|NA||NAOL1|3.7629|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|6.194|584.317|1.317|124.258|AH-2.5|5.43|512.239|1.317|124.258|AH-2|5.43|512.239|1.349|127.274|AH-1.5|4.947|466.653|1.349|127.274||AH1.5|3.733|339.399|1.559|141.771|AH2|3.733|339.399|1.676|152.362|AH2.5|3.201|290.98|1.676|152.362|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.38867|1|1.54|6|EK-1.5||K21|7.73272|1|4.22396|6|EK21||K1.5|2.00623|6|2.33074|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/troyes-challenger-men/giustino-lorenzo-skatov-timofey-Kf0kYSBl/#ah;2;1.50;1","1.5","1.73","2.18","","","","","","","1.73","2.18","","","","","","",""
"CSM","0000020","20240705|183939","20240701_1984410_011981_055257","R10_1_FRA_Troyes Challenger","Giustino","Skatov","|K|0.295394|EK|G||OL1|3.61035|EOL1|OL2|1.4981|EOL2|OH1|1|EOH1|OH2|142|EOH2|EG|NA||NAOL1|3.7629|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|6.194|584.317|1.317|124.258|AH-2.5|5.43|512.239|1.317|124.258|AH-2|5.43|512.239|1.349|127.274|AH-1.5|4.947|466.653|1.349|127.274||AH1.5|3.733|339.399|1.559|141.771|AH2|3.733|339.399|1.676|152.362|AH2.5|3.201|290.98|1.676|152.362|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.38867|1|1.54|6|EK-1.5||K21|7.73272|1|4.22396|6|EK21||K1.5|2.00623|6|2.33074|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/troyes-challenger-men/giustino-lorenzo-skatov-timofey-Kf0kYSBl/#ah;2;-1.50;1","-1.5","5.29","1.18","","","","","","","5.29","1.18","","","","","","",""
"CSM","0000020","20240705|183927","20240701_1984410_011981_055257","R10_1_FRA_Troyes Challenger","Giustino","Skatov","|K|0.295394|EK|G||OL1|3.61035|EOL1|OL2|1.4981|EOL2|OH1|1|EOH1|OH2|142|EOH2|EG|NA||NAOL1|3.7629|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|6.194|584.317|1.317|124.258|AH-2.5|5.43|512.239|1.317|124.258|AH-2|5.43|512.239|1.349|127.274|AH-1.5|4.947|466.653|1.349|127.274||AH1.5|3.733|339.399|1.559|141.771|AH2|3.733|339.399|1.676|152.362|AH2.5|3.201|290.98|1.676|152.362|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.38867|1|1.54|6|EK-1.5||K21|7.73272|1|4.22396|6|EK21||K1.5|2.00623|6|2.33074|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/troyes-challenger-men/giustino-lorenzo-skatov-timofey-Kf0kYSBl/","","2.88","1.45","","","","","","","2.88","1.45","","","","","","",""
"CSM","0000021","20240705|183958","20240701_1984210_023816_013048","R10_1_GER_Karlsruhe Challenger","Masur","Kovalik","|K|0.276898|EK|G||OL1|3.8553|EOL1|OL2|1.46645|EOL2|OH1|1|EOH1|OH2|139|EOH2|EG|NA||NAOL1|4.0182|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|7.422|700.209|1.331|125.602|AH-2.5|5.2|490.601|1.331|125.602|AH-2|5.2|490.601|1.416|133.559|AH-1.5|4.219|397.98|1.416|133.559||AH1.5|3.191|290.1|1.679|152.604|AH2|3.191|290.1|1.81|164.522|AH2.5|2.805|254.986|1.81|164.522|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.7926|1|1.54|6|EK-1.5||K21|7.33524|1|4.25321|6|EK21||K1.5|2.01392|6|2.32124|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/karlsruhe-challenger-men/masur-daniel-kovalik-jozef-bJl2Cr2K/#ah;2;4.50;2","4.5","1.57","2.49","1.5","2.4","","","","","1.57","2.49","","","","","","",""
"CSM","0000021","20240705|183954","20240701_1984210_023816_013048","R10_1_GER_Karlsruhe Challenger","Masur","Kovalik","|K|0.276898|EK|G||OL1|3.8553|EOL1|OL2|1.46645|EOL2|OH1|1|EOH1|OH2|139|EOH2|EG|NA||NAOL1|4.0182|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|7.422|700.209|1.331|125.602|AH-2.5|5.2|490.601|1.331|125.602|AH-2|5.2|490.601|1.416|133.559|AH-1.5|4.219|397.98|1.416|133.559||AH1.5|3.191|290.1|1.679|152.604|AH2|3.191|290.1|1.81|164.522|AH2.5|2.805|254.986|1.81|164.522|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.7926|1|1.54|6|EK-1.5||K21|7.33524|1|4.25321|6|EK21||K1.5|2.01392|6|2.32124|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/germany/karlsruhe-challenger-men/masur-daniel-kovalik-jozef-bJl2Cr2K/#ah;2;3.50;2","3.5","1.89","1.96","1.82","1.88","","","","","1.89","1.96","","","","","","",""
"CSM","0000021","20240705|184002","20240701_1984210_023816_013048","R10_1_GER_Karlsruhe Challenger","Masur","Kovalik","|K|0.276898|EK|G||OL1|3.8553|EOL1|OL2|1.46645|EOL2|OH1|1|EOH1|OH2|139|EOH2|EG|NA||NAOL1|4.0182|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|7.422|700.209|1.331|125.602|AH-2.5|5.2|490.601|1.331|125.602|AH-2|5.2|490.601|1.416|133.559|AH-1.5|4.219|397.98|1.416|133.559||AH1.5|3.191|290.1|1.679|152.604|AH2|3.191|290.1|1.81|164.522|AH2.5|2.805|254.986|1.81|164.522|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.7926|1|1.54|6|EK-1.5||K21|7.33524|1|4.25321|6|EK21||K1.5|2.01392|6|2.32124|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/germany/karlsruhe-challenger-men/masur-daniel-kovalik-jozef-bJl2Cr2K/#ah;2;1.50;1","1.5","1.74","2.16","","","","","","","1.74","2.16","","","","","","",""
"CSM","0000021","20240705|184000","20240701_1984210_023816_013048","R10_1_GER_Karlsruhe Challenger","Masur","Kovalik","|K|0.276898|EK|G||OL1|3.8553|EOL1|OL2|1.46645|EOL2|OH1|1|EOH1|OH2|139|EOH2|EG|NA||NAOL1|4.0182|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|7.422|700.209|1.331|125.602|AH-2.5|5.2|490.601|1.331|125.602|AH-2|5.2|490.601|1.416|133.559|AH-1.5|4.219|397.98|1.416|133.559||AH1.5|3.191|290.1|1.679|152.604|AH2|3.191|290.1|1.81|164.522|AH2.5|2.805|254.986|1.81|164.522|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.7926|1|1.54|6|EK-1.5||K21|7.33524|1|4.25321|6|EK21||K1.5|2.01392|6|2.32124|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/germany/karlsruhe-challenger-men/masur-daniel-kovalik-jozef-bJl2Cr2K/#ah;2;-1.50;1","-1.5","5.37","1.17","","","","","","","5.37","1.17","","","","","","",""
"CSM","0000021","20240705|183946","20240701_1984210_023816_013048","R10_1_GER_Karlsruhe Challenger","Masur","Kovalik","|K|0.276898|EK|G||OL1|3.8553|EOL1|OL2|1.46645|EOL2|OH1|1|EOH1|OH2|139|EOH2|EG|NA||NAOL1|4.0182|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|7.422|700.209|1.331|125.602|AH-2.5|5.2|490.601|1.331|125.602|AH-2|5.2|490.601|1.416|133.559|AH-1.5|4.219|397.98|1.416|133.559||AH1.5|3.191|290.1|1.679|152.604|AH2|3.191|290.1|1.81|164.522|AH2.5|2.805|254.986|1.81|164.522|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.7926|1|1.54|6|EK-1.5||K21|7.33524|1|4.25321|6|EK21||K1.5|2.01392|6|2.32124|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/germany/karlsruhe-challenger-men/masur-daniel-kovalik-jozef-bJl2Cr2K/","","2.88","1.45","2.7","1.4","","","","","2.88","1.45","","","","","","",""
