"CSV","0000115","20240709|092524","20240708_1559304_017040_039543","R04_1_ITA_W75 Rome","Burillo Escorihuela","Maristany","|K|0.535346|EK|G||OL1|1.99155|EOL1|OL2|2.214|EOL2|OH1|2.618|EOH1|OH2|2.8728|EOH2|EG|NA|NOT|ENA||AH-5.5|3.388|330.89|1.468|143.311|AH-5|3.388|330.89|1.736|169.543|AH-4|2.496|243.796|2.143|209.241|AH-3.5|1.961|191.541|2.143|209.241|AH-3|1.961|191.541|2.232|217.924|AH-2.5|1.892|184.801|2.232|217.924|AH-2|1.892|184.801|2.379|232.297|AH-1.5|1.798|175.587|2.379|232.297||AH1.5|1.606|153.973|2.975|285.279|AH2|1.606|153.973|3.055|292.907|AH2.5|1.584|151.838|3.055|292.907|AH3|1.584|151.838|3.506|336.108|AH3.5|1.485|142.354|3.506|336.108|AH4|1.485|142.354|3.925|376.341|AH4.5|1.42|136.187|3.925|376.341|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.25783|5.6|1.62038|5.6|EK-1.5||K21|6.26276|5.6|7.53325|5.6|EK21||K1.5|1.50223|5.6|3.77277|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/italy/itf-w75-rome-2-women/burillo-escorihuela-irene-maristany-zuleta-de-reales-guiomar-bRf8PZSN/","","1.81","1.93","1.79","1.91","","","1.8","1.92","1.82","1.93","","","","","","",""
"CSV","0000116","20240709|092539","20240708_1559204_070328_026145","R04_1_NED_W75 The Hague","Costoulas","Serban","|K|0.361508|EK|G||OL1|2.83925|EOL1|OL2|1.67205|EOL2|OH1|3.6841|EOH1|OH2|2.198|EOH2|EG|NA|NOT|ENA||AH-5.5|6.353|620.385|1.221|119.217|AH-5|6.353|620.385|1.311|127.995|AH-4|4.682|457.206|1.36|132.856|AH-3.5|4.141|404.36|1.36|132.856|AH-3|4.141|404.36|1.412|137.876|AH-2.5|3.728|364.017|1.412|137.876|AH-2|3.728|364.017|1.484|144.95|AH-1.5|3.302|322.468|1.484|144.95||AH1.5|2.6|249.325|1.741|166.968|AH2|2.6|249.325|1.783|170.99|AH2.5|2.512|240.864|1.783|170.99|AH3|2.512|240.864|1.936|185.598|AH3.5|2.261|216.825|1.936|185.598|AH4|2.261|216.825|2.425|232.531|AH4.5|1.83|175.454|2.425|232.531|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.29978|1|1.5|1|EK-1.5||K21|9.88279|1|5.12387|5.6|EK21||K1.5|1.87677|5.6|2.63349|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/netherlands/itf-w75-the-hague-women/costoulas-sofia-serban-raluca-georgiana-Moyyrx0k/#ah;2;3.50;2","3.5","1.74","2.02","","","","","","","1.74","2.02","","","","","","",""
"CSV","0000116","20240709|092541","20240708_1559204_070328_026145","R04_1_NED_W75 The Hague","Costoulas","Serban","|K|0.361508|EK|G||OL1|2.83925|EOL1|OL2|1.67205|EOL2|OH1|3.6841|EOH1|OH2|2.198|EOH2|EG|NA|NOT|ENA||AH-5.5|6.353|620.385|1.221|119.217|AH-5|6.353|620.385|1.311|127.995|AH-4|4.682|457.206|1.36|132.856|AH-3.5|4.141|404.36|1.36|132.856|AH-3|4.141|404.36|1.412|137.876|AH-2.5|3.728|364.017|1.412|137.876|AH-2|3.728|364.017|1.484|144.95|AH-1.5|3.302|322.468|1.484|144.95||AH1.5|2.6|249.325|1.741|166.968|AH2|2.6|249.325|1.783|170.99|AH2.5|2.512|240.864|1.783|170.99|AH3|2.512|240.864|1.936|185.598|AH3.5|2.261|216.825|1.936|185.598|AH4|2.261|216.825|2.425|232.531|AH4.5|1.83|175.454|2.425|232.531|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.29978|1|1.5|1|EK-1.5||K21|9.88279|1|5.12387|5.6|EK21||K1.5|1.87677|5.6|2.63349|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/netherlands/itf-w75-the-hague-women/costoulas-sofia-serban-raluca-georgiana-Moyyrx0k/#ah;2;2.50;2","2.5","1.93","1.82","","","","","","","1.93","1.82","","","","","","",""
"CSV","0000116","20240709|092545","20240708_1559204_070328_026145","R04_1_NED_W75 The Hague","Costoulas","Serban","|K|0.361508|EK|G||OL1|2.83925|EOL1|OL2|1.67205|EOL2|OH1|3.6841|EOH1|OH2|2.198|EOH2|EG|NA|NOT|ENA||AH-5.5|6.353|620.385|1.221|119.217|AH-5|6.353|620.385|1.311|127.995|AH-4|4.682|457.206|1.36|132.856|AH-3.5|4.141|404.36|1.36|132.856|AH-3|4.141|404.36|1.412|137.876|AH-2.5|3.728|364.017|1.412|137.876|AH-2|3.728|364.017|1.484|144.95|AH-1.5|3.302|322.468|1.484|144.95||AH1.5|2.6|249.325|1.741|166.968|AH2|2.6|249.325|1.783|170.99|AH2.5|2.512|240.864|1.783|170.99|AH3|2.512|240.864|1.936|185.598|AH3.5|2.261|216.825|1.936|185.598|AH4|2.261|216.825|2.425|232.531|AH4.5|1.83|175.454|2.425|232.531|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.29978|1|1.5|1|EK-1.5||K21|9.88279|1|5.12387|5.6|EK21||K1.5|1.87677|5.6|2.63349|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/netherlands/itf-w75-the-hague-women/costoulas-sofia-serban-raluca-georgiana-Moyyrx0k/#ah;2;1.50;1","1.5","1.55","2.36","","","","","","","1.55","2.36","","","","","","",""
"CSV","0000116","20240709|092543","20240708_1559204_070328_026145","R04_1_NED_W75 The Hague","Costoulas","Serban","|K|0.361508|EK|G||OL1|2.83925|EOL1|OL2|1.67205|EOL2|OH1|3.6841|EOH1|OH2|2.198|EOH2|EG|NA|NOT|ENA||AH-5.5|6.353|620.385|1.221|119.217|AH-5|6.353|620.385|1.311|127.995|AH-4|4.682|457.206|1.36|132.856|AH-3.5|4.141|404.36|1.36|132.856|AH-3|4.141|404.36|1.412|137.876|AH-2.5|3.728|364.017|1.412|137.876|AH-2|3.728|364.017|1.484|144.95|AH-1.5|3.302|322.468|1.484|144.95||AH1.5|2.6|249.325|1.741|166.968|AH2|2.6|249.325|1.783|170.99|AH2.5|2.512|240.864|1.783|170.99|AH3|2.512|240.864|1.936|185.598|AH3.5|2.261|216.825|1.936|185.598|AH4|2.261|216.825|2.425|232.531|AH4.5|1.83|175.454|2.425|232.531|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.29978|1|1.5|1|EK-1.5||K21|9.88279|1|5.12387|5.6|EK21||K1.5|1.87677|5.6|2.63349|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/netherlands/itf-w75-the-hague-women/costoulas-sofia-serban-raluca-georgiana-Moyyrx0k/#ah;2;-1.50;1","-1.5","3.71","1.25","","","","","","","3.71","1.25","","","","","","",""
"CSV","0000116","20240709|092532","20240708_1559204_070328_026145","R04_1_NED_W75 The Hague","Costoulas","Serban","|K|0.361508|EK|G||OL1|2.83925|EOL1|OL2|1.67205|EOL2|OH1|3.6841|EOH1|OH2|2.198|EOH2|EG|NA|NOT|ENA||AH-5.5|6.353|620.385|1.221|119.217|AH-5|6.353|620.385|1.311|127.995|AH-4|4.682|457.206|1.36|132.856|AH-3.5|4.141|404.36|1.36|132.856|AH-3|4.141|404.36|1.412|137.876|AH-2.5|3.728|364.017|1.412|137.876|AH-2|3.728|364.017|1.484|144.95|AH-1.5|3.302|322.468|1.484|144.95||AH1.5|2.6|249.325|1.741|166.968|AH2|2.6|249.325|1.783|170.99|AH2.5|2.512|240.864|1.783|170.99|AH3|2.512|240.864|1.936|185.598|AH3.5|2.261|216.825|1.936|185.598|AH4|2.261|216.825|2.425|232.531|AH4.5|1.83|175.454|2.425|232.531|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.29978|1|1.5|1|EK-1.5||K21|9.88279|1|5.12387|5.6|EK21||K1.5|1.87677|5.6|2.63349|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/netherlands/itf-w75-the-hague-women/costoulas-sofia-serban-raluca-georgiana-Moyyrx0k/","","2.3","1.57","","","","","2.28","1.57","2.32","1.57","","","","","","",""
"CSV","0000117","20240709|092556","20240708_1559704_017677_065909","R04_1_ROU_W35 Buzau","Fetecau","Lovric","|K|0.616168|EK|G||OL1|1.73595|EOL1|OL2|2.67525|EOL2|OH1|2.282|EOH1|OH2|3.4713|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.5|1|1.5|1|EK-1.5||K21|1.5|1|1.5|1|EK21||K1.5|1.5|1|1.5|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/romania/itf-w35-buzau-women/fetecau-irina-lovric-pia-42AdRAmT/#ah;2;-2.50;2","-2.5","1.74","2.01","","","","","","","1.74","2.01","","","","","","",""
"CSV","0000117","20240709|092558","20240708_1559704_017677_065909","R04_1_ROU_W35 Buzau","Fetecau","Lovric","|K|0.616168|EK|G||OL1|1.73595|EOL1|OL2|2.67525|EOL2|OH1|2.282|EOH1|OH2|3.4713|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.5|1|1.5|1|EK-1.5||K21|1.5|1|1.5|1|EK21||K1.5|1.5|1|1.5|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/romania/itf-w35-buzau-women/fetecau-irina-lovric-pia-42AdRAmT/#ah;2;-3.50;2","-3.5","1.91","1.82","","","","","","","1.91","1.82","","","","","","",""
"CSV","0000117","20240709|092602","20240708_1559704_017677_065909","R04_1_ROU_W35 Buzau","Fetecau","Lovric","|K|0.616168|EK|G||OL1|1.73595|EOL1|OL2|2.67525|EOL2|OH1|2.282|EOH1|OH2|3.4713|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.5|1|1.5|1|EK-1.5||K21|1.5|1|1.5|1|EK21||K1.5|1.5|1|1.5|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/romania/itf-w35-buzau-women/fetecau-irina-lovric-pia-42AdRAmT/#ah;2;1.50;1","1.5","1.27","3.48","","","","","","","1.27","3.48","","","","","","",""
"CSV","0000117","20240709|092600","20240708_1559704_017677_065909","R04_1_ROU_W35 Buzau","Fetecau","Lovric","|K|0.616168|EK|G||OL1|1.73595|EOL1|OL2|2.67525|EOL2|OH1|2.282|EOH1|OH2|3.4713|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.5|1|1.5|1|EK-1.5||K21|1.5|1|1.5|1|EK21||K1.5|1.5|1|1.5|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/romania/itf-w35-buzau-women/fetecau-irina-lovric-pia-42AdRAmT/#ah;2;-1.50;1","-1.5","2.24","1.59","","","","","","","2.24","1.59","","","","","","",""
"CSV","0000117","20240709|092549","20240708_1559704_017677_065909","R04_1_ROU_W35 Buzau","Fetecau","Lovric","|K|0.616168|EK|G||OL1|1.73595|EOL1|OL2|2.67525|EOL2|OH1|2.282|EOH1|OH2|3.4713|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.5|1|1.5|1|EK-1.5||K21|1.5|1|1.5|1|EK21||K1.5|1.5|1|1.5|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/romania/itf-w35-buzau-women/fetecau-irina-lovric-pia-42AdRAmT/","","1.53","2.38","","","","","1.64","2.15","1.64","2.38","","","","","","",""
