"CDM","0000031","20240709|125027","20240708_1984804_111548_112604","R04_1_ITA_Trieste Challenger","Bortolotti/Romios","Carou/Roveri Sidney","|K|0.677614|EK|G||OL1|1.49021|EOL1|OL2|3.16287|EOL2|OH1|2.22|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.63244|ENAOL1|NAOL2|3.36813|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/italy/trieste-challenger-men-doubles/bortolotti-marco-romios-matthew-christopher-carou-ignacio-roveri-sidney-gabriel-2odCF4hK/","","","","","","","","","","1.4","2.7","","","","","","",""
"CSM","0000032","20240709|125038","20240708_1984904_056195_033298","R04_1_CAN_Winnipeg Challenger","Boyer","Bellier","|K|0.53521|EK|G||OL1|1.99155|EOL1|OL2|2.3004|EOL2|OH1|187|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.0757|ENAOL1|NAOL2|2.3976|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.043|287.057|1000|1000|AH-2.5|2.682|253.032|1000|1000|AH-2|2.682|253.032|1000|1000|AH-1.5|2.348|221.52|1000|1000||AH1.5|1.992|181.106|1000|1000|AH2|1.992|181.106|1000|1000|AH2.5|1.796|163.315|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.04418|6|1.64574|6|EK-1.5||K21|4.81173|6|6.24992|1|EK21||K1.5|1.54|6|4.37098|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/boyer-tristan-bellier-antoine-zavtsoiS/#ah;2;-0.50;2","-0.5","1.93","1.88","1.87","1.83","","","","","1.93","1.88","","","","","","",""
"CSM","0000032","20240709|125041","20240708_1984904_056195_033298","R04_1_CAN_Winnipeg Challenger","Boyer","Bellier","|K|0.53521|EK|G||OL1|1.99155|EOL1|OL2|2.3004|EOL2|OH1|187|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.0757|ENAOL1|NAOL2|2.3976|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.043|287.057|1000|1000|AH-2.5|2.682|253.032|1000|1000|AH-2|2.682|253.032|1000|1000|AH-1.5|2.348|221.52|1000|1000||AH1.5|1.992|181.106|1000|1000|AH2|1.992|181.106|1000|1000|AH2.5|1.796|163.315|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.04418|6|1.64574|6|EK-1.5||K21|4.81173|6|6.24992|1|EK21||K1.5|1.54|6|4.37098|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/boyer-tristan-bellier-antoine-zavtsoiS/#ah;2;-1.50;2","-1.5","2.11","1.75","2.02","1.7","","","","","2.11","1.75","","","","","","",""
"CSM","0000032","20240709|125047","20240708_1984904_056195_033298","R04_1_CAN_Winnipeg Challenger","Boyer","Bellier","|K|0.53521|EK|G||OL1|1.99155|EOL1|OL2|2.3004|EOL2|OH1|187|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.0757|ENAOL1|NAOL2|2.3976|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.043|287.057|1000|1000|AH-2.5|2.682|253.032|1000|1000|AH-2|2.682|253.032|1000|1000|AH-1.5|2.348|221.52|1000|1000||AH1.5|1.992|181.106|1000|1000|AH2|1.992|181.106|1000|1000|AH2.5|1.796|163.315|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.04418|6|1.64574|6|EK-1.5||K21|4.81173|6|6.24992|1|EK21||K1.5|1.54|6|4.37098|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/boyer-tristan-bellier-antoine-zavtsoiS/#ah;2;1.50;1","1.5","1.37","3.16","1.34","3.0","","","","","1.37","3.16","","","","","","",""
"CSM","0000032","20240709|125044","20240708_1984904_056195_033298","R04_1_CAN_Winnipeg Challenger","Boyer","Bellier","|K|0.53521|EK|G||OL1|1.99155|EOL1|OL2|2.3004|EOL2|OH1|187|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.0757|ENAOL1|NAOL2|2.3976|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.043|287.057|1000|1000|AH-2.5|2.682|253.032|1000|1000|AH-2|2.682|253.032|1000|1000|AH-1.5|2.348|221.52|1000|1000||AH1.5|1.992|181.106|1000|1000|AH2|1.992|181.106|1000|1000|AH2.5|1.796|163.315|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.04418|6|1.64574|6|EK-1.5||K21|4.81173|6|6.24992|1|EK21||K1.5|1.54|6|4.37098|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/boyer-tristan-bellier-antoine-zavtsoiS/#ah;2;-1.50;1","-1.5","3.02","1.4","2.85","1.37","","","","","3.02","1.4","","","","","","",""
"CSM","0000032","20240709|125031","20240708_1984904_056195_033298","R04_1_CAN_Winnipeg Challenger","Boyer","Bellier","|K|0.53521|EK|G||OL1|1.99155|EOL1|OL2|2.3004|EOL2|OH1|187|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.0757|ENAOL1|NAOL2|2.3976|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.043|287.057|1000|1000|AH-2.5|2.682|253.032|1000|1000|AH-2|2.682|253.032|1000|1000|AH-1.5|2.348|221.52|1000|1000||AH1.5|1.992|181.106|1000|1000|AH2|1.992|181.106|1000|1000|AH2.5|1.796|163.315|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.04418|6|1.64574|6|EK-1.5||K21|4.81173|6|6.24992|1|EK21||K1.5|1.54|6|4.37098|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/boyer-tristan-bellier-antoine-zavtsoiS/","","1.88","1.94","1.82","1.88","","","","","1.88","1.94","","","","","","",""
"CSM","0000033","20240709|125101","20240708_1984904_073918_087283","R04_1_CAN_Winnipeg Challenger","Sekulic","Lajal","|K|0.279389|EK|G||OL1|3.8127|EOL1|OL2|1.46645|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.9738|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|5.194|490.039|1.399|131.947|AH-2.5|4.378|413.023|1.399|131.947|AH-2|4.378|413.023|1.478|139.434|AH-1.5|3.748|353.59|1.478|139.434||AH1.5|2.941|267.407|1.757|159.735|AH2|2.941|267.407|1.914|174.045|AH2.5|2.586|235.052|1.914|174.045|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.6332|1|1.54|6|EK-1.5||K21|6.88981|1|4.24717|6|EK21||K1.5|1.92282|6|2.44417|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/sekulic-philip-lajal-mark-4f6UOoVq/#ah;2;3.50;2","3.5","1.97","1.85","1.9","1.8","","","","","1.97","1.85","","","","","","",""
"CSM","0000033","20240709|125104","20240708_1984904_073918_087283","R04_1_CAN_Winnipeg Challenger","Sekulic","Lajal","|K|0.279389|EK|G||OL1|3.8127|EOL1|OL2|1.46645|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.9738|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|5.194|490.039|1.399|131.947|AH-2.5|4.378|413.023|1.399|131.947|AH-2|4.378|413.023|1.478|139.434|AH-1.5|3.748|353.59|1.478|139.434||AH1.5|2.941|267.407|1.757|159.735|AH2|2.941|267.407|1.914|174.045|AH2.5|2.586|235.052|1.914|174.045|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.6332|1|1.54|6|EK-1.5||K21|6.88981|1|4.24717|6|EK21||K1.5|1.92282|6|2.44417|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/sekulic-philip-lajal-mark-4f6UOoVq/#ah;2;2.50;2","2.5","2.35","1.61","2.27","1.56","","","","","2.35","1.61","","","","","","",""
"CSM","0000033","20240709|125108","20240708_1984904_073918_087283","R04_1_CAN_Winnipeg Challenger","Sekulic","Lajal","|K|0.279389|EK|G||OL1|3.8127|EOL1|OL2|1.46645|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.9738|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|5.194|490.039|1.399|131.947|AH-2.5|4.378|413.023|1.399|131.947|AH-2|4.378|413.023|1.478|139.434|AH-1.5|3.748|353.59|1.478|139.434||AH1.5|2.941|267.407|1.757|159.735|AH2|2.941|267.407|1.914|174.045|AH2.5|2.586|235.052|1.914|174.045|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.6332|1|1.54|6|EK-1.5||K21|6.88981|1|4.24717|6|EK21||K1.5|1.92282|6|2.44417|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/sekulic-philip-lajal-mark-4f6UOoVq/#ah;2;1.50;1","1.5","1.0","1.0","1.0","1.0","","","","","1.0","1.0","","","","","","",""
"CSM","0000033","20240709|125106","20240708_1984904_073918_087283","R04_1_CAN_Winnipeg Challenger","Sekulic","Lajal","|K|0.279389|EK|G||OL1|3.8127|EOL1|OL2|1.46645|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.9738|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|5.194|490.039|1.399|131.947|AH-2.5|4.378|413.023|1.399|131.947|AH-2|4.378|413.023|1.478|139.434|AH-1.5|3.748|353.59|1.478|139.434||AH1.5|2.941|267.407|1.757|159.735|AH2|2.941|267.407|1.914|174.045|AH2.5|2.586|235.052|1.914|174.045|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.6332|1|1.54|6|EK-1.5||K21|6.88981|1|4.24717|6|EK21||K1.5|1.92282|6|2.44417|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/sekulic-philip-lajal-mark-4f6UOoVq/#ah;2;-1.50;1","-1.5","5.47","1.16","4.9","1.14","","","","","5.47","1.16","","","","","","",""
"CSM","0000033","20240709|125051","20240708_1984904_073918_087283","R04_1_CAN_Winnipeg Challenger","Sekulic","Lajal","|K|0.279389|EK|G||OL1|3.8127|EOL1|OL2|1.46645|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.9738|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|5.194|490.039|1.399|131.947|AH-2.5|4.378|413.023|1.399|131.947|AH-2|4.378|413.023|1.478|139.434|AH-1.5|3.748|353.59|1.478|139.434||AH1.5|2.941|267.407|1.757|159.735|AH2|2.941|267.407|1.914|174.045|AH2.5|2.586|235.052|1.914|174.045|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.6332|1|1.54|6|EK-1.5||K21|6.88981|1|4.24717|6|EK21||K1.5|1.92282|6|2.44417|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/sekulic-philip-lajal-mark-4f6UOoVq/","","3.08","1.38","2.95","1.35","","","","","3.08","1.38","","","","","","",""
